,z0,z1,z2,z3,z4,tout,s,i,t1,t2,sp0,sp1,sp2,sp3,sp4,sp,m,rh
34,23.979916215,23.9786478598,23.9795753979,23.9786977678,23.9810520723,1.19166666667,0.0,10247.0590484,23.9797386103,21.7076924319,23.98,23.98,23.98,23.98,23.98,23.98,5.14741306519,75297.7998759
35,23.9811173221,23.9798043464,23.9805120474,23.9823280386,23.9828328395,1.1,0.0,10247.0590484,23.9812651059,21.7020872596,23.98,23.98,23.98,23.98,23.98,23.98,5.15267454708,75650.008607
36,24.0378048028,24.0388449009,24.0366265614,24.0358851868,24.0348300466,1.1,0.0,10247.0590484,24.0372452045,21.6994949909,24.04,24.04,24.04,24.04,24.04,24.04,5.18272402865,81009.3487586
37,24.0388258704,24.0413257982,24.0422031309,24.037212085,24.0398792594,1.1,0.0,10247.0590484,24.0392825541,21.7036092489,24.04,24.04,24.04,24.04,24.04,24.04,5.15216581532,74805.0665874
38,24.04067834,24.0399515738,24.0413930724,24.0401159602,24.0426405578,1.1,0.0,10247.0590484,24.0408102851,21.7094863595,24.04,24.04,24.04,24.04,24.04,24.04,5.16604339254,77965.0904683
39,24.0408685551,24.0383144285,24.0398486,24.038315518,24.0395990669,1.1,0.0,10247.0590484,24.0400902357,21.7129539873,24.04,24.04,24.04,24.04,24.04,24.04,5.1595501155,77023.8385499
40,24.0400690776,24.0382582546,24.0415511108,24.0378123963,24.0412622344,1.1,0.0,10247.0590484,24.0398804368,21.71386186,24.04,24.04,24.04,24.04,24.04,24.04,5.15984921917,77049.4306385
41,24.0391577708,24.0395009787,24.0394290287,24.0404385619,24.0391736609,1.1,0.0,10247.0590484,24.0393721911,21.7135528235,24.04,24.04,24.04,24.04,24.04,24.04,5.15790859705,76940.2857278
42,24.0408504116,24.0412293432,24.0383186098,24.0392210195,24.0375901447,1.1,0.0,10247.0590484,24.0401186674,21.7129831098,24.04,24.04,24.04,24.04,24.04,24.04,5.1549645487,77004.0375261
43,24.0409606094,24.0395787708,24.0405384197,24.0390427809,24.0390287291,1.1,0.0,10247.0590484,24.0403560404,21.7128069248,24.04,24.04,24.04,24.04,24.04,24.04,5.1550461382,76824.1611946
44,24.0397894914,24.0409879185,24.0384116323,24.0416063259,24.0427742874,1.1,0.0,10247.0590484,24.0403130179,21.7129170071,24.04,24.04,24.04,24.04,24.04,24.04,5.15316888736,76791.9854765
45,24.0407691181,24.0407881473,24.0403611143,24.0401964795,24.0398436001,1.1,0.0,10247.0590484,24.0405678888,21.7130349654,24.04,24.04,24.04,24.04,24.04,24.04,5.15035292324,76800.7743804
46,24.0402672925,24.0401864139,24.0423211125,24.0398756334,24.0406472452,1.1,0.0,10247.0590484,24.0404370345,21.713277078,24.04,24.04,24.04,24.04,24.04,24.04,5.1505290388,76655.2097193
47,24.0410989846,24.0404012739,24.0382956242,24.042364264,24.0413796565,1.1,0.0,10247.0590484,24.0409622198,21.7135753865,24.04,24.04,24.04,24.04,24.04,24.04,5.148700861,76718.8429994
48,24.1070163542,24.1056089502,24.1037021749,24.1053026723,24.1063530176,1.15,0.0,10247.0590484,24.1062984927,21.71472938,24.11,24.11,24.11,24.11,24.11,24.11,5.20903960484,83517.7073955
49,24.1108029092,24.1104886401,24.1075330553,24.1086755021,24.1074647726,1.2,0.0,10247.0590484,24.10986968,21.7186770454,24.11,24.11,24.11,24.11,24.11,24.11,5.15891610783,76559.6425735
50,24.1093379542,24.1098292554,24.109932914,24.1078297684,24.1118286317,1.25,0.0,10247.0590484,24.1095095931,21.7224283258,24.11,24.11,24.11,24.11,24.11,24.11,5.18807416988,80182.0644276
51,24.1099378477,24.1103196034,24.1118166755,24.1124715106,24.1096766054,1.3,0.0,10247.0590484,24.1104320514,21.7225888795,24.11,24.11,24.11,24.11,24.11,24.11,5.19010429791,79957.3536895
52,24.1099291328,24.1112922627,24.1099891682,24.1125406081,24.1127840807,1.35,0.0,10247.0590484,24.1106911447,21.7195043784,24.11,24.11,24.11,24.11,24.11,24.11,5.19383701259,80016.2538656
53,24.1093900929,24.1115963478,24.1106627874,24.1114292574,24.1110959159,1.4,0.0,10247.0590484,24.1101525086,21.7150160834,24.11,24.11,24.11,24.11,24.11,24.11,5.20258048236,80280.4035036
54,24.1088304179,24.1111763724,24.1124713839,24.111719999,24.1078960886,1.45,0.0,10247.0590484,24.1096518481,21.7101854625,24.11,24.11,24.11,24.11,24.11,24.11,5.21064477258,80559.5188784
55,24.1107455235,24.1104629849,24.1076682672,24.1079490703,24.1095462816,1.5,0.0,10247.0590484,24.1099657211,21.7053557605,24.11,24.11,24.11,24.11,24.11,24.11,5.21805359967,80906.754375
56,24.1110971724,24.1097628378,24.1079638136,24.1106315955,24.1095599072,1.55,0.0,10247.0590484,24.1104681926,21.7007887979,24.11,24.11,24.11,24.11,24.11,24.11,5.22823248542,81131.2081205
57,24.1102025745,24.1091094326,24.1107168275,24.1099429266,24.1085116764,1.6,0.0,10247.0590484,24.1099302012,21.6962305124,24.11,24.11,24.11,24.11,24.11,24.11,5.23339631869,81323.5437129
58,24.109140698,24.1085071923,24.1125720241,24.1086892168,24.1078323621,1.65,0.0,10247.0590484,24.1091865848,21.6916572089,24.11,24.11,24.11,24.11,24.11,24.11,5.24267982793,81612.4398321
59,24.1106732141,24.1079238146,24.1128497866,24.1089597317,24.107805041,1.7,0.0,10247.0590484,24.1100690313,21.6870343105,24.11,24.11,24.11,24.11,24.11,24.11,5.2507454829,82031.2681204
60,24.242479457,24.2412306346,24.2379335242,24.2385149345,24.238605513,1.7,0.0,10247.0590484,24.2409999985,21.6953169165,24.25,24.25,24.25,24.25,24.25,24.25,5.41196736771,95391.8933302
61,24.249036391,24.2494344518,24.2494052853,24.2504496384,24.2507959441,1.7,0.0,10247.0590484,24.2494718097,21.7151137345,24.25,24.25,24.25,24.25,24.25,24.25,5.23455064971,80155.8488885
62,24.2505345288,24.252304571,24.2483789298,24.2520954761,24.2512928229,1.7,0.0,10247.0590484,24.2508147609,21.7396195545,24.25,24.25,24.25,24.25,24.25,24.25,5.29315843815,86869.6994933
63,24.250322987,24.2488824834,24.2497685041,24.2487742901,24.2522133841,1.7,0.0,10247.0590484,24.2501197426,21.758805538,24.25,24.25,24.25,24.25,24.25,24.25,5.26614507452,84875.4076518
64,24.2505039363,24.2502663278,24.2523830759,24.2501485497,24.2520756876,1.7,0.0,10247.0590484,24.2507612361,21.7719858326,24.25,24.25,24.25,24.25,24.25,24.25,5.25806950371,84553.440262
65,24.2492559268,24.2520886857,24.2472889493,24.251062863,24.2487609457,1.7,0.0,10247.0590484,24.2495489047,21.7819540938,24.25,24.25,24.25,24.25,24.25,24.25,5.2423558923,83867.4351537
66,24.2499795375,24.2484547076,24.2514492731,24.2490889163,24.2491596536,1.7,0.0,10247.0590484,24.2497584772,21.7910706562,24.25,24.25,24.25,24.25,24.25,24.25,5.23050106728,83613.8052007
67,24.249816438,24.2521273173,24.2509851472,24.2504858717,24.2480066856,1.7,0.0,10247.0590484,24.2500478766,21.8006302031,24.25,24.25,24.25,24.25,24.25,24.25,5.22282298192,83145.5350208
68,24.2491670697,24.2497450218,24.2519738271,24.2504716729,24.2494051372,1.7,0.0,10247.0590484,24.2496616541,21.8102162907,24.25,24.25,24.25,24.25,24.25,24.25,5.20650542759,82639.4820145
69,24.2488005588,24.2501203851,24.251676133,24.2475691082,24.2477558202,1.7,0.0,10247.0590484,24.2489246609,21.8197966751,24.25,24.25,24.25,24.25,24.25,24.25,5.19843609099,82253.7124054
70,24.2488913582,24.2503381198,24.2485123946,24.2483655041,24.2481770897,1.7,0.0,10247.0590484,24.2488588263,21.8291723069,24.25,24.25,24.25,24.25,24.25,24.25,5.18737475019,81871.3731654
71,24.2492853604,24.2484788332,24.2494250029,24.2479526945,24.2524710277,1.7,0.0,10247.0590484,24.2493904892,21.8382983279,24.25,24.25,24.25,24.25,24.25,24.25,5.17483840733,81457.1531181
72,24.1554487034,24.1541866298,24.1574599555,24.1545893921,24.158344595,1.74166666667,0.0,11385.9571778,24.1557205324,21.8403225272,24.15,24.15,24.15,24.15,24.15,24.15,5.10696565155,71527.6422696
73,24.1502506075,24.1497823086,24.1504569284,24.1508503216,24.1490569185,1.78333333333,0.0,11385.9571778,24.1501716847,21.83101912,24.15,24.15,24.15,24.15,24.15,24.15,5.17693362149,81979.3805872
74,24.1497803648,24.1483925641,24.1526620092,24.1508758873,24.1506754015,1.825,0.0,11385.9571778,24.1501319351,21.8172963198,24.15,24.15,24.15,24.15,24.15,24.15,5.13766504223,77119.2253461
75,24.1506383437,24.1513286338,24.1501853852,24.1512210946,24.1528015367,1.86666666667,0.0,11385.9571778,24.1509608178,21.8070198041,24.15,24.15,24.15,24.15,24.15,24.15,5.14646660272,78333.7521904
76,24.1488002739,24.1494095186,24.1480236889,24.1478629302,24.1484442719,1.90833333333,0.0,11385.9571778,24.1486386742,21.8012423167,24.15,24.15,24.15,24.15,24.15,24.15,5.15029945983,78275.0342901
77,24.150332982,24.1508564753,24.1497106417,24.1499126216,24.1496787247,1.95,0.0,11385.9571778,24.1502081033,21.7977782885,24.15,24.15,24.15,24.15,24.15,24.15,5.15986420049,78944.0727262
78,24.1488239312,24.1518264787,24.147967588,24.149941689,24.1525955665,1.99166666667,0.0,11385.9571778,24.1495676265,21.7947980044,24.15,24.15,24.15,24.15,24.15,24.15,5.16136700363,78724.3455409
79,24.1501745902,24.1504434395,24.1475253995,24.148452228,24.1501109871,2.03333333333,0.0,11385.9571778,24.1497482672,21.7916549272,24.15,24.15,24.15,24.15,24.15,24.15,5.16751738389,79177.1691509
80,24.1506543869,24.150608015,24.1505451855,24.1497998061,24.1491694487,2.075,0.0,11385.9571778,24.1503807988,21.7885416449,24.15,24.15,24.15,24.15,24.15,24.15,5.17441298648,79304.9604634
81,24.1500858397,24.1501476649,24.1495558276,24.1485880099,24.1527000714,2.11666666667,0.0,11385.9571778,24.1501362318,21.7855246814,24.15,24.15,24.15,24.15,24.15,24.15,5.17773411211,79415.0888794
82,24.1492210099,24.1512812087,24.1494412006,24.1493460675,24.152318617,2.15833333333,0.0,11385.9571778,24.1497827704,21.7826932389,24.15,24.15,24.15,24.15,24.15,24.15,5.18443252001,79639.1222992
83,24.150752992,24.1482388765,24.1525864047,24.1477266365,24.1528892244,2.2,0.0,11385.9571778,24.1505216604,21.7798581968,24.15,24.15,24.15,24.15,24.15,24.15,5.1877530989,79904.1865549
84,23.9883327502,23.9870819812,23.9933225629,23.988388693,23.9959949398,2.2,0.0,11385.9571778,23.9894939178,21.773357455,23.98,23.98,23.98,23.98,23.98,23.98,5.06548246347,63131.1059971
85,23.9816677987,23.9785167514,23.9819952933,23.9782913983,23.9791641724,2.2,0.0,11385.9571778,23.9807185911,21.7559350818,23.98,23.98,23.98,23.98,23.98,23.98,5.1723370326,81032.5733283
86,23.9798791078,23.9807858305,23.9794237745,23.9796378359,23.9787567633,2.2,0.0,11385.9571778,23.9797782773,21.7366896089,23.98,23.98,23.98,23.98,23.98,23.98,5.10610351534,72059.693396
87,23.9810509396,23.9821798491,23.9803631882,23.9796706507,23.98207038,2.2,0.0,11385.9571778,23.9810480539,21.7252434698,23.98,23.98,23.98,23.98,23.98,23.98,5.11039609136,73796.9840405
88,23.9796885281,23.97859267,23.982583042,23.9821951833,23.9805509396,2.2,0.0,11385.9571778,23.9802212681,21.7220120466,23.98,23.98,23.98,23.98,23.98,23.98,5.10856434278,73486.7012295
89,23.9789903997,23.9784073515,23.9817392733,23.980382964,23.982551067,2.2,0.0,11385.9571778,23.9797185805,21.7226858326,23.98,23.98,23.98,23.98,23.98,23.98,5.10387320251,73462.2039167
90,23.9799760361,23.9805486916,23.9827360407,23.9803021168,23.9827033144,2.2,94.25,11367.2933131,23.980607908,21.7240737719,23.98,23.98,23.98,23.98,23.98,23.98,5.0977342428,72033.5155313
91,23.9800219452,23.9790300497,23.9817403138,23.980187634,23.9823281247,2.2,133.5,11338.792954,23.9803467344,21.7257256559,23.98,23.98,23.98,23.98,23.98,23.98,5.09167670527,70922.1073945
92,23.9794228947,23.980543118,23.9819365736,23.9792548544,23.979040604,2.2,172.75,11272.9648654,23.979700253,21.7281194711,23.98,23.98,23.98,23.98,23.98,23.98,5.08617904969,70042.6593826
93,23.9790962678,23.9795336764,23.9815170494,23.9801754156,23.9805662925,2.2,212.0,11244.4645063,23.9796327739,21.7317226113,23.98,23.98,23.98,23.98,23.98,23.98,5.08137149221,69103.1865474
94,23.9795623685,23.9792869344,23.9821307013,23.9802599051,23.9800264804,2.2,251.25,11244.4645063,23.979894586,21.7367250919,23.98,23.98,23.98,23.98,23.98,23.98,5.07515041933,68099.1277681
95,23.9809153782,23.9818631649,23.9822509682,23.9784438392,23.9827794641,2.2,290.5,11197.3003045,23.9810647588,21.7432771431,23.98,23.98,23.98,23.98,23.98,23.98,5.07022090196,67131.9142829
96,23.7711379298,23.7724659625,23.7795764948,23.7692187581,23.7801984953,2.2,329.75,11197.3003045,23.7728837541,21.7405086118,23.76,23.76,23.76,23.76,23.76,23.76,4.9553796763,46144.0248078
97,23.7608878567,23.760802637,23.7633395787,23.7604316917,23.762185816,2.2,369.0,11197.3003045,23.7611922252,21.7148248175,23.76,23.76,23.76,23.76,23.76,23.76,5.07990605021,69215.0947304
98,23.7604187085,23.7603775215,23.7607000064,23.7597472873,23.7614219464,2.2,408.25,11197.3003045,23.7604824101,21.6833111636,23.76,23.76,23.76,23.76,23.76,23.76,5.02714811543,57716.8829914
99,23.7595107555,23.7610395199,23.759360235,23.7598187813,23.7609153948,2.2,447.5,11197.3003045,23.7598274425,21.6623555798,23.76,23.76,23.76,23.76,23.76,23.76,5.04420547655,59466.1827997
100,23.760704498,23.7615157559,23.7609370723,23.7604623701,23.7629580807,2.2,486.75,11197.3003045,23.7610213244,21.653403012,23.76,23.76,23.76,23.76,23.76,23.76,5.05004805515,59321.8517425
101,23.7609528335,23.7603845748,23.761445367,23.7593969403,23.7606797599,2.2,526.0,11197.3003045,23.7607521633,21.6518854805,23.76,23.76,23.76,23.76,23.76,23.76,5.0550109993,58636.1794012
102,23.7600438155,23.7603202415,23.7592579015,23.7605669558,23.7625860158,2.2,533.25,11197.3003045,23.7603257541,21.6539275044,23.76,23.76,23.76,23.76,23.76,23.76,5.06042950938,58362.682293
103,23.7599683334,23.7601598339,23.7605403038,23.7610846105,23.7574332106,2.2,540.5,11150.1361027,23.7598854813,21.658027017,23.76,23.76,23.76,23.76,23.76,23.76,5.06428216873,58085.2859406
104,23.7600872978,23.7589599751,23.761615881,23.7585662205,23.7583834824,2.2,547.75,11150.1361027,23.759773997,21.6641578318,23.76,23.76,23.76,23.76,23.76,23.76,5.07023538803,57790.452429
105,23.760982269,23.7593140547,23.7596312987,23.7609331211,23.7621024117,2.2,555.0,11150.1361027,23.7608127406,21.6724473534,23.76,23.76,23.76,23.76,23.76,23.76,5.07676039837,57663.816089
106,23.7598711306,23.7593999219,23.7604617702,23.760555815,23.7610040403,2.2,562.25,11150.1361027,23.7600745233,21.6826077818,23.76,23.76,23.76,23.76,23.76,23.76,5.07918325806,57251.7011132
107,23.7612076938,23.7611587571,23.7586170128,23.7611734334,23.7625979027,2.2,569.5,11150.1361027,23.761111588,21.6941575916,23.76,23.76,23.76,23.76,23.76,23.76,5.08492421982,57337.7693958
108,23.8827032535,23.8830967661,23.8797456932,23.8821361611,23.8764623524,2.2,576.75,11150.1361027,23.8817499072,21.7123665553,23.89,23.89,23.89,23.89,23.89,23.89,5.1539668162,68463.8737464
109,23.8888217491,23.8895151349,23.8896738034,23.889690024,23.8916664093,2.2,584.0,11150.1361027,23.8893639903,21.744981882,23.89,23.89,23.89,23.89,23.89,23.89,5.08543389668,54792.9407833
110,23.8899278364,23.8898178633,23.8902227024,23.8917378935,23.890662413,2.2,591.25,11150.1361027,23.8902294444,21.7822559245,23.89,23.89,23.89,23.89,23.89,23.89,5.11715243501,60730.2078751
111,23.8895482291,23.8900766007,23.8902439587,23.8923358937,23.8890736323,2.2,598.5,11150.1361027,23.8899271233,21.8151675375,23.89,23.89,23.89,23.89,23.89,23.89,5.10862504728,58923.0828437
112,23.8895009678,23.8901171878,23.8913727505,23.8886774882,23.8917532941,2.2,605.75,11150.1361027,23.8898756323,21.8429756503,23.89,23.89,23.89,23.89,23.89,23.89,5.10723993986,58440.802062
113,23.8899785206,23.8902837674,23.8908093502,23.8921717752,23.8884489421,2.2,613.0,11102.9719009,23.8901690741,21.8684860499,23.89,23.89,23.89,23.89,23.89,23.89,5.10866134494,58059.7978183
114,23.8905692292,23.8906518033,23.8913953949,23.8908766126,23.8912776633,2.2,633.666666667,11102.9719009,23.8907619072,21.8936375327,23.89,23.89,23.89,23.89,23.89,23.89,5.10568409951,57463.9827043
115,23.8909974598,23.890669677,23.8901663671,23.8902115191,23.8877394269,2.2,654.333333333,11102.9719009,23.890456108,21.9193066979,23.89,23.89,23.89,23.89,23.89,23.89,5.10816090772,56891.9415706
116,23.8911762465,23.8908084869,23.8905797548,23.8898199628,23.8895887798,2.2,675.0,11102.9719009,23.8907650256,21.9452668611,23.89,23.89,23.89,23.89,23.89,23.89,5.10841804534,56436.0851987
117,23.8911940241,23.8907816666,23.8912740646,23.8916595558,23.8890032291,2.2,695.666666667,11102.9719009,23.8909821344,21.9713318736,23.89,23.89,23.89,23.89,23.89,23.89,5.10913015776,55913.0558892
118,23.8911711841,23.8900999452,23.8884008395,23.8892747756,23.8892864609,2.2,716.333333333,11102.9719009,23.8904033003,21.9973208535,23.89,23.89,23.89,23.89,23.89,23.89,5.10686020291,55321.9714058
119,23.8912399598,23.890684962,23.8908048614,23.8918062674,23.890209206,2.2,737.0,11102.9719009,23.8911022272,22.0233717945,23.89,23.89,23.89,23.89,23.89,23.89,5.10903541951,54912.6906008
120,23.4709773287,23.4784071377,23.4700332508,23.4660382078,23.4723507902,2.25,757.666666667,11102.9719009,23.4716595061,22.1223795402,23.46,23.46,23.46,23.46,23.46,23.46,6.87882297765,39277.9829362
121,23.4588990471,23.46006702,23.4597164001,23.460020984,23.4592066745,2.3,778.333333333,11102.9719009,23.4592691055,22.120458658,23.46,23.46,23.46,23.46,23.46,23.46,5.26551519165,61342.5748377
122,23.4596728693,23.4599906993,23.4591740668,23.4609780657,23.4606292787,2.35,799.0,11102.9719009,23.4598885442,22.0836485838,23.46,23.46,23.46,23.46,23.46,23.46,5.45949103393,39467.7310734
123,23.4598145443,23.4599807702,23.4596424903,23.460306651,23.4593774294,2.4,819.666666667,11102.9719009,23.4598294437,22.0701975827,23.46,23.46,23.46,23.46,23.46,23.46,5.52571865463,43905.3400047
124,23.4602718749,23.4599795742,23.4602455258,23.4619172891,23.4580665012,2.45,840.333333333,11102.9719009,23.4601346234,22.0891778897,23.46,23.46,23.46,23.46,23.46,23.46,5.59799836085,44000.3071553
125,23.4604576009,23.4599793379,23.4589842761,23.4593312812,23.4580053638,2.5,861.0,11131.472238,23.4599136849,22.126919435,23.46,23.46,23.46,23.46,23.46,23.46,5.68366746254,43805.776935
126,23.459896933,23.4599786447,23.4612857911,23.4607678288,23.4581681475,2.55,862.583333333,11131.472238,23.4599319444,22.1695204866,23.46,23.46,23.46,23.46,23.46,23.46,5.74256276923,43840.7655542
127,23.4602926488,23.4599778859,23.4596918983,23.4613408321,23.4578736598,2.6,864.166666667,11131.472238,23.460027692,22.2109409967,23.46,23.46,23.46,23.46,23.46,23.46,5.78989512097,43833.5474889
128,23.4593353549,23.4599771412,23.4610613784,23.4589058518,23.4598746388,2.65,865.75,11131.472238,23.459639181,22.2507427267,23.46,23.46,23.46,23.46,23.46,23.46,5.83796806168,43729.3957816
129,23.4606111598,23.4599762204,23.4617254419,23.4612685718,23.4587312367,2.7,867.333333333,11131.472238,23.4604223626,22.2898053186,23.46,23.46,23.46,23.46,23.46,23.46,5.88531962862,43917.4241567
130,23.4595499833,23.4599750531,23.4588532569,23.4590977628,23.4613226682,2.75,868.916666667,11131.472238,23.4597295686,22.3285806184,23.46,23.46,23.46,23.46,23.46,23.46,5.92742406758,43636.0005739
131,23.4601115546,23.4599739488,23.459781192,23.4605005028,23.4581386389,2.8,870.5,11131.472238,23.4598998539,22.3668197841,23.46,23.46,23.46,23.46,23.46,23.46,5.97233655255,44015.798666
