,Unnamed: 0,z0,z1,z2,z3,z4,tout,s,i,t1,t2,sp0,sp1,sp2,sp3,sp4,sp,m,rh
7000,7000,23.4002582217,23.4009094832,23.3979057712,23.4006233731,23.400714838,-1.99166666667,42.1666666667,25409.5684842,23.4001795125,21.3511058559,23.4,23.4,23.4,23.4,23.4,23.4,4.90549364321,40845.1781362
7001,7001,23.3999107528,23.4010108676,23.4003491191,23.4006298205,23.4007032792,-1.95,46.0,25409.5684842,23.4002043491,21.3333833511,23.4,23.4,23.4,23.4,23.4,23.4,4.90549364321,40905.338285
7002,7002,23.4008900866,23.3989814716,23.3992475153,23.4001395976,23.3999225447,-1.90833333333,59.1666666667,25306.1184146,23.4003805279,21.3220873637,23.4,23.4,23.4,23.4,23.4,23.4,4.90549364321,40862.661799
7003,7003,23.3997043563,23.3996775807,23.4007444353,23.3994396145,23.3991173195,-1.86666666667,72.3333333333,25148.1466243,23.3997147199,21.3113197224,23.4,23.4,23.4,23.4,23.4,23.4,4.90549364321,40660.8421737
7004,7004,23.4005466,23.3998762612,23.4007602013,23.3989526017,23.3987152237,-1.825,85.5,25044.6965546,23.4001756297,21.3014851299,23.4,23.4,23.4,23.4,23.4,23.4,4.90549364321,40712.490313
7005,7005,23.400075802,23.3997030499,23.400517688,23.3985447519,23.3988686548,-1.78333333333,98.6666666667,24783.2746947,23.3998298271,21.2942309816,23.4,23.4,23.4,23.4,23.4,23.4,4.90549364321,40349.1205159
7006,7006,23.400027879,23.3984959098,23.4010039644,23.4001929431,23.4001334666,-1.74166666667,111.833333333,24363.8811667,23.3999916157,21.2900301702,23.4,23.4,23.4,23.4,23.4,23.4,4.90549364321,40404.4740775
7007,7007,23.3999544568,23.3986749357,23.3984804496,23.4001729473,23.4011577513,-1.7,125.0,24363.8811667,23.399837516,21.2885764232,23.4,23.4,23.4,23.4,23.4,23.4,4.90549364321,40275.2872373
7008,7008,23.5053124401,23.5025543616,23.4997580932,23.5044474363,23.5009109385,-1.60833333333,138.166666667,72525.2185516,23.5039608406,21.2919008461,23.51,23.51,23.51,23.51,23.51,23.51,4.90549364321,31068.4456066
7009,7009,23.5097182222,23.5096264796,23.5075877252,23.5104469895,23.5082829415,-1.51666666667,151.333333333,72525.2185516,23.5094221819,21.3244456106,23.51,23.51,23.51,23.51,23.51,23.51,5.1873182674,20173.7995301
7010,7010,23.5095599866,23.5104889907,23.5085359038,23.5102175128,23.5108815059,-1.425,164.5,72525.2185516,23.5097522607,21.3504815912,23.51,23.51,23.51,23.51,23.51,23.51,4.90549364321,23145.6031273
7011,7011,23.5095552241,23.5094264718,23.5094301391,23.5098254104,23.5107726315,-1.33333333333,177.666666667,72525.2185516,23.5096857846,21.3676327133,23.51,23.51,23.51,23.51,23.51,23.51,4.90549364321,21284.3385031
7012,7012,23.5103554009,23.510191186,23.5112081248,23.510322934,23.5104878423,-1.24166666667,190.833333333,72051.3035475,23.5104316602,21.3832046844,23.51,23.51,23.51,23.51,23.51,23.51,4.90549364321,20566.0868169
7013,7013,23.5100791565,23.5091606642,23.5091627228,23.5106185994,23.509130196,-1.15,204.0,71740.9533386,23.5098375437,21.4018641687,23.51,23.51,23.51,23.51,23.51,23.51,4.90549364321,19846.8381633
7014,7014,23.5098800622,23.5111822761,23.5100725219,23.5111429098,23.5085433096,-1.05833333333,219.166666667,71740.9533386,23.5099767235,21.4244689088,23.51,23.51,23.51,23.51,23.51,23.51,4.91485213999,19404.5458389
7015,7015,23.5098608389,23.5093317683,23.5102489637,23.5100522207,23.510475415,-0.966666666667,234.333333333,71740.9533386,23.5099269069,21.4505600571,23.51,23.51,23.51,23.51,23.51,23.51,4.93423547929,18863.2041217
7016,7016,23.5098511088,23.5104432027,23.5095047786,23.5104478611,23.5100212421,-0.875,249.5,71740.9533386,23.5099410351,21.4791543357,23.51,23.51,23.51,23.51,23.51,23.51,4.95204925678,18413.9241716
7017,7017,23.5098425538,23.5093233573,23.5111113896,23.5113649058,23.5102721014,-0.783333333333,264.666666667,71740.9533386,23.5100715544,21.5095479975,23.51,23.51,23.51,23.51,23.51,23.51,4.96841601049,17716.0129646
7018,7018,23.5098346367,23.5101639814,23.5091523124,23.5115826134,23.5082436404,-0.691666666667,279.833333333,71740.9533386,23.5097621348,21.5413866174,23.51,23.51,23.51,23.51,23.51,23.51,4.98276862439,17203.7168449
7019,7019,23.5098271501,23.5090759165,23.5101151401,23.5105946297,23.5123654984,-0.6,295.0,71740.9533386,23.5101133163,21.5745270745,23.51,23.51,23.51,23.51,23.51,23.51,4.99726702366,16724.1693138
7020,7020,23.6433992438,23.6428422415,23.6407485729,23.6433084028,23.6368230048,-0.55,310.166666667,71740.9533386,23.6423599487,21.6019582125,23.65,23.65,23.65,23.65,23.65,23.65,4.90549364321,28104.2725492
7021,7021,23.6494707174,23.6498257593,23.6483900262,23.6499173265,23.649902643,-0.5,325.333333333,71740.9533386,23.6494850623,21.6551194126,23.65,23.65,23.65,23.65,23.65,23.65,5.22965886521,15600.502809
7022,7022,23.6495412618,23.6503095917,23.6511015715,23.6501245275,23.6488467834,-0.45,340.5,71430.6031297,23.6497329676,21.698756479,23.65,23.65,23.65,23.65,23.65,23.65,4.90549364321,19632.7664692
7023,7023,23.6505453561,23.6509626944,23.6515548117,23.6499954809,23.6515071318,-0.4,355.666666667,70956.6881257,23.6507464208,21.730339621,23.65,23.65,23.65,23.65,23.65,23.65,4.90549364321,17710.3789605
