,p0,m0
5389,16745.19804,17.06754981
5390,19348.235,18.10917863
5391,22375.18073,19.20429711
5392,18014.038230000002,17.59901574
5393,16808.73967,17.08890922
5394,17992.21659,17.58946186
5395,18700.8543,17.85254222
5396,21246.425769999998,18.792282699999998
5397,18630.59168,17.84125636
5398,21624.25389,18.93210517
5399,25871.03975,20.30042876
5400,20998.34361,18.70751064
5401,19724.28315,18.24427387
5402,19393.38823,18.1391258
5403,20607.963030000003,18.58672935
5404,19463.46,18.15835584
5405,21767.8984,18.99630641
5406,23332.44499,19.52462662
5407,28800.93737,21.14382226
5408,18802.31841,17.87183889
5409,22724.81177,19.29166089
5410,24674.74928,19.95730181
5411,22535.222319999997,19.26137652
5412,24999.51595,19.96947486
5413,19069.8587,18.01474621
5414,26695.61335,20.54258274
5415,19802.29089,18.28292886
5416,33591.044239999996,22.43923703
5417,16327.144890000001,16.83102091
5418,25180.1461,20.11284751
5419,23775.64299,19.66095501
5420,17220.81697,17.26783401
5421,23535.51068,19.57913842
5422,27890.229030000002,20.91922532
5423,24321.17125,19.84582661
5424,19077.30292,17.92885026
5425,24780.955019999998,19.97793256
5426,20375.11693,18.47138228
5427,21602.57029,18.90240105
5428,22077.87948,19.05773219
5429,34262.31625,22.58957245
5430,27679.54512,20.845308
5431,22385.76777,19.20545833
5432,22359.57435,19.19639934
5433,22050.23786,19.09214581
5434,24508.44741,19.90160325
5435,25328.04449,20.144123699999998
5436,20946.57141,18.70291497
5437,22572.34162,19.27390062
5438,19367.1205,18.121401199999998
5439,19325.02092,18.11298283
5440,27001.728010000003,20.56350426
5441,18605.75092,17.82840851
5442,25972.9972,20.35804948
5443,19816.05108,18.288376100000004
5444,21051.0126,18.74351813
5445,17733.90764,17.48616786
5446,22739.28432,19.26273201
5447,19555.63572,18.197368700000002
5448,24970.345,20.03626186
5449,22424.6887,19.22114715
5450,16235.78516,16.81063527
5451,20463.405069999997,18.52302504
5452,16990.42048,17.13441704
5453,13031.60515,15.32069778
5454,16275.45273,16.81669668
