,Unnamed: 0,p0,m0
2594,2594,15734.86423,16.58861619
2595,2595,16420.47583,16.91054681
2596,2596,15633.32407,16.53335351
2597,2597,15886.94436,16.70086501
2598,2598,15516.39854,16.48463741
2599,2599,13793.98084,15.70870094
2600,2600,14149.29562,15.84722709
2601,2601,17127.76201,17.080247500000002
2602,2602,11878.84606,14.69197336
2603,2603,14056.60746,15.84626248
2604,2604,12340.2497,14.94594017
2605,2605,14350.22431,15.98924509
2606,2606,12398.99788,14.97207217
2607,2607,13578.28796,15.56061349
2608,2608,12458.87986,15.01447335
2609,2609,14635.78467,16.01823983
2610,2610,11807.22232,14.65350809
2611,2611,12929.95051,15.27192928
2612,2612,13001.98023,15.28376448
2613,2613,14268.17776,15.91468684
2614,2614,14500.2984,16.04591318
2615,2615,12108.1507,14.82412607
2616,2616,12280.43582,14.9141209
2617,2617,15105.77263,16.28910225
2618,2618,14544.51419,16.01970402
2619,2619,13583.514980000002,15.58304303
2620,2620,13525.183,15.50835993
2621,2621,15740.09319,16.4897535
2622,2622,13444.66295,15.5349029
2623,2623,14956.98684,16.27682923
2624,2624,14363.51179,15.94189783
2625,2625,11763.45139,14.62817595
2626,2626,13061.86487,15.34145242
2627,2627,14675.21352,16.04247649
2628,2628,12616.00944,15.10312108
2629,2629,14909.81702,16.25330213
2630,2630,14136.26891,15.88497518
2631,2631,17255.77397,17.13075954
2632,2632,14261.58651,15.94673634
2633,2633,12781.73726,15.18138577
2634,2634,15199.75102,16.38577909
2635,2635,15484.13056,16.51689673
2636,2636,14301.906819999998,15.93371689
2637,2637,12406.64599,14.98609029
2638,2638,16066.27831,16.76551418
2639,2639,13616.14233,15.62648157
2640,2640,13961.87049,15.78104344
2641,2641,12000.12829,14.75980006
2642,2642,16164.28897,16.77553708
2643,2643,14480.41133,16.04041276
2644,2644,13514.9947,15.57528774
2645,2645,12311.10116,14.93707822
2646,2646,13127.8499,15.3758402
2647,2647,19509.98756,18.06482355
2648,2648,14168.5533,15.89692343
2649,2649,13596.42946,15.60763491
2650,2650,14118.56576,15.84654719
2651,2651,14038.3219,15.81325633
2652,2652,16770.25422,17.07418109
2653,2653,19309.64494,18.10758791
2654,2654,15809.38479,16.65317867
2655,2655,15669.7883,16.57899496
2656,2656,18645.00351,17.79908296
2657,2657,19643.43878,18.23227957
2658,2658,18871.30904,17.93124235
2659,2659,16201.49383,16.82415843
2660,2660,15570.31612,16.55480853
2661,2661,15383.99616,16.458975
2662,2662,17815.779280000002,17.49186785
