,z0,z1,z2,z3,z4,z5,tout,s,i,t1,t2,sp0,sp1,sp2,sp3,sp4,sp5,sp,m,rh
38,20.3898288058,20.3896328095,22.7225077695,20.3899571222,20.3898921859,20.3897909672,1.1,0.0,1247.21197579,20.3898787538,20.1413760298,20.39,20.39,20.39,20.39,20.39,20.39,20.39,1.69507710714,22776.7570718
39,20.3898329605,20.3896306035,22.7022024234,20.389955417,20.3898986227,20.3897930617,1.1,0.0,1247.21197579,20.389878266,20.138492708,20.39,20.39,20.39,20.39,20.39,20.39,20.39,1.6671588141,22182.145486
40,20.3898343177,20.3896294957,22.6822696027,20.3899551723,20.3898994482,20.3897919329,1.1,0.0,1247.21197579,20.3898780799,20.1358458313,20.39,20.39,20.39,20.39,20.39,20.39,20.39,1.66667047046,22171.0543711
41,20.3898361031,20.3896295384,22.662550977,20.3899552483,20.3899004309,20.3897913933,1.1,0.0,1247.21197579,20.3898783578,20.1333113957,20.39,20.39,20.39,20.39,20.39,20.39,20.39,1.66731767636,22183.8838857
42,20.3898379917,20.3896299468,22.6430515568,20.3899553663,20.3899014816,20.3897910767,1.1,0.0,1247.21197579,20.389878747,20.1308703213,20.39,20.39,20.39,20.39,20.39,20.39,20.39,1.6681309767,22200.2035375
43,20.3898399015,20.3896305146,22.6237928861,20.3899554952,20.3899025553,20.3897908751,1.1,0.0,1247.21197579,20.3898791791,20.1285247631,20.39,20.39,20.39,20.39,20.39,20.39,20.39,1.66900698305,22217.8454405
44,20.3898418155,20.3896311984,22.6047733189,20.3899556311,20.3899036405,20.3897907612,1.1,0.0,1247.21197579,20.3898796407,20.1262623818,20.39,20.39,20.39,20.39,20.39,20.39,20.39,1.66992929299,22236.4679577
45,20.3898437243,20.3896319725,22.5859768335,20.3899557719,20.3899047302,20.3897907178,1.1,0.0,1247.21197579,20.389880124,20.1240727721,20.39,20.39,20.39,20.39,20.39,20.39,20.39,1.67088631542,22255.8294381
46,20.3898456211,20.3896328175,22.5673867458,20.3899559161,20.3899058191,20.389790732,1.1,0.0,1247.21197579,20.389880623,20.1219488821,20.39,20.39,20.39,20.39,20.39,20.39,20.39,1.67186916178,22275.7445505
47,20.3898475006,20.3896337177,22.5489909664,20.3899560625,20.3899069033,20.3897907933,1.1,0.0,1247.21197579,20.3898811332,20.1198778224,20.39,20.39,20.39,20.39,20.39,20.39,20.39,1.67287078455,22296.0663079
48,20.4466360605,20.4462976374,22.5308268403,20.4476252203,20.446426093,20.4464940444,1.15,0.0,1247.21197579,20.4471249614,20.1160360862,20.45,20.45,20.45,20.45,20.45,20.45,20.45,1.86237228911,26424.4848511
49,20.4496807779,20.4494466818,22.5129450595,20.4498683507,20.4497319596,20.4496107877,1.2,0.0,1247.21197579,20.4497520177,20.1099728589,20.45,20.45,20.45,20.45,20.45,20.45,20.45,1.64997184155,21778.3594543
50,20.4498733916,20.4496898436,22.4953435732,20.4497828624,20.4494823188,20.4498221418,1.25,0.0,1247.21197579,20.449755552,20.1024971866,20.45,20.45,20.45,20.45,20.45,20.45,20.45,1.75197544304,23952.0676978
51,20.4498786676,20.4496909841,22.477992287,20.4497554179,20.4499047617,20.4498254333,1.3,0.0,1247.21197579,20.4497839677,20.0943077528,20.45,20.45,20.45,20.45,20.45,20.45,20.45,1.73105940778,23498.2194179
52,20.4498800177,20.4496910436,22.4608629631,20.4497513327,20.4499264162,20.449825181,1.35,0.0,1247.21197579,20.4497840568,20.0858080233,20.45,20.45,20.45,20.45,20.45,20.45,20.45,1.72921720794,23457.2587866
53,20.4498814858,20.4496917369,22.4439389903,20.4497493589,20.4499285158,20.44982502,1.4,0.0,1247.21197579,20.4497834524,20.0771349684,20.45,20.45,20.45,20.45,20.45,20.45,20.45,1.72868860527,23444.3514099
54,20.449883001,20.4496925427,22.4272122309,20.4497473131,20.4499294258,20.4498253327,1.45,0.0,1247.21197579,20.4497827625,20.0683068406,20.45,20.45,20.45,20.45,20.45,20.45,20.45,1.72810074184,23430.2322816
55,20.4498845258,20.4496934469,22.4106777401,20.4497457316,20.4494917523,20.4498256261,1.5,0.0,1247.21197579,20.4497375754,20.0593186917,20.45,20.45,20.45,20.45,20.45,20.45,20.45,1.72773555908,23421.0928683
56,20.4498860496,20.4496947155,22.3943308905,20.4497440767,20.4494761919,20.4498257482,1.55,0.0,1247.21197579,20.4497353605,20.0501789865,20.45,20.45,20.45,20.45,20.45,20.45,20.45,1.72754537453,23415.4571416
57,20.4498875659,20.4496958189,22.3781667525,20.4497421833,20.4494794734,20.4498262501,1.6,0.0,1247.21197579,20.4497349899,20.0409080308,20.45,20.45,20.45,20.45,20.45,20.45,20.45,1.72709567344,23404.4066257
58,20.4498890698,20.4496969211,22.3621803578,20.4497407317,20.4494847811,20.4498266924,1.65,0.0,1247.21197579,20.4497350585,20.0315207979,20.45,20.45,20.45,20.45,20.45,20.45,20.45,1.72698434383,23400.6596977
59,20.4498905575,20.4496983347,22.3463669775,20.4497391774,20.4494899848,20.44982693,1.7,0.0,1247.21197579,20.4497350745,20.0220319678,20.45,20.45,20.45,20.45,20.45,20.45,20.45,1.72679488843,23395.1969347
60,20.3928227486,20.3927347817,22.3312605675,20.3918493405,20.3927851143,20.3928428183,1.7,0.0,1247.21197579,20.3922943873,20.0156316196,20.39,20.39,20.39,20.39,20.39,20.39,20.39,1.52509680643,19209.345789
61,20.3900508473,20.3898706956,22.3169856447,20.3898388072,20.3896718477,20.3899923586,1.7,0.0,1247.21197579,20.3898658346,20.0130952626,20.39,20.39,20.39,20.39,20.39,20.39,20.39,1.7461475248,23847.523048
62,20.3898710313,20.3896356841,22.3033137306,20.3899389053,20.3899021825,20.3897875839,1.7,0.0,1247.21197579,20.3898724313,20.0131340282,20.39,20.39,20.39,20.39,20.39,20.39,20.39,1.64088115932,21607.0181232
63,20.3898692154,20.3896375885,22.2899802801,20.3899489003,20.3899181622,20.3897859738,1.7,0.0,1247.21197579,20.3898798174,20.0145060204,20.39,20.39,20.39,20.39,20.39,20.39,20.39,1.6612770577,22034.9114928
64,20.3898695293,20.3896365585,22.2768471746,20.3899492575,20.3899193528,20.3897848061,1.7,0.0,1247.21197579,20.3898799311,20.0164814255,20.39,20.39,20.39,20.39,20.39,20.39,20.39,1.66117086492,22032.4155106
65,20.38986958,20.3896345775,22.2638793596,20.3899489254,20.3899193077,20.3897830947,1.7,0.0,1247.21197579,20.3898793042,20.0188134263,20.39,20.39,20.39,20.39,20.39,20.39,20.39,1.65983617777,22004.1023937
66,20.3898695127,20.3896322566,22.2510807726,20.3899485468,20.3899191639,20.3897811706,1.7,0.0,1247.21197579,20.3898785647,20.0214708496,20.39,20.39,20.39,20.39,20.39,20.39,20.39,1.65838013756,21973.2885915
67,20.3898693692,20.3896297378,22.2384567091,20.3899481405,20.3899189697,20.389779112,1.7,0.0,1247.21197579,20.3898777568,20.0244546475,20.39,20.39,20.39,20.39,20.39,20.39,20.39,1.65681520715,21940.2255677
68,20.3898691582,20.3896270439,22.2260050594,20.3899477082,20.3899187305,20.389776933,1.7,0.0,1247.21197579,20.3898768873,20.0277519582,20.39,20.39,20.39,20.39,20.39,20.39,20.39,1.65515040379,21905.1036329
69,20.3898688844,20.3896241871,22.2137197038,20.3899472512,20.3899184493,20.3897746414,1.7,0.0,1247.21197579,20.3898759601,20.0313332221,20.39,20.39,20.39,20.39,20.39,20.39,20.39,1.65339373762,21868.092619
70,20.3898685513,20.3896211757,22.2015944993,20.3899467705,20.3899181284,20.3897722422,1.7,0.0,1247.21197579,20.389874978,20.0351731703,20.39,20.39,20.39,20.39,20.39,20.39,20.39,1.6515515138,21829.3266706
71,20.3898681617,20.389618016,22.1896246951,20.3899462668,20.3899177694,20.3897697391,1.7,0.0,1247.21197579,20.3898739429,20.0392489471,20.39,20.39,20.39,20.39,20.39,20.39,20.39,1.64962875175,21788.9130004
72,20.4934347943,20.493404789,22.2054745997,20.4957389144,20.4937916848,20.4936786246,1.74166666667,0.0,1954.67662025,20.4948118626,20.0460398998,20.5,20.5,20.5,20.5,20.5,20.5,20.5,1.91074734777,27496.5754244
73,20.4994848,20.499142658,22.2332652276,20.4997280431,20.499578014,20.4993549928,1.78333333333,0.0,1954.67662025,20.4995621893,20.0516779343,20.5,20.5,20.5,20.5,20.5,20.5,20.5,1.48295994232,18349.7397256
74,20.4998539937,20.4996002467,22.2543056581,20.4999450472,20.4999043511,20.4997520443,1.825,0.0,1954.67662025,20.4998666883,20.0542502128,20.5,20.5,20.5,20.5,20.5,20.5,20.5,1.66787918264,22115.0512796
75,20.4998572574,20.4995834731,22.264570879,20.4999350676,20.4999097645,20.499744562,1.86666666667,0.0,1954.67662025,20.4998580262,20.0540967545,20.5,20.5,20.5,20.5,20.5,20.5,20.5,1.61524253224,21014.9096783
76,20.4998534898,20.4995706511,22.267818193,20.4999292196,20.499907235,20.4997353473,1.90833333333,0.0,1954.67662025,20.4998511882,20.0524112383,20.5,20.5,20.5,20.5,20.5,20.5,20.5,1.60169531229,20734.8660136
77,20.4998506128,20.499560473,22.2683542722,20.4999241586,20.499905161,20.4997283023,1.95,0.0,1954.67662025,20.4998455465,20.0500429511,20.5,20.5,20.5,20.5,20.5,20.5,20.5,1.59089906218,20512.5150749
78,20.4998481919,20.4995520265,22.2683528825,20.4999191491,20.4999033838,20.4997219462,1.99166666667,0.0,1954.67662025,20.4998403103,20.0473294781,20.5,20.5,20.5,20.5,20.5,20.5,20.5,1.58097952507,20308.9445941
79,20.4998461304,20.499544322,22.2682971362,20.4999140653,20.4999018513,20.4997161682,2.03333333333,0.0,1954.67662025,20.499835265,20.0443334618,20.5,20.5,20.5,20.5,20.5,20.5,20.5,1.57161082032,20117.3666153
80,20.4998443957,20.4995374239,22.2680556199,20.4999092407,20.4999005441,20.4997109587,2.075,0.0,1954.67662025,20.4998306152,20.041048415,20.5,20.5,20.5,20.5,20.5,20.5,20.5,1.56325196577,19947.0390983
81,20.4998429241,20.499531172,22.2674833503,20.4999043792,20.4998994174,20.4997061892,2.11666666667,0.0,1954.67662025,20.4998261335,20.0374796299,20.5,20.5,20.5,20.5,20.5,20.5,20.5,1.55531986004,19785.935258
82,20.4998416824,20.4995254926,22.2665613793,20.4998994102,20.4998984492,20.4997018082,2.15833333333,0.0,1954.67662025,20.499821759,20.0336434861,20.5,20.5,20.5,20.5,20.5,20.5,20.5,1.54769502315,19631.578822
83,20.4998406477,20.4995203382,22.2653417608,20.4998946848,20.4998976245,20.499697785,2.2,0.0,1954.67662025,20.4998176889,20.0295723211,20.5,20.5,20.5,20.5,20.5,20.5,20.5,1.54080611951,19492.5595469
84,20.9874248574,20.9813450744,22.3084009171,21.0216915971,20.9825935163,20.9822089235,2.2,0.0,2284.09632561,21.0090877436,20.03440542,21.0,21.0,21.0,21.0,21.0,21.0,21.0,3.68032255665,24238.9837931
85,20.9996405686,20.9998368539,22.3620313377,21.0016318151,20.9997365461,20.9998844748,2.2,0.0,2284.09632561,21.0003559059,20.0423038522,21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.935479974674,9392.25071585
86,20.9997180414,20.9998796097,22.4015145465,21.0000249653,20.9998074687,20.9999305139,2.2,0.0,2284.09632561,20.9999456802,20.0499027338,21.0,21.0,21.0,21.0,21.0,21.0,21.0,2.07111209614,30720.9195953
87,20.9995534581,20.9998057842,22.4231986466,20.9998207207,20.9996906286,20.999881793,2.2,0.0,2284.09632561,20.999782986,20.0566161717,21.0,21.0,21.0,21.0,21.0,21.0,21.0,1.81409811119,24920.3683178
88,20.999518153,20.9997853227,22.4340274751,20.999796101,20.9996621093,20.9998677677,2.2,0.0,2284.09632561,20.9997584023,20.0628988551,21.0,21.0,21.0,21.0,21.0,21.0,21.0,1.79269375105,24459.8600265
89,20.999496815,20.9997726294,22.4407611591,20.9997719401,20.9996450675,20.9998587543,2.2,0.0,2284.09632561,20.9997382234,20.0691744778,21.0,21.0,21.0,21.0,21.0,21.0,21.0,1.77074029441,23987.8480783
90,20.9998872713,20.9997426791,22.4729338683,20.9999576091,20.999870366,20.9997064964,2.2,94.25,2284.09632561,20.9998869007,20.0799799997,21.0,21.0,21.0,21.0,21.0,21.0,21.0,1.69387178247,22387.5186944
91,20.9998869448,20.9997209413,22.5259566139,20.9999578995,20.9997798651,20.9995366315,2.2,133.5,2284.09632561,20.9998587397,20.0945424442,21.0,21.0,21.0,21.0,21.0,21.0,21.0,1.64095448978,21315.7455906
92,20.9998640181,20.9996990809,22.587814822,20.9999514275,20.9999151702,20.9998827915,2.2,172.75,2284.09632561,20.9998986934,20.1111801523,21.0,21.0,21.0,21.0,21.0,21.0,21.0,1.59209494134,20350.2520148
93,20.999832595,20.9996789629,22.6546194943,20.999944415,20.9998372317,20.9998324674,2.2,212.0,2284.09632561,20.9998771616,20.1293717037,21.0,21.0,21.0,21.0,21.0,21.0,21.0,1.54109989587,19376.5731592
94,20.9997925237,20.9996587351,22.7271148683,20.9999368766,20.9999025864,20.9997206075,2.2,251.25,2284.09632561,20.9998599857,20.1496401411,21.0,21.0,21.0,21.0,21.0,21.0,21.0,1.49024242658,18440.2214978
95,20.9997412336,20.9996377304,22.806744288,20.9999287153,20.9999328966,20.9998925729,2.2,290.5,2284.09632561,20.9998640553,20.1724857582,21.0,21.0,21.0,21.0,21.0,21.0,21.0,1.44106132994,17564.53613
96,20.657684105,20.5976500167,22.9137505813,20.8564293433,20.9063164353,20.7642841783,2.2,329.75,3068.32948297,20.5976500167,20.1811179002,20.5,20.5,20.5,20.5,20.5,20.5,20.5,0.0779524367395,433.335617677
97,20.5006413458,20.5001391091,23.0774080261,20.6828684738,20.8464858592,20.5033592525,2.2,369.0,3068.32948297,20.5004825464,20.1960223039,20.5,20.5,20.5,20.5,20.5,20.5,20.5,0.305174810624,3177.53602886
98,20.499865202,20.4996511607,23.250932323,20.5527680272,20.8780079605,20.4999820314,2.2,408.25,3068.32948297,20.4997956749,20.21507649,20.5,20.5,20.5,20.5,20.5,20.5,20.5,0.330087936602,3101.87026498
99,20.4998521044,20.4999086454,23.4037709428,20.5012914384,20.9912725705,20.5015171307,2.2,447.5,3068.32948297,20.5005513671,20.2329423638,20.5,20.5,20.5,20.5,20.5,20.5,20.5,0.441072539783,3273.79305079
100,20.4998663239,20.4996539189,23.5379276073,20.500015585,21.1568966669,20.5023877201,2.2,486.75,3068.32948297,20.4998727414,20.2482598165,20.5,20.5,20.5,20.5,20.5,20.5,20.5,0.470859127704,3575.43828217
101,20.4999315623,20.4996381219,23.6655568189,20.4999841841,21.3515589223,20.5411439992,2.2,526.0,3068.32948297,20.4998392999,20.2621756179,20.5,20.5,20.5,20.5,20.5,20.5,20.5,0.387218120602,2854.83495659
102,20.4999151236,20.4996284538,23.789082519,20.4999856963,21.5441017141,20.6136280864,2.2,533.25,3068.32948297,20.499842786,20.2751658021,20.5,20.5,20.5,20.5,20.5,20.5,20.5,0.410817969572,3009.24553945
103,20.4998927704,20.4996181447,23.9086527247,20.4999821446,21.7237895779,20.7042011202,2.2,540.5,3068.32948297,20.4998291082,20.2875544866,20.5,20.5,20.5,20.5,20.5,20.5,20.5,0.39584226986,2870.83577151
104,20.4999421083,20.4996151304,24.0269064568,20.4999874005,21.8982774046,20.8058304588,2.2,547.75,3068.32948297,20.4998358862,20.2995962872,20.5,20.5,20.5,20.5,20.5,20.5,20.5,0.384920518578,2773.77040596
105,20.4999277756,20.4999074361,24.1441617955,20.4999835865,22.0698659539,20.9119990604,2.2,555.0,3068.32948297,20.4999430308,20.3113532579,20.5,20.5,20.5,20.5,20.5,20.5,20.5,0.368927124411,2638.86196753
106,20.4999026622,20.4999178709,24.2602397108,20.499985574,22.2369480098,21.0179417456,2.2,562.25,3068.32948297,20.4999424372,20.3227747837,20.5,20.5,20.5,20.5,20.5,20.5,20.5,0.34972791711,2482.05435614
107,20.4999341212,20.4999155101,24.3754134361,20.4999908753,22.3975169861,21.1213264297,2.2,569.5,3068.32948297,20.4999475578,20.3339078423,20.5,20.5,20.5,20.5,20.5,20.5,20.5,0.328498578483,2320.30738884
108,20.49026215,20.490196908,24.4112153121,20.4902204703,22.4982435996,21.1674837829,2.2,576.75,2277.71850319,20.4902192592,20.3415684517,20.49,20.49,20.49,20.49,20.49,20.49,20.49,0.659138552398,5858.03695095
109,20.4899492689,20.4897581253,24.4243696854,20.48997236,22.5786845817,21.195303831,2.2,584.0,2277.71850319,20.4899220164,20.3491227296,20.49,20.49,20.49,20.49,20.49,20.49,20.49,0.706114881939,6553.79244039
110,20.4899507636,20.4897159463,24.4636664014,20.489955134,22.6706013448,21.2360191412,2.2,591.25,2277.71850319,20.4898990897,20.3589078246,20.49,20.49,20.49,20.49,20.49,20.49,20.49,0.672182976107,6083.26696119
111,20.4899600118,20.4897069856,24.4893591742,20.4899548387,22.7793350804,21.2933935478,2.2,598.5,2277.71850319,22.0025526756,20.3708247226,20.49,20.49,20.49,20.49,20.49,20.49,20.49,1.0694819641,6010.27562739
112,20.4899582772,20.489695919,24.4900453708,20.4899527296,22.8976972921,21.3586221549,2.2,605.75,2277.71850319,22.3704249911,20.3838497848,20.49,20.49,20.49,20.49,20.49,20.49,20.49,1.22921608273,5857.46539049
113,20.4899656121,20.4896836671,24.4900264643,20.4899502027,23.0179636089,21.4232069454,2.2,613.0,2277.71850319,22.5403426268,20.3971627452,20.49,20.49,20.49,20.49,20.49,20.49,20.49,1.30420522305,5695.06988203
114,20.4899790974,20.4896759558,24.4900396346,20.4899487043,23.1401002582,21.4834664629,2.2,633.666666667,2277.71850319,22.7620806103,20.4107574569,20.49,20.49,20.49,20.49,20.49,20.49,20.49,1.43162856436,5562.83771562
115,20.4942791085,20.4896694836,24.490115504,20.4899473088,23.2650522998,21.5378633211,2.2,654.333333333,2277.71850319,22.9477511564,20.4248191647,20.49,20.49,20.49,20.49,20.49,20.49,20.49,1.54009608008,5458.6816318
116,20.5236408056,20.489663045,24.4900495126,20.4899458348,23.3924080129,21.5861966166,2.2,675.0,2277.71850319,23.0753705779,20.4394543132,20.49,20.49,20.49,20.49,20.49,20.49,20.49,1.67021666591,5412.32826611
117,20.5810692063,20.4896564873,24.4900188867,20.4899442696,23.5206597723,21.6285984502,2.2,695.666666667,2277.71850319,23.184793079,20.4546943957,20.49,20.49,20.49,20.49,20.49,20.49,20.49,1.80041715556,5364.99641971
118,20.6590520734,20.48963931,24.4901431429,20.4899397594,23.6456914501,21.6652091437,2.2,716.333333333,2277.71850319,23.2845588256,20.4704936242,20.49,20.49,20.49,20.49,20.49,20.49,20.49,1.92055126641,5238.21414998
