,t1,t2,w1,i,s,tout,hsp,m0,csp0
0,21.503109703028198,21.4958716284176,21.897666905317234,0.0,0.0,-2.575,15.6,4.38257268577631,0.0
1,21.487820509442898,21.4926382344246,21.89206751794128,0.0,0.0,-3.45,15.6,4.0135086584428,0.0
2,21.471303363121603,21.475413349993,21.887297466059856,0.0,0.0,-4.325,15.6,4.0135086584428,0.0
3,21.483347800932805,21.481595899520897,21.88159999931181,0.0,0.0,-5.2,15.6,4.41017914852394,0.0
4,21.4638893625827,21.470112132893398,21.873428692116644,0.0,0.0,-6.075,15.6,4.0135086584428,0.0
5,21.441763163327302,21.4472851386562,21.866922744504087,0.0,0.0,-6.95,15.6,4.0135086584428,0.0
6,21.4291827492812,21.432595009189697,21.859616314357172,0.0,0.0,-7.825,15.6,4.01350865844279,0.0
7,21.426698504679198,21.424701863784602,21.851915479450188,0.0,0.0,-8.7,15.6,4.25166985198878,0.0
8,21.4398052142211,21.426698504679198,21.843739979450763,0.0,0.0,-9.575,15.6,5.399225406417661,0.0
9,21.4265224750422,21.4398052142211,21.8309445243434,0.0,0.0,-10.45,15.6,4.35841074788177,0.0
10,21.3965185604005,21.406571595265,21.816435583075112,0.0,0.0,-11.325,15.6,4.0135086584428,0.0
11,21.3591293836308,21.3682577746375,21.8057267527383,0.0,0.0,-12.2,15.6,4.0135086584428,0.0
12,21.3430840376063,21.347102193983897,21.797351986332163,0.0,0.0,-12.158333333333301,15.6,4.0135086584428,0.0
13,21.3347955042928,21.3369180122055,21.79076596657349,0.0,0.0,-12.1166666666667,15.6,4.0135086584428,0.0
14,21.3334279431807,21.334610411393303,21.785366965302558,0.0,0.0,-12.075,15.6,4.03217090390482,0.0
15,21.329797385331698,21.331051296367,21.78074430906961,0.0,0.0,-12.033333333333301,15.6,4.0135086584428,0.0
16,21.3270411154446,21.3286366124041,21.77665490695158,0.0,0.0,-11.9916666666667,15.6,4.0135086584428,0.0
17,21.324087933496,21.325146914669602,21.772985093129236,0.0,0.0,-11.95,15.6,4.0135086584428,0.0
18,21.3189086865962,21.320286797858103,21.769852382383423,0.0,0.0,-11.908333333333301,15.6,4.01350865844279,0.0
19,21.3150907616529,21.3161115778722,21.766668448265357,0.0,0.0,-11.8666666666667,15.6,4.0135086584428,0.0
20,21.312056636367302,21.312884641828603,21.763593155913078,0.0,0.0,-11.825,15.6,4.0135086584428,0.0
21,21.3093738938707,21.3101130118063,21.7607014225104,0.0,0.0,-11.783333333333301,15.6,4.0135086584428,0.0
22,21.306878835693,21.3075696857638,21.757869396830245,0.0,0.0,-11.7416666666667,15.6,4.0135086584428,0.0
23,21.3044956602502,21.3051572361366,21.75510639515081,0.0,0.0,-11.7,15.6,4.0135086584428,0.0
24,21.3027390425663,21.3031896869154,21.752407818469113,0.0,0.0,-11.65,15.6,4.0135086584428,0.0
25,21.3018408529343,21.302070148977197,21.74987214173196,0.0,0.0,-11.6,15.6,4.0135086584428,0.0
26,21.303870273292603,21.3015925623518,21.74750951592388,0.0,0.0,-11.55,15.6,4.12962324119553,0.0
27,21.3024625006311,21.3029042655449,21.74494857264315,0.0,0.0,-11.5,15.6,4.0135086584428,0.0
28,21.3012310967774,21.3015103230138,21.74272709324704,0.0,0.0,-11.45,15.6,4.0135086584428,0.0
29,21.3011136819115,21.301126597321602,21.740756757722636,0.0,0.0,-11.4,15.6,4.0135086584428,0.0
30,21.301406662699602,21.301318394945,21.73891406617642,0.0,0.0,-11.35,15.6,4.0135086584428,0.0
31,21.3018803427256,21.3017472954392,21.737173315701675,0.0,0.0,-11.3,15.6,4.0135086584428,0.0
32,21.30243899133,21.3022843775763,21.735511274127607,0.0,0.0,-11.25,15.6,4.0135086584428,0.0
33,21.3030457299548,21.302878469346897,21.73391262240567,0.0,0.0,-11.2,15.6,4.0135086584428,0.0
34,21.3058809056514,21.3032752943696,21.732367504498818,0.0,0.0,-11.15,15.6,4.09363965483514,0.0
35,21.3045615513274,21.304931894446,21.730566919017004,0.0,0.0,-11.1,15.6,4.0135086584428,0.0
36,21.303058521605102,21.303474463291604,21.72893863879482,0.0,0.0,-11.1,15.6,4.0135086584428,0.0
37,21.301042154865,21.3016424723938,21.727179975873348,0.0,0.0,-11.1,15.6,4.0135086584428,0.0
38,21.298147288861102,21.298980194808898,21.725178287616746,0.0,0.0,-11.1,15.6,4.0135086584428,0.0
39,21.3016126799604,21.2968776251264,21.7229608712262,0.0,0.0,-11.1,15.6,4.26560733676947,0.0
40,21.2939535892541,21.2963997210168,21.719890700931984,0.0,0.0,-11.1,15.6,4.0135086584428,0.0
41,21.2853423666131,21.287464302772502,21.717242404837023,0.0,0.0,-11.1,15.6,4.0135086584428,0.0
42,21.2806147234208,21.281889236794697,21.714618931429435,0.0,0.0,-11.1,15.6,4.0135086584428,0.0
43,21.2764083850199,21.277572736598,21.71196250937379,0.0,0.0,-11.1,15.6,4.0135086584428,0.0
44,21.2721926415697,21.2733683219208,21.70925469721802,0.0,0.0,-11.1,15.6,4.0135086584428,0.0
