,t1,w1,w2,i,s,tout,t2,hsp,m0,csp0
0,26.9997736652229,37.40634396811194,36.4560526995441,379978.375494321,0.0,17.1833333333333,15.4280885255239,18.0,22.8268005723366,27.0
1,26.9997275424099,37.34376159291666,36.45433693350795,379978.375494321,0.0,17.1666666666667,15.4280571434295,18.0,22.8268005723366,27.0
2,26.999545210195603,37.45681869311258,36.45253804151345,379978.375494321,0.0,17.15,15.427836311266,18.0,22.8268005723366,27.0
3,26.999360191026202,37.346398789228225,36.450715615328654,379978.375494321,0.0,17.1333333333333,15.427462425989699,18.0,22.8268005723366,27.0
4,26.9996371212922,37.370547990134895,36.448827969652,379978.375494321,0.0,17.1166666666667,15.4277190763174,18.0,22.8268005723366,27.0
5,26.9994980015499,37.4232137077387,36.44676080796549,379978.375494321,0.0,17.1,15.4274233289106,18.0,22.8268005723366,27.0
6,26.999628971388805,37.4524018608471,36.44476757602755,379978.375494321,0.0,17.0833333333333,15.427448830481902,18.0,22.8268005723366,27.0
7,26.9994810338086,37.307228599672875,36.44263914200185,379978.375494321,0.0,17.0666666666667,15.427133149005499,18.0,22.8268005723366,27.0
8,26.999704065511303,37.342470022564356,36.44055415573496,379978.375494321,0.0,17.05,15.426776515651,18.0,22.8268005723366,27.0
9,26.9998015203159,37.364068126682554,36.438179731543194,379978.375494321,0.0,17.033333333333303,15.4266455130401,18.0,22.8268005723366,27.0
10,26.9994915678555,37.25366348258779,36.4357882864148,379978.375494321,0.0,17.016666666666698,15.4263754962059,18.0,22.8268005723366,27.0
11,26.9992521963407,37.27865285710084,36.43346435155355,379978.375494321,0.0,17.0,15.4262380699563,18.0,22.8268005723366,27.0
12,26.9396187093989,37.25007955619543,36.431051448249946,379978.375494321,0.0,16.975,15.346317774407302,18.0,22.8268005723366,27.0
13,26.990175728215398,37.37153518986141,36.42734859079415,379978.375494321,0.0,16.95,15.4197979005057,18.0,22.8268005723366,27.0
14,26.8874558522074,37.42006614165246,36.42522889974745,379978.375494321,0.0,16.925,15.3069693500263,18.0,22.8268005723366,27.0
15,26.9818868288657,37.434982941656365,36.417080808185545,379978.375494321,0.0,16.9,15.4323006889047,18.0,22.8268005723366,27.0
16,26.9974815005806,37.394547498553365,36.41755926927775,379978.375494321,0.0,16.875,15.3897828000454,18.0,22.8268005723366,27.0
17,26.963944559895896,37.41845976036196,36.41567682277385,379978.375494321,0.0,16.85,15.384453377871198,18.0,22.8268005723366,27.0
18,26.8802744717321,37.24502532727119,36.4132565306104,379978.375494321,0.0,16.825,15.3124518290171,18.0,22.8268005723366,27.0
19,26.9643711939314,37.39538448588956,36.40494591889425,379978.375494321,0.0,16.8,15.362875149934402,18.0,22.8268005723366,27.0
20,26.9942754749424,37.413928543820774,36.40406132247555,379978.375494321,0.0,16.775,15.4384854206831,18.0,22.8268005723366,27.0
21,26.9395091031078,37.36366578906065,36.4031286846023,379978.375494321,0.0,16.75,15.3500908149284,18.0,22.8268005723366,27.0
22,26.930690186718692,37.325242763125914,36.39975785979645,379978.375494321,0.0,16.725,15.343549916511801,18.0,22.8268005723366,27.0
23,26.9795726784657,37.28615464939258,36.39670671362805,379978.375494321,0.0,16.7,15.4207359458951,18.0,22.8268005723366,27.0
24,26.962528834001102,37.357003119116335,36.3944285888836,379978.375494321,0.0,16.675,15.3916623065779,18.0,22.8268005723366,27.0
25,26.988940667384604,37.30482520528658,36.39261688422555,379978.375494321,0.0,16.65,15.430606866557099,18.0,22.8268005723366,27.0
26,26.9981838964294,37.3749895792944,36.39009099243785,379978.375494321,0.0,16.625,15.434023507818301,18.0,22.8268005723366,27.0
27,26.999403580657397,37.34763422114071,36.38805157490255,379978.375494321,0.0,16.6,15.4329549602212,18.0,22.8268005723366,27.0
28,26.999905074557496,37.34985291278438,36.38580887405,379978.375494321,0.0,16.575,15.432341003666101,18.0,22.8268005723366,27.0
29,26.8922141486806,37.31326831766653,36.38327644446955,379978.375494321,0.0,16.55,15.3191501141871,18.0,22.8268005723366,27.0
30,26.954392682006898,37.38620473100402,36.3752289715431,379978.375494321,0.0,16.525,15.402649343012099,18.0,22.8268005723366,27.0
31,26.9865220555935,37.36719892480162,36.37548645258335,379978.375494321,0.0,16.5,15.4217698017522,18.0,22.8268005723366,27.0
32,26.976090976459602,37.30964515805645,36.37293705140691,379978.375494321,0.0,16.475,15.4085706059586,18.0,22.8268005723366,27.0
33,26.9929116675874,37.275816101205066,36.37086950736425,379978.375494321,0.0,16.45,15.4331321471543,18.0,22.8268005723366,27.0
34,26.964200516037607,37.36125368158831,36.3682974996427,379978.375494321,0.0,16.425,15.3909787622942,18.0,22.8268005723366,27.0
35,26.989406343970302,37.183215592635314,36.3657186690037,379978.375494321,0.0,16.4,15.4318610013833,18.0,22.8268005723366,27.0
36,26.9969305354075,37.296713037506336,36.3628906961034,379978.375494321,0.0,16.375,15.430863443487599,18.0,22.8268005723366,27.0
37,26.9991629987671,37.27650459224284,36.36014287558355,379978.375494321,0.0,16.35,15.4342661171378,18.0,22.8268005723366,27.0
