,t1,w1,i,s,tout,hsp,m0,csp0
0,22.7699677941136,23.165090503928806,0.0,0.0,17.1833333333333,15.6,33.6002108693858,0.0
1,22.7653687695968,23.157704294894543,0.0,0.0,17.1666666666667,15.6,33.6002108693858,0.0
2,22.760798045513898,23.150513876122513,0.0,0.0,17.15,15.6,33.6002108693858,0.0
3,22.7530535831633,23.14367579596333,0.0,0.0,17.1333333333333,15.6,33.6002108693858,0.0
4,22.748076099801697,23.136938665738228,0.0,0.0,17.1166666666667,15.6,33.6002108693858,0.0
5,22.743307647079998,23.12960467982373,0.0,0.0,17.1,15.6,33.6002108693858,0.0
6,22.7372885184451,23.122783844369135,0.0,0.0,17.0833333333333,15.6,33.6002108693858,0.0
7,22.7317416083492,23.115717663392687,0.0,0.0,17.0666666666667,15.6,33.6002108693858,0.0
8,22.7198114555334,23.108985968279978,0.0,0.0,17.05,15.6,33.6002108693858,0.0
9,22.709367372674798,23.101426607402257,0.0,0.0,17.033333333333303,15.6,33.6002108693858,0.0
10,22.700391685576896,23.09357579758705,0.0,0.0,17.016666666666698,15.6,33.6002108693858,0.0
11,22.6924902234106,23.086285213922263,0.0,0.0,17.0,15.6,33.6002108693858,0.0
12,22.688738822795802,23.078886798059997,0.0,0.0,16.975,15.6,33.6002108693858,0.0
13,22.6759338188653,23.0716666682165,0.0,0.0,16.95,15.6,35.6713457085464,0.0
14,22.672409495336698,23.061612850840262,0.0,0.0,16.925,15.6,33.6002108693858,0.0
15,22.6439037855552,23.05461571196808,0.0,0.0,16.9,15.6,45.4031341202054,0.0
16,22.619910119876298,23.032561732343133,0.0,0.0,16.875,15.6,33.6002108693858,0.0
17,22.615623554105,23.016038864115096,0.0,0.0,16.85,15.6,33.6002108693858,0.0
18,22.6135977415065,23.008899837606666,0.0,0.0,16.825,15.6,33.6002108693858,0.0
19,22.607253704925103,23.002953413070667,0.0,0.0,16.8,15.6,33.6002108693858,0.0
20,22.606908166915197,22.999280070054976,0.0,0.0,16.775,15.6,33.6002108693858,0.0
21,22.604371744363103,22.994998450556693,0.0,0.0,16.75,15.6,33.6002108693858,0.0
22,22.602053658878603,22.99089162464106,0.0,0.0,16.725,15.6,33.6002108693858,0.0
23,22.600692852564602,22.986501743919046,0.0,0.0,16.7,15.6,33.6002108693858,0.0
24,22.5981153049055,22.981739099001118,0.0,0.0,16.675,15.6,33.6002108693858,0.0
25,22.5954397503938,22.976648900346596,0.0,0.0,16.65,15.6,33.6002108693858,0.0
26,22.5920673339535,22.97153109247743,0.0,0.0,16.625,15.6,33.6002108693858,0.0
27,22.5886322872542,22.96608180014267,0.0,0.0,16.6,15.6,33.6002108693858,0.0
