,Unnamed: 0,tout,q,qt,c,PLRs,PLR,hourindex
4238,4238,0.45,0.0,0.0,0.0,0.0,0.0,17
4239,4239,0.4,0.0,0.0,0.0,0.0,0.0,17
4240,4240,0.35,0.0,0.0,0.0,0.0,0.0,17
4241,4241,0.3,0.0,0.0,0.0,0.0,0.0,17
4242,4242,0.25,0.0,0.0,0.0,0.0,0.0,17
4243,4243,0.2,0.0,0.0,0.0,0.0,0.0,17
4244,4244,0.15,0.0,0.0,0.0,0.0,0.0,17
4245,4245,0.1,0.0,0.0,0.0,0.0,0.0,17
4246,4246,0.05,0.0,0.0,0.0,0.0,0.0,17
4247,4247,0.0,0.0,0.0,0.0,0.0,0.0,17
4248,4248,-0.233333333,0.0,0.0,0.0,0.0,0.0,18
4249,4249,-0.466666667,0.0,0.0,0.0,0.0,0.0,18
4250,4250,-0.7,0.0,0.0,0.0,0.0,0.0,18
4251,4251,-0.933333333,0.0,0.0,0.0,0.0,0.0,18
4252,4252,-1.166666667,0.0,0.0,0.0,0.0,0.0,18
4253,4253,-1.4,0.0,0.0,0.0,0.0,0.0,18
4254,4254,-1.6333333330000002,0.0,0.0,0.0,0.0,0.0,18
4255,4255,-1.866666667,0.0,0.0,0.0,0.0,0.0,18
4256,4256,-2.1,0.0,0.0,0.0,0.0,0.0,18
4257,4257,-2.333333333,0.0,0.0,0.0,0.0,0.0,18
4258,4258,-2.566666667,0.0,0.0,0.0,0.0,0.0,18
4259,4259,-2.8,0.0,0.0,0.0,0.0,0.0,18
4260,4260,-2.75,0.0,0.0,0.0,0.0,0.0,19
4261,4261,-2.7,0.0,0.0,0.0,0.0,0.0,19
4262,4262,-2.65,0.0,0.0,0.0,0.0,0.0,19
4263,4263,-2.6,0.0,0.0,0.0,0.0,0.0,19
4264,4264,-2.55,0.0,0.0,0.0,0.0,0.0,19
4265,4265,-2.5,0.0,0.0,0.0,0.0,0.0,19
4266,4266,-2.45,0.0,0.0,0.0,0.0,0.0,19
4267,4267,-2.4,0.0,0.0,0.0,0.0,0.0,19
4268,4268,-2.35,0.0,0.0,0.0,0.0,0.0,19
4269,4269,-2.3,0.0,0.0,0.0,0.0,0.0,19
4270,4270,-2.25,0.0,0.0,0.0,0.0,0.0,19
4271,4271,-2.2,0.0,0.0,0.0,0.0,0.0,19
4272,4272,-2.2,0.0,0.0,0.0,0.0,0.0,20
4273,4273,-2.2,0.0,0.0,0.0,0.0,0.0,20
4274,4274,-2.2,0.0,0.0,0.0,0.0,0.0,20
4275,4275,-2.2,0.0,0.0,0.0,0.0,0.0,20
4276,4276,-2.2,0.0,0.0,0.0,0.0,0.0,20
4277,4277,-2.2,0.0,0.0,0.0,0.0,0.0,20
4278,4278,-2.2,0.0,0.0,0.0,0.0,0.0,20
4279,4279,-2.2,0.0,0.0,0.0,0.0,0.0,20
4280,4280,-2.2,0.0,0.0,0.0,0.0,0.0,20
4281,4281,-2.2,0.0,0.0,0.0,0.0,0.0,20
4282,4282,-2.2,0.0,0.0,0.0,0.0,0.0,20
4283,4283,-2.2,0.0,0.0,0.0,0.0,0.0,20
4284,4284,-2.433333333,0.0,0.0,0.0,0.0,0.0,21
4285,4285,-2.666666667,0.0,0.0,0.0,0.0,0.0,21
4286,4286,-2.9,0.0,0.0,0.0,0.0,0.0,21
4287,4287,-3.133333333,0.0,0.0,0.0,0.0,0.0,21
4288,4288,-3.366666667,0.0,0.0,0.0,0.0,0.0,21
4289,4289,-3.6,0.0,0.0,0.0,0.0,0.0,21
4290,4290,-3.833333333,0.0,0.0,0.0,0.0,0.0,21
4291,4291,-4.066666667,0.0,0.0,0.0,0.0,0.0,21
4292,4292,-4.3,0.0,0.0,0.0,0.0,0.0,21
4293,4293,-4.533333333,0.0,0.0,0.0,0.0,0.0,21
4294,4294,-4.766666667,0.0,0.0,0.0,0.0,0.0,21
4295,4295,-5.0,0.0,0.0,0.0,0.0,0.0,21
4296,4296,-4.858333333,0.0,0.0,0.0,0.0,0.0,22
4297,4297,-4.716666667,0.0,0.0,0.0,0.0,0.0,22
4298,4298,-4.575,0.0,0.0,0.0,0.0,0.0,22
4299,4299,-4.433333333,0.0,0.0,0.0,0.0,0.0,22
4300,4300,-4.291666667,0.0,0.0,0.0,0.0,0.0,22
4301,4301,-4.15,0.0,0.0,0.0,0.0,0.0,22
4302,4302,-4.008333333,0.0,0.0,0.0,0.0,0.0,22
4303,4303,-3.866666667,0.0,0.0,0.0,0.0,0.0,22
4304,4304,-3.725,0.0,0.0,0.0,0.0,0.0,22
4305,4305,-3.583333333,0.0,0.0,0.0,0.0,0.0,22
4306,4306,-3.441666667,0.0,0.0,0.0,0.0,0.0,22
4307,4307,-3.3,0.0,0.0,0.0,0.0,0.0,22
4308,4308,-3.441666667,0.0,0.0,0.0,0.0,0.0,23
4309,4309,-3.583333333,0.0,0.0,0.0,0.0,0.0,23
4310,4310,-3.725,0.0,0.0,0.0,0.0,0.0,23
4311,4311,-3.866666667,0.0,0.0,0.0,0.0,0.0,23
4312,4312,-4.008333333,0.0,0.0,0.0,0.0,0.0,23
4313,4313,-4.15,0.0,0.0,0.0,0.0,0.0,23
4314,4314,-4.291666667,0.0,0.0,0.0,0.0,0.0,23
4315,4315,-4.433333333,0.0,0.0,0.0,0.0,0.0,23
4316,4316,-4.575,0.0,0.0,0.0,0.0,0.0,23
4317,4317,-4.716666667,0.0,0.0,0.0,0.0,0.0,23
4318,4318,-4.858333333,0.0,0.0,0.0,0.0,0.0,23
4319,4319,-5.0,0.0,0.0,0.0,0.0,0.0,23
4320,4320,-5.05,0.0,0.0,0.0,0.0,0.0,0
4321,4321,-5.1,0.0,0.0,0.0,0.0,0.0,0
4322,4322,-5.15,0.0,0.0,0.0,0.0,0.0,0
4323,4323,-5.2,0.0,0.0,0.0,0.0,0.0,0
4324,4324,-5.25,0.0,0.0,0.0,0.0,0.0,0
4325,4325,-5.3,0.0,0.0,0.0,0.0,0.0,0
4326,4326,-5.35,0.0,0.0,0.0,0.0,0.0,0
4327,4327,-5.4,0.0,0.0,0.0,0.0,0.0,0
4328,4328,-5.45,0.0,0.0,0.0,0.0,0.0,0
4329,4329,-5.5,0.0,0.0,0.0,0.0,0.0,0
4330,4330,-5.55,0.0,0.0,0.0,0.0,0.0,0
4331,4331,-5.6,0.0,0.0,0.0,0.0,0.0,0
4332,4332,-5.691666667000001,0.0,0.0,0.0,0.0,0.0,1
4333,4333,-5.783333333,0.0,0.0,0.0,0.0,0.0,1
4334,4334,-5.875,0.0,0.0,0.0,0.0,0.0,1
4335,4335,-5.966666667,0.0,0.0,0.0,0.0,0.0,1
