,t61,t62,t63,t64
389,21.2358900718,19.679373827,21.6095308859,23.6748963626
390,21.2350098986,19.6799862558,21.6095588315,23.6748878178
391,21.2332847682,19.6795545843,21.6087428026,23.6748802734
392,21.4936197842,19.5530597463,21.8606630166,23.552861688
393,21.7727752955,19.5010062273,22.1248374878,23.5131952389
394,21.9169997442,19.4996765201,22.2563020592,23.5001206378
395,21.959283785,19.4994722387,22.2933381158,23.4958118379
396,21.9648760871,19.4993789405,22.299920785,23.4944197062
397,21.9706959673,19.499869683,22.3092711708,23.4939825173
398,21.9840462477,19.4998032771,22.3261205045,23.4935538689
399,21.9991890749,19.4996937956,22.3440448457,23.4933354835
400,22.0116414961,19.4992464524,22.3589128545,23.4932731194
401,22.0208700549,19.4992743585,22.370600342,23.4932736993
402,22.0281708446,19.4993472052,22.3805034138,23.4932821223
403,22.0345383561,19.5000605933,22.3895102267,23.493285158
404,21.9620215493,19.3939507755,22.3192249608,23.1998778093
405,21.9039127332,19.2592251792,22.2657664294,23.0976382157
406,21.8594468113,19.1510732328,22.2261766858,23.0620189451
407,21.833051537,19.0828493642,22.2036769451,23.0497629755
408,21.8236144672,19.0504472475,22.1969815473,23.0455781852
409,21.8218185319,19.0501769465,22.1970554667,23.0441251377
410,21.8207976603,19.050101656,22.1974956373,23.0436102367
411,21.8183954518,19.0499250712,22.1964953967,23.0434260462
412,21.8150373621,19.0500478786,22.1945998703,23.0433598397
413,21.8113502957,19.049848472,22.1924005682,23.0433338291
414,21.8075835694,19.0498023747,22.190087012,23.0433211804
415,21.8037172089,19.0498915687,22.1876135017,23.0433130908
416,21.9123358062,19.4972860176,22.2982467689,23.434758248
417,22.0284612247,19.6050748186,22.413588711,23.4939746076
418,22.0874575495,19.5119741664,22.4701516425,23.5001803228
419,22.1178095103,19.5101009689,22.4993667216,23.502250808
420,22.12839631,19.5099673492,22.510531689,23.5028997097
421,22.1356691655,19.5094800578,22.519534759,23.5031604056
422,22.1445461048,19.5099897268,22.5303583937,23.5032585565
423,22.1540359127,19.5102173556,22.5415368089,23.5032950187
424,22.1626549091,19.5100536572,22.5515953634,23.5033097447
425,22.1701587368,19.5095907651,22.5604463317,23.5033183464
426,22.1768396214,19.5096790882,22.5684627755,23.5033245895
427,22.1829901578,19.5096170619,22.5759323895,23.5033298497
428,22.4237866126,19.5486846373,22.8071556469,23.5298979271
429,22.6426643691,19.5499540568,23.0089136056,23.5390780891
430,22.7423497612,19.5501545732,23.0941877213,23.5425187929
431,22.7529510145,19.5502643936,23.0992127286,23.5437188242
432,22.737283248,19.5499292798,23.0854246018,23.5440677811
433,22.7271917944,19.5496905667,23.0802458309,23.5441280906
434,22.7264444254,19.5497742351,23.0835051927,23.5441245206
435,22.7288229022,19.5500313073,23.0881592541,23.5441160394
436,22.7303014812,19.5502283376,23.0910330613,23.544107815
437,22.7303747717,19.5501760657,23.0924143908,23.5440964609
438,22.7299132805,19.5497676224,23.0933820483,23.5440836069
439,22.7297197606,19.5498726629,23.0946224699,23.5440716183
440,22.7245105386,19.8339301484,23.090790987,23.7505397563
441,22.7108809736,19.8400920821,23.078590172,23.8094379445
442,22.7120243032,19.8401396781,23.0813879035,23.826789133
443,22.7262580764,19.8401976941,23.0968359641,23.8317642968
444,22.7362421844,19.8399395698,23.1073222397,23.8331339488
445,22.7407785734,19.8400014107,23.1122147428,23.8335134
446,22.7419324008,19.8400450786,23.1139126824,23.8336067311
447,22.7424232049,19.8403377059,23.1151229378,23.8336258131
448,22.7433531506,19.8399077923,23.1167911001,23.8336241648
449,22.74487516,19.8398631328,23.1189749359,23.8336167582
450,22.7466382006,19.8397731731,23.1213157328,23.8336070999
451,22.7485270924,19.8399617635,23.123732817,23.8335975773
452,22.8811845092,19.7319422056,23.2518053461,23.6383754154
453,23.0203637536,19.5923860491,23.382830283,23.5792944251
454,23.0775324318,19.5608355371,23.4326743376,23.561826255
455,23.0829655615,19.5600042022,23.4352379261,23.556775652
456,23.0778794716,19.5598145804,23.4309614423,23.5552933699
457,23.0803330782,19.5602273875,23.4352571117,23.5548466148
458,23.0893348065,19.5601512003,23.4455089247,23.5547075805
459,23.0993632126,19.5598806023,23.4560952621,23.5546635667
460,23.1076731417,19.5599198015,23.4647791573,23.5546482494
461,23.1143457389,19.5600242841,23.4719769783,23.5546402612
462,23.1202049497,19.5600762603,23.4785297707,23.5546336581
463,23.1257689415,19.5601456023,23.4848461315,23.5546276383
464,23.4211164781,19.6380076036,23.6093650993,23.6117126061
465,23.598063534,19.6399230306,23.6320227875,23.6290349582
466,23.6301631086,19.6400688191,23.6362859876,23.6340347509
467,23.635837851,19.6398797416,23.6368837984,23.6353750175
468,23.6366637965,19.6397931626,23.6368683624,23.6357330809
469,23.6367194683,19.6401170018,23.6368158936,23.6358648151
470,23.6366715071,19.6400157783,23.6367741983,23.6358973563
