,z0,z1,z2,tout,s,i,t1,sp0,sp1,sp2,sp,m,rh
41,20.3896034646,20.3898008266,20.3897880977,1.1,0.0,623.63281589,20.3897506552,20.39,20.39,20.39,20.39,0.279496762803,3511.86914927
42,20.3896053969,20.3898004103,20.3897959488,1.1,0.0,623.63281589,20.3897554571,20.39,20.39,20.39,20.39,0.280549965446,3530.79133927
43,20.3896075219,20.3898001313,20.3898033439,1.1,0.0,623.63281589,20.3897600978,20.39,20.39,20.39,20.39,0.281607817934,3549.90447924
44,20.3896097623,20.3897999469,20.3898103382,1.1,0.0,623.63281589,20.3897645783,20.39,20.39,20.39,20.39,0.28266453475,3569.09042625
45,20.3896120737,20.3897998312,20.3898169599,1.1,0.0,623.63281589,20.3897688958,20.39,20.39,20.39,20.39,0.283714083675,3588.23061347
46,20.389614427,20.3897997675,20.3898232285,1.1,0.0,623.63281589,20.3897730484,20.39,20.39,20.39,20.39,0.28475278444,3607.25068388
47,20.3896168022,20.3897997441,20.3898291595,1.1,0.0,623.63281589,20.3897770357,20.39,20.39,20.39,20.39,0.285777972053,3626.09574598
48,20.445896586,20.4459653919,20.4471238622,1.15,0.0,623.63281589,20.4466222064,20.45,20.45,20.45,20.45,0.311857859059,4142.42898597
49,20.4493997604,20.4495630477,20.4497077928,1.2,0.0,623.63281589,20.4496090288,20.45,20.45,20.45,20.45,0.285357972853,3615.05794624
50,20.4496736522,20.449821111,20.4498748631,1.25,0.0,623.63281589,20.4498208464,20.45,20.45,20.45,20.45,0.299713478243,3892.55296523
51,20.4496827918,20.4498310407,20.4498771051,1.3,0.0,623.63281589,20.4498260979,20.45,20.45,20.45,20.45,0.297942118177,3857.11882379
52,20.449685388,20.4498310648,20.4498799909,1.35,0.0,623.63281589,20.4498284058,20.45,20.45,20.45,20.45,0.298726011817,3871.933285
53,20.4496883,20.4498311074,20.4498828411,1.4,0.0,623.63281589,20.4498307655,20.45,20.45,20.45,20.45,0.299604944156,3888.77074037
54,20.4496914048,20.4498311607,20.4498845107,1.45,0.0,623.63281589,20.4498324773,20.45,20.45,20.45,20.45,0.300416531375,3904.39748449
55,20.449694578,20.4498312636,20.4498891801,1.5,0.0,623.63281589,20.4498359565,20.45,20.45,20.45,20.45,0.30132734747,3921.95126551
56,20.4496977709,20.4498314999,20.4498932914,1.55,0.0,623.63281589,20.4498391561,20.45,20.45,20.45,20.45,0.30226603657,3940.10159545
57,20.4497008896,20.4498318013,20.4498970718,1.6,0.0,623.63281589,20.44984217,20.45,20.45,20.45,20.45,0.303215057149,3958.4953756
58,20.4497039451,20.4498319157,20.4499006376,1.65,0.0,623.63281589,20.4498450124,20.45,20.45,20.45,20.45,0.304158255283,3976.784515
59,20.4497071787,20.4498322948,20.4499040291,1.7,0.0,623.63281589,20.4498478478,20.45,20.45,20.45,20.45,0.305119921046,3995.53990479
60,20.3932077712,20.3934138524,20.3923706095,1.7,0.0,623.63281589,20.3927803875,20.39,20.39,20.39,20.39,0.279789576632,3498.75271559
61,20.3899198976,20.3900533367,20.3900273865,1.7,0.0,623.63281589,20.390010729,20.39,20.39,20.39,20.39,0.307858124466,4052.162452
62,20.3896566928,20.389802536,20.3898835302,1.7,0.0,623.63281589,20.3898186645,20.39,20.39,20.39,20.39,0.294877936656,3794.04404726
63,20.3896509669,20.3897932784,20.38988767,1.7,0.0,623.63281589,20.3898183008,20.39,20.39,20.39,20.39,0.297901929089,3852.91159229
64,20.3896494504,20.3897914466,20.3898898805,1.7,0.0,623.63281589,20.3898190017,20.39,20.39,20.39,20.39,0.29825465066,3859.28064434
65,20.3896473386,20.3897894844,20.3898916227,1.7,0.0,623.63281589,20.3898192793,20.39,20.39,20.39,20.39,0.298481624634,3863.11859074
66,20.3896448751,20.389787315,20.3898932294,1.7,0.0,623.63281589,20.3898193675,20.39,20.39,20.39,20.39,0.298677797849,3866.32934574
67,20.3896421949,20.389785008,20.3898947609,1.7,0.0,623.63281589,20.389819345,20.39,20.39,20.39,20.39,0.29885893824,3869.23349751
68,20.3896393438,20.3897825925,20.3898962315,1.7,0.0,623.63281589,20.3898192356,20.39,20.39,20.39,20.39,0.29902844525,3871.90261897
69,20.3896363469,20.3897800843,20.3898976481,1.7,0.0,623.63281589,20.3898190517,20.39,20.39,20.39,20.39,0.299188003532,3874.37287155
70,20.3896332195,20.3897774927,20.3898990147,1.7,0.0,623.63281589,20.3898188007,20.39,20.39,20.39,20.39,0.299338372706,3876.66127838
71,20.3896299715,20.3897748236,20.3899003337,1.7,0.0,623.63281589,20.3898184871,20.39,20.39,20.39,20.39,0.299479805652,3878.77427439
72,20.4926729428,20.4927121498,20.4944996703,1.74166666667,0.0,977.376620127,20.4937842052,20.5,20.5,20.5,20.5,0.335802087459,4626.5547909
73,20.4991356744,20.4992911533,20.4996256524,1.78333333333,0.0,977.376620127,20.4994507692,20.5,20.5,20.5,20.5,0.284023772676,3567.23804199
74,20.4996257389,20.4997579889,20.4999073679,1.825,0.0,977.376620127,20.4998194391,20.5,20.5,20.5,20.5,0.306372755519,4004.33755775
75,20.4996240279,20.4997635904,20.4999066882,1.86666666667,0.0,977.376620127,20.4998192275,20.5,20.5,20.5,20.5,0.300344872921,3883.04599136
76,20.4996137359,20.4997549274,20.4999042603,1.90833333333,0.0,977.376620127,20.4998138943,20.5,20.5,20.5,20.5,0.299094781808,3857.39400655
77,20.4996059841,20.4997477584,20.4999027854,1.95,0.0,977.376620127,20.4998099823,20.5,20.5,20.5,20.5,0.298320501691,3841.38460571
78,20.4995998769,20.4997412112,20.4999017785,1.99166666667,0.0,977.376620127,20.4998068246,20.5,20.5,20.5,20.5,0.297729295416,3829.06694266
79,20.4995948012,20.4997357501,20.4999010863,2.03333333333,0.0,977.376620127,20.4998042946,20.5,20.5,20.5,20.5,0.297280763794,3819.66654298
80,20.49959061,20.4997307399,20.4999006386,2.075,0.0,977.376620127,20.4998021905,20.5,20.5,20.5,20.5,0.296930913921,3812.25817461
81,20.499587119,20.49972606,20.4999003865,2.11666666667,0.0,977.376620127,20.4998004199,20.5,20.5,20.5,20.5,0.296658691557,3806.41435067
82,20.4995842035,20.4997218911,20.499900296,2.15833333333,0.0,977.376620127,20.4997989721,20.5,20.5,20.5,20.5,0.296457313194,3802.01242721
83,20.4995817755,20.4997179999,20.4999003424,2.2,0.0,977.376620127,20.4997977674,20.5,20.5,20.5,20.5,0.296310628642,3798.71253399
84,20.9860532687,20.9798243826,20.9890315283,2.2,0.0,1142.09382044,20.9859842689,21.0,21.0,21.0,21.0,0.380596592796,4361.31785215
85,20.9994160539,20.9995746024,20.9999079641,2.2,0.0,1142.09382044,20.999720785,21.0,21.0,21.0,21.0,0.255697185745,3012.22248188
86,20.9998544385,20.9999075655,20.9999091489,2.2,0.0,1142.09382044,20.99989839,21.0,21.0,21.0,21.0,0.367139182441,5229.82127688
87,20.9998165362,20.9998864517,20.999827268,2.2,0.0,1142.09382044,20.9998368582,21.0,21.0,21.0,21.0,0.339788464969,4641.63160488
88,20.9997981645,20.9998728232,20.9998083007,2.2,0.0,1142.09382044,20.999819076,21.0,21.0,21.0,21.0,0.335695429789,4554.72624799
89,20.9997844119,20.9998627035,20.9997959668,2.2,0.0,1142.09382044,20.9998069131,21.0,21.0,21.0,21.0,0.332792435454,4493.36473427
90,20.9997300862,20.9998450729,20.9996766019,2.2,94.25,1142.09382044,20.9997223367,21.0,21.0,21.0,21.0,0.314315925637,4120.12312983
91,20.9996828457,20.9998306556,20.9998954055,2.2,133.5,1142.09382044,20.9998375482,21.0,21.0,21.0,21.0,0.301815971179,3875.46782422
92,20.9996312485,20.9998157553,20.9998599052,2.2,172.75,1142.09382044,20.9998016289,21.0,21.0,21.0,21.0,0.288880969058,3629.8522741
93,20.9995695141,20.9998016222,20.9997839114,2.2,212.0,1142.09382044,20.9997411553,21.0,21.0,21.0,21.0,0.274615104959,3368.90198414
94,20.999496106,20.9997872543,20.9999003225,2.2,251.25,1142.09382044,20.9997816564,21.0,21.0,21.0,21.0,0.259696946939,3107.24958484
95,20.9994084375,20.9997723512,20.9998237674,2.2,290.5,1142.09382044,20.999712196,21.0,21.0,21.0,21.0,0.241868126053,2812.32953649
96,20.5681277016,20.5374951352,20.9067794004,2.2,329.75,1534.22590892,20.5511630038,20.5,20.5,20.5,20.5,0.0593015277752,419.570800031
97,20.5000530825,20.4998189462,20.834981988,2.2,369.0,1534.22590892,20.4999272166,20.5,20.5,20.5,20.5,0.109841074863,1488.38924026
98,20.4998477793,20.4997664444,20.8456847556,2.2,408.25,1534.22590892,20.499803919,20.5,20.5,20.5,20.5,0.087220798456,1031.93517761
99,20.4998427542,20.4998219664,20.931723832,2.2,447.5,1534.22590892,20.4998313369,20.5,20.5,20.5,20.5,0.0896570337348,1080.04708901
100,20.4998326105,20.4998302573,21.0648489017,2.2,486.75,1534.22590892,20.4998313093,20.5,20.5,20.5,20.5,0.0894824879686,1077.33331432
101,20.4998042052,20.4998286039,21.2230813628,2.2,526.0,1534.22590892,20.4998178489,20.5,20.5,20.5,20.5,0.0883192287734,1056.17919251
102,20.4997769234,20.4998246133,21.3861585268,2.2,533.25,1534.22590892,20.4998038142,20.5,20.5,20.5,20.5,0.0872900719566,1037.48930008
103,20.4997469959,20.4998193498,21.5460754741,2.2,540.5,1534.22590892,20.4997881162,20.5,20.5,20.5,20.5,0.0862339935131,1018.40952693
104,20.4997136533,20.4998162079,21.7064711118,2.2,547.75,1534.22590892,20.4997724449,20.5,20.5,20.5,20.5,0.0852900038526,1001.72936824
105,20.4996768014,20.499810998,21.8712293257,2.2,555.0,1534.22590892,20.4997543476,20.5,20.5,20.5,20.5,0.0842619514927,983.535603144
106,20.499893108,20.4998045164,22.0416178519,2.2,562.25,1534.22590892,20.4998415063,20.5,20.5,20.5,20.5,0.0831798823483,964.503512708
107,20.4998870984,20.4997973418,22.2165673079,2.2,569.5,1534.22590892,20.4998343724,20.5,20.5,20.5,20.5,0.0820383022907,944.636243683
108,20.4901375937,20.490387034,22.3188586193,2.2,576.75,1138.90383155,20.490283633,20.49,20.49,20.49,20.49,0.0857117442814,1012.90210863
109,20.4896859028,20.4898847635,22.4053889123,2.2,584.0,1138.90383155,20.4898028903,20.49,20.49,20.49,20.49,0.0861121593216,1021.55181864
110,20.4898830551,20.4898469237,22.5191954283,2.2,591.25,1138.90383155,20.4898615578,20.49,20.49,20.49,20.49,0.08428192677,988.97661356
111,20.4898729039,20.4898400799,22.6654289831,2.2,598.5,1138.90383155,20.4898531746,20.49,20.49,20.49,20.49,0.0830578405793,967.945472851
112,20.4898474713,20.4898329362,22.8335100506,2.2,605.75,1138.90383155,20.4898386384,20.49,20.49,20.49,20.49,0.0816483432248,943.887491111
113,20.4898144669,20.4898249102,23.0114213146,2.2,613.0,1138.90383155,20.4898208886,20.49,20.49,20.49,20.49,0.0801513466896,918.716102603
114,20.489768401,20.489818437,23.199083653,2.2,633.666666667,1138.90383155,20.4897996275,20.49,20.49,20.49,20.49,0.0785738144832,893.125490771
115,20.4898986642,20.4898122994,23.3986260302,2.2,654.333333333,1138.90383155,20.4898438518,20.49,20.49,20.49,20.49,0.0768969267328,866.697727794
116,20.4898713057,20.4898060943,23.6099700425,2.2,675.0,1138.90383155,20.4898291263,20.49,20.49,20.49,20.49,0.0750978913585,839.204132758
117,20.4898250058,20.4897997083,23.8316834034,2.2,695.666666667,1138.90383155,20.4898083137,20.49,20.49,20.49,20.49,0.073268062599,812.102640159
118,20.4899048183,20.4897884067,24.0594781356,2.2,716.333333333,1138.90383155,20.4898264717,20.49,20.49,20.49,20.49,0.0712332650533,782.009702486
119,20.4898695723,20.4897793358,24.2943369926,2.2,737.0,1138.90383155,20.4898075198,20.49,20.49,20.49,20.49,0.0692897128961,754.837840646
120,20.4899127787,20.4898384763,24.4676870298,2.25,757.666666667,705.812124617,20.4898622518,20.49,20.49,20.49,20.49,0.0736672822466,828.998096558
121,20.4898722897,20.4898397745,24.4892946665,2.3,778.333333333,705.812124617,22.9767315226,20.49,20.49,20.49,20.49,0.189327479533,801.404976569
122,20.4899074292,20.4898335778,24.4901211869,2.35,799.0,705.812124617,23.1375003598,20.49,20.49,20.49,20.49,0.203774681641,766.216875968
123,20.4899176902,20.4898256191,24.490223461,2.4,819.666666667,705.812124617,23.398264972,20.49,20.49,20.49,20.49,0.241101938307,728.719974327
124,20.489949083,20.4898119586,24.4900734118,2.45,840.333333333,705.812124617,23.573075649,20.49,20.49,20.49,20.49,0.271202197557,687.039831961
125,20.4899387601,20.4897990186,24.4903220505,2.5,861.0,705.812124617,23.7223086399,20.49,20.49,20.49,20.49,0.301083737412,645.541963995
126,20.4899368756,20.4897857749,24.490149924,2.55,862.583333333,705.812124617,23.8348210185,20.49,20.49,20.49,20.49,0.325124710546,611.758279618
127,20.4955410123,20.4897715813,24.4900634072,2.6,864.166666667,705.812124617,23.9404096356,20.49,20.49,20.49,20.49,0.345160173645,588.059107479
128,20.5260033004,20.4897564974,24.4900252009,2.65,865.75,705.812124617,23.9810998527,20.49,20.49,20.49,20.49,0.369128931546,578.899712018
129,20.5820910274,20.4897405474,24.4900089083,2.7,867.333333333,705.812124617,24.015838968,20.49,20.49,20.49,20.49,0.392274288822,569.806289428
130,20.6545151345,20.4897237282,24.4902976735,2.75,868.916666667,705.812124617,24.0460168825,20.49,20.49,20.49,20.49,0.414540799681,560.798872714
131,20.7349531121,20.4897060054,24.4901262714,2.8,870.5,705.812124617,24.0721313653,20.49,20.49,20.49,20.49,0.436195205454,551.877650716
132,20.8112319474,20.4328573556,24.4345367928,2.84166666667,872.083333333,633.559068811,24.0798920995,20.43,20.43,20.43,20.43,0.47393259496,484.088542489
133,20.8836771635,20.4298652429,24.4303179809,2.88333333333,873.666666667,633.559068811,24.0473442022,20.43,20.43,20.43,20.43,0.475491026433,551.524874175
134,20.9558273211,20.4296222235,24.4303008758,2.925,875.25,633.559068811,24.1634420064,20.43,20.43,20.43,20.43,0.651977249698,512.670598885
135,21.0293107211,20.4296134372,24.430231042,2.96666666667,876.833333333,633.559068811,24.1699792673,20.43,20.43,20.43,20.43,0.669862122021,514.324689152
136,21.1039957923,20.4295994603,24.4301696946,3.00833333333,878.416666667,633.559068811,24.1783214333,20.43,20.43,20.43,20.43,0.687946712437,509.251839188
137,21.1792192369,20.4295834674,24.4301237185,3.05,880.0,633.559068811,24.1860014752,20.43,20.43,20.43,20.43,0.705038086391,503.87165529
138,21.2555545123,20.429567427,24.4300889002,3.09166666667,883.75,633.559068811,24.1933680468,20.43,20.43,20.43,20.43,0.721799383521,498.00275205
139,21.3330162399,20.4295496975,24.4300636344,3.13333333333,887.5,633.559068811,24.200124638,20.43,20.43,20.43,20.43,0.737488074327,491.98064489
140,21.4107265236,20.4298887952,24.4300454041,3.175,891.25,633.559068811,24.2062512648,20.43,20.43,20.43,20.43,0.752189278631,486.264805573
141,21.487420563,20.4299005625,24.4300320666,3.21666666667,895.0,633.559068811,24.2121908575,20.43,20.43,20.43,20.43,0.766180907156,479.631023059
142,21.5616805422,20.429896144,24.4300223138,3.25833333333,898.75,633.559068811,24.2176168874,20.43,20.43,20.43,20.43,0.779638774698,473.596407478
143,21.6329637931,20.4298903945,24.4310051798,3.3,902.5,633.559068811,24.2236055374,20.43,20.43,20.43,20.43,0.792036966115,467.285075084
144,21.6650745338,20.0621820635,23.9901602239,3.39166666667,906.25,633.559068811,23.9449967369,19.94,19.94,19.94,19.94,1.05133274384,49.2203663464
145,21.7277335241,19.940022663,23.9408666625,3.48333333333,910.0,633.559068811,23.7683914991,19.94,19.94,19.94,19.94,0.855382563346,397.282585512
146,21.8131924186,19.9398826728,23.9401708007,3.575,913.75,633.559068811,23.8278764686,19.94,19.94,19.94,19.94,1.14313705968,316.585985517
147,21.9025028587,19.9398310866,23.9400793982,3.66666666667,917.5,633.559068811,23.8337635575,19.94,19.94,19.94,19.94,1.13615722074,286.432069031
148,21.9894420045,19.9398483343,23.9400619504,3.75833333333,921.25,633.559068811,23.8317461974,19.94,19.94,19.94,19.94,1.14230997224,298.007096877
149,22.076565915,19.939833979,23.9400527219,3.85,925.0,633.559068811,23.8344602351,19.94,19.94,19.94,19.94,1.14997925032,288.930521621
150,22.1634575929,19.9398133258,23.9400485328,3.94166666667,920.416666667,633.559068811,23.8371018868,19.94,19.94,19.94,19.94,1.15308065794,278.316030249
151,22.2493209988,19.9397855882,23.9400462355,4.03333333333,915.833333333,633.559068811,23.8400163566,19.94,19.94,19.94,19.94,1.15460530903,265.983885967
152,22.3343518714,19.9397490797,23.9400447406,4.125,911.25,633.559068811,23.8432217778,19.94,19.94,19.94,19.94,1.15533134297,252.27386043
153,22.4195892409,19.9398963297,23.9400439124,4.21666666667,906.666666667,633.559068811,23.8466360824,19.94,19.94,19.94,19.94,1.15521554102,237.658070804
154,22.5063374872,19.9398767799,23.9400440151,4.30833333333,902.083333333,633.559068811,23.8509004662,19.94,19.94,19.94,19.94,1.15362245972,219.378370277
155,22.595681385,19.9398395681,23.9400451028,4.4,897.5,633.559068811,23.855403989,19.94,19.94,19.94,19.94,1.15073125235,200.360349794
156,22.6847225515,20.0163989563,24.0093499371,4.45,892.916666667,633.559068811,23.9063199825,20.02,20.02,20.02,20.02,1.10927248539,262.190987684
157,22.7730434051,20.0197400708,24.0185925561,4.5,888.333333333,633.559068811,23.9467100236,20.02,20.02,20.02,20.02,1.12866433022,147.215576537
158,22.8618412749,20.0199023947,24.0198812433,4.55,883.75,633.559068811,23.9396878116,20.02,20.02,20.02,20.02,1.11283654182,172.739848038
159,22.9523849651,20.019847019,24.0200587165,4.6,879.166666667,633.559068811,23.948135911,20.02,20.02,20.02,20.02,1.1079423487,142.720658425
160,23.045219232,20.019897909,24.0200886336,4.65,874.583333333,633.559068811,23.9541784794,20.02,20.02,20.02,20.02,1.10120195566,121.839608317
161,23.1402529679,20.0199224399,24.0200997907,4.7,870.0,633.559068811,23.9613673331,20.02,20.02,20.02,20.02,1.09348100739,98.9319889471
162,23.2371892274,20.0199248511,24.0201092677,4.75,865.75,633.559068811,23.9699525882,20.02,20.02,20.02,20.02,1.08512464563,74.5026523619
163,23.3354000572,20.0199434939,24.0200128168,4.8,861.5,633.559068811,23.9708365184,20.02,20.02,20.02,20.02,0.872866007899,49.4436113983
164,23.4347244741,20.0199199092,24.0200059357,4.85,857.25,633.559068811,23.9867702287,20.02,20.02,20.02,20.02,0.863586004254,24.4887999875
165,23.5344358998,20.0199188954,24.0200141522,4.9,853.0,633.559068811,24.0116037307,20.02,20.02,20.02,20.02,0.852028890676,2.07170610816
166,23.6337833263,20.0432805685,24.0200299579,4.95,848.75,633.559068811,24.0200299579,20.02,20.02,20.02,20.02,0.843734237168,0.0
167,23.7326022443,20.0990833317,24.0200532471,5.0,844.5,633.559068811,24.0200532471,20.02,20.02,20.02,20.02,0.836987059549,0.0
168,23.5233783613,20.1486951226,23.6315636917,5.0,840.25,633.559068811,23.6297279153,19.53,19.53,19.53,19.53,1.24427166276,0.0
169,23.5295866394,20.2387948887,23.5323479671,5.0,836.0,633.559068811,23.5323215116,19.53,19.53,19.53,19.53,1.11335589106,0.0
170,23.530053887,20.3556175196,23.5303581188,5.0,831.75,633.559068811,23.5303504467,19.53,19.53,19.53,19.53,1.16509734923,0.0
171,23.5300792559,20.4781371017,23.5300896565,5.0,827.5,633.559068811,23.5300893954,19.53,19.53,19.53,19.53,1.15260552913,0.0
172,23.5300489545,20.5982272625,23.5300690633,5.0,823.25,633.559068811,23.5300685096,19.53,19.53,19.53,19.53,1.13509809654,0.0
173,23.530164577,20.7163791127,23.5300803895,5.0,819.0,633.559068811,23.5300828941,19.53,19.53,19.53,19.53,1.12349739999,0.0
174,23.5301285579,20.8317115953,23.5301022182,5.0,806.583333333,633.559068811,23.53010305,19.53,19.53,19.53,19.53,1.10853783377,0.0
175,23.5301011789,20.9435841529,23.530018822,5.0,794.166666667,633.559068811,23.5300221803,19.53,19.53,19.53,19.53,0.890220507322,0.0
176,23.5300819513,21.0521028531,23.5300444207,5.0,781.75,633.559068811,23.5300460235,19.53,19.53,19.53,19.53,0.87632900202,0.0
177,23.5300685253,21.157478623,23.5301136967,5.0,769.333333333,633.559068811,23.5301116864,19.53,19.53,19.53,19.53,0.862163738827,0.0
178,23.5300586597,21.2597058654,23.5302229792,5.0,756.916666667,633.559068811,23.5302153833,19.53,19.53,19.53,19.53,0.847713200134,0.0
179,23.530053637,21.3551971944,23.5303752689,5.0,744.5,633.559068811,23.5303599605,19.53,19.53,19.53,19.53,0.832782600558,0.0
180,23.8348132708,21.384768904,24.0023817947,4.95,732.083333333,633.559068811,24.0023817947,20.01,20.01,20.01,20.01,0.553877284072,0.0
181,24.0081948274,21.4395757404,24.0099151835,4.9,719.666666667,633.559068811,24.0098554874,20.01,20.01,20.01,20.01,0.767461056763,0.0
182,24.0100000268,21.5126131994,24.0102025057,4.85,707.25,633.559068811,24.0101934025,20.01,20.01,20.01,20.01,0.651690530442,0.0
183,24.01005372,21.5830846983,24.0101817233,4.8,694.833333333,633.559068811,24.0101770034,20.01,20.01,20.01,20.01,0.661980094557,0.0
184,24.0101283378,21.6407873202,24.0102139937,4.75,682.416666667,633.559068811,24.0102104993,20.01,20.01,20.01,20.01,0.652959918372,0.0
185,24.0101310711,21.6861981579,24.0102617617,4.7,670.0,633.559068811,24.0102563263,20.01,20.01,20.01,20.01,0.640417602875,0.0
