,Unnamed: 0,tout,s,i,t1,t2,t3,sp0,m,rh
7000,7000,-1.99166666667,42.1666666667,20331.8286073,21.7195253476,20.8428595548,21.8044580956,24.94,1.95518551904,0.0
7001,7001,-1.95,46.0,20331.8286073,21.7192593887,20.8600275696,21.8715974158,24.94,1.95518551904,0.0
7002,7002,-1.90833333333,59.1666666667,20331.8286073,21.7073081926,20.879906533,21.9242336504,24.94,1.95518551904,0.0
7003,7003,-1.86666666667,72.3333333333,20331.8286073,21.6936070857,20.9002655506,21.9712632586,24.94,1.95518551904,0.0
7004,7004,-1.825,85.5,20331.8286073,21.6837138438,20.919971011,22.0173006606,24.94,1.95518551904,0.0
7005,7005,-1.78333333333,98.6666666667,20331.8286073,21.6804973134,20.9397098646,22.0631825759,24.94,1.95518551904,0.0
7006,7006,-1.74166666667,111.833333333,20229.0978899,21.6772543257,20.9392229528,22.1059065767,24.94,1.95518551904,0.0
7007,7007,-1.7,125.0,20229.0978899,21.6735579498,20.9396227754,22.1444992265,24.94,1.95518551904,0.0
7008,7008,-1.60833333333,138.166666667,19931.9201653,21.6675839805,20.5406827719,22.2546541781,24.46,1.95518551904,0.0
7009,7009,-1.51666666667,151.333333333,19931.9201653,21.6598233246,20.4606955059,22.3733896314,24.46,1.95518551904,0.0
7010,7010,-1.425,164.5,19931.9201653,21.6504371947,20.4609040878,22.4531937759,24.46,1.95518551904,0.0
7011,7011,-1.33333333333,177.666666667,19931.9201653,21.645973971,20.4598271976,22.5126826691,24.46,1.95518551904,0.0
7012,7012,-1.24166666667,190.833333333,19931.9201653,21.6468121989,20.4597344094,22.5752922221,24.46,1.95518551904,0.0
7013,7013,-1.15,204.0,19849.7355914,21.6484391902,20.4603091729,22.6363236472,24.46,1.95518551904,0.0
7014,7014,-1.05833333333,219.166666667,19849.7355914,21.650322406,20.45967796,22.6929800644,24.46,1.95518551904,0.0
7015,7015,-0.966666666667,234.333333333,19849.7355914,21.6532955376,20.4602994582,22.7469659984,24.46,1.95518551904,0.0
7016,7016,-0.875,249.5,19849.7355914,21.6575857917,20.4602778333,22.7994318723,24.46,1.95518551904,0.0
7017,7017,-0.783333333333,264.666666667,19849.7355914,21.6629675017,20.4600343099,22.851988889,24.46,1.95518551904,0.0
7018,7018,-0.691666666667,279.833333333,19849.7355914,21.6691683105,20.459812284,22.902298425,24.46,1.95518551904,0.0
7019,7019,-0.6,295.0,19849.7355914,21.6759907025,20.4600297519,22.9500558577,24.46,1.95518551904,0.0
7020,7020,-0.55,310.166666667,13852.2513394,21.4277517137,20.2637411855,22.8726123287,24.26,1.95518551904,0.0
7021,7021,-0.5,325.333333333,13852.2513394,21.1692989657,20.2610813243,22.8057527015,24.26,1.95518551904,0.0
7022,7022,-0.45,340.5,13852.2513394,21.0297904954,20.2596807477,22.7958178371,24.26,1.95518551904,0.0
7023,7023,-0.4,355.666666667,13852.2513394,20.9863217926,20.2604025461,22.8125357268,24.26,1.95518551904,0.0
7024,7024,-0.35,370.833333333,13852.2513394,20.9766397249,20.2602166418,22.8286401527,24.26,1.95518551904,0.0
7025,7025,-0.3,386.0,13852.2513394,20.9673973728,20.2597650939,22.841184765,24.26,1.95518551904,0.0
7026,7026,-0.25,389.5,13852.2513394,20.9539287953,20.2605581081,22.8508547296,24.26,1.95518551904,0.0
7027,7027,-0.2,393.0,13770.0667656,20.9390354383,20.2603938443,22.8595618058,24.26,1.95518551904,0.0
