,tout,s,i,t1,t2,sp0,m,rh
0,-2.29166666667,0.0,24193.7800738,22.5286110722,20.0000075021,24.0,1.89532890259,0.0
1,-1.78333333333,0.0,24193.7800738,22.3394871243,19.9996574613,24.0,1.89532890259,0.0
2,-1.275,0.0,24193.7800738,22.1405390242,19.9996584489,24.0,1.89532890259,0.0
3,-0.766666666667,0.0,24193.7800738,21.9804622049,19.9999891799,24.0,1.89532890259,0.0
4,-0.258333333333,0.0,24193.7800738,21.8949593673,19.9997301373,24.0,1.89532890259,0.0
5,0.25,0.0,24193.7800738,21.8627670203,19.9992129334,24.0,1.89532890259,0.0
6,0.758333333333,0.0,24193.7800738,21.8506291061,19.9992326192,24.0,1.89532890259,0.0
7,1.26666666667,0.0,24193.7800738,21.8407272885,19.9991381425,24.0,1.89532890259,0.0
8,1.775,0.0,24193.7800738,21.8299629531,19.9991088335,24.0,1.89532890259,0.0
9,2.28333333333,0.0,24193.7800738,21.8205904735,19.9997369417,24.0,1.89532890259,0.0
10,2.79166666667,0.0,24193.7800738,21.8141971526,19.9990480679,24.0,1.89532890259,0.0
11,3.3,0.0,24193.7800738,21.8107914968,19.9995599403,24.0,1.89532890259,0.0
12,3.20833333333,0.0,24193.7800738,21.8112092984,20.1448525355,24.15,1.89532890259,0.0
13,3.11666666667,0.0,24193.7800738,21.8049974617,20.1494690413,24.15,1.89532890259,0.0
14,3.025,0.0,24193.7800738,21.7978253378,20.1494685908,24.15,1.89532890259,0.0
15,2.93333333333,0.0,24193.7800738,21.7944742433,20.1497090938,24.15,1.89532890259,0.0
16,2.84166666667,0.0,24193.7800738,21.7915372975,20.1493143705,24.15,1.89532890259,0.0
17,2.75,0.0,24193.7800738,21.7886486533,20.1495844588,24.15,1.89532890259,0.0
18,2.65833333333,0.0,24193.7800738,21.7856928101,20.1492941902,24.15,1.89532890259,0.0
19,2.56666666667,0.0,24193.7800738,21.7826451735,20.150007432,24.15,1.89532890259,0.0
20,2.475,0.0,24193.7800738,21.7796559275,20.1495311702,24.15,1.89532890259,0.0
21,2.38333333333,0.0,24193.7800738,21.7766610769,20.1493778582,24.15,1.89532890259,0.0
22,2.29166666667,0.0,24193.7800738,21.7735250435,20.1489078178,24.15,1.89532890259,0.0
23,2.2,0.0,24193.7800738,21.7703697978,20.1499490285,24.15,1.89532890259,0.0
24,2.10833333333,0.0,23876.0562057,21.7589162339,20.3032286046,24.31,1.89532890259,0.0
25,2.01666666667,0.0,23876.0562057,21.7446640752,20.3098548167,24.31,1.89532890259,0.0
26,1.925,0.0,23876.0562057,21.735777501,20.3100192044,24.31,1.89532890259,0.0
27,1.83333333333,0.0,23876.0562057,21.7296377049,20.3087457783,24.31,1.89532890259,0.0
28,1.74166666667,0.0,23876.0562057,21.7242752643,20.3095291442,24.31,1.89532890259,0.0
29,1.65,0.0,23876.0562057,21.7187567787,20.3098347243,24.31,1.89532890259,0.0
30,1.55833333333,0.0,23876.0562057,21.7131208526,20.3093615978,24.31,1.89532890259,0.0
31,1.46666666667,0.0,23876.0562057,21.7075577634,20.3094742762,24.31,1.89532890259,0.0
32,1.375,0.0,23876.0562057,21.7021209596,20.3092871291,24.31,1.89532890259,0.0
33,1.28333333333,0.0,23876.0562057,21.6967975569,20.3093749378,24.31,1.89532890259,0.0
34,1.19166666667,0.0,23876.0562057,21.6915310414,20.3098378927,24.31,1.89532890259,0.0
35,1.1,0.0,23876.0562057,21.6862915191,20.3104143863,24.31,1.89532890259,0.0
36,1.1,0.0,23876.0562057,21.6823440646,20.3869625513,24.39,1.89532890259,0.0
37,1.1,0.0,23876.0562057,21.6780350606,20.3891484662,24.39,1.89532890259,0.0
38,1.1,0.0,23876.0562057,21.675088417,20.3894750622,24.39,1.89532890259,0.0
39,1.1,0.0,23876.0562057,21.6723379885,20.3895098034,24.39,1.89532890259,0.0
40,1.1,0.0,23876.0562057,21.6696392948,20.3899358357,24.39,1.89532890259,0.0
41,1.1,0.0,23876.0562057,21.6670033247,20.3905213783,24.39,1.89532890259,0.0
42,1.1,0.0,23876.0562057,21.6644780061,20.3889486952,24.39,1.89532890259,0.0
43,1.1,0.0,23876.0562057,21.6621032077,20.3892486333,24.39,1.89532890259,0.0
44,1.1,0.0,23876.0562057,21.6598067965,20.39030142,24.39,1.89532890259,0.0
45,1.1,0.0,23876.0562057,21.657598083,20.3889072887,24.39,1.89532890259,0.0
46,1.1,0.0,23876.0562057,21.6555104923,20.3890377692,24.39,1.89532890259,0.0
47,1.1,0.0,23876.0562057,21.6534738322,20.3898259459,24.39,1.89532890259,0.0
48,1.15,0.0,23876.0562057,21.6513592288,20.4468025414,24.45,1.89532890259,0.0
49,1.2,0.0,23876.0562057,21.6478854013,20.4499576194,24.45,1.89532890259,0.0
50,1.25,0.0,23876.0562057,21.6448728334,20.448685794,24.45,1.89532890259,0.0
51,1.3,0.0,23876.0562057,21.6419658708,20.4493663813,24.45,1.89532890259,0.0
52,1.35,0.0,23876.0562057,21.6391264396,20.4500494806,24.45,1.89532890259,0.0
53,1.4,0.0,23876.0562057,21.6363846482,20.4492350506,24.45,1.89532890259,0.0
54,1.45,0.0,23876.0562057,21.6337503766,20.449117261,24.45,1.89532890259,0.0
55,1.5,0.0,23876.0562057,21.6311827569,20.4503005085,24.45,1.89532890259,0.0
56,1.55,0.0,23876.0562057,21.6286761895,20.4502843636,24.45,1.89532890259,0.0
57,1.6,0.0,23876.0562057,21.6262684567,20.4505004591,24.45,1.89532890259,0.0
58,1.65,0.0,23876.0562057,21.6239306894,20.4497283921,24.45,1.89532890259,0.0
59,1.7,0.0,23876.0562057,21.6216717694,20.4497068811,24.45,1.89532890259,0.0
60,1.7,0.0,23876.0562057,21.6200413308,20.3907344633,24.39,1.89532890259,0.0
