,Unnamed: 0,tout,s,i,t1,t2,sp0,m,rh
7000,7000,-1.99166666667,42.1666666667,20331.8286073,21.4075903093,20.8428595548,24.94,1.89532890259,0.0
7001,7001,-1.95,46.0,20331.8286073,21.4089715688,20.8600275696,24.94,1.89532890259,0.0
7002,7002,-1.90833333333,59.1666666667,20331.8286073,21.3979393411,20.879906533,24.94,1.89532890259,0.0
7003,7003,-1.86666666667,72.3333333333,20331.8286073,21.3840275218,20.9002655506,24.94,1.89532890259,0.0
7004,7004,-1.825,85.5,20331.8286073,21.373513244,20.919971011,24.94,1.89532890259,0.0
7005,7005,-1.78333333333,98.6666666667,20331.8286073,21.3697633851,20.9397098646,24.94,1.89532890259,0.0
7006,7006,-1.74166666667,111.833333333,20229.0978899,21.366260326,20.9392229528,24.94,1.89532890259,0.0
7007,7007,-1.7,125.0,20229.0978899,21.3623754565,20.9396227754,24.94,1.89532890259,0.0
7008,7008,-1.60833333333,138.166666667,19931.9201653,21.3563287731,20.5406827719,24.46,1.89532890259,0.0
7009,7009,-1.51666666667,151.333333333,19931.9201653,21.348186745,20.4606955059,24.46,1.89532890259,0.0
7010,7010,-1.425,164.5,19931.9201653,21.3380395554,20.4609040878,24.46,1.89532890259,0.0
7011,7011,-1.33333333333,177.666666667,19931.9201653,21.3324158927,20.4598271976,24.46,1.89532890259,0.0
7012,7012,-1.24166666667,190.833333333,19931.9201653,21.3319252027,20.4597344094,24.46,1.89532890259,0.0
7013,7013,-1.15,204.0,19849.7355914,21.3322877166,20.4603091729,24.46,1.89532890259,0.0
7014,7014,-1.05833333333,219.166666667,19849.7355914,21.3329976299,20.45967796,24.46,1.89532890259,0.0
7015,7015,-0.966666666667,234.333333333,19849.7355914,21.3348781264,20.4602994582,24.46,1.89532890259,0.0
7016,7016,-0.875,249.5,19849.7355914,21.3381945518,20.4602778333,24.46,1.89532890259,0.0
7017,7017,-0.783333333333,264.666666667,19849.7355914,21.3427695496,20.4600343099,24.46,1.89532890259,0.0
7018,7018,-0.691666666667,279.833333333,19849.7355914,21.3483573438,20.459812284,24.46,1.89532890259,0.0
7019,7019,-0.6,295.0,19849.7355914,21.3547469084,20.4600297519,24.46,1.89532890259,0.0
7020,7020,-0.55,310.166666667,13852.2513394,21.0977711382,20.2637411855,24.26,1.89532890259,0.0
7021,7021,-0.5,325.333333333,13852.2513394,20.8261043774,20.2610813243,24.26,1.89532890259,0.0
7022,7022,-0.45,340.5,13852.2513394,20.6758946705,20.2596807477,24.26,1.89532890259,0.0
7023,7023,-0.4,355.666666667,13852.2513394,20.6272395155,20.2604025461,24.26,1.89532890259,0.0
7024,7024,-0.35,370.833333333,13852.2513394,20.6169764768,20.2602166418,24.26,1.89532890259,0.0
7025,7025,-0.3,386.0,13852.2513394,20.6091508934,20.2597650939,24.26,1.89532890259,0.0
7026,7026,-0.25,389.5,13852.2513394,20.5972709369,20.2605581081,24.26,1.89532890259,0.0
7027,7027,-0.2,393.0,13770.0667656,20.5836507748,20.2603938443,24.26,1.89532890259,0.0
7028,7028,-0.15,396.5,13770.0667656,20.5725717833,20.2600085401,24.26,1.89532890259,0.0
7029,7029,-0.1,400.0,13770.0667656,20.5652806127,20.260088135,24.26,1.89532890259,0.0
7030,7030,-0.05,403.5,13770.0667656,20.560805879,20.2606892282,24.26,1.89532890259,0.0
7031,7031,0.0,407.0,13770.0667656,20.5579662097,20.2602926129,24.26,1.89532890259,0.0
7032,7032,0.0916666666667,410.5,13385.938609,20.6415775852,20.5369887902,24.64,1.89532890259,391.885642199
7033,7033,0.183333333333,414.0,13385.938609,20.6422027855,20.6396123408,24.64,1.89532890259,137.980993517
7034,7034,0.275,417.5,13385.938609,20.640608643,20.6405435485,24.64,1.89532890259,583.865992304
7035,7035,0.366666666667,421.0,13385.938609,20.6432344301,20.6401662499,24.64,1.89532890259,506.505752001
7036,7036,0.458333333333,424.5,13385.938609,20.6411773798,20.6405412695,24.64,1.89532890259,427.832637764
7037,7037,0.55,428.0,13385.938609,20.6393734887,20.640601186,24.64,1.89532890259,427.824798479
7038,7038,0.641666666667,408.5,13385.938609,20.6401110281,20.6406436147,24.64,1.89532890259,427.822020035
7039,7039,0.733333333333,389.0,13385.938609,20.6425492271,20.6396959544,24.64,1.89532890259,427.820888023
7040,7040,0.825,369.5,13385.938609,20.6416958283,20.640195877,24.64,1.89532890259,387.901487341
7041,7041,0.916666666667,350.0,13385.938609,20.6401934822,20.6399062652,24.64,1.89532890259,387.902773325
7042,7042,1.00833333333,330.5,13385.938609,20.6431518072,20.6408136524,24.64,1.89532890259,427.817464135
7043,7043,1.1,311.0,13385.938609,20.6401328814,20.6396171313,24.64,1.89532890259,347.569474127
7044,7044,1.1,291.5,13385.938609,20.6065557749,20.3950427231,24.39,1.89532890259,0.0
7045,7045,1.1,272.0,13385.938609,20.573889036,20.390159428,24.39,1.89532890259,0.0
7046,7046,1.1,252.5,13385.938609,20.5554540178,20.3900232309,24.39,1.89532890259,0.0
7047,7047,1.1,233.0,13385.938609,20.5489376875,20.389563798,24.39,1.89532890259,0.0
