,Unnamed: 0,z0,z1,z2,z3,z4,z5,tout,s,i,t1,t2,sp0,sp1,sp2,sp3,sp4,sp5,sp,m,rh
7031,7031,20.2599242745,20.2597764548,22.5878600464,20.2599128563,20.5144965275,20.259902033,0.0,407.0,1825.15000215,20.2598906137,19.5555918292,20.26,20.26,20.26,20.26,20.26,20.26,20.26,0.987389863858,10434.7965544
7032,7032,20.6399516628,20.6313117146,22.5699265154,20.6507590411,20.6589454202,20.6453877381,0.0916666666667,410.5,1059.86106255,20.6481292212,19.5521311775,20.64,20.64,20.64,20.64,20.64,20.64,20.64,2.14045237908,15227.6986171
7033,7033,20.6403860723,20.6397257067,22.5657933805,20.640945414,20.6660626582,20.6406888508,0.183333333333,414.0,1059.86106255,20.6405781681,19.5488985107,20.64,20.64,20.64,20.64,20.64,20.64,20.64,0.673014420353,5598.35593622
7034,7034,20.6398879597,20.6396518797,22.596555078,20.6399242669,20.6405690682,20.6399413833,0.275,417.5,1059.86106255,20.6399011581,19.549818686,20.64,20.64,20.64,20.64,20.64,20.64,20.64,1.58084007245,21456.896422
7035,7035,20.6397265604,20.639473226,22.6480285517,20.6399549032,20.6399860795,20.6398210686,0.366666666667,421.0,1059.86106255,20.6398588469,19.5544096465,20.64,20.64,20.64,20.64,20.64,20.64,20.64,1.39324899248,17443.7090305
7036,7036,20.6399050791,20.6398980206,22.7048571278,20.6399531728,20.6399758051,20.6398141528,0.458333333333,424.5,1059.86106255,20.6399301339,19.5609478584,20.64,20.64,20.64,20.64,20.64,20.64,20.64,1.36766074782,17090.3094712
7037,7037,20.6398964137,20.6399118605,22.7605023361,20.6399495112,20.6399817378,20.6398124117,0.55,428.0,1059.86106255,20.639928742,19.5682957604,20.64,20.64,20.64,20.64,20.64,20.64,20.64,1.35114069359,16784.5341077
7038,7038,20.6398914119,20.6399064493,22.8050942321,20.6399462438,20.6399686614,20.6398278734,0.641666666667,408.5,1059.86106255,20.6399264594,19.5747026722,20.64,20.64,20.64,20.64,20.64,20.64,20.64,1.34998247326,16660.1754416
7039,7039,20.639890785,20.6399002396,22.8352043453,20.6399430416,20.6399597585,20.6398451006,0.733333333333,389.0,1059.86106255,20.6399247149,19.5793834182,20.64,20.64,20.64,20.64,20.64,20.64,20.64,1.35206940074,16587.0383793
7040,7040,20.6399024825,20.6398950067,22.8436475869,20.6399401063,20.6399564576,20.6398703037,0.825,369.5,1059.86106255,20.6399252652,19.5809775984,20.64,20.64,20.64,20.64,20.64,20.64,20.64,1.36557434367,16674.9899254
7041,7041,20.6399086891,20.6398892739,22.8389798709,20.6399367856,20.6399492101,20.6398891444,0.916666666667,350.0,1059.86106255,20.6399243173,19.5806174407,20.64,20.64,20.64,20.64,20.64,20.64,20.64,1.37030917814,16672.672742
7042,7042,20.6399139987,20.6398833994,22.8294650036,20.6399332431,20.6399238859,20.6399011157,1.00833333333,330.5,1059.86106255,20.6399216015,19.5795317104,20.64,20.64,20.64,20.64,20.64,20.64,20.64,1.37290438421,16650.0663779
7043,7043,20.6399198504,20.6398775938,22.8173901597,20.639929554,20.6398657867,20.6399087105,1.1,311.0,1059.86106255,20.6399164588,19.5780895067,20.64,20.64,20.64,20.64,20.64,20.64,20.64,1.37496706977,16626.3060377
7044,7044,20.3961958756,20.399451662,22.8010021333,20.4046583912,20.470632906,20.3975199306,1.1,291.5,1059.86106255,20.3983041132,19.577512835,20.39,20.39,20.39,20.39,20.39,20.39,20.39,0.214229176798,1621.05155561
7045,7045,20.3901775564,20.3904108042,22.7689179192,20.3903819668,20.3925379562,20.3901555648,1.1,272.0,1059.86106255,20.3904564772,19.5762370788,20.39,20.39,20.39,20.39,20.39,20.39,20.39,1.56087534945,20511.5336639
7046,7046,20.3898612319,20.3896960486,22.7179976158,20.3899452974,20.3900158044,20.3898306571,1.1,252.5,1059.86106255,20.3898978379,19.5733245979,20.39,20.39,20.39,20.39,20.39,20.39,20.39,1.1381653849,12146.3594757
7047,7047,20.389909446,20.3897324476,22.6620998658,20.3898073548,20.3899288923,20.3898822014,1.1,233.0,1059.86106255,20.3898238282,19.5702671492,20.39,20.39,20.39,20.39,20.39,20.39,20.39,1.23145091687,13826.1430936
7048,7048,20.3897246182,20.3897311101,22.5986685585,20.3898061567,20.3898772597,20.3898990831,1.1,213.5,1059.86106255,20.3898038971,19.5663270696,20.39,20.39,20.39,20.39,20.39,20.39,20.39,1.25258700963,14155.7488114
7049,7049,20.3897488618,20.3897273922,22.5321963693,20.389803331,20.3899052073,20.3899085734,1.1,194.0,1059.86106255,20.3898077937,19.5620558421,20.39,20.39,20.39,20.39,20.39,20.39,20.39,1.26073743396,14276.2039656
7050,7050,20.3897608653,20.389726519,22.474989712,20.3898018726,20.3899180919,20.3899148972,1.1,190.416666667,1059.86106255,20.3898100661,19.5589646127,20.39,20.39,20.39,20.39,20.39,20.39,20.39,1.26505597866,14343.306983
7051,7051,20.3897753154,20.3897267241,22.4307289067,20.3898002945,20.3897308929,20.3899203395,1.1,186.833333333,1059.86106255,20.3897952661,19.5575439296,20.39,20.39,20.39,20.39,20.39,20.39,20.39,1.26885502909,14403.1324517
7052,7052,20.3897872,20.3897272496,22.3955090776,20.3899545313,20.3897448806,20.3896363288,1.1,183.25,1059.86106255,20.3898573516,19.5574574408,20.39,20.39,20.39,20.39,20.39,20.39,20.39,1.27261313119,14463.8131868
7053,7053,20.389797532,20.3897169579,22.3645193115,20.3899536761,20.3897613004,20.3896252699,1.1,179.666666667,1059.86106255,20.3898555755,19.5590365557,20.39,20.39,20.39,20.39,20.39,20.39,20.39,1.25794986593,14177.2953257
7054,7054,20.3898066584,20.3897168519,22.3350411947,20.3899536624,20.3897749349,20.3896376867,1.1,176.083333333,1059.86106255,20.3898587322,19.5613735851,20.39,20.39,20.39,20.39,20.39,20.39,20.39,1.26106334056,14228.6557647
7055,7055,20.3898147003,20.3897176191,22.3062491735,20.3899531406,20.3897850609,20.3896503683,1.1,172.5,1059.86106255,20.389861308,19.5639033311,20.39,20.39,20.39,20.39,20.39,20.39,20.39,1.26304033525,14259.6022428
7056,7056,20.4846470535,20.4846422369,22.2766728339,20.4860856096,20.484708209,20.4849017175,1.1,168.916666667,1059.86106255,20.4855376353,19.562705357,20.49,20.49,20.49,20.49,20.49,20.49,20.49,1.58835147127,20656.36059
7057,7057,20.48958437,20.4894692292,22.2461292306,20.4897832693,20.4895520739,20.4894390516,1.1,165.333333333,1059.86106255,20.4896579484,19.560120853,20.49,20.49,20.49,20.49,20.49,20.49,20.49,1.1791316453,12697.9363926
7058,7058,20.4898860371,20.4898099066,22.2151587106,20.4898788838,20.4898706204,20.4897889732,1.1,161.75,1059.86106255,20.4898609529,19.5545298779,20.49,20.49,20.49,20.49,20.49,20.49,20.49,1.40647068271,16918.460609
7059,7059,20.4898949948,20.4898154544,22.1842738955,20.4898576114,20.4898813494,20.4897966674,1.1,158.166666667,1059.86106255,20.4898520077,19.5494070886,20.49,20.49,20.49,20.49,20.49,20.49,20.49,1.37434526783,16288.4822321
7060,7060,20.4899006816,20.4898197006,22.1538013098,20.4898586553,20.4898906054,20.4898063352,1.1,154.583333333,1059.86106255,20.4898556603,19.5433482627,20.49,20.49,20.49,20.49,20.49,20.49,20.49,1.38034973151,16398.4944857
7061,7061,20.4899063783,20.4898246693,22.1237488175,20.4898616369,20.4898994167,20.4898161539,1.1,151.0,1059.86106255,20.4898604994,19.5370541187,20.49,20.49,20.49,20.49,20.49,20.49,20.49,1.38791251313,16539.0282042
7062,7062,20.4899092871,20.4898263613,22.095619334,20.4898630482,20.4899049194,20.4898220283,1.1,152.333333333,1059.86106255,20.4898630054,19.5314631635,20.49,20.49,20.49,20.49,20.49,20.49,20.49,1.39156983412,16606.6861184
7063,7063,20.4899065564,20.4898268328,22.0764779733,20.4898639045,20.4899041577,20.4898263359,1.1,153.666666667,1059.86106255,20.4898636095,19.527615051,20.49,20.49,20.49,20.49,20.49,20.49,20.49,1.39185267887,16614.6851308
7064,7064,20.4899074427,20.4898269176,22.0607762815,20.4898646321,20.4899071921,20.4898299763,1.1,155.0,1059.86106255,20.4898648313,19.5246833837,20.49,20.49,20.49,20.49,20.49,20.49,20.49,1.39392265708,16653.1948531
7065,7065,20.4899082426,20.4898266987,22.0444238908,20.4898652639,20.4899099819,20.4898331014,1.1,156.333333333,1059.86106255,20.4898658731,19.5219592634,20.49,20.49,20.49,20.49,20.49,20.49,20.49,1.39565736233,16685.5789025
7066,7066,20.4899087434,20.4898262035,22.0268420668,20.4898658075,20.4899123578,20.4898357916,1.1,157.666666667,1059.86106255,20.4898667123,19.5192447202,20.49,20.49,20.49,20.49,20.49,20.49,20.49,1.3970834761,16712.3141765
7067,7067,20.489908937,20.4898254482,22.0089676587,20.4898662697,20.4899143745,20.4898381096,1.1,159.0,1059.86106255,20.4898673654,19.516601169,20.49,20.49,20.49,20.49,20.49,20.49,20.49,1.39822042216,16733.7533847
7068,7068,20.4707994179,20.4707562918,21.992944524,20.4704906058,20.4707703622,20.4707285091,1.15,160.333333333,1059.86106255,20.4706106238,19.5148588248,20.47,20.47,20.47,20.47,20.47,20.47,20.47,1.32648598607,15365.7245467
7069,7069,20.469949278,20.4698662763,21.9793889527,20.4698941166,20.469955234,20.4698813373,1.2,161.666666667,1059.86106255,20.4699010399,19.5142512766,20.47,20.47,20.47,20.47,20.47,20.47,20.47,1.40569833259,16890.4659312
7070,7070,20.4698956234,20.4698003037,21.967820859,20.469838831,20.4699069247,20.4698232536,1.25,163.0,1059.86106255,20.469845052,19.5144632242,20.47,20.47,20.47,20.47,20.47,20.47,20.47,1.3607436384,16023.8488026
7071,7071,20.4698926447,20.4697956123,21.9576089249,20.4698403923,20.4699061211,20.4698222456,1.3,164.333333333,1059.86106255,20.4698448602,19.5152021602,20.47,20.47,20.47,20.47,20.47,20.47,20.47,1.36411002931,16089.4052231
7072,7072,20.4698893242,20.4697899352,21.9484959942,20.469836776,20.4699049212,20.4698201911,1.35,165.666666667,1059.86106255,20.4698414401,19.516276298,20.47,20.47,20.47,20.47,20.47,20.47,20.47,1.35897334803,15992.3510577
7073,7073,20.4698854887,20.4697835472,21.940341545,20.4698326888,20.4699033852,20.4698176992,1.4,167.0,1059.86106255,20.4698375319,19.5176213667,20.47,20.47,20.47,20.47,20.47,20.47,20.47,1.35340532194,15887.5473502
7074,7074,20.469886383,20.4697833578,21.9305992234,20.4698310282,20.4699053743,20.4698196961,1.45,161.666666667,1059.86106255,20.4698371164,19.5186940312,20.47,20.47,20.47,20.47,20.47,20.47,20.47,1.35324093734,15882.7026653
7075,7075,20.4698889869,20.4697857528,21.9182629995,20.4698307688,20.469908574,20.4698235184,1.5,156.333333333,1059.86106255,20.4698383167,19.5192121144,20.47,20.47,20.47,20.47,20.47,20.47,20.47,1.35488457159,15911.5817928
7076,7076,20.4698921016,20.4697889115,21.9039417023,20.4698304788,20.4699120217,20.4698277009,1.55,151.0,1059.86106255,20.4698397226,19.5192506235,20.47,20.47,20.47,20.47,20.47,20.47,20.47,1.35672798432,15943.9327985
7077,7077,20.4698955448,20.4697926817,21.888545548,20.4698308618,20.4699155954,20.4698321718,1.6,145.666666667,1059.86106255,20.4698416672,19.5189814031,20.47,20.47,20.47,20.47,20.47,20.47,20.47,1.35938315238,15991.7538613
7078,7078,20.4698992307,20.4697969646,21.8726302006,20.4698313317,20.4699192367,20.4698368646,1.65,140.333333333,1059.86106255,20.46984379,19.518518865,20.47,20.47,20.47,20.47,20.47,20.47,20.47,1.36231324943,16044.6914297
7079,7079,20.4699030953,20.4698016812,21.8563857364,20.4698320559,20.4699229042,20.4698417276,1.7,135.0,1059.86106255,20.4698461572,19.5179100693,20.47,20.47,20.47,20.47,20.47,20.47,20.47,1.36565985629,16105.5601337
7080,7080,20.8706994081,20.8705018165,21.8476025798,20.900962459,20.8711278907,20.8707266808,1.7,129.666666667,1059.86106255,20.8915548204,19.5177580279,20.88,20.88,20.88,20.88,20.88,20.88,20.88,2.43993767497,20104.4937989
7081,7081,20.8798186494,20.8796988381,21.8305197859,20.8814692669,20.8798472517,20.8797486925,1.7,124.333333333,1059.86106255,20.8804765254,19.5174149947,20.88,20.88,20.88,20.88,20.88,20.88,20.88,0.940012290441,8902.47758758
7082,7082,20.8799049854,20.8796910791,21.8074163384,20.8800028249,20.8795039016,20.8797654597,1.7,119.0,1059.86106255,20.8798903734,19.5170338584,20.88,20.88,20.88,20.88,20.88,20.88,20.88,1.92835994094,27686.9596015
7083,7083,20.879861577,20.8795590166,21.7835338154,20.879818205,20.8798735259,20.8796575006,1.7,113.666666667,1059.86106255,20.8797814883,19.5169864616,20.88,20.88,20.88,20.88,20.88,20.88,20.88,1.72292901534,23120.2819731
7084,7084,20.8798606877,20.8795508141,21.760942448,20.8798147777,20.8798922007,20.8796517487,1.7,108.333333333,1059.86106255,20.8797797514,19.5170465974,20.88,20.88,20.88,20.88,20.88,20.88,20.88,1.72588233392,23184.4099782
7085,7085,20.879864135,20.8795550527,21.7393486954,20.8798131301,20.8798963786,20.8796558694,1.7,103.0,1059.86106255,20.8797804606,19.5171349352,20.88,20.88,20.88,20.88,20.88,20.88,20.88,1.72676957847,23198.8211227
7086,7086,20.8798650944,20.8795538636,21.7190820852,20.8798096719,20.8798976274,20.8796562694,1.7,101.416666667,1059.86106255,20.8797785693,19.517519449,20.88,20.88,20.88,20.88,20.88,20.88,20.88,1.72432240453,23144.1438148
7087,7087,20.8798655372,20.8795515847,21.7001409678,20.8798060712,20.8798985082,20.8796559792,1.7,99.8333333333,1059.86106255,20.8797763171,19.5183178147,20.88,20.88,20.88,20.88,20.88,20.88,20.88,1.72170357504,23086.2157831
7088,7088,20.8798660301,20.8795496784,21.6821461155,20.8798027634,20.8798994294,20.8796560214,1.7,98.25,1059.86106255,20.8797743268,19.5194500432,20.88,20.88,20.88,20.88,20.88,20.88,20.88,1.71944186388,23036.0317545
7089,7089,20.8798665948,20.8795481826,21.6647161572,20.8797997389,20.8799004079,20.8796564211,1.7,96.6666666667,1059.86106255,20.8797726029,19.5208070644,20.88,20.88,20.88,20.88,20.88,20.88,20.88,1.71750137472,22992.7962526
7090,7090,20.8798672161,20.8795470411,21.6476371205,20.8797969755,20.8799014344,20.879657139,1.7,95.0833333333,1059.86106255,20.8797711192,19.5223083532,20.88,20.88,20.88,20.88,20.88,20.88,20.88,1.71584452735,22955.6965187
7091,7091,20.8798678743,20.8795461903,21.6308346852,20.8797944557,20.8799024986,20.8796581359,1.7,93.5,1059.86106255,20.8797698506,19.5239201271,20.88,20.88,20.88,20.88,20.88,20.88,20.88,1.71443896371,22924.0391247
7092,7092,20.4986438968,20.477017482,21.6315949862,20.6245813299,20.4993397954,20.4778730528,1.74166666667,91.9166666667,1135.43424281,20.486692684,19.5239444756,20.39,20.39,20.39,20.39,20.39,20.39,20.39,0.294129223119,1656.89932969
7093,7093,20.390052961,20.3901825072,21.6275256035,20.3939142716,20.3900881952,20.3898048354,1.78333333333,90.3333333333,1135.43424281,20.3917222732,19.5238407778,20.39,20.39,20.39,20.39,20.39,20.39,20.39,1.22396857926,13695.6382813
7094,7094,20.3899073254,20.3897577178,21.6161830568,20.3900822455,20.3896487262,20.389802215,1.825,88.75,1135.43424281,20.3899614273,19.5234147329,20.39,20.39,20.39,20.39,20.39,20.39,20.39,1.47504185366,18369.8513077
7095,7095,20.389889689,20.3897530469,21.6018237269,20.3898806805,20.3899059418,20.3898132926,1.86666666667,87.1666666667,1135.43424281,20.3898590388,19.5225197233,20.39,20.39,20.39,20.39,20.39,20.39,20.39,1.19620663869,13023.8507749
7096,7096,20.3899093251,20.3897846372,21.5876590155,20.3899388461,20.3896730313,20.3898409585,1.90833333333,85.5833333333,1135.43424281,20.3898759809,19.5212565633,20.39,20.39,20.39,20.39,20.39,20.39,20.39,1.30253041209,14930.4150625
7097,7097,20.3899136859,20.3897929826,21.5746078281,20.3899422081,20.3896773598,20.3898487313,1.95,84.0,1135.43424281,20.3898806261,19.5197168648,20.39,20.39,20.39,20.39,20.39,20.39,20.39,1.30969537105,15062.6561177
7098,7098,20.3899186938,20.3898024487,21.5614827702,20.3899434336,20.3896930104,20.389856503,1.99166666667,79.9166666667,1135.43424281,20.3898855211,19.5177908568,20.39,20.39,20.39,20.39,20.39,20.39,20.39,1.31762900428,15209.134231
7099,7099,20.3896292289,20.389811994,21.5474727807,20.389944313,20.3897094059,20.3898639767,2.03333333333,75.8333333333,1135.43424281,20.3898566336,19.5154395256,20.39,20.39,20.39,20.39,20.39,20.39,20.39,1.32555616351,15355.9900584
7100,7100,20.3896360084,20.3898213564,21.5324511699,20.389944408,20.389724926,20.3898708677,2.075,71.75,1135.43424281,20.3898608224,19.5127177655,20.39,20.39,20.39,20.39,20.39,20.39,20.39,1.33271994824,15488.7230926
7101,7101,20.389653495,20.3898300289,21.5167841423,20.3899464608,20.3897393956,20.3898773317,2.11666666667,67.6666666667,1135.43424281,20.38986715,19.5097185201,20.39,20.39,20.39,20.39,20.39,20.39,20.39,1.34051185691,15633.9373044
7102,7102,20.3896710635,20.3898381961,21.5007937125,20.3899485425,20.3897529759,20.389883401,2.15833333333,63.5833333333,1135.43424281,20.3898733221,19.5065254819,20.39,20.39,20.39,20.39,20.39,20.39,20.39,1.34838963154,15781.2018653
7103,7103,20.3896877362,20.3898459659,21.4846054816,20.3899505261,20.3897657787,20.3898891093,2.2,59.5,1135.43424281,20.3898792139,19.5031633316,20.39,20.39,20.39,20.39,20.39,20.39,20.39,1.35674200143,15937.9043151
7104,7104,20.4752031579,20.4746858641,21.4863566576,20.4765889435,20.475412192,20.4749914656,2.25,55.4166666667,1308.01376815,20.4759023567,19.499146953,20.48,20.48,20.48,20.48,20.48,20.48,20.48,1.59407332022,20621.0529622
7105,7105,20.479450347,20.479581361,21.4915758102,20.4797785106,20.4795448601,20.4796473158,2.3,51.3333333333,1308.01376815,20.4796659354,19.494179883,20.48,20.48,20.48,20.48,20.48,20.48,20.48,1.23511692392,13708.4994887
7106,7106,20.4797682251,20.4798782281,21.4899904471,20.4798210461,20.4798267658,20.4799113705,2.35,47.25,1308.01376815,20.4798335837,19.4886858558,20.48,20.48,20.48,20.48,20.48,20.48,20.48,1.42615113886,17223.7115385
7107,7107,20.4797759386,20.4798892416,21.4808613023,20.4799526443,20.479833278,20.4799208198,2.4,43.1666666667,1308.01376815,20.4799062854,19.4828400268,20.48,20.48,20.48,20.48,20.48,20.48,20.48,1.39789748035,16683.3511362
7108,7108,20.4797858828,20.4798939556,21.4674065293,20.4799576316,20.4798404801,20.4799239888,2.45,39.0833333333,1308.01376815,20.4799117393,19.4767862315,20.48,20.48,20.48,20.48,20.48,20.48,20.48,1.4034933956,16790.2972504
7109,7109,20.4797965116,20.4798988064,21.4523987945,20.4799591258,20.4798480966,20.4799273659,2.5,35.0,1308.01376815,20.4799156045,19.4705732984,20.48,20.48,20.48,20.48,20.48,20.48,20.48,1.41153272797,16944.2327573
7110,7110,20.4798038256,20.4799021692,21.4377014498,20.4799602097,20.4798541282,20.4799300479,2.55,32.3333333333,1308.01376815,20.4799184382,19.4643513888,20.48,20.48,20.48,20.48,20.48,20.48,20.48,1.41767008987,17062.2186269
7111,7111,20.4798097425,20.4799049319,21.4238034217,20.4799612026,20.4798595948,20.479507422,2.6,29.6666666667,1308.01376815,20.4798691899,19.4582055053,20.48,20.48,20.48,20.48,20.48,20.48,20.48,1.42326847526,17170.0592659
7112,7112,20.479814698,20.4799072867,21.410563629,20.4799621548,20.4798646545,20.4795015411,2.65,27.0,1308.01376815,20.4798703631,19.4521240909,20.48,20.48,20.48,20.48,20.48,20.48,20.48,1.4287907813,17277.0264447
7113,7113,20.4798195798,20.4799096009,21.3975964678,20.4798182344,20.4798695496,20.4795132078,2.7,24.3333333333,1308.01376815,20.4797988002,19.4460495971,20.48,20.48,20.48,20.48,20.48,20.48,20.48,1.43381613563,17374.4286347
