,z0,tout,s,i,t1,t2,sp0,m,rh
1959,19.5643616126,2.2,0.0,1615.60599926,19.5643616126,20.2697415277,20.27,1.16736017976,19796.0136657
1960,19.5658941502,2.2,0.0,1615.60599926,19.5658941502,20.2697935556,20.27,1.16736017976,19798.2002939
1961,19.5666051661,2.2,0.0,1615.60599926,19.5666051661,20.2697892315,20.27,1.16736017976,19797.7441736
1962,19.5672618731,2.2,0.0,1615.60599926,19.5672618731,20.269858671,20.27,1.16736017976,19797.8389937
1963,19.5676294484,2.2,0.0,1615.60599926,19.5676294484,20.2698585191,20.27,1.16736017976,19797.9477266
1964,19.5674795695,2.2,0.0,1615.60599926,19.5674795695,20.2698559294,20.27,1.16736017976,19798.0153703
1965,19.5667856402,2.2,0.0,1615.60599926,19.5667856402,20.2698536836,20.27,1.16736017976,19798.1174082
1966,19.565622677,2.2,0.0,1615.60599926,19.565622677,20.2698519073,20.27,1.16736017976,19798.2388995
1967,19.5640720986,2.2,0.0,1615.60599926,19.5640720986,20.2698505484,20.27,1.16736017976,19798.2527672
1968,19.5637233436,2.2,0.0,1615.60599926,19.5637233436,20.1929975603,20.19,1.16736017976,19798.6262402
1969,19.5649892148,2.2,0.0,1615.60599926,19.5649892148,20.1899574442,20.19,1.16736017976,19796.1911751
1970,19.5666553748,2.2,0.0,1615.60599926,19.5666553748,20.189826751,20.19,1.16736017976,19799.7187494
1971,19.568577242,2.2,0.0,1615.60599926,19.568577242,20.1898354982,20.19,1.16736017976,19798.430464
1972,19.5707092329,2.2,0.0,1615.60599926,19.5707092329,20.189834137,20.19,1.16736017976,19798.9892799
1973,19.5734711624,2.2,0.0,1615.60599926,19.5734711624,20.1898289517,20.19,1.16736017976,19799.0831494
1974,19.5764085908,2.2,0.0,1615.60599926,19.5764085908,20.1898264193,20.19,1.16736017976,19799.2244425
1975,19.5791973046,2.2,0.0,1615.60599926,19.5791973046,20.1898242048,20.19,1.16736017976,19799.3862334
1976,19.5817974556,2.2,0.0,1615.60599926,19.5817974556,20.1898220751,20.19,1.16736017976,19799.533225
1977,19.5842819087,2.2,0.0,1615.60599926,19.5842819087,20.1898200435,20.19,1.16736017976,19799.6324974
1978,19.5867113963,2.2,0.0,1615.60599926,19.5867113963,20.1898181038,20.19,1.16736017976,19799.7523982
1979,19.5891050263,2.2,0.0,1615.60599926,19.5891050263,20.1898216486,20.19,1.16736017976,19799.9652849
1980,19.5929954064,2.2,0.0,1615.60599926,19.5929954064,20.1802209949,20.18,1.16736017976,19800.9043032
1981,19.5986935658,2.2,0.0,1615.60599926,19.5986935658,20.1798403652,20.18,1.16736017976,19800.6578636
1982,19.6056289706,2.2,0.0,1615.60599926,19.6056289706,20.1798091315,20.18,1.16736017976,19800.8304806
1983,19.6131833933,2.2,0.0,1615.60599926,19.6131833933,20.1798053504,20.18,1.16736017976,19800.8419055
1984,19.6210288549,2.2,0.0,1615.60599926,19.6210288549,20.179850375,20.18,1.16736017976,19800.9684221
1985,19.6290713139,2.2,0.0,1615.60599926,19.6290713139,20.1798482201,20.18,1.16736017976,19801.1264135
1986,19.637306868,2.2,0.0,1615.60599926,19.637306868,20.1798440754,20.18,1.16736017976,19801.3175802
1987,19.6457320689,2.2,0.0,1615.60599926,19.6457320689,20.1798396751,20.18,1.16736017976,19801.5798644
1988,19.6543463327,2.2,0.0,1615.60599926,19.6543463327,20.1798351287,20.18,1.16736017976,19801.6696933
1989,19.6631372045,2.2,0.0,1615.60599926,19.6631372045,20.1798304239,20.18,1.16736017976,19801.8661333
1990,19.6720822726,2.2,0.0,1615.60599926,19.6720822726,20.1798255091,20.18,1.16736017976,19802.0023353
1991,19.6811759004,2.2,0.0,1615.60599926,19.6811759004,20.179820413,20.18,1.16736017976,19802.1772733
1992,19.6823979029,2.2,0.0,1384.80514223,19.6823979029,20.0157070773,20.01,1.16736017976,19810.5700392
1993,19.6785116434,2.2,0.0,1384.80514223,19.6785116434,20.0101250195,20.01,1.16736017976,19801.6537905
1994,19.6735550657,2.2,0.0,1384.80514223,19.6735550657,20.0098434181,20.01,1.16736017976,19803.9771421
1995,19.6692902958,2.2,0.0,1384.80514223,19.6692902958,20.0098282185,20.01,1.16736017976,19802.8778017
1996,19.6656570085,2.2,0.0,1384.80514223,19.6656570085,20.0098364557,20.01,1.16736017976,19803.0277952
1997,19.6621585409,2.2,0.0,1384.80514223,19.6621585409,20.0098435283,20.01,1.16736017976,19803.125014
1998,19.6585018265,2.2,0.0,1384.80514223,19.6585018265,20.0098497389,20.01,1.16736017976,19803.2091711
1999,19.6546357475,2.2,0.0,1384.80514223,19.6546357475,20.0098552521,20.01,1.16736017976,19803.2859706
2000,19.6506084908,2.2,0.0,1384.80514223,19.6506084908,20.009860199,20.01,1.16736017976,19803.3589699
2001,19.6464698377,2.2,0.0,1384.80514223,19.6464698377,20.0098646743,20.01,1.16736017976,19803.3932259
2002,19.6422422691,2.2,0.0,1384.80514223,19.6422422691,20.0098687516,20.01,1.16736017976,19803.443166
2003,19.6379313463,2.2,0.0,1384.80514223,19.6379313463,20.0098724901,20.01,1.16736017976,19803.4978853
2004,19.6204003605,2.15833333333,0.0,692.402571113,19.6204003605,20.2078848435,20.22,1.16736017976,19903.6058733
2005,19.5965084439,2.11666666667,0.0,692.402571113,19.5965084439,20.2192194524,20.22,1.16736017976,19810.821487
2006,19.5765098661,2.075,0.0,692.402571113,19.5765098661,20.2198427547,20.22,1.16736017976,19802.4169335
2007,19.5625152092,2.03333333333,0.0,692.402571113,19.5625152092,20.2198546314,20.22,1.16736017976,19805.3500839
2008,19.5526389233,1.99166666667,0.0,692.402571113,19.5526389233,20.2198753402,20.22,1.16736017976,19804.6907118
2009,19.5442558814,1.95,0.0,692.402571113,19.5442558814,20.2198992985,20.22,1.16736017976,19804.6515516
2010,19.5365550294,1.90833333333,0.0,692.402571113,19.5365550294,20.2198948776,20.22,1.16736017976,19804.5767203
2011,19.5294779456,1.86666666667,0.0,692.402571113,19.5294779456,20.2199021651,20.22,1.16736017976,19804.5935575
2012,19.5230515957,1.825,0.0,692.402571113,19.5230515957,20.2199052852,20.22,1.16736017976,19804.5630729
2013,19.517241259,1.78333333333,0.0,692.402571113,19.517241259,20.2199050262,20.22,1.16736017976,19804.5023465
2014,19.5119563718,1.74166666667,0.0,692.402571113,19.5119563718,20.2199115962,20.22,1.16736017976,19804.5259876
2015,19.5071191635,1.7,0.0,692.402571113,19.5071191635,20.2199064624,20.22,1.16736017976,19804.4982328
2016,19.5053758071,1.7,0.0,692.402571113,19.5053758071,20.2987914238,20.3,1.16736017976,19806.0396234
2017,19.5004334699,1.7,0.0,692.402571113,19.5004334699,20.299858756,20.3,1.16736017976,19804.089904
2018,19.4960444832,1.7,0.0,692.402571113,19.4960444832,20.299808711,20.3,1.16736017976,19804.1415249
2019,19.4928850151,1.7,0.0,692.402571113,19.4928850151,20.299815033,20.3,1.16736017976,19804.5105718
2020,19.4905539611,1.7,0.0,692.402571113,19.4905539611,20.2998187423,20.3,1.16736017976,19804.2344889
2021,19.4885921485,1.7,0.0,692.402571113,19.4885921485,20.2998224579,20.3,1.16736017976,19804.196068
2022,19.48681407,1.7,0.0,692.402571113,19.48681407,20.2997990907,20.3,1.16736017976,19804.1494512
2023,19.4852122395,1.7,0.0,692.402571113,19.4852122395,20.2998023922,20.3,1.16736017976,19804.1391423
2024,19.4838226195,1.7,0.0,692.402571113,19.4838226195,20.2998057177,20.3,1.16736017976,19804.0936235
2025,19.4826589582,1.7,0.0,692.402571113,19.4826589582,20.2998085681,20.3,1.16736017976,19804.0931286
2026,19.4817142908,1.7,0.0,692.402571113,19.4817142908,20.2998106658,20.3,1.16736017976,19804.0594177
2027,19.4809722095,1.7,0.0,692.402571113,19.4809722095,20.2998133213,20.3,1.16736017976,19804.0387179
