,t1,t2,w1,i,s,tout,hsp,m0,csp0
0,22.769967794270396,22.7724969788526,23.165090503928806,0.0,0.0,17.1833333333333,15.6,33.6002108693858,0.0
1,22.764210446578602,22.7679261428504,23.15770429484407,0.0,0.0,17.1666666666667,15.6,33.6002108693858,0.0
2,22.759833275819698,22.763279697083398,23.15093987841023,0.0,0.0,17.15,15.6,33.6002108693858,0.0
3,22.752567522677804,22.7573176040513,23.14385339509598,0.0,0.0,17.1333333333333,15.6,33.6002108693858,0.0
4,22.747665116456698,22.7505507024723,23.137017649333906,0.0,0.0,17.1166666666667,15.6,33.6002108693858,0.0
5,22.7370811180871,22.7417034475667,23.12963635426738,0.0,0.0,17.1,15.6,33.6002108693858,0.0
6,22.7332575787958,22.7365721180255,23.121853325537845,0.0,0.0,17.0833333333333,15.6,33.6002108693858,0.0
7,22.7274485831175,22.729999388808302,23.1148985805685,0.0,0.0,17.0666666666667,15.6,33.6002108693858,0.0
8,22.7223238304309,22.7263126039801,23.107739688348943,0.0,0.0,17.05,15.6,33.6002108693858,0.0
9,22.711212657260898,22.718091211103502,23.101059665768595,0.0,0.0,17.033333333333303,15.6,33.6002108693858,0.0
10,22.701349068146502,22.707422795776896,23.093487364196452,0.0,0.0,17.016666666666698,15.6,33.6002108693858,0.0
11,22.692654260483398,22.698024239533602,23.085899209859946,0.0,0.0,17.0,15.6,33.6002108693858,0.0
12,22.684973374439302,22.6906091100462,23.078375283279197,0.0,0.0,16.975,15.6,33.6002108693858,0.0
13,22.681445680864503,22.683601136103302,23.071330708959398,0.0,0.0,16.95,15.6,33.6002108693858,0.0
14,22.673098065515298,22.676751629378902,23.06426292846093,0.0,0.0,16.925,15.6,33.6002108693858,0.0
15,22.669893661954102,22.6726386676273,23.057060552074468,0.0,0.0,16.9,15.6,33.6002108693858,0.0
16,22.665282034795602,22.667873306978603,23.050505552300677,0.0,0.0,16.875,15.6,33.6002108693858,0.0
17,22.6609014763277,22.664292567365898,23.04385152519271,0.0,0.0,16.85,15.6,33.6002108693858,0.0
18,22.6536114742837,22.658499852719196,23.03750858913166,0.0,0.0,16.825,15.6,33.6002108693858,0.0
19,22.649365500387997,22.652806825187696,23.03123728828762,0.0,0.0,16.8,15.6,33.6002108693858,0.0
20,22.6396250117036,22.6456131261472,23.02461215812039,0.0,0.0,16.775,15.6,33.6002108693858,0.0
21,22.6312709641473,22.6364180882327,23.01757985364217,0.0,0.0,16.75,15.6,33.6002108693858,0.0
22,22.623958134217602,22.6293307635326,23.010440801049818,0.0,0.0,16.725,15.6,33.6002108693858,0.0
23,22.6212297268843,22.623637615386702,23.00372672792771,0.0,0.0,16.7,15.6,33.6002108693858,0.0
24,22.6165141109115,22.6185744066143,22.99715939709292,0.0,0.0,16.675,15.6,33.6002108693858,0.0
25,22.612250721251502,22.615556482891897,22.990552927989086,0.0,0.0,16.65,15.6,33.6002108693858,0.0
26,22.6070405354943,22.609341753109497,22.984368572751983,0.0,0.0,16.625,15.6,33.6002108693858,0.0
27,22.6024752293965,22.606037723705395,22.977869230899092,0.0,0.0,16.6,15.6,33.6002108693858,0.0
28,22.5924853814882,22.5986661755458,22.97185180952929,0.0,0.0,16.575,15.6,33.6002108693858,0.0
29,22.588133499800897,22.590176337360102,22.96499967294576,0.0,0.0,16.55,15.6,33.6002108693858,0.0
30,22.5841647755755,22.5873227714993,22.958418361676856,0.0,0.0,16.525,15.6,33.6002108693858,0.0
31,22.578733333573297,22.581786240058104,22.952357413248716,0.0,0.0,16.5,15.6,33.6002108693858,0.0
32,22.5738019790998,22.577631595047198,22.94598687423716,0.0,0.0,16.475,15.6,33.6002108693858,0.0
33,22.5657572398703,22.5710741016786,22.939892086795943,0.0,0.0,16.45,15.6,33.6002108693858,0.0
34,22.5612181268161,22.564910293770005,22.93382162131242,0.0,0.0,16.425,15.6,33.6002108693858,0.0
35,22.5557631943273,22.5588458994099,22.92737063376266,0.0,0.0,16.4,15.6,33.6002108693858,0.0
36,22.5507929701235,22.5546573078422,22.920912780546022,0.0,0.0,16.375,15.6,33.6002108693858,0.0
37,22.5401704918594,22.546722510500302,22.914772488351158,0.0,0.0,16.35,15.6,33.6002108693858,0.0
38,22.5302623087609,22.537688932841803,22.907919264542464,0.0,0.0,16.325,15.6,33.6002108693858,0.0
39,22.526888448887,22.529027828027896,22.90119174174822,0.0,0.0,16.3,15.6,33.6002108693858,0.0
40,22.521460529141397,22.5238441713381,22.89455402731815,0.0,0.0,16.275,15.6,33.6002108693858,0.0
