,Unnamed: 0,p0,m0
4087,4087,13442.85135,15.5036775
4088,4088,11960.81195,14.7423794
4089,4089,11833.13191,14.67020999
4090,4090,12206.90609,14.87980493
4091,4091,13643.99818,15.58548686
4092,4092,12431.26611,15.00411211
4093,4093,13353.28508,15.49266932
4094,4094,13979.22217,15.79036717
4095,4095,13114.93561,15.36918992
4096,4096,12373.742,14.97190195
4097,4097,12281.72398,14.92135513
4098,4098,12025.46868,14.77871142
4099,4099,12276.21051,14.91383273
4100,4100,11997.87423,14.76361287
4101,4101,13130.28474,15.337009900000002
4102,4102,11960.78812,14.74268362
4103,4103,12676.91772,15.13723186
4104,4104,13830.734869999998,15.73228055
4105,4105,15662.029030000003,16.58364559
4106,4106,16064.88598,16.759509599999998
4107,4107,15689.9606,16.61381739
4108,4108,15750.01926,16.64119482
4109,4109,14140.3301,15.87783967
4110,4110,16083.90246,16.78333154
4111,4111,14774.72714,16.18277089
4112,4112,16430.69255,16.91820099
4113,4113,14716.20848,16.13603904
4114,4114,12811.17871,15.2036957
4115,4115,18321.98132,17.61299107
4116,4116,16655.3788,17.02389796
4117,4117,19496.6478,18.16902523
4118,4118,15901.4612,16.69539079
4119,4119,13033.21578,15.31381851
4120,4120,16169.17741,16.8064617
4121,4121,21478.088030000006,18.8671417
4122,4122,13959.97628,15.77002767
4123,4123,14309.68897,15.95512198
4124,4124,12825.9209,15.21347353
4125,4125,18914.82726,17.87487087
4126,4126,15503.08207,16.52799994
4127,4127,15026.64539,16.30701592
4128,4128,13384.22419,15.48279992
4129,4129,16206.289669999998,16.82854229
4130,4130,14306.43531,15.95984786
4131,4131,17830.83418,17.51333609
4132,4132,12946.46705,15.26952754
4133,4133,17671.5438,17.37599771
4134,4134,15897.50538,16.7058724
4135,4135,15594.02544,16.57002308
4136,4136,13142.61046,15.36915399
4137,4137,15763.52251,16.63091694
4138,4138,14262.00941,15.94694203
4139,4139,15537.75873,16.545561499999998
4140,4140,15137.31194,16.35429778
4141,4141,18097.18706,17.62274652
4142,4142,18198.74808,17.66574914
4143,4143,17203.97689,17.2667047
4144,4144,15621.19575,16.57257939
4145,4145,13634.34027,15.62600879
4146,4146,17461.53949,17.32672092
4147,4147,15196.9445,16.38974049
4148,4148,13548.87275,15.57064018
4149,4149,17339.37695,17.28711155
4150,4150,13266.70646,15.41932199
4151,4151,14337.05736,15.98137432
4152,4152,14996.0322,16.26824271
4153,4153,17434.19546,17.362977100000002
4154,4154,18139.58071,17.65140358
4155,4155,12433.5153,14.99951065
4156,4156,12922.47633,15.25503889
4157,4157,16278.30153,16.8016667
4158,4158,14369.0224,15.99872966
4159,4159,14503.181680000003,16.0632046
4160,4160,17536.05967,17.40293271
4161,4161,20504.04103,18.51315857
4162,4162,15979.579569999998,16.72572349
4163,4163,12625.27506,15.10127719
4164,4164,17453.80081,17.31015669
4165,4165,14477.97748,16.04425078
4166,4166,17788.81508,17.50444187
4167,4167,15686.75631,16.59327735
4168,4168,17100.75705,17.21930544
4169,4169,13399.41572,15.493291199999998
4170,4170,17555.914119999998,17.40705284
4171,4171,21303.31537,18.81200867
4172,4172,12897.4213,15.22837278
4173,4173,15693.70422,16.61592567
4174,4174,14743.60731,16.17558254
4175,4175,21125.0926,18.7443939
4176,4176,20247.19027,18.42412912
4177,4177,15864.529230000002,16.66672781
4178,4178,20216.33833,18.44296472
4179,4179,15334.57779,16.43943172
4180,4180,15656.55809,16.59752081
4181,4181,16457.691759999998,16.95187579
4182,4182,17317.80065,17.3147106
4183,4183,16314.7275,16.88259098
4184,4184,14062.75218,15.84212133
4185,4185,13888.127380000002,15.76140067
4186,4186,16742.00938,17.05453008
4187,4187,17411.96289,17.35108902
4188,4188,12410.04841,14.99085854
4189,4189,14805.127219999997,16.19078767
4190,4190,19033.60006,17.96860924
4191,4191,12216.97374,14.87596943
4192,4192,15394.81854,16.46282593
4193,4193,12795.0465,15.19743944
4194,4194,20305.47421,18.4558862
4195,4195,15136.892130000002,16.34685182
4196,4196,12140.18138,14.83653634
4197,4197,17670.15653,17.36536204
4198,4198,13750.6715,15.68505376
4199,4199,13543.44709,15.58550037
4200,4200,17217.01924,17.23047314
4201,4201,13306.56616,15.46668911
4202,4202,15014.69798,16.30523231
4203,4203,15391.62188,16.47087473
4204,4204,13981.09578,15.75168366
4205,4205,12495.33818,15.03834566
4206,4206,14341.77116,15.98564496
4207,4207,19403.39434,18.08716266
4208,4208,15430.08882,16.49429773
4209,4209,13144.76218,15.36096079
4210,4210,12301.9457,14.93178689
4211,4211,14579.54058,16.06759128
4212,4212,12870.44974,15.23272315
4213,4213,16181.15375,16.79844735
4214,4214,15107.85556,16.34504558
4215,4215,13348.08085,15.40392527
4216,4216,18764.03386,17.88380428
4217,4217,12894.26213,15.24168464
4218,4218,18225.41143,17.66473706
4219,4219,12549.02722,15.0663853
4220,4220,16113.6962,16.797478299999998
4221,4221,17160.16371,17.24239262
4222,4222,12727.07302,15.15352331
4223,4223,16150.97225,16.77733988
4224,4224,14970.35853,16.25680374
4225,4225,13796.54873,15.71465169
4226,4226,14332.08255,15.96854983
4227,4227,11954.02961,14.73293039
4228,4228,18914.28736,17.92602671
4229,4229,17581.599009999998,17.41516019
4230,4230,13080.50368,15.32868557
4231,4231,11647.12581,14.56246617
4232,4232,13872.551269999998,15.74553177
4233,4233,16477.03198,16.88682165
4234,4234,12985.40403,15.29843711
4235,4235,19728.52667,18.23803586
4236,4236,12575.37638,15.06258105
4237,4237,17882.74783,17.53559822
4238,4238,12466.01959,15.008135500000002
4239,4239,14540.74366,16.08141616
4240,4240,15762.7582,16.64475797
4241,4241,13086.66958,15.34291033
4242,4242,14283.42477,15.95134002
4243,4243,13500.57742,15.56406773
4244,4244,12019.84841,14.77159617
4245,4245,15704.13737,16.47657863
4246,4246,17883.801190000002,17.5440055
4247,4247,18917.60053,17.95409073
4248,4248,16592.701119999998,16.91729128
4249,4249,15711.55265,16.60066573
4250,4250,21614.33046,18.9225042
4251,4251,20938.05287,18.70700478
4252,4252,20344.21087,18.45046679
4253,4253,15092.83757,16.32258899
4254,4254,15909.71182,16.71245073
4255,4255,23283.41669,19.50438413
4256,4256,14892.12511,16.18779329
4257,4257,18927.36663,17.95719019
4258,4258,18096.61135,17.63422505
4259,4259,20128.79372,18.41180098
4260,4260,24934.19768,20.03864953
4261,4261,22421.4342,19.22268512
4262,4262,17224.07324,17.12277319
4263,4263,19942.63672,18.3447957
4264,4264,22476.49449,19.23838091
4265,4265,24951.87632,20.04449718
4266,4266,19042.3716,17.99712764
4267,4267,16714.515219999994,17.03330489
4268,4268,23386.3045,19.54427853
4269,4269,17513.26015,17.38894235
4270,4270,17858.82225,17.5337581
4271,4271,23434.03292,19.55657761
4272,4272,21593.33656,18.93796043
4273,4273,24423.31267,19.87671784
