,p0,m0
7897,13958.29404,15.732882199999999
7898,12749.8533,15.17541464
7899,11956.16977,14.73925088
7900,13323.8771,15.47483035
7901,12421.6479,14.99870038
7902,16729.68704,17.05169668
7903,17871.86282,17.52551993
7904,17072.32373,17.21437826
7905,14289.620969999998,15.95178738
7906,16284.273000000001,16.87605963
7907,15360.68524,16.44764763
7908,16558.136590000002,16.99255231
7909,13062.0437,15.33674642
7910,12654.718340000001,15.12413848
7911,12432.325640000001,15.00279199
7912,17624.11878,17.39927718
7913,17927.80209,17.53131879
7914,19813.442740000002,18.29728709
7915,15173.90845,16.36984763
7916,15313.51804,16.42816782
7917,15315.471609999999,16.44425442
7918,16369.25061,16.91273331
7919,21197.04841,18.76270415
7920,11831.68498,14.66928378
7921,20384.53397,18.42777826
7922,13142.40388,15.36590261
7923,13721.036530000001,15.66962657
7924,16016.00886,16.7552751
7925,17852.049580000003,17.5102592
7926,16923.28803,17.1430283
7927,12669.35245,15.125350099999999
7928,12708.0646,15.1491326
7929,13627.359580000002,15.63087886
7930,13426.441369999999,15.5294249
7931,13080.00757,15.34532226
7932,13825.8464,15.68974456
7933,15429.30482,16.48426937
7934,12634.27517,15.11256367
7935,13393.3471,15.51323777
7936,12398.96749,14.98486939
7937,15695.71314,16.50350393
7938,12922.186759999999,15.26695588
7939,11796.97932,14.64956103
7940,14069.612140000001,15.80606625
7941,14810.841769999999,16.16010391
7942,12613.84397,15.10157651
7943,13163.2624,15.38245854
7944,14208.35997,15.86527922
7945,11775.162040000001,14.63706801
7946,13109.94031,15.36430081
7947,15734.235880000002,16.62489031
7948,11796.97932,14.64956103
7949,13714.54535,15.67463022
7950,12857.71405,15.22812572
7951,14069.964240000001,15.83473592
7952,12856.29839,15.23228958
7953,12778.16411,15.18120987
7954,11796.97932,14.64956103
7955,16812.2869,16.91303598
7956,15846.826019999999,16.6766205
7957,11911.5774,14.71428027
7958,14498.453330000002,15.96603086
7959,11796.97932,14.64956103
7960,12060.739290000001,14.797553899999999
7961,12939.98897,15.26912174
7962,13057.95646,15.31574691
7963,19323.493159999998,18.05012552
7964,16657.92968,17.02923014
7965,15486.99845,16.5190586
7966,11796.97932,14.64956103
7967,12420.78735,14.9909813
7968,15892.400169999999,16.70054937
7969,15453.1341,16.4778745
7970,14893.605730000001,16.24647569
7971,14107.08839,15.87106807
7972,13426.736159999999,15.46611246
7973,15493.38625,16.51310916
7974,18049.56407,17.61248934
7975,12805.49214,15.20482845
7976,12300.27057,14.92973032
7977,13845.479140000001,15.74058654
7978,14946.53127,16.25323309
7979,16063.14026,16.73954708
7980,13811.87877,15.71370387
7981,14991.786930000002,16.29448323
7982,13013.750890000001,15.306827400000001
7983,13467.45873,15.55115083
7984,13757.67825,15.68104723
7985,15685.69596,16.57652238
7986,16563.44884,16.99097861
7987,14407.122080000001,15.96340312
7988,13322.90024,15.47452962
7989,15360.14414,16.45618847
7990,16466.51283,16.93388799
7991,14821.59591,16.21457361
7992,21193.807819999998,18.7927238
7993,20894.47394,18.69188788
7994,15407.917130000002,16.43885837
7995,18146.29194,17.65410013
7996,19595.63424,18.2119971
7997,22114.10907,19.10330032
7998,20444.90533,18.52741152
7999,21952.23656,19.06081479
8000,19317.34636,18.10313543
8001,24149.77511,19.7908513
8002,17303.59089,17.26953763
8003,20342.02352,18.480690799999998
8004,20324.9799,18.48397564
8005,17194.023559999998,17.26101076
8006,18737.1635,17.88657883
8007,18794.93769,17.90380155
8008,18726.89066,17.88284298
8009,19340.726590000002,18.11663956
8010,19487.820880000003,18.17511909
8011,19216.77891,18.07054909
8012,20667.975159999998,18.60939642
8013,17187.00718,17.25388912
8014,22014.88478,19.07264647
8015,20802.23499,18.65821238
8016,22482.508680000003,19.24364127
8017,23853.46229,19.69492875
8018,25306.765369999997,20.15465473
8019,17518.66644,17.39747951
8020,18475.3734,17.78417078
