,Unnamed: 0,z0,tout,s,i,t1,t2,sp0,m,rh
8258,8258,23.2767458443,9.0,171.0,8972.86654354,23.2767458443,23.249996202,23.25,0.0,0.0
8259,8259,23.2761172526,8.86666666667,162.0,8972.86654354,23.2761172526,23.2498895857,23.25,0.0,0.0
8260,8260,23.2754749791,8.73333333333,153.0,8972.86654354,23.2754749791,23.249900613,23.25,0.0,0.0
8261,8261,23.2748253918,8.6,144.0,8972.86654354,23.2748253918,23.2499464934,23.25,0.0,0.0
8262,8262,23.2741555557,8.46666666667,136.083333333,8972.86654354,23.2741555557,23.2499154175,23.25,0.0,0.0
8263,8263,23.2734536502,8.33333333333,128.166666667,8972.86654354,23.2734536502,23.2498497543,23.25,0.0,0.0
8264,8264,23.2727148139,8.2,120.25,8972.86654354,23.2727148139,23.2500005467,23.25,0.0,0.0
8265,8265,23.2719393475,8.06666666667,112.333333333,8972.86654354,23.2719393475,23.2500183821,23.25,0.0,0.0
8266,8266,23.2711300454,7.93333333333,104.416666667,8972.86654354,23.2711300454,23.2498588515,23.25,0.0,0.0
8267,8267,23.2702902889,7.8,96.5,8972.86654354,23.2702902889,23.2499478689,23.25,0.0,0.0
8268,8268,23.2699443214,7.65833333333,88.5833333333,8972.86654354,23.2699443214,23.4215425152,23.68,0.0,0.0
8269,8269,23.268884291,7.51666666667,80.6666666667,8972.86654354,23.268884291,23.6773742144,23.68,0.0,0.0
8270,8270,23.2677428711,7.375,72.75,8972.86654354,23.2677428711,23.6800539713,23.68,0.0,0.0
8271,8271,23.2666928563,7.23333333333,0.0,8972.86654354,23.2666928563,23.6803311623,23.68,0.0,0.0
8272,8272,23.2657235237,7.09166666667,0.0,8972.86654354,23.2657235237,23.6803754432,23.68,0.0,0.0
8273,8273,23.2647873237,6.95,0.0,8972.86654354,23.2647873237,23.680110655,23.68,0.0,0.0
8274,8274,23.2638559476,6.80833333333,0.0,8972.86654354,23.2638559476,23.6804185884,23.68,0.0,0.0
8275,8275,23.2629219778,6.66666666667,0.0,8972.86654354,23.2629219778,23.6795288575,23.68,0.0,0.0
8276,8276,23.2619872719,6.525,0.0,8972.86654354,23.2619872719,23.6798610346,23.68,0.0,0.0
8277,8277,23.2610553889,6.38333333333,0.0,8972.86654354,23.2610553889,23.6800429033,23.68,0.0,0.0
8278,8278,23.2601273484,6.24166666667,0.0,8972.86654354,23.2601273484,23.6800472785,23.68,0.0,0.0
8279,8279,23.2592023478,6.1,0.0,8972.86654354,23.2592023478,23.6797682592,23.68,0.0,0.0
8280,8280,23.2524866541,5.95833333333,0.0,8075.34156938,23.2524866541,23.6950778381,24.16,0.0,0.0
8281,8281,23.2412223269,5.81666666667,0.0,8075.34156938,23.2412223269,23.6053032979,24.16,0.0,0.0
8282,8282,23.2321182159,5.675,0.0,8075.34156938,23.2321182159,23.5570237584,24.16,0.0,0.0
8283,8283,23.2262879883,5.53333333333,0.0,8075.34156938,23.2262879883,23.544092256,24.16,0.0,0.0
