,Unnamed: 0,z0,z1,z2,z3,z4,z5,z6,tout,s,i,t1,t2,sp0,sp1,sp2,sp3,sp4,sp5,sp6,sp,m,rh
7000,7000,20.9398887748,22.1086770284,20.9406369242,20.9399304202,22.2790797598,20.9431092876,24.9389242325,-1.99166666667,42.1666666667,75933.6457746,22.9080949212,22.0072972797,20.94,20.94,20.94,20.94,20.94,20.94,20.94,20.94,6.83475277928,2462.46700635
7001,7001,20.9398448214,22.1062008023,20.9410728466,20.9400446602,22.2741532042,20.9408804601,24.9392086068,-1.95,46.0,75933.6457746,22.9087311013,22.0031535882,20.94,20.94,20.94,20.94,20.94,20.94,20.94,20.94,6.84496035951,2449.99113382
7002,7002,20.9402255787,22.1042283533,20.9409604876,20.9402822917,22.2725561235,20.9413435066,24.9393698655,-1.90833333333,59.1666666667,75933.6457746,22.9106171849,22.0010221704,20.94,20.94,20.94,20.94,20.94,20.94,20.94,20.94,6.85340179384,2398.94723901
7003,7003,20.9403712275,22.1023051836,20.9409316043,20.9398822157,22.2702852614,20.9423097422,24.9394767943,-1.86666666667,72.3333333333,75637.8347464,22.9119063813,21.9998822258,20.94,20.94,20.94,20.94,20.94,20.94,20.94,20.94,6.86069547976,2323.2927451
7004,7004,20.9398723951,22.1007982116,20.9397145944,20.940074663,22.2685223525,20.9415664428,24.9395516479,-1.825,85.5,75637.8347464,22.9128586667,21.9993545081,20.94,20.94,20.94,20.94,20.94,20.94,20.94,20.94,6.86703202791,2220.45416918
7005,7005,20.9397944061,22.0999337194,20.9394694276,20.939818195,22.2678808111,20.9415624447,24.9396065885,-1.78333333333,98.6666666667,75342.0237181,22.9141934743,21.9992747419,20.94,20.94,20.94,20.94,20.94,20.94,20.94,20.94,6.87255264499,2146.48499602
7006,7006,20.9400169351,22.0996215502,20.9403199784,20.9399322782,22.2688804915,20.9428168477,24.9396494024,-1.74166666667,111.833333333,75225.3255305,22.9161880991,21.9995004034,20.94,20.94,20.94,20.94,20.94,20.94,20.94,20.94,6.87712470064,2078.95806171
7007,7007,20.9402463883,22.0998481101,20.9397795754,20.9401330725,22.2703932607,20.9425038581,24.9396922421,-1.7,125.0,75046.2126899,22.9182089875,21.9999906824,20.94,20.94,20.94,20.94,20.94,20.94,20.94,20.94,6.88189062039,1975.10291238
7008,7008,20.868275879,22.07711209,20.5748691209,20.904679641,22.2536125665,20.8914492038,24.5505196738,-1.60833333333,138.166666667,66982.2188173,22.7283573432,21.9824309164,20.46,20.46,20.46,20.46,20.46,20.46,20.46,20.46,6.78079012319,186.335018126
7009,7009,20.7691360064,22.0459646301,20.4623329861,20.855253447,22.2312305983,20.8435983671,24.4752311858,-1.51666666667,151.333333333,66982.2188173,22.655659641,21.9562926539,20.46,20.46,20.46,20.46,20.46,20.46,20.46,20.46,6.6898980862,1052.81303917
7010,7010,20.6848180125,22.0200544684,20.4611260025,20.8127195149,22.214119689,20.8270107523,24.4658656414,-1.425,164.5,66982.2188173,22.6508163104,21.9321944566,20.46,20.46,20.46,20.46,20.46,20.46,20.46,20.46,6.72827856011,806.485670083
7011,7011,20.6292770605,22.003794486,20.461359769,20.7841663645,22.2059982641,20.8404964928,24.4621619683,-1.33333333333,177.666666667,66982.2188173,22.6433335306,21.9146922802,20.46,20.46,20.46,20.46,20.46,20.46,20.46,20.46,6.71675247478,729.821424935
7012,7012,20.5968750598,21.9945145301,20.4591619284,20.7669221704,22.2068794936,20.8783471026,24.4606745531,-1.24166666667,190.833333333,66982.2188173,22.6450663706,21.9032170941,20.46,20.46,20.46,20.46,20.46,20.46,20.46,20.46,6.70737239798,706.256064266
7013,7013,20.5776572202,21.9885750684,20.4607856156,20.7562060214,22.2127656817,20.9252066038,24.4600708237,-1.15,204.0,66982.2188173,22.6520051792,21.8956659416,20.46,20.46,20.46,20.46,20.46,20.46,20.46,20.46,6.70150542873,674.408025873
7014,7014,20.5646369607,21.9839521064,20.4599296138,20.7486915022,22.2207100927,20.9730374542,24.4598302013,-1.05833333333,219.166666667,66982.2188173,22.6605367288,21.8903324306,20.46,20.46,20.46,20.46,20.46,20.46,20.46,20.46,6.69693493709,617.383879319
7015,7015,20.5545180838,21.9800385566,20.4601037843,20.7428104048,22.2297075971,21.0213817342,24.4597384102,-0.966666666667,234.333333333,66982.2188173,22.6700369516,21.8862562673,20.46,20.46,20.46,20.46,20.46,20.46,20.46,20.46,6.69331138274,575.611244739
7016,7016,20.5461617345,21.9768135041,20.460388036,20.7380021472,22.2397280257,21.072082058,24.4597050962,-0.875,249.5,66982.2188173,22.6805947929,21.8829788924,20.46,20.46,20.46,20.46,20.46,20.46,20.46,20.46,6.69037977988,524.277695342
7017,7017,20.5392329999,21.9743547432,20.4602997553,20.7340852133,22.2526249482,21.1335355587,24.4596943565,-0.783333333333,264.666666667,66982.2188173,22.6941700896,21.880284668,20.46,20.46,20.46,20.46,20.46,20.46,20.46,20.46,6.68810265164,453.637786571
7018,7018,20.533557562,21.9726918803,20.4599310761,20.7309603229,22.267293842,21.1989093178,24.4596921599,-0.691666666667,279.833333333,66982.2188173,22.7092803769,21.8780470178,20.46,20.46,20.46,20.46,20.46,20.46,20.46,20.46,6.68638565858,398.879913525
7019,7019,20.5289519064,21.9718030407,20.4599490468,20.7285260684,22.2828081176,21.2638499027,24.4596928865,-0.6,295.0,66982.2188173,22.7248786378,21.876164498,20.46,20.46,20.46,20.46,20.46,20.46,20.46,20.46,6.68508332755,342.459828806
7020,7020,20.5248752506,21.9223134854,20.3066809941,20.7263182544,22.1995188121,21.1134817088,24.3394018613,-0.55,310.166666667,52666.0249584,22.6372050416,21.8455657296,20.26,20.26,20.26,20.26,20.26,20.26,20.26,20.26,6.7500041431,0.0
7021,7021,20.5211430245,21.8614063204,20.2651000318,20.7242617126,22.0898374156,20.939394407,24.2912100654,-0.5,325.333333333,52666.0249584,22.5408099317,21.8046872,20.26,20.26,20.26,20.26,20.26,20.26,20.26,20.26,6.73149986599,313.534093698
7022,7022,20.5173419469,21.8164564439,20.2607317164,20.7219315486,22.0099775628,20.8597910368,24.2720755738,-0.45,340.5,52666.0249584,22.4898964035,21.7696025865,20.26,20.26,20.26,20.26,20.26,20.26,20.26,20.26,6.74328715614,134.295684839
7023,7023,20.5136124639,21.7917557786,20.2608738244,20.7195702978,21.9703815486,20.8697812372,24.2644800034,-0.4,355.666666667,52666.0249584,22.4708403394,21.7452846108,20.26,20.26,20.26,20.26,20.26,20.26,20.26,20.26,6.74404070201,78.569781473
7024,7024,20.5099198914,21.779695944,20.260294926,20.7171731926,21.957770575,20.9210491181,24.2614755949,-0.35,370.833333333,52666.0249584,22.4705835648,21.7296979239,20.26,20.26,20.26,20.26,20.26,20.26,20.26,20.26,6.7423195934,25.4951635364
7025,7025,20.5062464227,21.7728492185,20.2718493205,20.7147343757,21.9579653866,20.9807664059,24.2603077088,-0.3,386.0,52666.0249584,22.478425593,21.7194195561,20.26,20.26,20.26,20.26,20.26,20.26,20.26,20.26,6.74092509357,0.0
7026,7026,20.5026135117,21.7675355338,20.3014945764,20.7122757629,21.9619005064,21.0328075979,24.2598657116,-0.25,389.5,52666.0249584,22.4878326794,21.7119889851,20.26,20.26,20.26,20.26,20.26,20.26,20.26,20.26,6.7396769718,0.0
7027,7027,20.4990705306,21.7628301912,20.3429107718,20.7098427193,21.9662458843,21.0761310897,24.2597066127,-0.2,393.0,52666.0249584,22.496803431,21.7061318268,20.26,20.26,20.26,20.26,20.26,20.26,20.26,20.26,6.73863460989,0.0
7028,7028,20.4956741455,21.7588432523,20.3885823393,20.7074900723,21.9707318649,21.1154933275,24.2596567529,-0.15,396.5,52666.0249584,22.5055717336,21.7012971044,20.26,20.26,20.26,20.26,20.26,20.26,20.26,20.26,6.73787652753,0.0
7029,7029,20.4924598525,21.7557260488,20.4344690406,20.7052520458,21.975756411,21.1543358652,24.2596476694,-0.1,400.0,52666.0249584,22.5145884957,21.6972239924,20.26,20.26,20.26,20.26,20.26,20.26,20.26,20.26,6.73725820612,0.0
7030,7030,20.489446301,21.7534660467,20.4795607214,20.703148176,21.9815034839,21.193616278,24.2596535,-0.05,403.5,52666.0249584,22.5240305032,21.6937447894,20.26,20.26,20.26,20.26,20.26,20.26,20.26,20.26,6.73680906659,0.0
7031,7031,20.4866408224,21.7519616661,20.5238564419,20.7011883067,21.9879004468,21.232890451,24.2596644828,0.0,407.0,52666.0249584,22.5337916366,21.690725277,20.26,20.26,20.26,20.26,20.26,20.26,20.26,20.26,6.73650485972,0.0
7032,7032,20.6586988725,21.7164454346,20.6572420403,20.6798947278,21.9631199398,21.2388020751,24.5910685284,0.0916666666667,410.5,40570.0341495,22.4345940188,21.6627549292,20.64,20.64,20.64,20.64,20.64,20.64,20.64,20.64,6.10031776345,376.44469988
7033,7033,20.7000980814,21.6675845398,20.674800918,20.6477960464,21.9295702903,21.2579352898,24.6338734404,0.183333333333,414.0,40570.0341495,22.4426766918,21.6204322874,20.64,20.64,20.64,20.64,20.64,20.64,20.64,20.64,6.13142090131,0.0
7034,7034,20.641370136,21.6280849693,20.6446861663,20.6400143505,21.9051990303,21.2949108046,24.6379748972,0.275,417.5,40570.0341495,22.4131135405,21.5806325962,20.64,20.64,20.64,20.64,20.64,20.64,20.64,20.64,6.07208282186,146.83522379
7035,7035,20.6402796647,21.6037512182,20.6404509834,20.6401606381,21.8930093798,21.3380066863,24.6392688356,0.366666666667,421.0,40570.0341495,22.4123522106,21.550987469,20.64,20.64,20.64,20.64,20.64,20.64,20.64,20.64,6.06934784078,397.779227153
7036,7036,20.6402593204,21.5898551499,20.6546426563,20.6402901494,21.888673215,21.379335443,24.6396502153,0.458333333333,424.5,40570.0341495,22.414269637,21.5308927862,20.64,20.64,20.64,20.64,20.64,20.64,20.64,20.64,6.06201273579,215.333727381
7037,7037,20.6403040182,21.5808710538,20.6820456034,20.639816656,21.8881686299,21.418263131,24.639757652,0.55,428.0,40570.0341495,22.4184752835,21.5170777942,20.64,20.64,20.64,20.64,20.64,20.64,20.64,20.64,6.05520514706,253.279723858
7038,7038,20.6400888878,21.5736882639,20.7021252362,20.6398481304,21.8864473999,21.4408509299,24.639788934,0.641666666667,408.5,40570.0341495,22.4196561859,21.5067253243,20.64,20.64,20.64,20.64,20.64,20.64,20.64,20.64,6.04940488586,262.933998775
7039,7039,20.6403143898,21.5672470173,20.7041851496,20.6402164719,21.8810408646,21.441996667,24.6398014159,0.733333333333,389.0,40570.0341495,22.4152879844,21.4982348319,20.64,20.64,20.64,20.64,20.64,20.64,20.64,20.64,6.04445203956,269.995353001
7040,7040,20.6399431843,21.5613235901,20.6778775272,20.6398684843,21.8684798087,21.4140560842,24.6398088953,0.825,369.5,40570.0341495,22.4019517777,21.4908849285,20.64,20.64,20.64,20.64,20.64,20.64,20.64,20.64,6.04022499484,267.714295198
7041,7041,20.640398155,21.5557012399,20.6426785498,20.6400488828,21.8511264123,21.369317095,24.6398132664,0.916666666667,350.0,40570.0341495,22.3834530724,21.4843733015,20.64,20.64,20.64,20.64,20.64,20.64,20.64,20.64,6.03647047829,307.238680775
7042,7042,20.6403462826,21.5500779667,20.6407080485,20.6398681615,21.8319975746,21.3199067628,24.6398166999,1.00833333333,330.5,40570.0341495,22.3648551795,21.4785372696,20.64,20.64,20.64,20.64,20.64,20.64,20.64,20.64,6.03319983958,413.752040068
7043,7043,20.6402553726,21.5441707802,20.6391134493,20.6403301005,21.8122692034,21.26916735,24.6398193673,1.1,311.0,40570.0341495,22.3458759161,21.4732384242,20.64,20.64,20.64,20.64,20.64,20.64,20.64,20.64,6.03024501327,430.824126984
7044,7044,20.5955577077,21.5381829545,20.5660701118,20.6172200787,21.7922648831,21.2163859843,24.4716654252,1.1,291.5,40570.0341495,22.3132603462,21.4684270852,20.39,20.39,20.39,20.39,20.39,20.39,20.39,20.39,6.1193827385,0.0
7045,7045,20.5366086237,21.5320019818,20.4505639701,20.5861509056,21.7678324211,21.144555879,24.4161106059,1.1,272.0,40570.0341495,22.2555654547,21.4639719878,20.39,20.39,20.39,20.39,20.39,20.39,20.39,20.39,6.07948540634,0.0
7046,7046,20.4884662709,21.524992964,20.3956303961,20.5600461878,21.7382388587,21.0532519505,24.3983222781,1.1,252.5,40570.0341495,22.2246985351,21.4595990265,20.39,20.39,20.39,20.39,20.39,20.39,20.39,20.39,6.09575645749,192.91004757
7047,7047,20.4571414089,21.5173825085,20.3893294295,20.5422592599,21.7076091251,20.9605071365,24.3925799916,1.1,233.0,40570.0341495,22.191581562,21.45546327,20.39,20.39,20.39,20.39,20.39,20.39,20.39,20.39,6.09245729723,264.348920785
7048,7048,20.438116786,21.5090690035,20.3889749524,20.5306279582,21.6742145681,20.8584980085,24.3907271052,1.1,213.5,40570.0341495,22.1570920959,21.4515666998,20.39,20.39,20.39,20.39,20.39,20.39,20.39,20.39,6.08901905912,351.978021074
7049,7049,20.425445413,21.4999036771,20.3903967863,20.5221889126,21.6396354624,20.753484882,24.3901302532,1.1,194.0,40570.0341495,22.1222199153,21.4478618675,20.39,20.39,20.39,20.39,20.39,20.39,20.39,20.39,6.08608288706,453.624100806
