,z0,tout,s,i,t1,t2,sp0,m,rh
0,22.1728226601,-2.29166666667,0.0,16811.1767935,22.1728226601,23.266352584,20.0,0.977875311885,0.0
1,22.161492952,-1.78333333333,0.0,16811.1767935,22.161492952,23.2426746289,20.0,0.977875311885,0.0
2,22.1448946468,-1.275,0.0,16811.1767935,22.1448946468,23.2129261204,20.0,0.977875311885,0.0
3,22.1271490504,-0.766666666667,0.0,16811.1767935,22.1271490504,23.1849253182,20.0,0.977875311885,0.0
4,22.1123952421,-0.258333333333,0.0,16811.1767935,22.1123952421,23.1657719685,20.0,0.977875311885,0.0
5,22.1017254681,0.25,0.0,16811.1767935,22.1017254681,23.1551921006,20.0,0.977875311885,0.0
6,22.0943765954,0.758333333333,0.0,16811.1767935,22.0943765954,23.1497511191,20.0,0.977875311885,0.0
7,22.0892041632,1.26666666667,0.0,16811.1767935,22.0892041632,23.1466769797,20.0,0.977875311885,0.0
8,22.0853385582,1.775,0.0,16811.1767935,22.0853385582,23.1446657576,20.0,0.977875311885,0.0
9,22.0822832099,2.28333333333,0.0,16811.1767935,22.0822832099,23.1434374503,20.0,0.977875311885,0.0
10,22.0797773735,2.79166666667,0.0,16811.1767935,22.0797773735,23.1429883707,20.0,0.977875311885,0.0
11,22.0776841001,3.3,0.0,16811.1767935,22.0776841001,23.1433435094,20.0,0.977875311885,0.0
12,22.076429344,3.20833333333,0.0,16811.1767935,22.076429344,23.1688221062,20.15,0.977875311885,0.0
13,22.0747840347,3.11666666667,0.0,16811.1767935,22.0747840347,23.1787479768,20.15,0.977875311885,0.0
14,22.0730952186,3.025,0.0,16811.1767935,22.0730952186,23.1777410226,20.15,0.977875311885,0.0
15,22.0718519398,2.93333333333,0.0,16811.1767935,22.0718519398,23.1769176472,20.15,0.977875311885,0.0
16,22.0707407686,2.84166666667,0.0,16811.1767935,22.0707407686,23.174434268,20.15,0.977875311885,0.0
17,22.0697429497,2.75,0.0,16811.1767935,22.0697429497,23.171985595,20.15,0.977875311885,0.0
18,22.0688326095,2.65833333333,0.0,16811.1767935,22.0688326095,23.1693211125,20.15,0.977875311885,0.0
19,22.0679841468,2.56666666667,0.0,16811.1767935,22.0679841468,23.1664303848,20.15,0.977875311885,0.0
20,22.0672008776,2.475,0.0,16811.1767935,22.0672008776,23.1635399544,20.15,0.977875311885,0.0
21,22.066471587,2.38333333333,0.0,16811.1767935,22.066471587,23.1606662531,20.15,0.977875311885,0.0
22,22.0657760754,2.29166666667,0.0,16811.1767935,22.0657760754,23.1576107757,20.15,0.977875311885,0.0
23,22.0651244134,2.2,0.0,16811.1767935,22.0651244134,23.1545497196,20.15,0.977875311885,0.0
