,z0,z1,z2,z3,z4,z5,z6,tout,s,i,t1,t2,sp0,sp1,sp2,sp3,sp4,sp5,sp6,sp,m,rh
21,21.1575357949,22.7140775307,20.1506948435,21.3078351628,23.198143069,22.2908830549,24.1497471041,2.38333333333,0.0,80924.9755838,23.1606662531,22.066471587,20.15,20.15,20.15,20.15,20.15,20.15,20.15,20.15,6.42288273513,150.510892883
22,21.1538671188,22.7091484824,20.1499739141,21.3039573425,23.1943130614,22.2848851286,24.1497370192,2.29166666667,0.0,80924.9755838,23.1576107757,22.0657760754,20.15,20.15,20.15,20.15,20.15,20.15,20.15,20.15,6.42198211358,150.512128069
23,21.150300715,22.7043949474,20.1492858867,21.3001968234,23.1904846974,22.2786132177,24.1497271589,2.2,0.0,80924.9755838,23.1545497196,22.0651244134,20.15,20.15,20.15,20.15,20.15,20.15,20.15,20.15,6.42124803307,161.225023797
24,21.1399912641,22.674262159,20.2956066535,21.2812755264,23.1658317467,22.2587726673,24.2592488647,2.10833333333,0.0,72683.4950943,23.1070599322,22.0449763321,20.31,20.31,20.31,20.31,20.31,20.31,20.31,20.31,6.03052424811,633.986262722
25,21.1267098034,22.6352441694,20.3088467625,21.2556186859,23.133170376,22.2351574536,24.2937141249,2.01666666667,0.0,72683.4950943,23.0944304814,22.0161403365,20.31,20.31,20.31,20.31,20.31,20.31,20.31,20.31,6.02880507359,234.171607959
26,21.1146832272,22.6037549305,20.3110937907,21.2327388981,23.1063588233,22.2176766407,24.3047127883,1.925,0.0,72683.4950943,23.0753932692,21.9905991776,20.31,20.31,20.31,20.31,20.31,20.31,20.31,20.31,6.00674737824,435.542930237
27,21.1048151938,22.5823995497,20.3107448286,21.2151349019,23.0876183726,22.2047670966,24.308143856,1.83333333333,0.0,72683.4950943,23.0619858115,21.9720963369,20.31,20.31,20.31,20.31,20.31,20.31,20.31,20.31,5.99759490242,408.145553854
28,21.0965566277,22.5677947468,20.3104946446,21.2016874555,23.0744514657,22.1935814558,24.3092108034,1.74166666667,0.0,72683.4950943,23.0517015021,21.9596735403,20.31,20.31,20.31,20.31,20.31,20.31,20.31,20.31,5.99048767914,417.328178016
29,21.0891196079,22.5561732616,20.3102217637,21.1905723643,23.0639045374,22.1823326619,24.3095373958,1.65,0.0,72683.4950943,23.0427858024,21.9511217643,20.31,20.31,20.31,20.31,20.31,20.31,20.31,20.31,5.98407633899,426.47704015
30,21.0820396437,22.5455452831,20.3094935688,21.180609381,23.054353236,22.1707119062,24.3096349475,1.55833333333,0.0,72683.4950943,23.0344425392,21.944745783,20.31,20.31,20.31,20.31,20.31,20.31,20.31,20.31,5.97848259409,435.579287804
31,21.0751350998,22.5353032253,20.3115134638,21.1712689855,23.0452330563,22.1589626457,24.3096611447,1.46666666667,0.0,72683.4950943,23.0265277673,21.9396029382,20.31,20.31,20.31,20.31,20.31,20.31,20.31,20.31,5.97348224531,453.656110299
32,21.068365733,22.5254136114,20.3102252795,21.1623740211,23.0364489859,22.147289064,24.3096652845,1.375,0.0,72683.4950943,23.0187666564,21.9352477305,20.31,20.31,20.31,20.31,20.31,20.31,20.31,20.31,5.96898647439,453.656172292
33,21.0617372637,22.5159403413,20.3101389967,21.1538738166,23.0280184882,22.1357571055,24.3096631075,1.28333333333,0.0,72683.4950943,23.0113623168,21.9314719843,20.31,20.31,20.31,20.31,20.31,20.31,20.31,20.31,5.96495195406,471.562440611
34,21.0552523646,22.5068787611,20.3103285083,21.1457318191,23.0199228949,22.1243285075,24.3096591574,1.19166666667,0.0,72683.4950943,23.0042417398,21.9281479817,20.31,20.31,20.31,20.31,20.31,20.31,20.31,20.31,5.96127867091,480.453347072
35,21.0489057327,22.498177541,20.3096870839,21.1379063465,23.0121150031,22.1129624441,24.3096550973,1.1,0.0,72683.4950943,22.9973201401,21.9251782051,20.31,20.31,20.31,20.31,20.31,20.31,20.31,20.31,5.95792673753,489.302995034
36,21.043013937,22.4901672778,20.3828947667,21.1306961541,23.0051395573,22.103285785,24.3653621278,1.1,0.0,72683.4950943,23.0010889443,21.9225493546,20.39,20.39,20.39,20.39,20.39,20.39,20.39,20.39,5.92592302588,698.351215939
37,21.0374806655,22.4823877777,20.3892274539,21.1239346113,22.9984818731,22.0942341991,24.3822473403,1.1,0.0,72683.4950943,23.0024062915,21.9199862388,20.39,20.39,20.39,20.39,20.39,20.39,20.39,20.39,5.93546131194,498.160680019
38,21.0324090589,22.4752727462,20.3905826581,21.1177564568,22.9926423299,22.08665762,24.3874399491,1.1,0.0,72683.4950943,22.9973612669,21.9176734609,20.39,20.39,20.39,20.39,20.39,20.39,20.39,20.39,5.92759854339,600.786817141
39,21.0276230338,22.4685216427,20.3898396104,21.1119536067,22.9872012168,22.0794841485,24.3890166446,1.1,0.0,72683.4950943,22.9930748716,21.9154999024,20.39,20.39,20.39,20.39,20.39,20.39,20.39,20.39,5.92587113679,584.076651974
40,21.0230437901,22.4620606858,20.39036306,21.1064353926,22.9820330851,22.0724725537,24.3894999746,1.1,0.0,72683.4950943,22.9888305373,21.9134422289,20.39,20.39,20.39,20.39,20.39,20.39,20.39,20.39,5.92445657353,592.45995162
41,21.0186292204,22.4558446701,20.3897074804,21.1011488686,22.9770723246,22.0655987276,24.3896487005,1.1,0.0,72683.4950943,22.9845710933,21.9114809881,20.39,20.39,20.39,20.39,20.39,20.39,20.39,20.39,5.92294312897,592.460086196
42,21.0143609898,22.4498477236,20.3897752175,21.0960664632,22.9722920303,22.0589042874,24.3896956507,1.1,0.0,72683.4950943,22.9804552592,21.9096021695,20.39,20.39,20.39,20.39,20.39,20.39,20.39,20.39,5.92146700245,600.814669131
43,21.0102322127,22.4440572962,20.3914903729,21.091174156,22.9676863138,22.052424578,24.3897114106,1.1,0.0,72683.4950943,22.9765485079,21.9077985719,20.39,20.39,20.39,20.39,20.39,20.39,20.39,20.39,5.92006149896,609.131876462
44,21.0062295488,22.4384394632,20.3914258163,21.0864504797,22.9632171872,22.0461064311,24.3897168769,1.1,0.0,72683.4950943,22.9726658993,21.9060543492,20.39,20.39,20.39,20.39,20.39,20.39,20.39,20.39,5.91865090971,609.134444226
45,21.0023471095,22.4329839895,20.391587051,21.0818844711,22.9588738953,22.0399456813,24.3897197529,1.1,0.0,72683.4950943,22.9689080221,21.9043643282,20.39,20.39,20.39,20.39,20.39,20.39,20.39,20.39,5.91732552327,617.418052223
46,20.9985820629,22.4276902425,20.3902317235,21.0774698275,22.9546594084,22.0339570457,24.3897215858,1.1,0.0,72683.4950943,22.9652022025,21.9027281938,20.39,20.39,20.39,20.39,20.39,20.39,20.39,20.39,5.91606795464,617.415574212
47,20.9949221686,22.4225307165,20.3898137548,21.0731888127,22.9505448461,22.0280862938,24.389722316,1.1,0.0,72683.4950943,22.9616064385,21.9011340839,20.39,20.39,20.39,20.39,20.39,20.39,20.39,20.39,5.91479440761,625.667447927
48,20.9910654526,22.417300401,20.4459511538,21.0687463209,22.9464056867,22.0222000823,24.4317483259,1.15,0.0,72683.4950943,22.964872625,21.8996331852,20.45,20.45,20.45,20.45,20.45,20.45,20.45,20.45,5.89165549184,783.739544834
49,20.986783288,22.4115633383,20.4488016019,21.0638747325,22.9417439358,22.0154199668,24.4443052991,1.2,0.0,72683.4950943,22.9661228654,21.8980590348,20.45,20.45,20.45,20.45,20.45,20.45,20.45,20.45,5.89936885275,625.709781177
50,20.9822994993,22.4058182625,20.45079552,21.0588297394,22.9371259338,22.0089969034,24.4481019427,1.25,0.0,72683.4950943,22.962009666,21.8965742297,20.45,20.45,20.45,20.45,20.45,20.45,20.45,20.45,5.89371273352,714.170498589
51,20.9776993388,22.4000712325,20.4511280195,21.0536815611,22.9325029508,22.0027234425,24.4492359235,1.3,0.0,72683.4950943,22.9583770241,21.8951246314,20.45,20.45,20.45,20.45,20.45,20.45,20.45,20.45,5.89267438019,698.395175592
52,20.9730639285,22.394378452,20.4519930844,21.0485076501,22.9279118305,21.9965815664,24.4495764525,1.35,0.0,72683.4950943,22.9546285151,21.8936992861,20.45,20.45,20.45,20.45,20.45,20.45,20.45,20.45,5.89168154381,706.310035974
53,20.9684377933,22.3887710009,20.4513713093,21.0433526462,22.9233844824,21.9905864188,24.4496788761,1.4,0.0,72683.4950943,22.950797185,21.892298966,20.45,20.45,20.45,20.45,20.45,20.45,20.45,20.45,5.89060308502,706.308336468
54,20.9638375621,22.3832512074,20.4514384682,21.0382336389,22.9189302214,21.9847380513,24.4497096894,1.45,0.0,72683.4950943,22.947030667,21.8909240924,20.45,20.45,20.45,20.45,20.45,20.45,20.45,20.45,5.88948689986,714.19238361
55,20.959264134,22.3778004366,20.4502935854,21.0331505916,22.9145343677,21.9790031171,24.4497187696,1.5,0.0,72683.4950943,22.9432464445,21.8895690011,20.45,20.45,20.45,20.45,20.45,20.45,20.45,20.45,5.88832826553,714.193816499
56,20.9547182634,22.3724092067,20.4500861777,21.0281037555,22.9101909485,21.973373263,24.4497217198,1.55,0.0,72683.4950943,22.939544914,21.8882309784,20.45,20.45,20.45,20.45,20.45,20.45,20.45,20.45,5.88717095456,722.048558429
57,20.9502048669,22.3670832801,20.4488600543,21.0230985716,22.9059104899,21.9678719876,24.4497230504,1.6,0.0,72683.4950943,22.9358608575,21.8869133136,20.45,20.45,20.45,20.45,20.45,20.45,20.45,20.45,5.88603970461,722.046515111
58,20.9457229027,22.3618133869,20.4515263193,21.0181329171,22.9016838192,21.9624779305,24.4497234109,1.65,0.0,72683.4950943,22.9323784722,21.8856123607,20.45,20.45,20.45,20.45,20.45,20.45,20.45,20.45,5.88488099226,737.662180283
59,20.9412740981,22.3566003345,20.4507256275,21.0132083469,22.8975135083,21.957194846,24.4497237503,1.7,0.0,72683.4950943,22.9288053889,21.8843288146,20.45,20.45,20.45,20.45,20.45,20.45,20.45,20.45,5.88375022793,729.868871465
60,20.9373909243,22.3518462843,20.3968114074,21.0088443976,22.8937355131,21.952641589,24.4078458046,1.7,0.0,72683.4950943,22.919162959,21.8829974876,20.39,20.39,20.39,20.39,20.39,20.39,20.39,20.39,5.90459446527,592.488811541
61,20.9343835551,22.3480621372,20.3899517337,21.0053928138,22.8909407191,21.949808853,24.3952067073,1.7,0.0,72683.4950943,22.9114106154,21.8817948788,20.39,20.39,20.39,20.39,20.39,20.39,20.39,20.39,5.89496038008,737.609485816
62,20.9319489678,22.3446390486,20.3915001093,21.0025155105,22.8884487883,21.9471261903,24.3914184479,1.7,0.0,72683.4950943,22.909617432,21.8805451505,20.39,20.39,20.39,20.39,20.39,20.39,20.39,20.39,5.89852016884,682.488764553
63,20.9299094101,22.3414942609,20.3922880735,21.0000498937,22.8862342319,21.9446403376,24.3902873505,1.7,0.0,72683.4950943,22.9075016547,21.8793116197,20.39,20.39,20.39,20.39,20.39,20.39,20.39,20.39,5.89767994115,690.437328131
64,20.9281015575,22.3384783494,20.3904288033,20.9978307378,22.8841553081,21.9421948834,24.3899416096,1.7,0.0,72683.4950943,22.9055065068,21.8780906995,20.39,20.39,20.39,20.39,20.39,20.39,20.39,20.39,5.89668574438,690.444218014
65,20.9264426919,22.3355312779,20.3901383177,20.9957720266,22.8821462569,21.939763552,24.3898341703,1.7,0.0,72683.4950943,22.9037213951,21.8768786961,20.39,20.39,20.39,20.39,20.39,20.39,20.39,20.39,5.89586783207,698.394824777
66,20.9249029056,22.3326517857,20.3901892965,20.9938415787,22.8801991179,21.937388083,24.3898014981,1.7,0.0,72683.4950943,22.9020384365,21.8756779474,20.39,20.39,20.39,20.39,20.39,20.39,20.39,20.39,5.89514770928,698.393756687
67,20.923466663,22.3298370358,20.3893986177,20.9920208782,22.8783034803,21.9350659728,24.3897926168,1.7,0.0,72683.4950943,22.9003704547,21.874485469,20.39,20.39,20.39,20.39,20.39,20.39,20.39,20.39,5.89444852218,698.395449529
68,20.9221268888,22.3270932337,20.3906330281,20.9903016384,22.8764636954,21.9328100688,24.3897913731,1.7,0.0,72683.4950943,22.8988489052,21.8733032871,20.39,20.39,20.39,20.39,20.39,20.39,20.39,20.39,5.89381350447,706.311758214
69,20.9208730909,22.3244114493,20.3918100346,20.988671622,22.8746684294,21.9305982353,24.3897917894,1.7,0.0,72683.4950943,22.8973602394,21.8721283622,20.39,20.39,20.39,20.39,20.39,20.39,20.39,20.39,5.8931831182,706.313499152
70,20.9196996867,22.321793707,20.3916510968,20.9871250078,22.8729208461,21.9284412371,24.3897927667,1.7,0.0,72683.4950943,22.8958663669,21.8709628897,20.39,20.39,20.39,20.39,20.39,20.39,20.39,20.39,5.89260695417,706.312532876
71,20.918598214,22.3192308684,20.390281912,20.9856521997,22.8712103742,21.9263218462,24.3897935599,1.7,0.0,72683.4950943,22.8943493928,21.8698039722,20.39,20.39,20.39,20.39,20.39,20.39,20.39,20.39,5.89202830272,706.314262427
72,20.9240151397,22.3422632619,20.4886601615,20.9991600728,22.8905892692,21.9382205812,24.462398868,1.74166666667,0.0,80924.9755838,22.9971860716,21.8884538822,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,6.16981251946,915.510990362
73,20.931270524,22.3723389013,20.499804309,21.0181251074,22.9156826139,21.9491255081,24.4869453021,1.78333333333,0.0,80924.9755838,23.027384749,21.9150895422,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,6.20432921301,642.137271471
74,20.936973544,22.3954291215,20.5006498857,21.0340830703,22.9352742215,21.95475173,24.4954453087,1.825,0.0,80924.9755838,23.0414661511,21.9386957574,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,6.20649405115,760.802166368
75,20.9402819622,22.4086083234,20.4998991205,21.0445715072,22.9467164326,21.9555703204,24.498355314,1.86666666667,0.0,80924.9755838,23.0502922065,21.9554873326,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,6.21448456413,737.672048772
76,20.9418993116,22.4151716196,20.5005363616,21.050856219,22.9525661305,21.9545270493,24.4993357006,1.90833333333,0.0,80924.9755838,23.0551916203,21.9664351028,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,6.22157094034,737.663971671
77,20.9426710492,22.4187577942,20.5020274407,21.054797489,22.9557343398,21.9533926632,24.4996523147,1.95,0.0,80924.9755838,23.0582111798,21.9736418661,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,6.22738558181,737.6643355
78,20.9430935531,22.4213482229,20.5004150346,21.0576013754,22.9578733343,21.952521023,24.499750374,1.99166666667,0.0,80924.9755838,23.0603155176,21.9787160068,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,6.2322381947,729.874483246
79,20.9433545704,22.4235717288,20.5005942196,21.0597985891,22.9595654733,21.9517107625,24.4997794964,2.03333333333,0.0,80924.9755838,23.0620723484,21.9825484677,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,6.23636059651,737.665431991
80,20.9434852894,22.4254546711,20.5017260951,21.0615496917,22.9608856004,21.9507314292,24.4997856135,2.075,0.0,80924.9755838,23.0634766569,21.9855535939,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,6.23979099123,737.667335836
81,20.9434838541,22.4269481621,20.4995521219,21.0629113676,22.9618320149,21.9495433896,24.4997838251,2.11666666667,0.0,80924.9755838,23.0644057868,21.987945738,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,6.24273535286,729.874321758
82,20.9433462275,22.4280422839,20.4989549024,21.0639215144,22.9624141554,21.9481531222,24.4997790874,2.15833333333,0.0,80924.9755838,23.0650578523,21.9898578504,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,6.24517934118,737.670377038
83,20.9430864769,22.428810283,20.4992919144,21.064634819,22.9627058324,21.9466530497,24.4997748187,2.2,0.0,80924.9755838,23.0655074604,21.9914046102,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,6.24732501871,737.667953828
84,21.0142600799,22.4532200697,20.9893256954,21.0793034335,22.982045915,21.9574934488,24.9234101908,2.2,0.0,89166.4560734,23.2471996838,22.009827722,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,6.36773480212,804.287562797
85,21.0426998611,22.487337445,21.0003944688,21.1014398909,23.009463175,21.9704620867,24.987661684,2.2,0.0,89166.4560734,23.3097391439,22.0376557577,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,6.47062775237,498.11941235
86,21.0346008384,22.5163973552,21.0006166828,21.1222013001,23.032926916,21.9788866606,24.9952373569,2.2,0.0,89166.4560734,23.3139909592,22.0639897442,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,6.42788327691,1223.6850663
87,21.0171857281,22.5362021529,21.0002355223,21.1381912903,23.0488846934,21.982836302,24.9980652341,2.2,0.0,89166.4560734,23.3287651996,22.0842062363,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,6.44844657986,1053.00156364
88,21.0053398245,22.5491748451,20.9995178633,21.1499987746,23.0590534232,21.9844753134,24.9991134941,2.2,0.0,89166.4560734,23.33774912,22.0985116044,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,6.46134453939,1039.71790166
89,21.0012269876,22.5587602184,21.0014692624,21.1592630268,23.0660983402,21.9853803931,24.9994961001,2.2,0.0,89166.4560734,23.344098228,22.1086872566,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,6.47071929526,1039.71343728
90,21.0019393675,22.5670430363,21.0008083582,21.1671868417,23.0814211412,22.0263613671,24.9996358653,2.2,94.25,89166.4560734,23.3594731401,22.1162892447,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,6.47854199913,923.064324449
91,21.0046515255,22.5752852928,20.9997779161,21.1744230556,23.1041583307,22.095541216,24.9996929844,2.2,133.5,88929.8072508,23.3820894441,22.1223034291,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,6.48563963221,843.643626702
92,21.0079735507,22.5843203073,21.001750253,21.1812687814,23.1311119675,22.1724511061,24.9997171688,2.2,172.75,88836.4487007,23.4076396248,22.1272552962,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,6.4919508347,768.534538492
93,21.0115356631,22.5946980149,21.0016103782,21.1878530853,23.1603832536,22.2514768772,24.9997264627,2.2,212.0,88599.7998781,23.4342541076,22.1314061047,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,6.49743802528,666.413271814
94,21.0153830362,22.6066124869,21.0011441822,21.1942807485,23.1912101354,22.3376093858,24.9997318587,2.2,251.25,88456.5096056,23.4624747824,22.1349317117,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,6.50246229694,567.18766468
95,21.0196121075,22.6199655261,21.0016444386,21.2006497586,23.2241692503,22.4347919181,24.9997358469,2.2,290.5,88456.5096056,23.4931938942,22.1379676217,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,6.50704851605,462.635911761
96,21.0210737239,22.5797967069,20.8188906162,21.202613205,23.147387365,22.2881208858,24.5930246141,2.2,329.75,74140.3157467,23.3412005669,22.1108480763,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,6.69812991886,0.0
97,21.0238530401,22.5335561339,20.6524998196,21.2064348883,23.0586465049,22.1707247926,24.5152863247,2.2,369.0,74140.3157467,23.2407009164,22.0723989597,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,6.63451022947,0.0
98,21.0274393364,22.5055941498,20.6067874886,21.2114503372,23.0075765935,22.171934085,24.5057379055,2.2,408.25,74140.3157467,23.2222821254,22.0385619582,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,6.68422864024,0.0
99,21.0309418191,22.4972749901,20.666272584,21.2163072015,22.9967717637,22.2568015111,24.5019467797,2.2,447.5,74140.3157467,23.2294611084,22.0150857006,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,6.67983664798,0.0
100,21.0339961839,22.5001956129,20.7794066523,21.2204244006,23.0107854977,22.3715669922,24.5004514233,2.2,486.75,74140.3157467,23.2552837688,22.0006501936,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,6.6774355863,0.0
101,21.0366527129,22.5070756695,20.9126377627,21.2238424666,23.0358294115,22.4913482377,24.499875844,2.2,526.0,74140.3157467,23.288313398,21.9919988432,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,6.67745502496,0.0
102,21.0391225459,22.5146846797,21.0415501882,21.2268347551,23.0624857661,22.6007192134,24.4996680403,2.2,533.25,74140.3157467,23.3206024675,21.9865500205,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,6.67768943932,0.0
103,21.0415922501,22.522451737,21.1589658062,21.2296448738,23.0873539047,22.6975516258,24.4996029454,2.2,540.5,74140.3157467,23.3499762792,21.9828515449,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,6.6780911898,0.0
104,21.0441622442,22.5306192672,21.2711720701,21.2324093445,23.1113453514,22.7901509422,24.4995902331,2.2,547.75,74140.3157467,23.3782177872,21.9802185758,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,6.67864341314,0.0
105,21.0468668603,22.5393590582,21.381149011,21.235183618,23.1351666414,22.8817977366,24.4995951418,2.2,555.0,74140.3157467,23.4062023128,21.9783269552,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,6.67932075016,0.0
106,21.0497083809,22.5486338475,21.4891411467,21.2379842589,23.1589626914,22.9724731633,24.4996052093,2.2,562.25,74140.3157467,23.433991221,21.976984906,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,6.68009939545,0.0
107,21.0526772145,22.5583079669,21.5950039488,21.2408137224,23.1827096475,23.0618649747,24.4996162552,2.2,569.5,74140.3157467,23.461515667,21.9760498279,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,6.68095738782,0.0
108,21.0492495447,22.5429405847,21.6761536901,21.2287898205,23.1859577973,23.1385412091,24.4932042671,2.2,576.75,66076.3218741,23.4237407707,21.9557884796,20.49,20.49,20.49,20.49,20.49,20.49,20.49,20.49,6.36664823599,0.0
109,21.0437639132,22.5204169444,21.7526887288,21.2109422061,23.1831056299,23.2151248437,24.4909659541,2.2,584.0,66076.3218741,23.4313807949,21.9275361767,20.49,20.49,20.49,20.49,20.49,20.49,20.49,20.49,6.34448614936,0.0
