,Unnamed: 0,tout,s,i,t1,t2,t3,t4,t5,t6,t7,t8,sp0,m,rh
7000,7000,-1.99166666667,42.1666666667,17538.7985549,22.0072972797,20.9398887748,22.1086770284,20.9406369242,20.9399304202,22.2790797598,20.9431092876,24.9389242325,24.94,0.977875311885,0.0
7001,7001,-1.95,46.0,17538.7985549,22.0031535882,20.9398448214,22.1062008023,20.9410728466,20.9400446602,22.2741532042,20.9408804601,24.9392086068,24.94,0.977875311885,0.0
7002,7002,-1.90833333333,59.1666666667,17538.7985549,22.0010221704,20.9402255787,22.1042283533,20.9409604876,20.9402822917,22.2725561235,20.9413435066,24.9393698655,24.94,0.977875311885,0.0
7003,7003,-1.86666666667,72.3333333333,17538.7985549,21.9998822258,20.9403712275,22.1023051836,20.9409316043,20.9398822157,22.2702852614,20.9423097422,24.9394767943,24.94,0.977875311885,0.0
7004,7004,-1.825,85.5,17538.7985549,21.9993545081,20.9398723951,22.1007982116,20.9397145944,20.940074663,22.2685223525,20.9415664428,24.9395516479,24.94,0.977875311885,0.0
7005,7005,-1.78333333333,98.6666666667,17538.7985549,21.9992747419,20.9397944061,22.0999337194,20.9394694276,20.939818195,22.2678808111,20.9415624447,24.9396065885,24.94,0.977875311885,0.0
7006,7006,-1.74166666667,111.833333333,17538.7985549,21.9995004034,20.9400169351,22.0996215502,20.9403199784,20.9399322782,22.2688804915,20.9428168477,24.9396494024,24.94,0.977875311885,0.0
7007,7007,-1.7,125.0,17538.7985549,21.9999906824,20.9402463883,22.0998481101,20.9397795754,20.9401330725,22.2703932607,20.9425038581,24.9396922421,24.94,0.977875311885,0.0
7008,7008,-1.60833333333,138.166666667,15257.9921033,21.9824309164,20.868275879,22.07711209,20.5748691209,20.904679641,22.2536125665,20.8914492038,24.5505196738,24.46,0.977875311885,0.0
7009,7009,-1.51666666667,151.333333333,15257.9921033,21.9562926539,20.7691360064,22.0459646301,20.4623329861,20.855253447,22.2312305983,20.8435983671,24.4752311858,24.46,0.977875311885,0.0
7010,7010,-1.425,164.5,15257.9921033,21.9321944566,20.6848180125,22.0200544684,20.4611260025,20.8127195149,22.214119689,20.8270107523,24.4658656414,24.46,0.977875311885,0.0
7011,7011,-1.33333333333,177.666666667,15257.9921033,21.9146922802,20.6292770605,22.003794486,20.461359769,20.7841663645,22.2059982641,20.8404964928,24.4621619683,24.46,0.977875311885,0.0
7012,7012,-1.24166666667,190.833333333,15257.9921033,21.9032170941,20.5968750598,21.9945145301,20.4591619284,20.7669221704,22.2068794936,20.8783471026,24.4606745531,24.46,0.977875311885,0.0
