,Unnamed: 0,tout,s,i,t1,t2,t3,t4,t5,t6,t7,t8,sp0,m,rh
7000,7000,-1.99166666667,42.1666666667,34076.4995496,22.2790797598,20.9398887748,22.1086770284,20.9406369242,20.9399304202,20.9431092876,24.9389242325,22.0072972797,24.94,2.98491672932,0.0
7001,7001,-1.95,46.0,34076.4995496,22.2741532042,20.9398448214,22.1062008023,20.9410728466,20.9400446602,20.9408804601,24.9392086068,22.0031535882,24.94,2.98491672932,0.0
7002,7002,-1.90833333333,59.1666666667,34076.4995496,22.2725561235,20.9402255787,22.1042283533,20.9409604876,20.9402822917,20.9413435066,24.9393698655,22.0010221704,24.94,2.98491672932,0.0
7003,7003,-1.86666666667,72.3333333333,33897.386709,22.2702852614,20.9403712275,22.1023051836,20.9409316043,20.9398822157,20.9423097422,24.9394767943,21.9998822258,24.94,2.98491672932,0.0
7004,7004,-1.825,85.5,33897.386709,22.2685223525,20.9398723951,22.1007982116,20.9397145944,20.940074663,20.9415664428,24.9395516479,21.9993545081,24.94,2.98491672932,0.0
7005,7005,-1.78333333333,98.6666666667,33718.2738684,22.2678808111,20.9397944061,22.0999337194,20.9394694276,20.939818195,20.9415624447,24.9396065885,21.9992747419,24.94,2.98491672932,0.0
7006,7006,-1.74166666667,111.833333333,33718.2738684,22.2688804915,20.9400169351,22.0996215502,20.9403199784,20.9399322782,20.9428168477,24.9396494024,21.9995004034,24.94,2.98491672932,0.0
7007,7007,-1.7,125.0,33539.1610278,22.2703932607,20.9402463883,22.0998481101,20.9397795754,20.9401330725,20.9425038581,24.9396922421,21.9999906824,24.94,2.98491672932,0.0
7008,7008,-1.60833333333,138.166666667,31097.931865,22.2536125665,20.868275879,22.07711209,20.5748691209,20.904679641,20.8914492038,24.5505196738,21.9824309164,24.46,2.98491672932,0.0
7009,7009,-1.51666666667,151.333333333,31097.931865,22.2312305983,20.7691360064,22.0459646301,20.4623329861,20.855253447,20.8435983671,24.4752311858,21.9562926539,24.46,2.98491672932,0.0
