,Unnamed: 0,z0,z1,z2,z3,z4,tout,s,i,t1,t2,sp0,sp1,sp2,sp3,sp4,sp,m,rh
7000,7000,23.7549896305,23.6985562538,23.6996008977,23.7005348404,23.7004951222,-1.99166666667,42.1666666667,25409.5684842,23.7252699084,23.353875178,23.7,23.7,23.7,23.7,23.7,23.7,32.6582912186,265729.295492
7001,7001,23.7463153571,23.699661831,23.700714394,23.7008549083,23.7005295014,-1.95,46.0,25409.5684842,23.7216131064,23.3308846264,23.7,23.7,23.7,23.7,23.7,23.7,32.6582912186,264265.660095
7002,7002,23.7413277017,23.7014902594,23.698746801,23.699774374,23.700781938,-1.90833333333,59.1666666667,25306.1184146,23.7192306476,23.3117916718,23.7,23.7,23.7,23.7,23.7,23.7,32.6582912186,262291.031455
7003,7003,23.738068753,23.7012233597,23.6979700398,23.7008863217,23.6978904802,-1.86666666667,72.3333333333,25148.1466243,23.7172261025,23.2951804708,23.7,23.7,23.7,23.7,23.7,23.7,32.6582912186,260241.203786
7004,7004,23.7358994943,23.7015005636,23.6998830674,23.6989790603,23.7020464917,-1.825,85.5,25044.6965546,23.7170080579,23.2800911625,23.7,23.7,23.7,23.7,23.7,23.7,32.6582912186,258411.981081
7005,7005,23.734713916,23.6985257027,23.6999327489,23.6999684821,23.6994762168,-1.78333333333,98.6666666667,24783.2746947,23.7157295047,23.26610512,23.7,23.7,23.7,23.7,23.7,23.7,32.6582912186,254719.364136
7006,7006,23.7342757042,23.6987999264,23.6993428325,23.7001295029,23.6984467832,-1.74166666667,111.833333333,24363.8811667,23.7153356011,23.2528609684,23.7,23.7,23.7,23.7,23.7,23.7,32.6582912186,253777.870264
7007,7007,23.7344587334,23.6988121716,23.6981672193,23.6986946764,23.7008685846,-1.7,125.0,24363.8811667,23.7155036782,23.2402235955,23.7,23.7,23.7,23.7,23.7,23.7,32.6582912186,251992.717491
7008,7008,23.9536037874,23.8032567187,23.8005031123,23.8069217418,23.7989697874,-1.60833333333,138.166666667,72525.2185516,23.8719942575,23.2304366924,23.81,23.81,23.81,23.81,23.81,23.81,32.6582912186,228596.3217
7009,7009,24.1123391061,23.8094957072,23.8092548777,23.8098423223,23.8103946108,-1.51666666667,151.333333333,72525.2185516,23.949533429,23.2423626269,23.81,23.81,23.81,23.81,23.81,23.81,32.6582912186,203120.656557
7010,7010,24.3070321282,23.8108657262,23.8104712289,23.8103037651,23.8099963873,-1.425,164.5,72525.2185516,24.0492922429,23.2686555706,23.81,23.81,23.81,23.81,23.81,23.81,33.8588915316,202529.939321
7011,7011,24.3097340367,23.809139254,23.8090667399,23.8103987668,23.8098245385,-1.33333333333,177.666666667,72525.2185516,24.1242424586,23.3304273552,23.81,23.81,23.81,23.81,23.81,23.81,47.3840206797,192564.209367
7012,7012,24.3098795561,23.8092976486,23.8113479224,23.8106133042,23.8105060706,-1.24166666667,190.833333333,72051.3035475,24.0896015239,23.3763327636,23.81,23.81,23.81,23.81,23.81,23.81,39.8428659116,191030.527464
7013,7013,24.3098599909,23.8109101549,23.8114697059,23.8100125188,23.8093625459,-1.15,204.0,71740.9533386,24.1026415363,23.4057830358,23.81,23.81,23.81,23.81,23.81,23.81,42.3509904518,184317.956046
7014,7014,24.3098439546,23.8096601009,23.8085573791,23.8103587692,23.8086226621,-1.05833333333,219.166666667,71740.9533386,24.1032450719,23.4242016654,23.81,23.81,23.81,23.81,23.81,23.81,42.5826569733,179704.226195
7015,7015,24.3098309316,23.8107105704,23.8120077994,23.8100152469,23.809178423,-0.966666666667,234.333333333,71740.9533386,24.1049983224,23.436799143,23.81,23.81,23.81,23.81,23.81,23.81,42.8389393632,175128.170594
7016,7016,24.309819688,23.8112357095,23.8103554627,23.8104215985,23.8107442225,-0.875,249.5,71740.9533386,24.106258371,23.4467429841,23.81,23.81,23.81,23.81,23.81,23.81,43.0844348578,169475.769291
7017,7017,24.3098097226,23.8106350939,23.8115427258,23.8105157918,23.8092519402,-0.783333333333,264.666666667,71740.9533386,24.107176196,23.4553368342,23.81,23.81,23.81,23.81,23.81,23.81,43.3045972239,162477.611801
7018,7018,24.3098005632,23.8099815962,23.8098830472,23.8093506533,23.8107880458,-0.691666666667,279.833333333,71740.9533386,24.1079917258,23.463020048,23.81,23.81,23.81,23.81,23.81,23.81,43.5121703746,157220.33471
7019,7019,24.309791913,23.8105489772,23.8109862183,23.8107618582,23.8104857728,-0.6,295.0,71740.9533386,24.1091589614,23.4700083056,23.81,23.81,23.81,23.81,23.81,23.81,43.7137769874,152059.553862
7020,7020,24.4067174292,23.9059504363,23.9025844025,23.9063271671,23.9012075088,-0.55,310.166666667,71740.9533386,24.1668545892,23.4591879984,23.91,23.91,23.91,23.91,23.91,23.91,36.8475797016,175589.57056
7021,7021,24.4096318278,23.9098899013,23.9084849163,23.9103153226,23.9087661611,-0.5,325.333333333,71740.9533386,24.2186744232,23.4707273959,23.91,23.91,23.91,23.91,23.91,23.91,46.0440576522,138543.690995
7022,7022,24.4097710367,23.9110094483,23.9096965954,23.911579318,23.9113602843,-0.45,340.5,71430.6031297,24.1991113701,23.481885497,23.91,23.91,23.91,23.91,23.91,23.91,41.6154763757,151049.614544
7023,7023,24.4097698676,23.9100543666,23.9112742368,23.9096726615,23.9089478702,-0.4,355.666666667,70956.6881257,24.2047162688,23.4885360058,23.91,23.91,23.91,23.91,23.91,23.91,42.8299199162,142334.12739
7024,7024,24.4097603121,23.90941193,23.9121352547,23.9101807877,23.9091074691,-0.35,370.833333333,70956.6881257,24.205572295,23.4903817864,23.91,23.91,23.91,23.91,23.91,23.91,42.994161503,138061.32771
7025,7025,24.4097528672,23.9096370211,23.9109238201,23.9113252908,23.9084169345,-0.3,386.0,70956.6881257,24.2062101267,23.4889907829,23.91,23.91,23.91,23.91,23.91,23.91,43.1518049294,132537.675791
7026,7026,24.4097459211,23.9100012947,23.9105016539,23.9104511447,23.9120407396,-0.25,389.5,70956.6881257,24.2072415806,23.4858734921,23.91,23.91,23.91,23.91,23.91,23.91,43.2943755509,129295.545806
7027,7027,24.409739141,23.9095009501,23.9110464716,23.9100329729,23.9109754676,-0.2,393.0,70956.6881257,24.207755807,23.482015215,23.91,23.91,23.91,23.91,23.91,23.91,43.4385444258,126366.473244
7028,7028,24.4097329751,23.9100285067,23.9104967825,23.9098608138,23.9089744068,-0.15,396.5,70956.6881257,24.2081051777,23.4777888652,23.91,23.91,23.91,23.91,23.91,23.91,43.5690379861,123945.486512
7029,7029,24.4097269388,23.9184784071,23.9103106446,23.910728946,23.9090594745,-0.1,400.0,70956.6881257,24.2096270734,23.4733189124,23.91,23.91,23.91,23.91,23.91,23.91,43.6926241747,122431.138277
