,Unnamed: 0,t1,w1,i,s,tout,hsp,m0,csp0
0,0,22.7699677941136,23.16509050392881,0.0,0.0,17.1833333333333,15.6,33.6002108693858,0.0
1,1,22.7653687695968,23.157704294894547,0.0,0.0,17.1666666666667,15.6,33.6002108693858,0.0
2,2,22.76079804551389,23.150513876122517,0.0,0.0,17.15,15.6,33.6002108693858,0.0
3,3,22.7530535831633,23.14367579596333,0.0,0.0,17.1333333333333,15.6,33.6002108693858,0.0
4,4,22.748076099801693,23.13693866573823,0.0,0.0,17.1166666666667,15.6,33.6002108693858,0.0
5,5,22.74330764708,23.129604679823732,0.0,0.0,17.1,15.6,33.6002108693858,0.0
6,6,22.7372885184451,23.12278384436913,0.0,0.0,17.0833333333333,15.6,33.6002108693858,0.0
7,7,22.7317416083492,23.11571766339269,0.0,0.0,17.0666666666667,15.6,33.6002108693858,0.0
8,8,22.7198114555334,23.108985968279978,0.0,0.0,17.05,15.6,33.6002108693858,0.0
9,9,22.709367372674798,23.101426607402253,0.0,0.0,17.033333333333303,15.6,33.6002108693858,0.0
10,10,22.700391685576896,23.09357579758705,0.0,0.0,17.016666666666698,15.6,33.6002108693858,0.0
11,11,22.6924902234106,23.086285213922267,0.0,0.0,17.0,15.6,33.6002108693858,0.0
12,12,22.688738822795802,23.07888679806,0.0,0.0,16.975,15.6,33.6002108693858,0.0
13,13,22.6759338188653,23.0716666682165,0.0,0.0,16.95,15.6,35.6713457085464,0.0
14,14,22.672409495336694,23.061612850840262,0.0,0.0,16.925,15.6,33.6002108693858,0.0
15,15,22.6439037855552,23.05461571196808,0.0,0.0,16.9,15.6,45.4031341202054,0.0
16,16,22.619910119876298,23.03256173234313,0.0,0.0,16.875,15.6,33.6002108693858,0.0
17,17,22.615623554105,23.016038864115096,0.0,0.0,16.85,15.6,33.6002108693858,0.0
18,18,22.6135977415065,23.008899837606663,0.0,0.0,16.825,15.6,33.6002108693858,0.0
19,19,22.607253704925103,23.002953413070674,0.0,0.0,16.8,15.6,33.6002108693858,0.0
20,20,22.606908166915197,22.999280070054976,0.0,0.0,16.775,15.6,33.6002108693858,0.0
21,21,22.604371744363107,22.994998450556693,0.0,0.0,16.75,15.6,33.6002108693858,0.0
22,22,22.602053658878607,22.990891624641062,0.0,0.0,16.725,15.6,33.6002108693858,0.0
23,23,22.600692852564602,22.986501743919053,0.0,0.0,16.7,15.6,33.6002108693858,0.0
24,24,22.5981153049055,22.98173909900112,0.0,0.0,16.675,15.6,33.6002108693858,0.0
25,25,22.5954397503938,22.976648900346603,0.0,0.0,16.65,15.6,33.6002108693858,0.0
26,26,22.5920673339535,22.97153109247743,0.0,0.0,16.625,15.6,33.6002108693858,0.0
27,27,22.5886322872542,22.96608180014267,0.0,0.0,16.6,15.6,33.6002108693858,0.0
28,28,22.584279753443,22.960663451962727,0.0,0.0,16.575,15.6,33.6002108693858,0.0
29,29,22.580334212439,22.95484998679695,0.0,0.0,16.55,15.6,33.6002108693858,0.0
30,30,22.5753804374935,22.949258813467946,0.0,0.0,16.525,15.6,33.6002108693858,0.0
31,31,22.5710266364419,22.943252565064174,0.0,0.0,16.5,15.6,33.6002108693858,0.0
32,32,22.565494439295602,22.9375347917897,0.0,0.0,16.475,15.6,33.6002108693858,0.0
33,33,22.560909993927893,22.93132557941944,0.0,0.0,16.45,15.6,33.6002108693858,0.0
34,34,22.5552362674971,22.925545303603894,0.0,0.0,16.425,15.6,33.6002108693858,0.0
35,35,22.550401724956004,22.919333253565,0.0,0.0,16.4,15.6,33.6002108693858,0.0
36,36,22.5399281820828,22.913480940220836,0.0,0.0,16.375,15.6,33.6002108693858,0.0
37,37,22.530987153937893,22.906845234023407,0.0,0.0,16.35,15.6,33.6002108693858,0.0
38,38,22.523384563513797,22.900108791823765,0.0,0.0,16.325,15.6,33.6002108693858,0.0
39,39,22.5165665283315,22.893434960119567,0.0,0.0,16.3,15.6,33.6002108693858,0.0
40,40,22.510173356559505,22.886849476720037,0.0,0.0,16.275,15.6,33.6002108693858,0.0
41,41,22.5040137878241,22.880347064672623,0.0,0.0,16.25,15.6,33.6002108693858,0.0
42,42,22.5010245560423,22.87401295387286,0.0,0.0,16.225,15.6,33.6002108693858,0.0
43,43,22.4938651849319,22.867961956783446,0.0,0.0,16.2,15.6,33.6002108693858,0.0
44,44,22.490927967625602,22.861662655200576,0.0,0.0,16.175,15.6,33.6002108693858,0.0
45,45,22.4867289067312,22.85582182698621,0.0,0.0,16.15,15.6,33.6002108693858,0.0
46,46,22.4800552580719,22.849893133898767,0.0,0.0,16.125,15.6,33.6002108693858,0.0
47,47,22.4764335774205,22.84418861060873,0.0,0.0,16.1,15.6,33.6002108693858,0.0
48,48,22.4726210307103,22.843149387002697,0.0,0.0,16.1,20.0,33.6002108693858,0.0
49,49,22.4669132058602,22.840465378841092,0.0,0.0,16.1,20.0,33.6002108693858,0.0
50,50,22.4673111603056,22.838040871774105,0.0,0.0,16.1,20.0,33.6002108693858,0.0
51,51,22.465341584482797,22.834884779568497,0.0,0.0,16.1,20.0,33.6002108693858,0.0
52,52,22.463432386718804,22.83317855263599,0.0,10.0833333333333,16.1,20.0,33.6002108693858,0.0
53,53,22.4627241092106,22.830696779561702,0.0,11.0,16.1,20.0,33.6002108693858,0.0
54,54,22.462060026556,22.828891097044462,0.0,13.916666666666698,16.1,20.0,33.6002108693858,0.0
55,55,22.461193034054297,22.82706075979857,0.0,16.8333333333333,16.1,20.0,33.6002108693858,0.0
56,56,22.4605140933636,22.82497988343548,0.0,19.75,16.1,20.0,33.6002108693858,0.0
57,57,22.4590690215137,22.82288013456181,0.0,22.6666666666667,16.1,20.0,33.6002108693858,0.0
58,58,22.457911366631198,22.82073796157703,0.0,25.5833333333333,16.1,20.0,33.6002108693858,0.0
59,59,22.457466990331106,22.818346470983816,0.0,28.5,16.1,20.0,33.6002108693858,0.0
60,60,22.467052265818896,22.820990048221887,0.0,31.4166666666667,16.1,21.0,34.5529120604834,0.0
61,61,22.5138449776483,22.83608866318278,0.0,34.3333333333333,16.1,21.0,33.6002108693858,0.0
62,62,22.521275051504198,22.84638037447186,0.0,37.25,16.1,21.0,33.6002108693858,0.0
63,63,22.528317323644398,22.85327994024763,0.0,40.1666666666667,16.1,21.0,33.6002108693858,0.0
64,64,22.5360562758785,22.85756256659841,0.0,43.0833333333333,16.1,21.0,33.6002108693858,0.0
65,65,22.5359290081079,22.86174184306045,0.0,46.0,16.1,21.0,36.1098436370159,0.0
66,66,22.5394132629601,22.863126533838418,0.0,55.1666666666667,16.1,21.0,33.6002108693858,0.0
67,67,22.546443743990803,22.86722060971252,0.0,64.3333333333333,16.1,21.0,33.6002108693858,0.0
68,68,22.548340580399103,22.872799879753327,0.0,73.5,16.1,21.0,33.6002108693858,0.0
69,69,22.5530492757068,22.87815130368042,0.0,82.6666666666667,16.1,21.0,33.6002108693858,0.0
70,70,22.556399879650893,22.88398605405849,0.0,91.8333333333333,16.1,21.0,33.6002108693858,0.0
