,b4,b5
0,30.3013430807,-0.0530781546295
1,30.3013393187,-0.0527219102177
2,30.3013250905,-0.0517747527169
3,30.301295006,-0.0508275952161
4,30.3012871974,-0.0498804377152
5,30.3012365833,-0.0489332802144
6,30.3011999073,-0.0479861227136
7,30.3011893259,-0.0470389652128
8,30.4442141087,-0.0459555501544
9,30.4429877861,-0.0463587872903
10,30.4436464734,-0.0437887200378
11,30.4435055905,-0.0427053049794
12,30.4433988207,-0.0416218899211
13,30.4433070582,-0.0405384748628
14,30.4432484211,-0.0393778025482
15,30.4431663016,-0.0382700122491
16,30.4430930689,-0.0371539423593
17,30.443005331,-0.036030239279
18,30.4429335895,-0.034895911416
19,30.4428638333,-0.033762352585
20,30.620986681,-0.0321817477855
21,30.6195917842,-0.0327952594078
22,30.620376397,-0.0299887651314
23,30.6201993232,-0.0288922738043
24,30.6201434631,-0.0277957824772
25,30.6201076986,-0.0266992911501
26,30.6200650658,-0.0263414411842
27,30.6200397235,-0.0259835912184
28,30.6199971065,-0.0256257412525
29,30.6199836925,-0.0252678912866
30,30.6199375592,-0.0249100413207
31,30.6199214389,-0.0245521913549
32,30.2105772702,-0.0378528397152
33,30.2151273172,-0.0236093954939
34,30.2124986685,-0.0296405897026
35,30.2132802853,-0.0268483557884
36,30.2131943914,-0.0265534409551
37,30.2131445585,-0.0261719613956
38,30.2131431529,-0.0270673409081
39,30.2131515527,-0.0279320320765
40,30.2132175759,-0.0286290280362
41,30.2132458131,-0.0294335157222
42,30.2132668482,-0.0302525222787
43,30.2132938491,-0.0310577770636
44,30.7698766436,-0.0384124180397
45,30.7691532883,-0.0367417694379
46,30.7721512706,-0.0313362471158
47,30.7717405334,-0.032570833391
48,30.7717419708,-0.0338054196662
49,30.7717425867,-0.0350400059413
50,30.7717322995,-0.0352668743594
51,30.7717283785,-0.0354937427775
52,30.7717163095,-0.0357206111956
53,30.7716953136,-0.0359474796137
54,30.7716964217,-0.0361743480318
55,30.7716759056,-0.0364012164499
56,30.4898395601,-0.0423609184851
57,30.4926575247,-0.0368549532861
58,30.4919198127,-0.0370818217041
59,30.492077643,-0.0373086901222
60,30.4920783881,-0.0375355585403
61,30.4920989483,-0.0377624269584
62,30.4920958618,-0.0376780108028
63,30.492089546,-0.0375935946472
64,30.4920927168,-0.0375091784917
65,30.4920932574,-0.0374247623361
66,30.4920930689,-0.0373403461805
67,30.4920903157,-0.037255930025
68,30.4668380536,-0.0397631064316
69,30.4671990489,-0.038501642308
70,30.4669828823,-0.0388338442045
71,30.4670023041,-0.0385261421448
