,tout,s,i,t1,t2,t3,t4,t5,sp0,m,rh
0,-2.29166666667,0.0,586.818269708,21.5166627507,23.7657471049,23.7604573812,23.0956428828,22.9131278245,23.75,3.17547123626,13450.175414
1,-1.78333333333,0.0,586.818269708,21.5195874861,23.7512283737,23.7501210181,23.0954112406,22.9030204343,23.75,3.17547123626,13450.5121195
2,-1.275,0.0,586.818269708,21.5230195479,23.7506439768,23.7497142082,23.0947304171,22.8930718615,23.75,3.17547123626,13450.5263781
3,-0.766666666667,0.0,586.818269708,21.5267273685,23.7502981708,23.7512486129,23.0940990689,22.8862885394,23.75,3.17547123626,13450.5137221
4,-0.258333333333,0.0,586.818269708,21.5309043132,23.7486895528,23.7504522128,23.0936685347,22.882074094,23.75,3.17547123626,13450.5045758
5,0.25,0.0,586.818269708,21.535614706,23.7499607575,23.7501378688,23.0933522303,22.8790643885,23.75,3.17547123626,13450.5144026
6,0.758333333333,0.0,586.818269708,21.5408231578,23.751626057,23.7500145866,23.0930329317,22.876489767,23.75,3.17547123626,13450.5430128
7,1.26666666667,0.0,586.818269708,21.5464772139,23.7499008269,23.7499276381,23.0926527747,22.8741621378,23.75,3.17547123626,13450.5869046
8,1.775,0.0,586.818269708,21.5525468082,23.7489575445,23.7502069458,23.0922083987,22.8720941138,23.75,3.17547123626,13450.6401212
9,2.28333333333,0.0,586.818269708,21.5590163472,23.7492763113,23.7512488488,23.0917140586,22.8703144743,23.75,3.17547123626,13450.7026333
10,2.79166666667,0.0,586.818269708,21.5720221475,23.7505192041,23.7506885803,23.0911786423,22.8688243003,23.75,3.17547123626,13450.776004
11,3.3,0.0,586.818269708,21.5836311543,23.7502345006,23.7508146256,23.0906024146,22.8680061675,23.75,3.17547123626,13450.8611356
12,3.20833333333,0.0,586.818269708,21.5867970833,23.9262326144,23.9311962374,23.0901181909,22.8678061459,23.94,3.17547123626,13450.8326061
13,3.11666666667,0.0,586.818269708,21.5849736044,23.93935301,23.9394265888,23.0897186272,22.8718891193,23.94,3.17547123626,13450.8542832
14,3.025,0.0,586.818269708,21.5823961277,23.9384577471,23.9396980096,23.0893632074,22.8755020121,23.94,3.17547123626,13450.8774617
15,2.93333333333,0.0,586.818269708,21.5802170661,23.9387208819,23.9405207817,23.0890346551,22.8763604656,23.94,3.17547123626,13450.8963719
16,2.84166666667,0.0,586.818269708,21.5780656783,23.9388401232,23.9390691175,23.0887318872,22.8752743032,23.94,3.17547123626,13450.9098927
17,2.75,0.0,586.818269708,21.5756482286,23.9402232018,23.9401152896,23.0884526574,22.8735416897,23.94,3.17547123626,13450.9197313
18,2.65833333333,0.0,586.818269708,21.5729972604,23.939060002,23.9386044993,23.0881893614,22.8718067113,23.94,3.17547123626,13450.9274862
19,2.56666666667,0.0,586.818269708,21.5702171713,23.9380719899,23.9389465751,23.0879334237,22.8701373662,23.94,3.17547123626,13450.9336109
20,2.475,0.0,586.818269708,21.5673535315,23.9389969121,23.9386671637,23.0876792134,22.8684624817,23.94,3.17547123626,13450.9379267
21,2.38333333333,0.0,586.818269708,21.5644117526,23.9396478526,23.9405147514,23.087424463,22.8667327963,23.94,3.17547123626,13450.9402896
22,2.29166666667,0.0,586.818269708,21.5614051394,23.9387338829,23.94096329,23.0871698767,22.8650144787,23.94,3.17547123626,13450.940782
23,2.2,0.0,586.818269708,21.5520358729,23.9383214039,23.9385458295,23.0869138922,22.8632611402,23.94,3.17547123626,13450.9395928
24,2.10833333333,0.0,586.818269708,21.5437487295,23.9781129839,23.976799332,23.0866577279,22.8608210998,23.98,3.17547123626,13450.9365541
25,2.01666666667,0.0,586.818269708,21.5384573574,23.9791568962,23.9799280893,23.086401567,22.8587697432,23.98,3.17547123626,13450.9322026
26,1.925,0.0,586.818269708,21.5342973702,23.9794741009,23.9810188601,23.0861466755,22.856701873,23.98,3.17547123626,13450.9265277
27,1.83333333333,0.0,586.818269708,21.5299702703,23.9805980816,23.9787357117,23.0858952688,22.8543465514,23.98,3.17547123626,13450.91956
