,tout,s,i,t1,t2,t3,t4,t5,t6,sp0,m,rh
0,-2.29166666667,0.0,586.818269708,23.76960586,23.7657471049,23.7604573812,23.0956428828,22.9131278245,22.8956027694,23.75,0.407139510915,5711.11419993
1,-1.78333333333,0.0,586.818269708,23.7537598934,23.7512283737,23.7501210181,23.0954112406,22.9030204343,22.8949264219,23.75,0.407139510915,7058.3547135
2,-1.275,0.0,586.818269708,23.7511795581,23.7506439768,23.7497142082,23.0947304171,22.8930718615,22.8942486526,23.75,0.407139510915,6389.22999846
3,-0.766666666667,0.0,586.818269708,23.7498488282,23.7502981708,23.7512486129,23.0940990689,22.8862885394,22.8935698116,23.75,0.407139510915,6500.61722268
4,-0.258333333333,0.0,586.818269708,23.7508446899,23.7486895528,23.7504522128,23.0936685347,22.882074094,22.8928900761,23.75,0.407139510915,6500.6049694
5,0.25,0.0,586.818269708,23.7496419328,23.7499607575,23.7501378688,23.0933522303,22.8790643885,22.8922101273,23.75,0.407139510915,6463.85442207
6,0.758333333333,0.0,586.818269708,23.7485762002,23.751626057,23.7500145866,23.0930329317,22.876489767,22.8915300783,23.75,0.407139510915,6445.37668575
7,1.26666666667,0.0,586.818269708,23.7500747489,23.7499008269,23.7499276381,23.0926527747,22.8741621378,22.8908499442,23.75,0.407139510915,6482.39096487
8,1.775,0.0,586.818269708,23.7505878258,23.7489575445,23.7502069458,23.0922083987,22.8720941138,22.8901701166,23.75,0.407139510915,6445.53312863
9,2.28333333333,0.0,586.818269708,23.7490308974,23.7492763113,23.7512488488,23.0917140586,22.8703144743,22.8894912137,23.75,0.407139510915,6408.32009049
10,2.79166666667,0.0,586.818269708,23.7497359623,23.7505192041,23.7506885803,23.0911786423,22.8688243003,22.88881394,23.75,0.407139510915,6389.64269399
11,3.3,0.0,586.818269708,23.7477532052,23.7502345006,23.7508146256,23.0906024146,22.8680061675,22.8881389526,23.75,0.407139510915,6332.80940241
12,3.20833333333,0.0,586.818269708,23.9282054335,23.9262326144,23.9311962374,23.0901181909,22.8678061459,22.8874674889,23.94,0.407139510915,7414.18307311
13,3.11666666667,0.0,586.818269708,23.9399981491,23.93935301,23.9394265888,23.0897186272,22.8718891193,22.886800267,23.94,0.407139510915,6370.92040137
14,3.025,0.0,586.818269708,23.9397838623,23.9384577471,23.9396980096,23.0893632074,22.8755020121,22.8861375689,23.94,0.407139510915,6882.89345163
15,2.93333333333,0.0,586.818269708,23.9399670084,23.9387208819,23.9405207817,23.0890346551,22.8763604656,22.8854795807,23.94,0.407139510915,6799.72152281
16,2.84166666667,0.0,586.818269708,23.9402438765,23.9388401232,23.9390691175,23.0887318872,22.8752743032,22.8848265607,23.94,0.407139510915,6799.75273509
17,2.75,0.0,586.818269708,23.938730834,23.9402232018,23.9401152896,23.0884526574,22.8735416897,22.8841786637,23.94,0.407139510915,6799.77621172
18,2.65833333333,0.0,586.818269708,23.9408470462,23.939060002,23.9386044993,23.0881893614,22.8718067113,22.883535819,23.94,0.407139510915,6833.31836347
19,2.56666666667,0.0,586.818269708,23.9419652433,23.9380719899,23.9389465751,23.0879334237,22.8701373662,22.8828976968,23.94,0.407139510915,6833.3328147
20,2.475,0.0,586.818269708,23.9397576371,23.9389969121,23.9386671637,23.0876792134,22.8684624817,22.882263822,23.94,0.407139510915,6833.34338478
21,2.38333333333,0.0,586.818269708,23.9405695451,23.9396478526,23.9405147514,23.087424463,22.8667327963,22.8816336543,23.94,0.407139510915,6866.55651138
22,2.29166666667,0.0,586.818269708,23.9405511077,23.9387338829,23.94096329,23.0871698767,22.8650144787,22.8810084462,23.94,0.407139510915,6866.55917093
23,2.2,0.0,586.818269708,23.9403326715,23.9383214039,23.9385458295,23.0869138922,22.8632611402,22.8803855796,23.94,0.407139510915,6883.04366703
24,2.10833333333,0.0,586.818269708,23.9772868088,23.9781129839,23.976799332,23.0866577279,22.8608210998,22.8797655779,23.98,0.407139510915,7121.26436505
25,2.01666666667,0.0,586.818269708,23.9810512305,23.9791568962,23.9799280893,23.086401567,22.8587697432,22.8791483504,23.98,0.407139510915,6932.02223423
26,1.925,0.0,586.818269708,23.9781391432,23.9794741009,23.9810188601,23.0861466755,22.856701873,22.8785329245,23.98,0.407139510915,7027.94737479
27,1.83333333333,0.0,586.818269708,23.9797802654,23.9805980816,23.9787357117,23.0858952688,22.8543465514,22.8779186669,23.98,0.407139510915,7059.31995781
28,1.74166666667,0.0,586.818269708,23.9803701482,23.9816113661,23.9810592642,23.0856480033,22.8517681342,22.8773054237,23.98,0.407139510915,7059.30272212
29,1.65,0.0,586.818269708,23.9817607307,23.9818266519,23.9802814752,23.0854035971,22.8491138593,22.8766932458,23.98,0.407139510915,7090.37999864
30,1.55833333333,0.0,586.818269708,23.9798330121,23.9811970308,23.9807259101,23.0851601973,22.8464309851,22.8760821928,23.98,0.407139510915,7090.35754229
31,1.46666666667,0.0,586.818269708,23.979007494,23.9799664531,23.9790400429,23.0849164269,22.8437062342,22.8754722391,23.98,0.407139510915,7121.14379616
32,1.375,0.0,586.818269708,23.9811245809,23.9783663785,23.9814063819,23.0846715326,22.8409310663,22.8748633038,23.98,0.407139510915,7151.64544541
33,1.28333333333,0.0,586.818269708,23.9801542225,23.980242554,23.9801487039,23.0844251262,22.838169427,22.8742552646,23.98,0.407139510915,7151.6160558
34,1.19166666667,0.0,586.818269708,23.9795576288,23.9789757711,23.9797698528,23.0841770887,22.8354181618,22.873648,23.98,0.407139510915,7181.83462849
35,1.1,0.0,586.818269708,23.9812959259,23.9790783347,23.9809601123,23.0839274765,22.832640856,22.8730413863,23.98,0.407139510915,7211.77605687
36,1.1,0.0,586.818269708,24.0358399996,24.0355301477,24.0387392489,23.0836626992,22.8306204512,22.8724352523,24.04,0.407139510915,7524.31251537
37,1.1,0.0,586.818269708,24.0395121173,24.0392789481,24.0400485091,23.083384655,22.8308562931,22.871829482,24.04,0.407139510915,7211.74448911
38,1.1,0.0,586.818269708,24.0392571113,24.0413284908,24.0405971895,23.0831032597,22.8317086741,22.8712240693,24.04,0.407139510915,7357.59658046
39,1.1,0.0,586.818269708,24.0394318083,24.0418334365,24.0414527698,23.0828244032,22.8321466672,22.87061915,24.04,0.407139510915,7328.92716566
40,1.1,0.0,586.818269708,24.0407086795,24.0413315988,24.0396834202,23.0825528135,22.832131867,22.8700149921,24.04,0.407139510915,7328.90820792
41,1.1,0.0,586.818269708,24.0423860313,24.0403233208,24.0399126434,23.0822803605,22.8319283548,22.8694118736,24.04,0.407139510915,7328.89592784
42,1.1,0.0,586.818269708,24.0390891935,24.0391091884,24.0403340674,23.0820037319,22.8317313935,22.868810008,24.04,0.407139510915,7299.97420361
43,1.1,0.0,586.818269708,24.0401904723,24.0413583515,24.0412223829,23.0817248076,22.8315468443,22.8682095024,24.04,0.407139510915,7328.86999477
44,1.1,0.0,586.818269708,24.038882204,24.0407321217,24.0392817679,23.081444742,22.8314267695,22.8676103911,24.04,0.407139510915,7299.94812928
45,1.1,0.0,586.818269708,24.0417670561,24.0415132021,24.0409670243,23.0811636054,22.8313017596,22.8670126532,24.04,0.407139510915,7328.84445404
46,1.1,0.0,586.818269708,24.0411631308,24.0391528886,24.0412639101,23.0808800071,22.8312201627,22.8664162541,24.04,0.407139510915,7299.9243301
47,1.1,0.0,586.818269708,24.0392320765,24.0388173025,24.0411488452,23.0805935855,22.8311263602,22.8658211478,24.04,0.407139510915,7299.91339907
48,1.15,0.0,586.818269708,24.1038598304,24.1053732998,24.1061093504,23.0803059835,22.8300570233,22.865227321,24.11,0.407139510915,7707.85720117
49,1.2,0.0,586.818269708,24.1114738464,24.1111073243,24.1097740153,23.0800159595,22.8296051774,22.864634747,24.11,0.407139510915,7357.45165746
50,1.25,0.0,586.818269708,24.1105528471,24.1084962496,24.1099341861,23.0797270199,22.828685451,22.8640434381,24.11,0.407139510915,7524.10920975
51,1.3,0.0,586.818269708,24.111737328,24.1112394628,24.1091391564,23.0794446996,22.826728287,22.8634535278,24.11,0.407139510915,7524.10025831
52,1.35,0.0,586.818269708,24.1081696312,24.1105380239,24.1110769071,23.0791709049,22.8241234564,22.8628652818,24.11,0.407139510915,7496.922314
53,1.4,0.0,586.818269708,24.1110147559,24.1112209037,24.1102653011,23.0789033791,22.8212878826,22.8622789765,24.11,0.407139510915,7551.0168512
54,1.45,0.0,586.818269708,24.109760617,24.1098317681,24.1086635713,23.0786384272,22.8184672569,22.8616948072,24.11,0.407139510915,7524.0761519
55,1.5,0.0,586.818269708,24.1092302148,24.11111334,24.1099443238,23.0783731345,22.8156435898,22.8611128511,24.11,0.407139510915,7551.00184321
56,1.55,0.0,586.818269708,24.1079162966,24.1105490927,24.1106123732,23.0781058536,22.8128399716,22.8605331007,24.11,0.407139510915,7550.99487234
57,1.6,0.0,586.818269708,24.1093428938,24.109171685,24.1089263233,23.0778359041,22.8100350534,22.8599554949,24.11,0.407139510915,7577.68757323
58,1.65,0.0,586.818269708,24.1096669845,24.1082879612,24.1091698025,23.0775631066,22.8072199511,22.8593799576,24.11,0.407139510915,7577.68115514
59,1.7,0.0,586.818269708,24.1117097317,24.1112603063,24.1089513135,23.0772874132,22.8044126216,22.8588064091,24.11,0.407139510915,7604.14359801
60,1.7,0.0,586.818269708,24.2429466433,24.2421851378,24.2447404094,23.0770017911,22.8033185803,22.8582348226,24.25,0.407139510915,8361.71757555
61,1.7,0.0,586.818269708,24.2504459337,24.2504587652,24.2504080711,23.0767063393,22.8072898561,22.8576635135,24.25,0.407139510915,7577.68698378
62,1.7,0.0,586.818269708,24.2512556897,24.2488303648,24.2494583495,23.0764138357,22.8124497504,22.8570944801,24.25,0.407139510915,7932.1288126
63,1.7,0.0,586.818269708,24.251450735,24.2507334326,24.2497932234,23.0761359733,22.8163838812,22.8565288302,24.25,0.407139510915,7832.45333098
64,1.7,0.0,586.818269708,24.247843315,24.2489083336,24.2485710733,23.075873898,22.8191577244,22.8559664941,24.25,0.407139510915,7783.23134744
65,1.7,0.0,586.818269708,24.2478488072,24.2509078922,24.2509182873,23.0756209502,22.8214511235,22.8554074074,24.25,0.407139510915,7783.2434921
66,1.7,0.0,586.818269708,24.2492807276,24.2511489221,24.2510166143,23.0753691276,22.8237984304,22.8548516451,24.25,0.407139510915,7758.32739771
67,1.7,0.0,586.818269708,24.2497080174,24.2495561277,24.2499517711,23.0751130988,22.8262872425,22.8542992661,24.25,0.407139510915,7733.2002641
68,1.7,0.0,586.818269708,24.2487046465,24.2502667891,24.2492435144,23.0748506338,22.8288078886,22.8537502244,24.25,0.407139510915,7707.85946599
69,1.7,0.0,586.818269708,24.2510840997,24.2514542802,24.2491992893,23.0745812669,22.8313166322,22.853204379,24.25,0.407139510915,7707.87653419
70,1.7,0.0,586.818269708,24.2490625231,24.2486678404,24.2494591919,23.0743051593,22.8338558477,22.8526615396,24.25,0.407139510915,7656.52626523
71,1.7,0.0,586.818269708,24.2490115163,24.2502112349,24.2496691168,23.0740227068,22.836369002,22.8521215075,24.25,0.407139510915,7656.54519933
72,1.74166666667,0.0,652.039542125,24.1550650203,24.1544183086,24.1547954403,23.078811025,22.8374510365,22.8584366551,24.15,0.407139510915,7058.99931657
73,1.78333333333,0.0,652.039542125,24.1511866629,24.1512132559,24.1505895612,23.0853721562,22.8357360632,22.8671378287,24.15,0.407139510915,7630.54182745
74,1.825,0.0,652.039542125,24.1503936072,24.1488933523,24.1491494352,23.0898774204,22.8343874716,22.8742985866,24.15,0.407139510915,7357.53260486
75,1.86666666667,0.0,652.039542125,24.1480539905,24.14891454,24.1503996547,23.0917448395,22.8341286719,22.8788386759,24.15,0.407139510915,7414.0851345
76,1.90833333333,0.0,652.039542125,24.1487253513,24.1505816442,24.1508224289,23.0920669035,22.8339689371,22.881309178,24.15,0.407139510915,7441.9938058
77,1.95,0.0,652.039542125,24.1491583558,24.1498465719,24.1492917279,23.0918956527,22.8331891457,22.8825745873,24.15,0.407139510915,7442.00511863
78,1.99166666667,0.0,652.039542125,24.1522069499,24.1488904485,24.1503177737,23.0917078558,22.8317555545,22.8832416807,24.15,0.407139510915,7469.6678021
79,2.03333333333,0.0,652.039542125,24.1493444088,24.1493061088,24.1513117077,23.0915788052,22.8300229709,22.8836120354,24.15,0.407139510915,7442.02463191
80,2.075,0.0,652.039542125,24.1481621066,24.1510948641,24.1506485633,23.0914581259,22.8282152891,22.8838060513,24.15,0.407139510915,7469.68519464
81,2.11666666667,0.0,652.039542125,24.1476209498,24.1506124755,24.1485696845,23.0913091015,22.8264188493,22.8838716329,24.15,0.407139510915,7469.69241128
82,2.15833333333,0.0,652.039542125,24.1506960888,24.1500154738,24.1498593387,23.0911296385,22.824604586,22.8838373137,24.15,0.407139510915,7497.10917988
83,2.2,0.0,652.039542125,24.1483205421,24.1507808692,24.1514138045,23.0909320733,22.822807451,22.8837272537,24.15,0.407139510915,7469.70432997
84,2.2,0.0,652.039542125,23.9917851761,23.9898817813,23.986455981,23.0907248782,22.822137606,22.883561179,23.98,0.407139510915,6482.84460525
85,2.2,0.0,652.039542125,23.9808193352,23.9812816322,23.9788531415,23.0900361689,22.8186739571,22.8833548433,23.98,0.407139510915,7386.01944973
86,2.2,0.0,652.039542125,23.9779502224,23.9792123011,23.9807149643,23.0892817367,22.8156749777,22.8831205368,23.98,0.407139510915,6931.78547984
87,2.2,0.0,652.039542125,23.978037817,23.9807327152,23.9790298443,23.0887110944,22.8147838678,22.8828652452,23.98,0.407139510915,7027.71754763
88,2.2,0.0,652.039542125,23.9787092301,23.979051245,23.9799504901,23.0883122146,22.8154745864,22.8825925653,23.98,0.407139510915,7027.7203542
89,2.2,0.0,652.039542125,23.9795010111,23.9792239278,23.9789972508,23.0879888007,22.8167784924,22.8823047532,23.98,0.407139510915,7027.72257122
90,2.2,94.25,633.375677358,23.978394182,23.9800482796,23.9800807767,23.0876890945,22.8181685815,22.8820023355,23.98,0.407139510915,6408.58559282
