,p0,m0
0,2176.55108422,3.92203237616
1,2176.55108422,3.92203237616
2,2176.55108422,3.92203237616
3,2176.55108422,3.92203237616
4,2176.55108422,3.92203237616
5,2176.55108422,3.92203237616
6,2176.55108422,3.92203237616
7,2176.55108422,3.92203237616
8,2176.55108422,3.92203237616
9,2176.55108422,3.92203237616
10,2176.55108422,3.92203237616
11,2176.55108422,3.92203237616
12,2176.55108422,3.92203237616
13,2176.55108422,3.92203237616
14,2176.55108422,3.92203237616
15,2176.55108422,3.92203237616
16,2176.55108422,3.92203237616
17,2176.55108422,3.92203237616
18,2176.55108422,3.92203237616
19,2176.55108422,3.92203237616
20,2176.55108422,3.92203237616
21,2176.55108422,3.92203237616
22,2176.55108422,3.92203237616
23,2176.55108422,3.92203237616
24,2176.55108422,3.92203237616
25,2176.55108422,3.92203237616
26,2176.55108422,3.92203237616
27,2176.55108422,3.92203237616
28,2176.55108422,3.92203237616
29,2176.55108422,3.92203237616
30,2176.55108422,3.92203237616
31,2176.55108422,3.92203237616
32,2176.55108422,3.92203237616
33,2176.55108422,3.92203237616
34,2176.55108422,3.92203237616
35,2176.55108422,3.92203237616
36,2176.55108422,3.92203237616
37,2176.55108422,3.92203237616
38,2176.55108422,3.92203237616
39,2176.55108422,3.92203237616
40,2176.55108422,3.92203237616
41,2176.55108422,3.92203237616
42,2176.55108422,3.92203237616
43,2176.55108422,3.92203237616
44,2176.55108422,3.92203237616
45,2176.55108422,3.92203237616
46,2176.55108422,3.92203237616
47,2176.55108422,3.92203237616
48,2176.55108422,3.92203237616
49,2176.55108422,3.92203237616
50,2176.55108422,3.92203237616
51,2176.55108422,3.92203237616
52,2176.55108422,3.92203237616
53,2176.55108422,3.92203237616
54,2176.55108422,3.92203237616
55,2176.55108422,3.92203237616
56,2176.55108422,3.92203237616
57,2176.55108422,3.92203237616
58,2176.55108422,3.92203237616
59,2176.55108422,3.92203237616
60,2513.75694093,4.33549917663
61,2176.55108422,3.92203237616
62,2176.55108422,3.92203237616
63,2176.55108422,3.92203237616
64,2176.55108422,3.92203237616
65,2176.55108422,3.92203237616
66,2176.55108422,3.92203237616
67,2176.55108422,3.92203237616
68,2176.55108422,3.92203237616
69,2176.55108422,3.92203237616
70,2176.55108422,3.92203237616
71,2176.55108422,3.92203237616
72,2176.55108422,3.92203237616
73,2176.55108422,3.92203237616
74,2176.55108422,3.92203237616
75,2176.55108422,3.92203237616
76,2176.55108422,3.92203237616
77,2176.55108422,3.92203237616
78,2176.55108422,3.92203237616
79,2176.55108422,3.92203237616
80,2176.55108422,3.92203237616
81,2176.55108422,3.92203237616
82,2176.55108422,3.92203237616
83,2176.55108422,3.92203237616
84,2176.55108422,3.92203237616
85,2176.55108422,3.92203237616
86,2176.55108422,3.92203237616
87,2176.55108422,3.92203237616
88,2176.55108422,3.92203237616
89,2176.55108422,3.92203237616
90,2176.55108422,3.92203237616
91,2371.80360646,4.20207637255
92,2176.55108422,3.92203237616
93,2176.55108422,3.92203237616
94,2176.55108422,3.92203237616
95,2176.55108422,3.92203237616
96,3725.63361195,5.41215612274
97,2176.55108422,3.92203237616
98,2176.55108422,3.92203237616
99,2176.55108422,3.92203237616
100,2424.98984445,4.28001072274
101,2208.68011983,3.97531546656
102,2176.55108422,3.92203237616
103,5443.37425892,6.44759025949
104,2176.55108422,3.92203237616
105,2176.55108422,3.92203237616
106,2198.56939333,3.95891676428
107,2176.55108422,3.92203237616
108,2176.55108422,3.92203237616
109,2176.55108422,3.92203237616
110,5775.00982687,6.60931773075
111,2176.55108422,3.92203237616
112,2333.45034062,4.15009513578
113,2189.46264483,3.94375904536
114,2176.55108422,3.92203237616
115,2545.03168595,4.39461126579
116,2176.55108422,3.92203237616
117,2281.9339716,4.08409045233
118,2176.55108422,3.92203237616
119,4299.11964973,5.61371139198
120,2921.02253223,4.74077750812
121,2176.55108422,3.92203237616
122,2737.63019612,4.69700611456
123,3265.21155153,5.11718277836
124,2718.29425548,4.68076847358
