,t1,w0,w1,w2,i,s,tout,hsp,csp,m0,rh0,m1,rh1,m2,rh2,m3,rh3,m4,rh4,m5,rh5
0,23.160765426277614,24.02688886419217,24.07176416265974,22.69189784807985,1149.6676594,0.0,17.18333333,21.11,21.11,0.0726,0.0,2.5392917070000003,0.0,0.0726,0.0,0.0726,0.0,4.04392261,0.0,0.0726,0.0
1,22.745861061189093,23.939668008737115,24.007935694228912,22.675524344331247,1149.6676594,0.0,17.16666667,21.11,21.11,0.0726,0.0,6.3780713769999995,0.0,0.0726,0.0,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0
2,23.13116218847745,23.831252373093783,23.779328286443306,22.66259453759447,1149.6676594,0.0,17.15,21.11,21.11,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0
3,22.989264731405047,23.848612737216683,23.745250383364183,22.650323638194386,1149.6676594,0.0,17.13333333,21.11,21.11,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0,0.0726,0.0,2.9101298460000002,0.0,0.0726,0.0
4,22.851262889053253,23.86194966647662,23.880568904001336,22.63827924621507,1149.6676594,0.0,17.11666667,21.11,21.11,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0,0.0726,0.0,2.978103361,0.0,0.0726,0.0
5,23.172130507629845,23.81614808968415,23.89197268208149,22.625249698546494,1149.6676594,0.0,17.1,21.11,21.11,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0
6,22.748771902973896,23.822269657905117,23.9029490695347,22.612986358844104,1149.6676594,0.0,17.08333333,21.11,21.11,0.0726,0.0,5.313744619,0.0,0.0726,0.0,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0
7,22.77755090815005,23.782422557153392,23.730720038983893,22.60164325461949,1149.6676594,0.0,17.06666667,21.11,21.11,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0,0.0726,0.0,2.957289888,0.0,0.0726,0.0
8,22.55463553268113,23.72597242754036,23.65538322526465,22.589243677060463,1149.6676594,0.0,17.05,21.11,21.11,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0,0.0726,0.0,4.024827873,0.0,0.0726,0.0
9,22.945883448710184,23.70086280053602,23.75365372218256,22.577772410137094,1149.6676594,0.0,17.03333333,21.11,21.11,0.0726,0.0,1.0360598090000002,0.0,0.0726,0.0,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0
10,23.202346934058937,23.70899507953199,23.76769484187341,22.566874825863845,1149.6676594,0.0,17.01666667,21.11,21.11,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0
11,23.31477628186461,23.75920939487965,23.78894623188019,22.554767545869414,1149.6676594,0.0,17.0,21.11,21.11,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0
12,22.98273396377957,23.773867143734574,23.800561459834547,22.537322877383268,1089.3882562000001,0.0,16.975,21.11,21.11,0.0726,0.0,3.4699214649999996,0.0,0.0726,0.0,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0
13,23.16350151614555,23.74152149408528,23.71278808858188,22.520865745295566,1089.3882562000001,0.0,16.95,21.11,21.11,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0
14,22.846955422349758,23.72580316113965,23.676164215056186,22.509721150279162,1089.3882562000001,0.0,16.925,21.11,21.11,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0,0.0726,0.0,3.7039489650000004,0.0,0.0726,0.0
15,22.617280530917494,23.699560614288878,23.73812138506232,22.497260756967016,1089.3882562000001,0.0,16.9,21.11,21.11,0.0726,0.0,5.013099178,0.0,0.0726,0.0,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0
16,22.92190223912115,23.627051690153692,23.588672159051576,22.48539978137149,1089.3882562000001,0.0,16.875,21.11,21.11,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0
17,23.01520191900005,23.638565234516133,23.540102139255005,22.47450864133341,1089.3882562000001,0.0,16.85,21.11,21.11,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0
18,22.634223182347757,23.677019160997375,23.646848153774723,22.463664735578824,1089.3882562000001,0.0,16.825,21.11,21.11,0.0726,0.0,4.458667490000001,0.0,0.0726,0.0,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0
19,22.98764205372288,23.637053756452165,23.526050164239763,22.45228713620716,1089.3882562000001,0.0,16.8,21.11,21.11,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0
20,23.058566850912936,23.627730221138123,23.497651844601922,22.441357152457087,1089.3882562000001,0.0,16.775,21.11,21.11,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0
21,22.584836565661988,23.65897356949931,23.58641091180024,22.431156249273826,1089.3882562000001,0.0,16.75,21.11,21.11,0.0726,0.0,3.806422695,0.0,0.0726,0.0,0.0726,0.0,3.1808212330000005,0.0,0.0726,0.0
22,22.711850140293624,23.583731623705496,23.49213759223616,22.420618923334995,1089.3882562000001,0.0,16.725,21.11,21.11,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0
23,22.844963387616616,23.55093417820791,23.460394036375043,22.409584559582868,1089.3882562000001,0.0,16.7,21.11,21.11,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0
24,22.88432645559453,23.594015179580214,23.525131903670484,22.39917378132404,1089.3882562000001,0.0,16.675,21.11,21.11,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0,0.0726,0.0,1.5911244350000002,0.0,0.0726,0.0
25,22.976954607657653,23.585276624115263,23.52864920286065,22.38988676135714,1089.3882562000001,0.0,16.65,21.11,21.11,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0
26,23.121811259870626,23.588471364929408,23.54039501871305,22.379962215878198,1089.3882562000001,0.0,16.625,21.11,21.11,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0
27,22.78946370615271,23.60830954712641,23.559548065574443,22.369018252204874,1089.3882562000001,0.0,16.6,21.11,21.11,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0,0.0726,0.0,3.024001676,0.0,0.0726,0.0
28,23.009340756914966,23.581693897533,23.569358943335835,22.358807776632492,1089.3882562000001,0.0,16.575,21.11,21.11,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0
29,22.803501090673517,23.568899554464934,23.57118767875179,22.349164441433594,1089.3882562000001,0.0,16.55,21.11,21.11,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0,0.0726,0.0,2.3666863870000006,0.0,0.0726,0.0
30,23.004024555079,23.56757268143868,23.57446919665946,22.339167760968127,1089.3882562000001,0.0,16.525,21.11,21.11,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0
31,23.12024061017542,23.561085568723325,23.575819744753822,22.329381595691313,1089.3882562000001,0.0,16.5,21.11,21.11,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0
32,23.186688802561203,23.584328556460008,23.577707936607144,22.318914594933506,1089.3882562000001,0.0,16.475,21.11,21.11,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0
33,23.186293715150175,23.594091291533587,23.579286447045583,22.308529664276758,1089.3882562000001,0.0,16.45,21.11,21.11,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0
34,23.194116666966316,23.597915202432493,23.57930546675897,22.29880249656863,1089.3882562000001,0.0,16.425,21.11,21.11,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0
