,t1,w0,w1,i,s,tout,hsp,csp,m0,rh0,m1,rh1,m2,rh2
0,22.790665157786037,23.88648275304096,24.07176416265974,574.8427866000001,0.0,17.18333333,21.11,21.11,0.07780000000000001,0.0,0.317184135,0.0,0.05550000000000001,0.0
1,22.77577062628631,23.84907421351588,24.007935694228912,574.8427866000001,0.0,17.16666667,21.11,21.11,0.0181,0.0,0.283074786,0.0,0.0181,0.0
2,22.931114501749867,23.800414339909462,23.779328286443306,574.8427866000001,0.0,17.15,21.11,21.11,0.0181,0.0,0.116545241,0.0,0.0181,0.0
3,22.593257125950643,23.773526492685964,23.745250383364183,574.8427866000001,0.0,17.13333333,21.11,21.11,0.0181,0.0,0.36298945,0.0,0.0181,0.0
4,22.658351080157036,23.737764072427122,23.880568904001336,574.8427866000001,0.0,17.11666667,21.11,21.11,0.0181,0.0,0.116545241,0.0,0.0561,0.0
5,22.148243236312183,23.701941013739003,23.89197268208149,574.8427866000001,0.0,17.1,21.11,21.11,0.0181,0.0,0.51575783,0.0,0.0181,0.0
6,22.36188357068247,23.650163554086514,23.9029490695347,574.8427866000001,0.0,17.08333333,21.11,21.11,0.0181,0.0,0.28051107399999997,0.0,0.0181,0.0
7,22.654854190808432,23.589209479657406,23.730720038983893,574.8427866000001,0.0,17.06666667,21.11,21.11,0.021040000000000003,0.0,0.116545241,0.0,0.0181,0.0
8,22.74275396267437,23.569967451572857,23.65538322526465,574.8427866000001,0.0,17.05,21.11,21.11,0.02529,0.0,0.116545241,0.0,0.0181,0.0
9,22.849284862258123,23.557366820741706,23.75365372218256,574.8427866000001,0.0,17.03333333,21.11,21.11,0.0181,0.0,0.116545241,0.0,0.0181,0.0
10,22.990398781888075,23.541760466983195,23.76769484187341,574.8427866000001,0.0,17.01666667,21.11,21.11,0.0181,0.0,0.116545241,0.0,0.0181,0.0
11,22.793285305230892,23.53276255709492,23.78894623188019,574.8427866000001,0.0,17.0,21.11,21.11,0.0181,0.0,0.116545241,0.0,0.060899999999999996,0.0
12,22.994201340911467,23.522304499415934,23.800561459834547,544.7020997,0.0,16.975,21.11,21.11,0.0181,0.0,0.116545241,0.0,0.0181,0.0
13,23.013163691452455,23.50994261339692,23.71278808858188,544.7020997,0.0,16.95,21.11,21.11,0.0181,0.0,0.116545241,0.0,0.0181,0.0
14,23.039530457432782,23.500289250791113,23.676164215056186,544.7020997,0.0,16.925,21.11,21.11,0.0181,0.0,0.116545241,0.0,0.0181,0.0
15,23.03969244971961,23.491984845031897,23.73812138506232,544.7020997,0.0,16.9,21.11,21.11,0.0181,0.0,0.116545241,0.0,0.0181,0.0
16,22.925073324466354,23.483846640850267,23.588672159051576,544.7020997,0.0,16.875,21.11,21.11,0.0181,0.0,0.116545241,0.0,0.036699999999999997,0.0
17,22.7144031229602,23.474325503850153,23.540102139255005,544.7020997,0.0,16.85,21.11,21.11,0.068,0.0,0.116545241,0.0,0.0181,0.0
18,22.971753882361494,23.46171397213948,23.646848153774723,544.7020997,0.0,16.825,21.11,21.11,0.0181,0.0,0.116545241,0.0,0.0181,0.0
19,22.977786362797524,23.45067710909007,23.526050164239763,544.7020997,0.0,16.8,21.11,21.11,0.0181,0.0,0.116545241,0.0,0.0181,0.0
20,22.984411582257568,23.442423462737885,23.497651844601922,544.7020997,0.0,16.775,21.11,21.11,0.0181,0.0,0.116545241,0.0,0.0181,0.0
21,22.986589651165648,23.43363889295403,23.58641091180024,544.7020997,0.0,16.75,21.11,21.11,0.0181,0.0,0.116545241,0.0,0.0181,0.0
22,22.98794299594673,23.425132906901567,23.49213759223616,544.7020997,0.0,16.725,21.11,21.11,0.0181,0.0,0.116545241,0.0,0.0181,0.0
23,22.984766970872275,23.416791989449067,23.460394036375043,544.7020997,0.0,16.7,21.11,21.11,0.0181,0.0,0.116545241,0.0,0.0181,0.0
24,22.89543038208001,23.408541128656985,23.525131903670484,544.7020997,0.0,16.675,21.11,21.11,0.0181,0.0,0.174645241,0.0,0.0181,0.0
25,22.267468696043743,23.395823211916166,23.52864920286065,544.7020997,0.0,16.65,21.11,21.11,0.0181,0.0,0.46457199699999996,0.0,0.0181,0.0
26,22.37181179842309,23.35620726167631,23.54039501871305,544.7020997,0.0,16.625,21.11,21.11,0.0543,0.0,0.116545241,0.0,0.0181,0.0
27,22.62115880741792,23.32108264335165,23.559548065574443,544.7020997,0.0,16.6,21.11,21.11,0.0181,0.0,0.116545241,0.0,0.0181,0.0
28,22.68998860291793,23.31213591543766,23.569358943335835,544.7020997,0.0,16.575,21.11,21.11,0.0181,0.0,0.116545241,0.0,0.0181,0.0
29,22.74011176661853,23.301925029833505,23.57118767875179,544.7020997,0.0,16.55,21.11,21.11,0.0181,0.0,0.116545241,0.0,0.0181,0.0
30,22.775538772247593,23.29162864326718,23.57446919665946,544.7020997,0.0,16.525,21.11,21.11,0.0181,0.0,0.116545241,0.0,0.0181,0.0
31,22.8262452734773,23.282403883017963,23.575819744753822,544.7020997,0.0,16.5,21.11,21.11,0.0181,0.0,0.116545241,0.0,0.0181,0.0
32,22.854792806176658,23.274771365520643,23.577707936607144,544.7020997,0.0,16.475,21.11,21.11,0.0181,0.0,0.116545241,0.0,0.0181,0.0
33,22.850812105052963,23.268215155504507,23.579286447045583,544.7020997,0.0,16.45,21.11,21.11,0.0181,0.0,0.116545241,0.0,0.0181,0.0
34,22.8497614930504,23.261480354538378,23.57930546675897,544.7020997,0.0,16.425,21.11,21.11,0.0181,0.0,0.116545241,0.0,0.0181,0.0
