,t1,w0,w1,i,s,tout,hsp,csp,m0,rh0
0,25.05251565,27.55188400855522,22.69189784807985,9568.998753,0.0,17.18333333,21,24,0.788753754,0.0
1,23.57867644,27.613623235047903,22.675524344331247,9568.998753,0.0,17.16666667,21,24,1.359338309,0.0
2,24.87852636,27.498736951705116,22.66259453759447,9568.998753,0.0,17.15,21,24,0.8195798790000001,0.0
3,22.94144821,27.517589081454812,22.650323638194386,9568.998753,0.0,17.13333333,21,24,1.581772572,0.0
4,23.55355086,27.36929959500868,22.63827924621507,9568.998753,0.0,17.11666667,21,24,1.1460740870000001,0.0
5,22.60678979,27.28316211573202,22.625249698546494,9568.998753,0.0,17.1,21,24,1.56722121,0.0
6,23.04193886,27.16996202869253,22.612986358844104,9568.998753,0.0,17.08333333,21,24,1.2975612890000001,0.0
7,22.97702382,27.105526758607546,22.60164325461949,9568.998753,0.0,17.06666667,21,24,1.335026142,0.0
8,22.96030738,27.068369559222926,22.589243677060463,9568.998753,0.0,17.05,21,24,1.318438425,0.0
9,23.54481951,27.015725429191843,22.577772410137094,9568.998753,0.0,17.03333333,21,24,1.087526717,0.0
10,24.6939034,27.027088113332457,22.566874825863845,9568.998753,0.0,17.01666667,21,24,0.739700335,0.0
11,22.70521647,27.142918096836237,22.554767545869414,9568.998753,0.0,17.0,21,24,1.637771043,0.0
12,22.39094386,26.99470677396541,22.537322877383268,9501.725174,0.0,16.975,21,24,1.4999328669999998,0.0
13,23.39694358,26.834268493719303,22.520865745295566,9501.725174,0.0,16.95,21,24,1.0550808740000002,0.0
14,23.97561484,26.87473506547451,22.509721150279162,9501.725174,0.0,16.925,21,24,0.956314364,0.0
15,24.88267655,26.941190142255977,22.497260756967016,9501.725174,0.0,16.9,21,24,0.707499477,0.0
16,22.60702403,27.0592763808443,22.48539978137149,9501.725174,0.0,16.875,21,24,1.618191362,0.0
17,24.421549100000004,26.89517914424716,22.47450864133341,9501.725174,0.0,16.85,21,24,0.727503482,0.0
18,25.41943067,26.966156663165766,22.463664735578824,9501.725174,0.0,16.825,21,24,0.6521381629999999,0.0
19,24.40625038,27.135095775571884,22.45228713620716,9501.725174,0.0,16.8,21,24,1.010154,0.0
20,25.21513968,27.087954081898765,22.441357152457087,9501.725174,0.0,16.775,21,24,0.7169430859999999,0.0
21,22.44539665,27.132140646941437,22.431156249273826,9501.725174,0.0,16.75,21,24,1.7542861680000001,0.0
22,23.841206670000002,26.91556338669606,22.420618923334995,9501.725174,0.0,16.725,21,24,0.8347936779999999,0.0
23,24.5406141,26.918810552482125,22.409584559582868,9501.725174,0.0,16.7,21,24,0.776876736,0.0
24,24.12998196,27.034625494886196,22.39917378132404,9501.725174,0.0,16.675,21,24,1.001946167,0.0
25,24.8890462,27.00197117496637,22.38988676135714,9501.725174,0.0,16.65,21,24,0.7704346040000001,0.0
26,25.50772419,27.047539306563603,22.379962215878198,9501.725174,0.0,16.625,21,24,0.63422516,0.0
27,25.50796759,27.15445014337584,22.369018252204874,9501.725174,0.0,16.6,21,24,0.7197469959999999,0.0
28,23.8338665,27.19185195290272,22.358807776632492,9501.725174,0.0,16.575,21,24,1.24962557,0.0
29,22.28144413,27.06631174368161,22.349164441433594,9501.725174,0.0,16.55,21,24,1.772414261,0.0
30,24.27662538,26.83361752322299,22.339167760968127,9501.725174,0.0,16.525,21,24,0.63422516,0.0
31,25.69238717,26.968161557634343,22.329381595691313,9501.725174,0.0,16.5,21,24,0.63422516,0.0
32,25.7239633,27.13921143633306,22.318914594933506,9501.725174,0.0,16.475,21,24,0.789187803,0.0
33,25.82184149,27.178835726967872,22.308529664276758,9501.725174,0.0,16.45,21,24,0.6767235620000001,0.0
34,23.48382508,27.211696665299694,22.29880249656863,9501.725174,0.0,16.425,21,24,1.3928057109999998,0.0
35,22.12026581,27.043561049532297,22.289167268897415,9501.725174,0.0,16.4,21,24,1.835975771,0.0
36,22.14426467,26.78972461746359,22.27977131889068,9501.725174,0.0,16.375,21,24,1.7571341530000002,0.0
37,24.46697231,26.66656482691761,22.270420571397857,9501.725174,0.0,16.35,21,24,0.63422516,0.0
38,22.96707563,26.89971836165105,22.2607878534879,9501.725174,0.0,16.325,21,24,1.486117032,0.0
39,23.21543311,26.82078185095766,22.251552575830456,9501.725174,0.0,16.3,21,24,1.002209884,0.0
40,24.56440821,26.704599668892236,22.243225033989983,9501.725174,0.0,16.275,21,24,0.8367205790000001,0.0
41,22.71422605,26.8278188535556,22.23417311403568,9501.725174,0.0,16.25,21,24,1.6795795180000002,0.0
42,22.21624699,26.705001886698998,22.224796988698518,9501.725174,0.0,16.225,21,24,1.819113166,0.0
43,24.21618309,26.536019704811427,22.216079905744042,9501.725174,0.0,16.2,21,24,0.788735978,0.0
44,25.49482277,26.694108105544398,22.207033797189055,9501.725174,0.0,16.175,21,24,0.730667438,0.0
45,22.764070660000005,26.870577131289735,22.197303850690723,9501.725174,0.0,16.15,21,24,1.798523431,0.0
46,24.58198757,26.668540200160756,22.187361476608764,9501.725174,0.0,16.125,21,24,0.668450229,0.0
47,23.18377646,26.774925931600443,22.177757025522,9501.725174,0.0,16.1,21,24,1.4073406780000002,0.0
48,22.721845340000005,26.806174108298034,22.178514999376063,11885.55551,0.0,16.1,21,24,1.6281271469999998,0.0
49,24.4124077,26.714528207165813,22.181222913261177,11885.55551,0.0,16.1,21,24,0.8479132079999999,0.0
50,23.36743498,26.877651138532425,22.176545690156132,11885.55551,0.0,16.1,21,24,1.4226825969999999,0.0
51,23.3877314,26.872804693570973,22.17228038529205,11885.55551,0.0,16.1,21,24,1.395515677,0.0
52,24.89223796,26.828955598228,22.177792543243896,11885.55551,10.08333333,16.1,21,24,0.793035637,0.0
53,22.84459767,26.99931589463386,22.189936368811882,11885.55551,11.0,16.1,21,24,1.7884760430000002,0.0
54,24.4428315,26.89151191431334,22.19780886907669,11885.55551,13.91666667,16.1,21,24,0.94393167,0.0
55,23.26649052,26.950956682842833,22.204545500088756,11885.55551,16.83333333,16.1,21,24,1.5446244519999999,0.0
56,24.12509018,26.93567556353636,22.211166553700274,11885.55551,19.75,16.1,21,24,1.116782554,0.0
57,25.12357836,26.9560959380077,22.217631125451106,11885.55551,22.66666667,16.1,21,24,0.8213721359999999,0.0
58,25.69749452,27.107359978310246,22.22393749691546,11885.55551,25.58333333,16.1,21,24,0.819711249,0.0
59,23.78982941,27.225840862264164,22.230636700428846,11885.55551,28.5,16.1,21,24,1.469031648,0.0
60,25.28002511,27.48806251481746,22.309199188227485,22454.92096,31.41666667,16.1,21,24,0.990954569,0.0
61,23.848087670000005,27.833256841742593,22.378176913591307,22454.92096,34.33333333,16.1,21,24,1.84958704,0.0
62,23.19613115,27.91103223625651,22.375624730775677,22454.92096,37.25,16.1,21,24,2.084020372,0.0
63,23.73571263,27.88566956315621,22.384696666364462,22454.92096,40.16666667,16.1,21,24,1.7375670140000001,0.0
64,25.17012754,27.98668573036808,22.394930650383444,22454.92096,43.08333333,16.1,21,24,1.210994764,0.0
65,25.94505376,28.229967856340007,22.404838014939067,22454.92096,46.0,16.1,21,24,1.118368972,0.0
66,25.228465510000003,28.460781960678414,22.425654291592068,22454.92096,55.16666667,16.1,21,24,1.453332146,0.0
67,24.82504892,28.535365493840086,22.458678883627336,22454.92096,64.33333333,16.1,21,24,1.577802551,0.0
68,24.42771807,28.561470671869913,22.494913750333644,22454.92096,73.5,16.1,21,24,1.714243266,0.0
69,25.17750252,28.578321605840948,22.533747358521882,22454.92096,82.66666667,16.1,21,24,1.4071157930000002,0.0
70,23.65046407,28.687696741874134,22.57426214848351,22454.92096,91.83333333,16.1,21,24,2.114362583,0.0
71,23.68180342,28.627501790396174,22.616314225549537,22454.92096,101.0,16.1,21,24,1.9257914980000002,0.0
72,24.88751964,28.780251317044723,22.68972320287597,27899.431360000002,110.16666670000001,16.1,21,24,0.850770317,0.0
73,23.890684730000004,29.05770395307839,22.770104334821315,27899.431360000002,119.33333329999999,16.1,21,24,1.562948671,0.0
74,22.81016858,29.09830546239843,22.823722611840175,27899.431360000002,128.5,16.1,21,24,2.2816858719999997,0.0
75,24.837176899999996,28.994804888536486,22.878175137143067,27899.431360000002,137.66666669999998,16.1,21,24,0.799854746,0.0
76,25.4057383,29.221914803051583,22.931327526894076,27899.431360000002,146.83333330000002,16.1,21,24,0.6991622590000001,0.0
77,24.59811656,29.450800952133886,22.979123424924133,27899.431360000002,156.0,16.1,21,24,1.246873773,0.0
78,23.23646933,29.45789517621356,23.019744408495225,27899.431360000002,161.5833,16.1,21,24,2.108570721,0.0
79,22.40260424,29.330233251083047,23.053800833089813,27899.431360000002,167.166666667,16.1,21,24,2.635823422,0.0
80,22.30057598,29.185639218159512,23.0871637846769,27899.431360000002,172.75,16.1,21,24,2.597122711,0.0
81,22.98231922,29.118268568152025,23.117871259715567,27899.431360000002,178.333333333,16.1,21,24,1.996772334,0.0
82,22.65647842,29.16691298787164,23.15080044297645,27899.431360000002,183.916666667,16.1,21,24,2.294522355,0.0
83,25.010692159999998,29.15637462806727,23.18418703557531,27899.431360000002,189.5,16.1,21,24,0.6769954220000001,0.0
84,24.84070098,29.565629326514816,23.167345594647898,31513.689489999997,195.083333333,16.15,21,24,1.045475398,0.0
85,22.6911516,29.783863656727302,23.11804351598248,31513.689489999997,200.666666667,16.2,21,24,2.638693989,0.0
86,23.14548686,29.590186227788806,23.116576477202823,31513.689489999997,206.25,16.25,21,24,2.009148077,0.0
