,t1,w0,w1,w2,i,s,tout,hsp,m0,rh0,csp0,m1,rh1,csp1,m2,rh2,csp2,m3,rh3,csp3,m4,rh4,csp4,m5,rh5,csp5,m6,rh6,csp6,m7,rh7,csp7,m8,rh8,csp8,m9,rh9,csp9,m10,rh10,csp10,m11,rh11,csp11
0,22.38281213102475,24.02688886419217,23.88648275304096,27.55188400855522,159127.2694696,0.0,17.18333333,21,2.261294135,0.0,23.15,2.207559924,0.0,23.29,0.209477606,0.0,25.95,1.028502405,4147.130699208001,24.56,3.794979407,0.0,25.07,1.420351088,0.0,25.61,0.152557902,0.0,24.57,0.13210839300000002,0.0,25.83,0.0961,0.0,24.77,0.271475717,0.0,22.88,1.6716511669999998,1571.9623839948001,22.02,0.839599523,0.0,25.67
1,22.270480318457484,23.939668008737115,23.84907421351588,27.613623235047903,159127.2694696,0.0,17.16666667,21,2.261294135,0.0,24.25,2.207559924,0.0,23.08,0.209477606,0.0,25.7,1.028502405,4201.298941996801,22.91,3.794979407,0.0,22.7,1.420351088,0.0,25.36,0.152557902,0.0,23.67,0.13210839300000002,0.0,22.36,0.0961,0.0,22.04,0.155293807,0.0,23.02,1.6716511669999998,1621.5797198118,22.71,1.769715168,0.0,22.76
2,22.267676914575247,23.831252373093783,23.800414339909462,27.498736951705116,159127.2694696,0.0,17.15,21,2.261294135,0.0,22.91,2.207559924,0.0,24.09,0.209477606,0.0,23.03,1.028502405,4208.686175798999,25.22,4.158461788,0.0,22.29,1.420351088,0.0,25.06,0.152557902,0.0,23.85,0.13210839300000002,0.0,25.5,0.0961,0.0,25.39,0.0543,0.0,24.85,1.6716511669999998,1598.6742965550002,25.13,1.4015487530000001,0.0,23.39
3,22.216577229421326,23.848612737216683,23.773526492685964,27.517589081454812,159127.2694696,0.0,17.13333333,21,2.261294135,0.0,25.83,2.207559924,0.0,23.4,0.209477606,0.0,25.21,1.028502405,4263.6090675192,23.65,3.968387256,0.0,22.26,2.533451634,0.0,22.04,0.152557902,0.0,24.06,0.17055019100000002,0.0,22.15,0.0961,0.0,23.25,0.0543,0.0,24.48,1.6716511669999998,1650.4491222912002,22.75,1.858734191,0.0,22.2
4,22.267026108134885,23.86194966647662,23.737764072427122,27.36929959500868,159127.2694696,0.0,17.11666667,21,2.261294135,0.0,26.0,2.207559924,0.0,25.64,0.209477606,0.0,24.7,1.028502405,4263.844293765,24.54,3.794979407,0.0,22.84,2.533451634,0.0,22.9,0.152557902,0.0,25.2,0.13210839300000002,0.0,23.8,0.0961,0.0,24.67,0.0543,0.0,23.62,1.6716511669999998,1606.1526299700001,24.16,1.052730928,0.0,24.05
5,22.20781838984486,23.81614808968415,23.701941013739003,27.28316211573202,159127.2694696,0.0,17.1,21,2.261294135,0.0,24.77,2.207559924,0.0,25.67,0.209477606,0.0,22.94,1.028502405,4336.0242342102,23.1,4.506538046,0.0,22.1,1.420351088,0.0,23.97,0.152557902,0.0,22.76,0.13210839300000002,0.0,23.15,0.0961,0.0,25.13,0.0543,0.0,24.6,1.6716511669999998,1708.6360444145998,22.68,0.940740218,0.0,24.79
6,22.23875294534923,23.822269657905117,23.650163554086514,27.16996202869253,159127.2694696,0.0,17.08333333,21,2.261294135,0.0,22.54,2.207559924,0.0,24.9,0.209477606,0.0,23.63,1.028502405,4320.13743126,23.17,3.794979407,0.0,25.91,1.420351088,0.0,24.38,0.152557902,0.0,23.78,0.13210839300000002,0.0,25.71,0.0961,0.0,22.62,0.0543,0.0,24.82,1.6716511669999998,1652.0128099859999,23.75,1.273048188,0.0,23.86
7,22.14275970394436,23.782422557153392,23.589209479657406,27.105526758607546,159127.2694696,0.0,17.06666667,21,2.261294135,0.0,23.72,2.207559924,0.0,25.95,0.209477606,0.0,23.43,1.028502405,4354.753053756,23.77,3.794979407,0.0,24.08,1.420351088,0.0,25.42,0.152557902,0.0,25.08,0.13210839300000002,0.0,22.19,0.0961,0.0,23.77,0.0543,0.0,24.83,1.6716511669999998,1671.0932938728,25.89,1.851707346,0.0,22.27
8,22.180934470913474,23.72597242754036,23.569967451572857,27.068369559222926,159127.2694696,0.0,17.05,21,2.261294135,0.0,25.88,2.207559924,0.0,22.78,0.209477606,0.0,25.87,1.028502405,4376.466050229,23.07,3.794979407,0.0,24.08,1.420351088,0.0,24.17,0.152557902,0.0,23.72,0.13210839300000002,0.0,24.59,0.0961,0.0,22.4,0.0543,0.0,25.37,1.6716511669999998,1669.3722460253996,22.66,1.4554722230000001,0.0,22.86
9,22.253126617511008,23.70086280053602,23.557366820741706,27.015725429191843,159127.2694696,0.0,17.03333333,21,2.261294135,0.0,25.72,2.207559924,0.0,23.21,0.209477606,0.0,25.83,1.028502405,4391.4324400464,25.64,3.794979407,0.0,24.84,1.420351088,0.0,25.18,0.152557902,0.0,23.79,0.13210839300000002,0.0,25.42,0.0961,0.0,23.07,0.0543,0.0,24.86,1.6716511669999998,1669.4615531831996,24.59,0.910355068,0.0,24.64
10,22.269152725811555,23.70899507953199,23.541760466983195,27.027088113332457,159127.2694696,0.0,17.01666667,21,2.503424389,0.0,22.02,2.207559924,0.0,25.06,0.209477606,0.0,25.5,1.028502405,4418.3324408076005,25.83,3.794979407,0.0,25.48,1.420351088,0.0,24.61,0.152557902,0.0,23.55,0.13210839300000002,0.0,24.45,0.0961,0.0,23.17,0.0543,0.0,25.56,1.6716511669999998,1677.2084580216,25.0,0.787269365,0.0,25.72
