,Unnamed: 0,p0,m0
389,389,2176.55108422,3.92203237616
390,390,2176.55108422,3.92203237616
391,391,2475.21260305,4.34721636112
392,392,5428.88027414,6.09263828654
393,393,2176.55108422,3.92203237616
394,394,2176.55108422,3.92203237616
395,395,2176.55108422,3.92203237616
396,396,2306.39877889,4.11934199716
397,397,2623.89126667,4.47120162661
398,398,2176.55108422,3.92203237616
399,399,2261.86361939,4.05950008179
400,400,2176.55108422,3.92203237616
401,401,7227.19450024,7.94449107513
402,402,2237.04500283,4.02143378314
403,403,2580.85324372,4.49546248926
404,404,2176.55108422,3.92203237616
405,405,4523.31385826,5.93606938042
406,406,3196.25382291,5.23806711535
407,407,2373.74552547,4.20900732948
408,408,2782.04864496,4.78145308772
409,409,3366.02583832,5.24603406446
410,410,2217.34539208,3.98761691496
411,411,2720.96852729,4.56492214893
412,412,5953.9123062,6.42434463947
413,413,2176.55108422,3.92203237616
414,414,2331.49282562,4.15185488559
415,415,2176.55108422,3.92203237616
416,416,2176.55108422,3.92203237616
417,417,2650.10576987,4.52148060469
418,418,2469.41746312,4.36520658373
419,419,6738.54786616,6.87754339969
420,420,2176.55108422,3.92203237616
421,421,5732.85594455,6.707221367
422,422,2997.24954008,4.97665590563
423,423,2176.55108422,3.92203237616
424,424,7389.17917242,7.45420472848
425,425,2824.9461664,4.78618382902
426,426,2804.22783146,4.791357042
427,427,3614.83332508,5.57661818496
428,428,6175.70924787,6.72906265644
429,429,2664.16033445,4.61722371939
430,430,2323.78252424,4.15283359328
431,431,2420.18440412,4.27045393834
432,432,3006.85257187,4.84337470385
433,433,10164.124818,9.04038369501
434,434,8052.12795395,8.05104327771
435,435,3508.1746886,5.46067698033
436,436,2978.67470307,4.98853872291
437,437,2333.18998716,4.16165738684
438,438,10164.7474898,8.83216364518
439,439,2647.25540641,4.59811984424
440,440,3043.89702741,5.03937433406
441,441,2411.04053384,4.28104868679
442,442,4009.06824641,5.88143480451
443,443,10680.8769173,9.36475116608
444,444,7998.2606554,8.27813548463
445,445,2363.4692973,4.19973752633
446,446,3286.58619759,5.31279803462
447,447,2177.09374675,3.92295086331
448,448,15064.5254687,10.4564890184
449,449,3785.84764464,5.74471568386
450,450,9379.32842764,8.86136785186
451,451,3756.52096477,5.64419802512
452,452,3836.48079572,5.78535981486
453,453,2176.55108422,3.92203237616
454,454,4796.58687232,6.43460355378
455,455,2176.55108422,3.92203237616
456,456,2648.81199114,4.55947940556
457,457,4283.72311134,5.85956444445
458,458,3578.14568524,5.6085440256
459,459,2455.9166166,4.34798793799
460,460,6126.332326,6.77877830922
461,461,5838.05616406,6.77851354808
462,462,11273.8277523,9.16962704918
463,463,3896.09209339,5.90215672841
464,464,3641.78897289,5.57448424415
465,465,3699.43541669,5.71393940935
466,466,2797.68749015,4.78504742592
467,467,11210.2922914,9.53411122078
468,468,9375.21051404,8.63239028124
469,469,5442.88435124,6.76034982339
470,470,3677.10671484,5.66317697567
471,471,13990.3336991,10.3575328718
472,472,3052.81853442,5.09902758363
473,473,3978.46269573,5.89084163756
