,tout,s,i,t1,t2,t3,t4,sp0,m,rh
0,-2.29166666667,0.0,214.868543159,21.2811526567,21.4480291846,23.4218986895,22.1728226601,24.0,0.0615440865933,0.0
1,-1.78333333333,0.0,214.868543159,21.2769476038,21.4428066746,23.3899761595,22.161492952,24.0,0.0615440865933,0.0
2,-1.275,0.0,214.868543159,21.269016659,21.4330245597,23.3477831072,22.1448946468,24.0,0.0615440865933,0.0
3,-0.766666666667,0.0,214.868543159,21.2593600868,21.4212682742,23.3067899171,22.1271490504,24.0,0.0615440865933,0.0
4,-0.258333333333,0.0,214.868543159,21.2499718212,21.410025091,23.277206979,22.1123952421,24.0,0.0615440865933,0.0
5,0.25,0.0,214.868543159,21.2415429896,21.4001136634,23.259462095,22.1017254681,24.0,0.0615440865933,0.0
6,0.758333333333,0.0,214.868543159,21.2339543191,21.3913469266,23.249425609,22.0943765954,24.0,0.0615440865933,0.0
7,1.26666666667,0.0,214.868543159,21.2269148225,21.3833368516,23.2432701117,22.0892041632,24.0,0.0615440865933,0.0
8,1.775,0.0,214.868543159,21.2202322651,21.3758234103,23.238928464,22.0853385582,24.0,0.0615440865933,0.0
9,2.28333333333,0.0,214.868543159,21.2138480559,21.3687129734,23.235698689,22.0822832099,24.0,0.0615440865933,0.0
10,2.79166666667,0.0,214.868543159,21.2077667199,21.3619904015,23.233433239,22.0797773735,24.0,0.0615440865933,0.0
11,3.3,0.0,214.868543159,21.2020129786,21.3556680122,23.2321058466,22.0776841001,24.0,0.0615440865933,0.0
12,3.20833333333,0.0,214.868543159,21.1969978806,21.3502576647,23.2317551193,22.076429344,24.15,0.0615440865933,0.0
13,3.11666666667,0.0,214.868543159,21.1917794274,21.3445611747,23.2286971008,22.0747840347,24.15,0.0615440865933,0.0
14,3.025,0.0,214.868543159,21.1866603343,21.3389664397,23.2244384201,22.0730952186,24.15,0.0615440865933,0.0
15,2.93333333333,0.0,214.868543159,21.1820152973,21.3339520861,23.2207833785,22.0718519398,24.15,0.0615440865933,0.0
16,2.84166666667,0.0,214.868543159,21.1775697046,21.3291718446,23.217028379,22.0707407686,24.15,0.0615440865933,0.0
17,2.75,0.0,214.868543159,21.1732967652,21.3245946535,23.2132619666,22.0697429497,24.15,0.0615440865933,0.0
18,2.65833333333,0.0,214.868543159,21.1691714702,21.3201903339,23.2094958163,22.0688326095,24.15,0.0615440865933,0.0
19,2.56666666667,0.0,214.868543159,21.1651715961,21.3159313242,23.2057056281,22.0679841468,24.15,0.0615440865933,0.0
20,2.475,0.0,214.868543159,21.1612973133,21.3118182275,23.2019268546,22.0672008776,24.15,0.0615440865933,0.0
21,2.38333333333,0.0,214.868543159,21.1575357949,21.3078351628,23.198143069,22.066471587,24.15,0.0615440865933,0.0
