,t11,t12,t13,t14,t15,t16,t17,t18
139,22.0510530722,20.5117720062,21.9542724976,20.4195225906,20.8249459707,22.1842494171,20.8124886296,21.9542724976
140,22.116468191,20.5253741422,22.0550706004,20.2227299095,20.8558694431,22.3226298689,21.0561074214,22.0550706004
141,22.2155822685,20.5464313008,22.1946960331,20.0043436361,20.9041521433,22.5111249031,21.3360344824,22.1946960331
142,22.3084152703,20.5664327028,22.3125847389,19.9824458355,20.9509870462,22.6662036646,21.5126396016,22.3125847389
143,22.375634125,20.5817121594,22.3884855681,19.9807434352,20.9872235086,22.7622602616,21.5773064251,22.3884855681
144,22.4186334188,20.5932702002,22.4328394452,19.9798823884,21.0137817736,22.8142526096,21.5861878482,22.4328394452
145,22.4456938989,20.602995472,22.4611978803,19.9803918781,21.0343783143,22.8433630505,21.5840264294,22.4611978803
146,22.4640954428,20.6122055279,22.4836832486,19.9814410481,21.0520200645,22.8633871199,21.5873743708,22.4836832486
147,22.4780853106,20.6214487117,22.5043885125,19.9809153851,21.0682609908,22.8801819005,21.5956490307,22.5043885125
148,22.4896219121,20.6308123613,22.5241560909,19.9806466184,21.0836736195,22.895291777,21.604528439,22.5241560909
149,22.4995282556,20.6402227098,22.5428702059,19.9799822808,21.0984155104,22.9088864161,21.6117861803,22.5428702059
150,22.5082194324,20.6495955834,22.5604390125,19.980573773,21.1125414378,22.921057302,21.6174116056,22.5604390125
151,22.5159869577,20.6588759353,22.5769479303,19.9811047212,21.1261033592,22.9320424875,21.6221239651,22.5769479303
152,22.5294023734,20.6675677813,22.5957067486,20.0976947144,21.1433439157,22.9400460281,21.606541316,22.5957067486
153,22.5452040333,20.6760585028,22.6154776891,20.109954369,21.1624633727,22.9471329694,21.5857419339,22.6154776891
154,22.5602800398,20.685135788,22.6357204096,20.1099927144,21.1814998814,22.9562046628,21.5763242551,22.6357204096
155,22.5730671337,20.6945999899,22.6549584292,20.110513786,21.1991289822,22.9664924926,21.5770555606,22.6549584292
156,22.5835229484,20.7040397181,22.6724333809,20.1115571545,21.2150540253,22.976545904,21.5811751487,22.6724333809
157,22.5922462528,20.7132115505,22.6882031579,20.1092408683,21.2295390212,22.9856324519,21.5844276873,22.6882031579
158,22.5998516654,20.7220552254,22.7026595244,20.1098945532,21.2429535783,22.9937195652,21.5859867032,22.7026595244
159,22.6067561269,20.7305986765,22.7161703568,20.1105339366,21.2555766809,23.001062931,21.5865739454,22.7161703568
160,22.6131735827,20.7388664326,22.7289363102,20.108905342,21.2675490066,23.0078881941,21.5869278867,22.7289363102
161,22.6192382388,20.7468902803,22.7410861373,20.1104461784,21.278972813,23.0143615746,21.5873394174,22.7410861373
162,22.6250458571,20.7546966241,22.7527063813,20.1097215293,21.2899295697,23.0205812996,21.5877992959,22.7527063813
163,22.6306589243,20.7622982312,22.7638497273,20.1114137679,21.3004759003,23.0265926171,21.5882255928,22.7638497273
164,22.6483304055,20.7736480694,22.8052398304,20.2000182547,21.3109639358,23.0957749269,21.744032854,22.8052398304
165,22.6694925981,20.7858099966,22.8533579014,20.2095273288,21.3201140517,23.1823604965,21.9222200014,22.8533579014
166,22.6881619794,20.7971100328,22.892382807,20.2114708856,21.3287769642,23.2518662553,22.0352630862,22.892382807
167,22.7024487139,20.8068765062,22.9190309477,20.2097979182,21.3371513224,23.2962087761,22.0805788051,22.9190309477
168,22.71305076,20.8152773614,22.9368944054,20.2105129419,21.3452130578,23.3221497867,22.0915509988,22.9368944054
169,22.7213062838,20.8227565616,22.9502917548,20.2110881095,21.3529551177,23.3384755608,22.0951196019,22.9502917548
170,22.7282469585,20.8296891879,22.9618504092,20.211308376,21.3604248765,23.3507566437,22.1011355467,22.9618504092
171,22.7344432247,20.836291786,22.9726033427,20.21141168,21.367683866,23.361333911,22.109249805,22.9726033427
172,22.7401620511,20.8426627139,22.9827884427,20.2114916288,21.3747796011,23.3708558245,22.1169693922,22.9827884427
173,22.7455319789,20.8488427011,22.9924309313,20.2115074176,21.3817409602,23.3794585026,22.1231179441,22.9924309313
174,22.7506329272,20.8548524002,23.001567266,20.2114004696,21.3885836531,23.3872515788,22.1278509351,23.001567266
175,22.7555259183,20.8607071431,23.0102676249,20.2111476911,21.3953165459,23.3943923112,22.1317264164,23.0102676249
176,22.7430399916,20.8591454754,23.0087896644,20.4012843151,21.3799585083,23.4283051407,22.2540066723,23.0087896644
177,22.7222057769,20.8539575341,23.0004498688,20.4187532953,21.3539830785,23.4667957776,22.3901613145,23.0004498688
178,22.7040308209,20.8497677193,22.993064372,20.4210826094,21.3310816142,23.49612494,22.4743238095,22.993064372
179,22.6919010324,20.8476547106,22.9886006121,20.4208290723,21.3154265713,23.5132225702,22.5052672027,22.9886006121
180,22.6850385217,20.8472186396,22.9868000557,20.4212270932,21.3059470074,23.522157957,22.5101295119,22.9868000557
181,22.6815065153,20.8477364791,22.9866256343,20.4218034506,21.3002638707,23.5273737342,22.5102683734,22.9866256343
182,22.6797909355,20.8487181173,22.9872744884,20.4218832353,21.2966301765,23.5314335089,22.5133217116,22.9872744884
183,22.6790847369,20.8499593093,22.9883933284,20.421451391,21.2941820158,23.53532262,22.5188366181,22.9883933284
184,22.6790342453,20.85140277,22.9898776504,20.4207889989,21.2925784603,23.5392375189,22.5246218209,22.9898776504
185,22.6794762873,20.8530294031,22.9916861606,20.4201114439,21.2916730094,23.5431391499,22.5295302349,22.9916861606
186,22.6803166948,20.8548285013,22.9937995352,20.4195353483,21.2913739602,23.5470215622,22.5336050757,22.9937995352
