,Unnamed: 0,tout,s,i,t1,t2,t3,t4,sp0,m,rh
7000,7000,-1.99166666667,42.1666666667,8345.0232599,20.9431092876,22.2790797598,24.9389242325,22.0072972797,24.94,0.939069510456,606.687922283
7001,7001,-1.95,46.0,8345.0232599,20.9408804601,22.2741532042,24.9392086068,22.0031535882,24.94,0.939069510456,606.689772659
7002,7002,-1.90833333333,59.1666666667,8345.0232599,20.9413435066,22.2725561235,24.9393698655,22.0010221704,24.94,0.939069510456,606.691208497
7003,7003,-1.86666666667,72.3333333333,8228.32507226,20.9423097422,22.2702852614,24.9394767943,21.9998822258,24.94,0.939069510456,577.406756245
7004,7004,-1.825,85.5,8228.32507226,20.9415664428,22.2685223525,24.9395516479,21.9993545081,24.94,0.939069510456,518.229683428
7005,7005,-1.78333333333,98.6666666667,8111.62688463,20.9415624447,22.2678808111,24.9396065885,21.9992747419,24.94,0.939069510456,488.324063319
7006,7006,-1.74166666667,111.833333333,7994.928697,20.9428168477,22.2688804915,24.9396494024,21.9995004034,24.94,0.939069510456,458.20642687
7007,7007,-1.7,125.0,7994.928697,20.9425038581,22.2703932607,24.9396922421,21.9999906824,24.94,0.939069510456,397.215572907
7008,7008,-1.60833333333,138.166666667,7782.3755674,20.8914492038,22.2536125665,24.5505196738,21.9824309164,24.46,0.939069510456,0.0
7009,7009,-1.51666666667,151.333333333,7782.3755674,20.8435983671,22.2312305983,24.4752311858,21.9562926539,24.46,0.939069510456,0.0
7010,7010,-1.425,164.5,7782.3755674,20.8270107523,22.214119689,24.4658656414,21.9321944566,24.46,0.939069510456,0.0
7011,7011,-1.33333333333,177.666666667,7782.3755674,20.8404964928,22.2059982641,24.4621619683,21.9146922802,24.46,0.939069510456,0.0
7012,7012,-1.24166666667,190.833333333,7782.3755674,20.8783471026,22.2068794936,24.4606745531,21.9032170941,24.46,0.939069510456,0.0
7013,7013,-1.15,204.0,7782.3755674,20.9252066038,22.2127656817,24.4600708237,21.8956659416,24.46,0.939069510456,0.0
7014,7014,-1.05833333333,219.166666667,7782.3755674,20.9730374542,22.2207100927,24.4598302013,21.8903324306,24.46,0.939069510456,0.0
7015,7015,-0.966666666667,234.333333333,7782.3755674,21.0213817342,22.2297075971,24.4597384102,21.8862562673,24.46,0.939069510456,0.0
