,tout,s,i,t1,t2,t3,t4,sp0,m,rh
0,-2.29166666667,0.0,857.43099144,21.4480291846,21.2811526567,23.4218986895,22.1728226601,24.0,0.13577444552,0.0
1,-1.78333333333,0.0,857.43099144,21.4428066746,21.2769476038,23.3899761595,22.161492952,24.0,0.13577444552,0.0
2,-1.275,0.0,857.43099144,21.4330245597,21.269016659,23.3477831072,22.1448946468,24.0,0.13577444552,0.0
3,-0.766666666667,0.0,857.43099144,21.4212682742,21.2593600868,23.3067899171,22.1271490504,24.0,0.13577444552,0.0
4,-0.258333333333,0.0,857.43099144,21.410025091,21.2499718212,23.277206979,22.1123952421,24.0,0.13577444552,0.0
5,0.25,0.0,857.43099144,21.4001136634,21.2415429896,23.259462095,22.1017254681,24.0,0.13577444552,0.0
6,0.758333333333,0.0,857.43099144,21.3913469266,21.2339543191,23.249425609,22.0943765954,24.0,0.13577444552,0.0
7,1.26666666667,0.0,857.43099144,21.3833368516,21.2269148225,23.2432701117,22.0892041632,24.0,0.13577444552,0.0
8,1.775,0.0,857.43099144,21.3758234103,21.2202322651,23.238928464,22.0853385582,24.0,0.13577444552,0.0
9,2.28333333333,0.0,857.43099144,21.3687129734,21.2138480559,23.235698689,22.0822832099,24.0,0.13577444552,0.0
10,2.79166666667,0.0,857.43099144,21.3619904015,21.2077667199,23.233433239,22.0797773735,24.0,0.13577444552,0.0
11,3.3,0.0,857.43099144,21.3556680122,21.2020129786,23.2321058466,22.0776841001,24.0,0.13577444552,0.0
12,3.20833333333,0.0,857.43099144,21.3502576647,21.1969978806,23.2317551193,22.076429344,24.15,0.13577444552,0.0
13,3.11666666667,0.0,857.43099144,21.3445611747,21.1917794274,23.2286971008,22.0747840347,24.15,0.13577444552,0.0
14,3.025,0.0,857.43099144,21.3389664397,21.1866603343,23.2244384201,22.0730952186,24.15,0.13577444552,0.0
15,2.93333333333,0.0,857.43099144,21.3339520861,21.1820152973,23.2207833785,22.0718519398,24.15,0.13577444552,0.0
16,2.84166666667,0.0,857.43099144,21.3291718446,21.1775697046,23.217028379,22.0707407686,24.15,0.13577444552,0.0
17,2.75,0.0,857.43099144,21.3245946535,21.1732967652,23.2132619666,22.0697429497,24.15,0.13577444552,0.0
18,2.65833333333,0.0,857.43099144,21.3201903339,21.1691714702,23.2094958163,22.0688326095,24.15,0.13577444552,0.0
19,2.56666666667,0.0,857.43099144,21.3159313242,21.1651715961,23.2057056281,22.0679841468,24.15,0.13577444552,0.0
20,2.475,0.0,857.43099144,21.3118182275,21.1612973133,23.2019268546,22.0672008776,24.15,0.13577444552,0.0
21,2.38333333333,0.0,857.43099144,21.3078351628,21.1575357949,23.198143069,22.066471587,24.15,0.13577444552,0.0
22,2.29166666667,0.0,857.43099144,21.3039573425,21.1538671188,23.1943130614,22.0657760754,24.15,0.13577444552,0.0
23,2.2,0.0,857.43099144,21.3001968234,21.150300715,23.1904846974,22.0651244134,24.15,0.13577444552,0.0
24,2.10833333333,0.0,601.085643484,21.2812755264,21.1399912641,23.1658317467,22.0449763321,24.31,0.13577444552,0.0
25,2.01666666667,0.0,601.085643484,21.2556186859,21.1267098034,23.133170376,22.0161403365,24.31,0.13577444552,0.0
26,1.925,0.0,601.085643484,21.2327388981,21.1146832272,23.1063588233,21.9905991776,24.31,0.13577444552,0.0
27,1.83333333333,0.0,601.085643484,21.2151349019,21.1048151938,23.0876183726,21.9720963369,24.31,0.13577444552,0.0
28,1.74166666667,0.0,601.085643484,21.2016874555,21.0965566277,23.0744514657,21.9596735403,24.31,0.13577444552,0.0
29,1.65,0.0,601.085643484,21.1905723643,21.0891196079,23.0639045374,21.9511217643,24.31,0.13577444552,0.0
30,1.55833333333,0.0,601.085643484,21.180609381,21.0820396437,23.054353236,21.944745783,24.31,0.13577444552,0.0
31,1.46666666667,0.0,601.085643484,21.1712689855,21.0751350998,23.0452330563,21.9396029382,24.31,0.13577444552,0.0
32,1.375,0.0,601.085643484,21.1623740211,21.068365733,23.0364489859,21.9352477305,24.31,0.13577444552,0.0
33,1.28333333333,0.0,601.085643484,21.1538738166,21.0617372637,23.0280184882,21.9314719843,24.31,0.13577444552,0.0
34,1.19166666667,0.0,601.085643484,21.1457318191,21.0552523646,23.0199228949,21.9281479817,24.31,0.13577444552,0.0
35,1.1,0.0,601.085643484,21.1379063465,21.0489057327,23.0121150031,21.9251782051,24.31,0.13577444552,0.0
36,1.1,0.0,601.085643484,21.1306961541,21.043013937,23.0051395573,21.9225493546,24.39,0.13577444552,0.0
37,1.1,0.0,601.085643484,21.1239346113,21.0374806655,22.9984818731,21.9199862388,24.39,0.13577444552,0.0
38,1.1,0.0,601.085643484,21.1177564568,21.0324090589,22.9926423299,21.9176734609,24.39,0.13577444552,0.0
39,1.1,0.0,601.085643484,21.1119536067,21.0276230338,22.9872012168,21.9154999024,24.39,0.13577444552,0.0
