,tout,m,gas,q,dt
0,17.18333333,0.065,9212.01764,-5854.17787773,-21.44387501
1,17.16666667,0.0664,9412.034818,-5978.9285081232,-21.43907239
2,17.15,0.0664,9406.834984000001,-5977.4733122832,-21.43385439
3,17.13333333,0.0678,9597.605554,-6101.7709252248005,-21.42776698
4,17.11666667,0.0675,9570.093429999999,-6072.999545025,-21.421515149999998
5,17.1,0.0698,9881.738544,-6277.9391129196,-21.414719310000002
6,17.08333333,0.069,9766.9962,-6203.878914366001,-21.40744967
7,17.06666667,0.0698,9870.129621,-6273.6334456152,-21.40003222
8,17.05,0.0702,9918.575553,-6307.289462728801,-21.392244820000002
9,17.03333333,0.07050000000000001,9966.847718,-6331.855890465,-21.384180649999998
10,17.01666667,0.0711,10058.40969,-6383.207902780799,-21.375687839999998
11,17.0,0.0719,10161.004490000001,-6452.3129435268,-21.36668966
12,16.975,0.0737,10407.7659,-6610.8398151641995,-21.356980729999997
13,16.95,0.0748,10552.03263,-6706.1163643320015,-21.346181450000003
14,16.925,0.075,10577.77462,-6720.445304999999,-21.334747
15,16.9,0.0753,10610.5065,-6743.653179190201,-21.32313027
16,16.875,0.076,10703.01223,-6802.474605864,-21.31101067
17,16.85,0.0763,10741.95945,-6825.346872435,-21.29859225
18,16.825,0.0766,10775.5658,-6848.0780833752,-21.285832659999997
19,16.8,0.07730000000000001,10879.568640000001,-6906.427984978201,-21.27280227
20,16.775,0.0775,10891.51468,-6919.9800974849995,-21.25953947
21,16.75,0.0779,10938.98859,-6951.211274498399,-21.245831879999997
22,16.725,0.07830000000000001,10984.39826,-6982.305171534001,-21.2318469
23,16.7,0.07880000000000001,11057.748459999999,-7022.159106900001,-21.217546249999998
24,16.675,0.0795,11139.37323,-7079.740957233001,-21.20317747
25,16.65,0.07919999999999999,11092.44439,-7048.0796146992,-21.188310530000003
26,16.625,0.0802,11225.10924,-7132.025763928801,-21.173333820000003
27,16.6,0.08059999999999999,11270.05878,-7162.4331434292,-21.158079710000003
28,16.575,0.0805,11246.52597,-7148.160458565001,-21.142148650000003
29,16.55,0.0804,11234.34391,-7133.9358321504005,-21.12632028
30,16.525,0.0812,11323.001409999999,-7199.486089185601,-21.110386140000003
31,16.5,0.08099999999999999,11291.9049,-7176.242614716,-21.094187580000003
32,16.475,0.07899999999999999,11003.62007,-6993.877084403999,-21.07859278
33,16.45,0.08160160999999999,11349.82712,-7218.785431153318,-21.06280055
34,16.425,0.08230161,11452.6086,-7274.973662634912,-21.046205370000003
35,16.4,0.08240161,11452.63863,-7277.935816576293,-21.029223350000002
36,16.375,0.0828,11495.11469,-7307.138044281599,-21.01201416
37,16.35,0.08270000000000001,11481.883090000001,-7292.317124946,-20.994751899999997
38,16.325,0.0833,11551.74648,-7339.131476178599,-20.977338009999997
39,16.3,0.0831,11516.703309999999,-7315.4544184259985,-20.959986299999997
40,16.275,0.084,11629.20822,-7388.433307584,-20.94227128
41,16.25,0.0842,11649.73414,-7399.649075263201,-20.924242380000003
42,16.225,0.0838164,11588.007529999999,-7359.625196977636,-20.906310859999998
43,16.2,0.08414250000000001,11632.78722,-7381.89991652841,-20.88831706
44,16.175,0.08477200000000001,11698.79059,-7430.686279292643,-20.870228600000004
45,16.15,0.0851883,11742.446240000001,-7460.643270023976,-20.851967180000003
46,16.125,0.08510100000000001,11731.96275,-7446.395147757806,-20.833494620000003
47,16.1,0.085409,11752.65661,-7466.711839225295,-20.815002319999998
48,16.1,0.0819,11257.88689,-7153.9854125922,-20.79767839
49,16.1,0.08159999999999999,11219.839820000001,-7122.298689071999,-20.78168385
50,16.1,0.0817,11214.51411,-7125.614206418399,-20.765909559999997
51,16.1,0.0813,11162.47248,-7085.3941497402,-20.750290370000002
52,16.1,0.0808,11077.229870000001,-7036.692775257598,-20.735186159999998
53,16.1,0.0804,11016.13,-6996.872546697601,-20.720423320000002
54,16.1,0.08030157,10985.28714,-6983.419748079481,-20.70593374
55,16.1,0.08020157,10963.955909999999,-6969.90840101024,-20.69163983
56,16.1,0.07930157,10842.94298,-6887.062491639317,-20.67773417
57,16.1,0.07910157000000001,10805.37398,-6865.201491385638,-20.66421417
58,16.1,0.0788,10759.36571,-6834.6322131192,-20.65093127
59,16.1,0.0783,10678.1385,-6787.0004858712,-20.63796292
60,16.1,0.09280192,12661.73587,-8039.293163907746,-20.62583856
61,16.1,0.09170192,12496.515940000001,-7939.838851435635,-20.615029890000002
62,16.1,0.09140192,12449.14955,-7910.128229923596,-20.60529871
63,16.1,0.0902,12282.41056,-7802.547592686,-20.59589165
64,16.1,0.09,12249.256140000001,-7782.092429579999,-20.587546109999998
65,16.1,0.0891,12124.811259999999,-7701.415379657998,-20.579913899999994
66,16.1,0.0886,12040.51209,-7655.680540788001,-20.573149900000004
67,16.1,0.0865,11750.29794,-7472.073906969,-20.56722793
68,16.1,0.0859,11674.911470000001,-7418.549764613399,-20.562530529999997
69,16.1,0.0842,11438.36102,-7270.335159670799,-20.558576969999997
70,16.1,0.0833,11309.399640000001,-7191.5920505646,-20.55562811
71,16.1,0.0814,11049.185809999999,-7026.9631747392,-20.55388784
72,16.1,0.1205,16360.808469999998,-10394.041088718,-20.53752438
73,16.1,0.1211,16414.66726,-10430.138780350799,-20.506741339999998
74,16.1,0.11860000000000001,16063.28682,-10200.1903189284,-20.47737557
75,16.1,0.11710210000000001,15823.31677,-10057.60354380135,-20.449398520000003
76,16.1,0.11599999999999999,15656.40854,-9950.188063032001,-20.42321031
77,16.1,0.11370169999999999,15335.37827,-9741.34180458775,-20.39870201
78,16.1,0.1131,15224.5853,-9679.000076436601,-20.37598433
79,16.1,0.11120153,14974.978009999999,-9506.343893949623,-20.354173299999992
80,16.1,0.11010153,14796.1506,-9402.820079685347,-20.33365645
81,16.1,0.1084,14550.601530000002,-9248.8554955608,-20.31465361
82,16.1,0.10710171,14370.213109999999,-9130.479831883471,-20.29775033
83,16.1,0.1054,14122.33619,-8978.159394876002,-20.281375700000005
84,16.15,0.11030214,14771.358040000001,-9387.871466923503,-20.264407310000003
85,16.2,0.1074,14375.0708,-9132.8822659872,-20.24670184
86,16.25,0.1067,14264.56754,-9066.336065232601,-20.23103509
87,16.3,0.1058,14138.970280000001,-8982.855350918402,-20.215265440000003
88,16.35,0.10540190999999999,14079.94315,-8942.631198124715,-20.20075257
89,16.4,0.10420190999999998,13906.06685,-8834.891519608169,-20.187207700000002
90,16.45,0.10389999999999999,13855.234069999999,-8803.672698437398,-20.174326729999997
91,16.5,0.10239999999999999,13654.086000000001,-8671.497582182397,-20.162522279999997
92,16.55,0.1013,13493.437569999998,-8573.5953408798,-20.15135463
93,16.6,0.1006,13397.98302,-8510.140952065198,-20.141392009999997
94,16.65,0.0989,13163.14752,-8362.5781848168,-20.132356360000003
95,16.7,0.0982,13056.2669,-8300.0061664968,-20.12415422
96,16.74166667,0.146199692,19414.48929,-12339.783812600648,-20.096100919999998
97,16.78333333,0.14673163,19452.78366,-12357.099720437922,-20.05134544
98,16.825,0.153659692,20336.4748,-12915.394504645938,-20.01236557
99,16.86666667,0.15438744399999998,20396.69858,-12954.768440728516,-19.978753429999998
100,16.90833333,0.15571325800000002,20533.25874,-13046.354753310328,-19.94868633
101,16.95,0.1552,20439.215119999997,-12985.2981476736,-19.92099004
102,16.99166667,0.15492,20373.13638,-12945.23471706192,-19.89542178
103,17.03333333,0.15442,20285.68378,-12888.348328860478,-19.872130319999997
104,17.075,0.15142,19874.20425,-12624.61230049236,-19.85114299
105,17.11666667,0.15172000000000002,19900.190730000002,-12637.1667948036,-19.831592649999997
106,17.15833333,0.15056999999999998,19722.8876,-12530.381991616436,-19.814201259999997
107,17.2,0.14843,19432.00183,-12342.38212683,-19.798305
108,17.25,0.1552,20306.56509,-12894.8564362464,-19.78224171
109,17.3,0.15439999999999998,20186.417840000002,-12818.098937817598,-19.76637512
110,17.35,0.154518,20171.35735,-12818.155398909586,-19.75136723
111,17.4,0.15274500000000002,19936.909209999998,-12662.271749019059,-19.737645139999998
112,17.45,0.15425799999999998,20110.166409999998,-12779.902296443099,-19.72561475
113,17.5,0.157432,20525.5707,-13039.508303399421,-19.720544959999998
114,17.55,0.157775,20577.65382,-13066.372892746947,-19.71821369
115,17.6,0.155818,20316.45837,-12904.794144001035,-19.718967220000003
116,17.65,0.15659599999999999,20409.7623,-12971.057117776294,-19.72174853
117,17.7,0.156172,20357.78876,-12938.755690640137,-19.72604639
118,17.75,0.153112,19973.70177,-12689.46341845224,-19.73261935
119,17.8,0.15385,20076.76956,-12755.446479113098,-19.740078429999997
120,17.84166667,0.151962,19837.844090000002,-12604.460036903032,-19.748765570000003
121,17.88333333,0.151203,19769.629230000002,-12547.654676139491,-19.758449419999998
122,17.925,0.15344399999999997,20050.19003,-12740.74469175362,-19.76949663
123,17.96666667,0.14875899999999997,19469.07937,-12358.91486983007,-19.78097983
124,18.00833333,0.14858500000000002,19427.37955,-12352.47617756817,-19.79382681
125,18.05,0.148524,19438.74372,-12355.285799022264,-19.80646033
126,18.09166667,0.145526,19079.683419999998,-12114.638313632146,-19.82077219
127,18.13333333,0.148663,19506.30308,-12385.117217529712,-19.83571859
