,t1,t2,w1,i,s,tout,hsp,m0,csp0
0,23.6008921027733,23.5924255578102,24.247296646200457,0.0,0.0,17.1833333333333,15.6,4.874661292793429,0.0
1,23.629800416402503,23.607341357977,24.255490228105888,0.0,0.0,17.1666666666667,15.6,4.425215933164661,0.0
2,23.628624152985605,23.6272414305644,24.268490804325687,0.0,0.0,17.15,15.6,6.45824567452919,0.0
3,23.6299251597935,23.6325658612449,24.257022836310384,0.0,0.0,17.1333333333333,15.6,4.44550387529919,0.0
4,23.6429778776334,23.634183633449997,24.2519705206627,0.0,0.0,17.1166666666667,15.6,4.28130181406178,0.0
5,23.6144677454849,23.634090509679698,24.267312785122968,0.0,0.0,17.1,15.6,8.394020691693049,0.0
6,23.613913081214104,23.613488500486998,24.224491661490106,0.0,0.0,17.0833333333333,15.6,4.15846254090796,0.0
7,23.614148706118698,23.6167704330271,24.23823140589446,0.0,0.0,17.0666666666667,15.6,5.08360548269361,0.0
8,23.6178283609311,23.6147264586453,24.24293330027721,0.0,0.0,17.05,15.6,4.42734033321917,0.0
9,23.647456800545896,23.626538528938198,24.25272467088555,0.0,0.0,17.033333333333303,15.6,4.2579248400351695,0.0
10,23.668813353180298,23.6578193886241,24.272813576200154,0.0,0.0,17.016666666666698,15.6,6.61593413154485,0.0
11,23.6478528023786,23.6611607297656,24.262015150187192,0.0,0.0,17.0,15.6,5.57664966051489,0.0
12,23.654660390866102,23.6421974984063,24.25435142050782,0.0,0.0,16.975,15.6,4.75891784046074,0.0
13,23.637129719812698,23.646853785019697,24.25401103267612,0.0,0.0,16.95,15.6,5.33307097598147,0.0
14,23.5721994673185,23.601995147182198,24.252979384643055,0.0,0.0,16.925,15.6,8.008816228231309,0.0
15,23.5926864299678,23.5806914069136,24.212273385681222,0.0,0.0,16.9,15.6,4.32702865914486,0.0
16,23.6154224237935,23.6017556638552,24.22450599465401,0.0,0.0,16.875,15.6,4.0135086584428,0.0
17,23.5636696099725,23.6028084090866,24.242570828816675,0.0,0.0,16.85,15.6,9.45070865267084,0.0
18,23.5346889405014,23.5371448255654,24.19009194007616,0.0,0.0,16.825,15.6,4.03777801071059,0.0
19,23.563503164609198,23.5440513938988,24.175249340395826,0.0,0.0,16.8,15.6,4.0135086584428,0.0
20,23.617669391179298,23.5816646536027,24.194808322535025,0.0,0.0,16.775,15.6,4.0135086584428,0.0
21,23.6134399020422,23.627420921137,24.225453703204895,0.0,0.0,16.75,15.6,10.044089642005199,0.0
22,23.588955849537502,23.5897073529898,24.18280359190724,0.0,0.0,16.725,15.6,4.0135086584428,0.0
23,23.6004796516402,23.594005672797298,24.17280021545792,0.0,0.0,16.7,15.6,4.59881444781981,0.0
24,23.549134198472398,23.572803063379503,24.185816013151353,0.0,0.0,16.675,15.6,7.01495409472547,0.0
25,23.5574886984919,23.552445403082103,24.163906210734947,0.0,0.0,16.65,15.6,4.0135086584428,0.0
26,23.4814298677569,23.5183279565396,24.18038071633717,0.0,0.0,16.625,15.6,9.07646106712947,0.0
27,23.4033567047863,23.456421518968302,24.12394599979863,0.0,0.0,16.6,15.6,7.86695926894823,0.0
28,23.4101052237326,23.3969980864607,24.096277120468834,0.0,0.0,16.575,15.6,4.45299850182474,0.0
29,23.4472588131546,23.435376135465102,24.108719799278475,0.0,0.0,16.55,15.6,5.0888660235548295,0.0
30,23.4708227360228,23.4510331592111,24.12095828040734,0.0,0.0,16.525,15.6,4.0135086584428,0.0
31,23.5021374400658,23.4866388259388,24.140568183500108,0.0,0.0,16.5,15.6,4.79678535660734,0.0
32,23.5206786786759,23.5048449840428,24.154654238925996,0.0,0.0,16.475,15.6,4.561133398313951,0.0
33,23.559047719560102,23.533804829332105,24.167694399922745,0.0,0.0,16.45,15.6,4.49579633959039,0.0
34,23.588505810441198,23.5650949740135,24.18158367605011,0.0,0.0,16.425,15.6,4.07993040651397,0.0
35,23.564106674594,23.5812657595602,24.201294552252246,0.0,0.0,16.4,15.6,8.669596969300999,0.0
36,23.570654611193103,23.5653276830275,24.153128810936185,0.0,0.0,16.375,15.6,4.0135086584428,0.0
37,23.5296747343048,23.5634020820572,24.16876488863653,0.0,0.0,16.35,15.6,9.51561572604998,0.0
38,23.502212202431302,23.503199915688402,24.12736785432989,0.0,0.0,16.325,15.6,4.0135086584428,0.0
39,23.5204209879254,23.5135449984194,24.120054289305987,0.0,0.0,16.3,15.6,4.823873015806639,0.0
40,23.539446203473602,23.522840170949202,24.130823530930705,0.0,0.0,16.275,15.6,4.47490386093758,0.0
41,23.556975609941897,23.547398340351897,24.143355239332543,0.0,0.0,16.25,15.6,4.21001711466504,0.0
42,23.5360347351997,23.5499370783281,24.166406314021255,0.0,0.0,16.225,15.6,7.67918336545276,0.0
43,23.510530550068804,23.529170923685196,24.136162511578352,0.0,0.0,16.2,15.6,4.51217744544007,0.0
44,23.5058256010043,23.510088929353103,24.12305722127197,0.0,0.0,16.175,15.6,4.85192993633946,0.0
45,23.5255253610997,23.5137943149639,24.130380873297206,0.0,0.0,16.15,15.6,4.01350865844279,0.0
46,23.554903650405997,23.5413082157785,24.149467493957676,0.0,0.0,16.125,15.6,4.0135086584428,0.0
47,23.582109190401397,23.5609568134655,24.16864721800509,0.0,0.0,16.1,15.6,4.0135086584428,0.0
48,23.6423521306995,23.6043858079027,24.187743820936493,0.0,0.0,16.1,20.0,4.09713923346821,0.0
49,23.635471357336,23.6399179919828,24.21061565627381,0.0,0.0,16.1,20.0,6.94761238593274,0.0
