,t1,w1,i,s,tout,hsp,m0,csp0
0,23.5445167800805,24.247296646200457,0.0,0.0,17.1833333333333,15.6,7.56531428175184,0.0
1,23.5597497145912,24.218288560437593,0.0,0.0,17.1666666666667,15.6,4.347437216827,0.0
2,23.5301719658769,24.2352729038105,0.0,0.0,17.15,15.6,7.5790346935523605,0.0
3,23.5249599780946,24.20491143035337,0.0,0.0,17.1333333333333,15.6,4.21911450409311,0.0
4,23.5262217549152,24.195936422441793,0.0,0.0,17.1166666666667,15.6,4.95464485716109,0.0
5,23.5498842965692,24.206774328721394,0.0,0.0,17.1,15.6,4.34471518301819,0.0
6,23.5166723181777,24.22083559158023,0.0,0.0,17.0833333333333,15.6,8.537883061708571,0.0
7,23.512209296347102,24.17478949269462,0.0,0.0,17.0666666666667,15.6,4.880683647574299,0.0
8,23.4985200753022,24.18178302506128,0.0,0.0,17.05,15.6,6.06283284849559,0.0
9,23.4340835277404,24.18696693981311,0.0,0.0,17.033333333333303,15.6,10.6074928637351,0.0
10,23.3975705783988,24.130804912190726,0.0,0.0,17.016666666666698,15.6,4.61737548093638,0.0
11,23.2866746997546,24.11496048555852,0.0,0.0,17.0,15.6,10.4433774346635,0.0
12,23.3547558802203,24.081336971918034,0.0,0.0,16.975,15.6,4.14085881813137,0.0
13,23.461917644950105,24.110534873272197,0.0,0.0,16.95,15.6,4.707849241844491,0.0
14,23.5006040141435,24.14615326443833,0.0,0.0,16.925,15.6,4.0135086584428,0.0
15,23.5543092729728,24.17490189190417,0.0,0.0,16.9,15.6,4.58721155526657,0.0
16,23.6114963849395,24.196068102534596,0.0,0.0,16.875,15.6,4.0135086584428,0.0
17,23.5467863275302,24.21587601992585,0.0,0.0,16.85,15.6,9.49134994802879,0.0
18,23.5535726840377,24.155683518337323,0.0,0.0,16.825,15.6,4.0135086584428,0.0
19,23.586768023730997,24.176026222244914,0.0,0.0,16.8,15.6,4.3619865341494,0.0
20,23.606691284616105,24.20101440673257,0.0,0.0,16.775,15.6,4.85621319480707,0.0
21,23.565078569800402,24.212894793472383,0.0,0.0,16.75,15.6,9.43766144060976,0.0
22,23.4928236865911,24.161665399452996,0.0,0.0,16.725,15.6,5.06089475240471,0.0
23,23.508301083940502,24.150198733293617,0.0,0.0,16.7,15.6,4.4260835528905895,0.0
24,23.4274914043541,24.157669882671353,0.0,0.0,16.675,15.6,8.37116458330604,0.0
25,23.4624325341642,24.10795076031061,0.0,0.0,16.65,15.6,4.22051697794847,0.0
26,23.498393669664303,24.123956117094295,0.0,0.0,16.625,15.6,4.56392865085015,0.0
27,23.472770891869,24.14042438675771,0.0,0.0,16.6,15.6,6.21654172303155,0.0
28,23.503588838872,24.12929981907989,0.0,0.0,16.575,15.6,5.04467686776254,0.0
29,23.522711737052603,24.14076244479339,0.0,0.0,16.55,15.6,4.0135086584428,0.0
30,23.513904888144197,24.159839274052704,0.0,0.0,16.525,15.6,6.2496996598039605,0.0
