,tout,s,i,t1,t2,t3,t4,t5,sp0,m,rh
0,-2.29166666667,0.0,586.818269708,23.7711759669,23.7655238816,23.7603025524,23.762192852,21.5508905461,23.75,0.54206364807,7541.81261777
1,-1.78333333333,0.0,586.818269708,23.7509208986,23.7504475369,23.7532233533,23.7503379417,21.5084293109,23.75,0.54206364807,8891.55354401
2,-1.275,0.0,586.818269708,23.7492725536,23.7509571111,23.7506351311,23.7505123705,21.4625656891,23.75,0.54206364807,8324.36667288
3,-0.766666666667,0.0,586.818269708,23.7514438796,23.7484166098,23.7480664957,23.7504600176,21.430408643,23.75,0.54206364807,8479.65257298
4,-0.258333333333,0.0,586.818269708,23.7475169847,23.7498515957,23.7491211609,23.7503918778,21.4122578364,23.75,0.54206364807,8479.92904606
5,0.25,0.0,586.818269708,23.7487904583,23.7509593865,23.7486850987,23.7495114582,21.4022841172,23.75,0.54206364807,8541.24483328
6,0.758333333333,0.0,586.818269708,23.7502431988,23.7500254148,23.7493511832,23.7504545263,21.3966381889,23.75,0.54206364807,8541.33528795
7,1.26666666667,0.0,586.818269708,23.7493793408,23.7484710121,23.7497976905,23.7500517452,21.3942753382,23.75,0.54206364807,8541.4783676
8,1.775,0.0,586.818269708,23.7476458564,23.7507323049,23.7472040999,23.7494480005,21.3954211928,23.75,0.54206364807,8541.615309
9,2.28333333333,0.0,586.818269708,23.7472270647,23.748833343,23.7490820317,23.7497699049,21.4003565972,23.75,0.54206364807,8541.75762145
10,2.79166666667,0.0,586.818269708,23.7469960991,23.7503979968,23.7507685131,23.7497985205,21.4090072929,23.75,0.54206364807,8449.91352324
11,3.3,0.0,586.818269708,23.7495595522,23.7501906168,23.7477384925,23.7502632699,21.4211811043,23.75,0.54206364807,8450.08610118
12,3.20833333333,0.0,586.818269708,23.9210512854,23.9269454791,23.9270698934,23.9304179329,21.4420945605,23.94,0.54206364807,9480.5380469
13,3.11666666667,0.0,586.818269708,23.9356883426,23.9389656679,23.9389384794,23.9399652581,21.4809058882,23.94,0.54206364807,8543.33464916
14,3.025,0.0,586.818269708,23.9401131129,23.9394915685,23.9409374687,23.9388330187,21.5240545756,23.94,0.54206364807,9034.01194144
15,2.93333333333,0.0,586.818269708,23.9404675011,23.9393994213,23.9416198411,23.9393442503,21.5589381491,23.94,0.54206364807,8951.33426307
16,2.84166666667,0.0,586.818269708,23.9372900389,23.9397759378,23.9406916844,23.93941211,21.5849937385,23.94,0.54206364807,8951.25776715
17,2.75,0.0,586.818269708,23.9403042741,23.9393054831,23.9377547842,23.9388033233,21.6061024263,23.94,0.54206364807,9007.07070822
18,2.65833333333,0.0,586.818269708,23.9416857387,23.941520862,23.9393133939,23.9403800882,21.6250029776,23.94,0.54206364807,9007.09487085
19,2.56666666667,0.0,586.818269708,23.9375753533,23.9391234408,23.9394592994,23.939960887,21.6423878,23.94,0.54206364807,9007.16125424
20,2.475,0.0,586.818269708,23.938430601,23.9390175084,23.9419837801,23.9406349297,21.6578883788,23.94,0.54206364807,9062.32273188
21,2.38333333333,0.0,586.818269708,23.9378716488,23.93970334,23.9417176406,23.9391782129,21.6712950921,23.94,0.54206364807,9062.3699458
22,2.29166666667,0.0,586.818269708,23.9415409182,23.9393396441,23.9378937888,23.9391602658,21.6825524137,23.94,0.54206364807,9116.90613576
23,2.2,0.0,586.818269708,23.9374181695,23.9419048286,23.9381522263,23.9399149555,21.6920027397,23.94,0.54206364807,9170.84859734
24,2.10833333333,0.0,586.818269708,23.9753213834,23.9790092806,23.9762140839,23.9771243867,21.7002387441,23.98,0.54206364807,9482.00638602
25,2.01666666667,0.0,586.818269708,23.9801190868,23.9809022976,23.980450173,23.9796636024,21.7095364202,23.98,0.54206364807,9303.39481948
26,1.925,0.0,586.818269708,23.9792266051,23.9795966254,23.9803679916,23.9803954974,21.7176832214,23.98,0.54206364807,9431.67908489
27,1.83333333333,0.0,586.818269708,23.9817806827,23.9818518631,23.9803992677,23.979915989,21.7225888347,23.98,0.54206364807,9482.30559249
28,1.74166666667,0.0,586.818269708,23.9786715392,23.9812295893,23.9790517908,23.9790802384,21.724409067,23.98,0.54206364807,9482.29051603
29,1.65,0.0,586.818269708,23.9794638892,23.9789153089,23.9787925116,23.9807649983,21.7240968697,23.98,0.54206364807,9556.98685335
30,1.55833333333,0.0,586.818269708,23.9793476646,23.9804678619,23.9799519772,23.9806972363,21.7226019124,23.98,0.54206364807,9581.62980321
31,1.46666666667,0.0,586.818269708,23.9795117758,23.9789744893,23.9816386753,23.9792533707,21.7202151486,23.98,0.54206364807,9630.50395511
32,1.375,0.0,586.818269708,23.9807738442,23.9792145705,23.9776913463,23.9800316072,21.7168078079,23.98,0.54206364807,9678.84940664
33,1.28333333333,0.0,586.818269708,23.9827997621,23.9796067248,23.9799415887,23.9792874386,21.7126853259,23.98,0.54206364807,9726.63786073
34,1.19166666667,0.0,586.818269708,23.9810520723,23.9786478598,23.9786977678,23.979916215,21.7076924319,23.98,0.54206364807,9750.42110871
35,1.1,0.0,586.818269708,23.9828328395,23.9798043464,23.9823280386,23.9811173221,21.7020872596,23.98,0.54206364807,9820.79620112
36,1.1,0.0,586.818269708,24.0348300466,24.0388449009,24.0358851868,24.0378048028,21.6994949909,24.04,0.54206364807,10113.3176585
37,1.1,0.0,586.818269708,24.0398792594,24.0413257982,24.037212085,24.0388258704,21.7036092489,24.04,0.54206364807,9821.27656326
38,1.1,0.0,586.818269708,24.0426405578,24.0399515738,24.0401159602,24.04067834,21.7094863595,24.04,0.54206364807,9958.30511881
