23.4086899667,23.4149002421,23.4051512298,23.4030908245,23.4013511383,23.6749754838,23.3990514358,
23.4110350144,23.4117558311,23.4102283688,23.3965871934,23.3961498421,23.6606474154,23.4001012531,
23.4107077729,23.4137617973,23.4118538606,23.386474706,23.3892017914,23.6469002647,23.4002001517,
23.4107985172,23.413513647,23.4128595037,23.3744021336,23.3809894043,23.6360881047,23.4005270149,
23.4106870428,23.4135754483,23.413366149,23.3614266852,23.3721491963,23.6263520618,23.4008784113,
23.4107531929,23.4134619641,23.4136907732,23.3480077463,23.3628502959,23.6174035602,23.4012612691,
23.4106366526,23.4135272068,23.4138153072,23.3344939041,23.3533627667,23.6084763095,23.4016023958,
23.4107650226,23.4132228874,23.4138636665,23.3207783458,23.3437108638,23.599929226,23.4020254277,
23.4106388759,23.4133375217,23.4138273267,23.3073433123,23.3340540466,23.5908992268,23.4023513292,
23.5041642478,23.5339172556,23.4614779296,23.4278761358,23.4066797815,23.4229711845,23.3884439455,
23.5250709229,23.5068187015,23.5015679796,23.4702994039,23.4231457607,23.4029498607,23.3984725779,
23.522004873,23.5238604554,23.5137971771,23.4850889569,23.4294439164,23.3829807238,23.3968632152,
23.5223968606,23.5215706531,23.5215023753,23.4834063605,23.425879783,23.3870255271,23.398758749,
23.5216617118,23.5238866342,23.5242862476,23.4755844244,23.4193213752,23.3934527193,23.3999744543,
23.5216438621,23.5236044832,23.5253356843,23.4657653912,23.4114672549,23.4023092479,23.4015657661,
23.521532833,23.5238693511,23.5256881538,23.4542700834,23.4031946284,23.4107327576,23.4030893026,
23.5215167118,23.52382137,23.5258418372,23.4427854252,23.3947009006,23.4187861369,23.4046656001,
23.5214937275,23.5238351106,23.5258619492,23.4315827969,23.3861506473,23.4260440332,23.4062284447,
23.521505477,23.5237655723,23.5258553696,23.4207304009,23.3775562898,23.4326537719,23.4078071059,
23.5215026541,23.5237419955,23.5258158047,23.4102893996,23.3689739363,23.4384932439,23.4093680762,
23.5215094148,23.5236913434,23.5257688026,23.4002761614,23.3604062654,23.4436285777,23.4109201076,
23.6382805271,23.6712530926,23.5840098585,23.5529296104,23.4472712375,23.2480586987,23.3960513068,
23.6641742552,23.6379877612,23.6330682649,23.6100058737,23.4652747163,23.2333569043,23.4098304955,
23.6604274514,23.6589218887,23.6479882085,23.6334280659,23.4712435288,23.2177842428,23.4089597391,
23.6608946459,23.6561296999,23.6573982486,23.6367249716,23.4652984705,23.231187529,23.4123101857,
23.6599266902,23.6591213846,23.6607306107,23.6314690095,23.4559637173,23.246661025,23.4146458964,
23.6598788404,23.6588048437,23.6620824283,23.6236345777,23.4451022616,23.2648943096,23.4173652933,
23.6596902247,23.6592482603,23.6625082422,23.6149940941,23.4338671205,23.2821389641,23.419889795,
23.6596215833,23.6592862744,23.6626575728,23.606201244,23.4225221001,23.2984428985,23.4223855571,
23.6595540506,23.6593763933,23.6626383831,23.5976148944,23.4112581819,23.3133377628,23.424791055,
23.6595101362,23.6594078164,23.6625618047,23.5893628538,23.4001326507,23.3268465088,23.4271260779,
23.6594722627,23.6594414003,23.6624611594,23.581491606,23.3891632215,23.3389727615,23.4293839417,
23.6594353582,23.6594856893,23.6623421403,23.5740328969,23.3783641964,23.3497211322,23.4315557211,
23.39300233,23.3204715626,23.528123444,23.1997093856,23.1573915681,23.8147136213,23.4687823048,
23.3333991881,23.3981831981,23.4161179511,23.0422574701,23.0853865253,23.864858513,23.443006032,
23.3420258463,23.3499502752,23.3822159346,22.9624762424,23.0416808627,23.9154810939,23.450906499,
23.3409128114,23.356484731,23.3606337284,22.9297348993,23.0254556062,23.8972277883,23.4489331988,
23.3431501579,23.3495881538,23.3529242046,22.9148308739,23.0169877784,23.8720987624,23.449120748,
23.3434670456,23.3497512217,23.3487773,22.909040809,23.0130842714,23.8371724182,23.4483873857,
23.3439488033,23.3487083666,23.3472146413,22.906497642,23.0105769243,23.8015672435,23.4478880045,
23.3441352321,23.3486039504,23.346508124,22.9051922397,23.0085787171,23.7658450693,23.4472839949,
23.3442819422,23.3484748117,23.3462765776,22.9040883439,23.0065564402,23.7312015281,23.4466878134,
23.3443977738,23.3484280958,23.34624713,22.9027308041,23.0042792669,23.6979669846,23.4460916159,
23.3445049802,23.3483858357,23.3463210837,22.9009037851,23.0016374276,23.6663129082,23.4455118442,
23.344599276,23.3483658825,23.3464264809,22.8985455697,22.9986105159,23.6361868135,23.4449428837,
23.7120315049,23.8113822621,23.5275745179,23.4086194472,23.2911369974,22.9813304413,23.4310773124,
23.7931062243,23.7077317473,23.6831255154,23.6163081823,23.3741530279,22.8925400946,23.463123986,
23.7813810034,23.7734882724,23.7308916279,23.7144923711,23.416784189,22.8069678719,23.4566031561,
23.7828354549,23.7649463664,23.7609385604,23.7470581174,23.4209719074,22.8160938872,23.4605703094,
23.7798113451,23.7744024076,23.7717598567,23.7544932501,23.4140441516,22.8350526424,23.4620320351,
23.7794151379,23.7742496775,23.777548088,23.7490869686,23.4005192083,22.8673756209,23.4646695318,
23.7788000392,23.7757259473,23.7797406114,23.7388285431,23.3847865744,22.9004938096,23.4669046631,
23.7785876948,23.7759240686,23.7807261007,23.7265532904,23.3680821284,22.9335169822,23.4691950633,
23.778401338,23.7762078641,23.7810211894,23.7137705236,23.3512016748,22.9645588755,23.471358418,
23.7783010987,23.7762654922,23.7810494186,23.7010920831,23.3344164959,22.993428503,23.4734620383,
23.7782022545,23.7763690585,23.7809510525,23.6887806785,23.3178600224,23.0198352443,23.4754551161,
