,Unnamed: 0,tout,s,i,t1,t2,t3,t4,t5,t6,m,tret
7000,7000,-1.99166666667,42.1666666667,0.0,23.7074591871,23.3988879464,23.4000692988,23.3989227977,23.399648731,23.3999677376,5.94783066432,23.7345466683
7001,7001,-1.95,46.0,0.0,23.6934000574,23.400323988,23.3988248947,23.3991102729,23.4013098332,23.3999690114,5.93700866588,23.7074591871
7002,7002,-1.90833333333,59.1666666667,0.0,23.684264242,23.4012845399,23.4016724741,23.3991943198,23.4000632789,23.3999709978,5.92917940792,23.6934000574
7003,7003,-1.86666666667,72.3333333333,0.0,23.6763868957,23.3999477299,23.3995227813,23.4007195532,23.3999512267,23.3999734053,5.92157236847,23.684264242
7004,7004,-1.825,85.5,0.0,23.6688602205,23.4003181293,23.3997098975,23.3993104218,23.4003532412,23.3999759669,5.9159203073,23.6763868957
7005,7005,-1.78333333333,98.6666666667,0.0,23.6617310172,23.3991226916,23.4007896212,23.4002255926,23.4005181597,23.3999785714,5.91042906618,23.6688602205
7006,7006,-1.74166666667,111.833333333,0.0,23.6550694773,23.3999486782,23.3992095166,23.4000454907,23.3995554189,23.3999811697,5.90570394357,23.6617310172
7007,7007,-1.7,125.0,0.0,23.6488143539,23.3988641453,23.4009344676,23.3995885949,23.4004533438,23.3999837525,5.90219456162,23.6550694773
7008,7008,-1.60833333333,138.166666667,0.0,23.638900312,23.5045236931,23.5032714945,23.5040130635,23.4984489244,23.5022684208,6.83837949995,23.6488143539
7009,7009,-1.51666666667,151.333333333,0.0,23.6415583279,23.5095483393,23.5091795009,23.5091872089,23.5086306581,23.5092877173,8.04687964721,23.638900312
7010,7010,-1.425,164.5,0.0,23.6518317813,23.5102588166,23.5097621685,23.510191083,23.5098049999,23.5098667222,7.4648218284,23.6415583279
7011,7011,-1.33333333333,177.666666667,0.0,23.6600023212,23.5103653696,23.5101826471,23.5101801689,23.5099068328,23.5098814485,7.65292879666,23.6518317813
7012,7012,-1.24166666667,190.833333333,0.0,23.6637101793,23.5098319093,23.5085870689,23.5096009843,23.5099060927,23.5098638827,7.68227204401,23.6600023212
7013,7013,-1.15,204.0,0.0,23.6645645346,23.5099389308,23.5107009096,23.5107499472,23.5099026876,23.5098505046,7.71361410939,23.6637101793
7014,7014,-1.05833333333,219.166666667,0.0,23.6645616791,23.5099866152,23.5116766617,23.5109379614,23.5099031524,23.5098410245,7.73314860153,23.6645645346
7015,7015,-0.966666666667,234.333333333,0.0,23.664618375,23.5092606549,23.5104328863,23.5098427599,23.5099026329,23.5098331003,7.75712685573,23.6645616791
7016,7016,-0.875,249.5,0.0,23.6648556212,23.5092995544,23.5116823562,23.509756842,23.5099000731,23.5098254069,7.78056877026,23.664618375
7017,7017,-0.783333333333,264.666666667,0.0,23.6651390346,23.5098617972,23.5103060573,23.5098797694,23.5098961786,23.5098178851,7.8295576183,23.6648556212
7018,7018,-0.691666666667,279.833333333,0.0,23.66538548,23.5098818562,23.5097398302,23.5110958819,23.5098912728,23.5098104217,7.88131612308,23.6651390346
7019,7019,-0.6,295.0,0.0,23.6656218907,23.5098713405,23.5112416196,23.5099226208,23.509886048,23.5098031879,7.93320248592,23.66538548
7020,7020,-0.55,310.166666667,0.0,23.6698238338,23.6418872454,23.6406962289,23.6441375375,23.6352895118,23.6406654385,6.51948984055,23.6656218907
7021,7021,-0.5,325.333333333,0.0,23.6907503277,23.6492917004,23.6506063706,23.65076696,23.6481456136,23.6490274665,8.22239630761,23.6698238338
7022,7022,-0.45,340.5,0.0,23.7136890194,23.6498023297,23.6514396029,23.6512772316,23.6496604261,23.6497215457,7.37795998959,23.6907503277
7023,7023,-0.4,355.666666667,0.0,23.7275481238,23.6498355978,23.6499325266,23.6498704893,23.6498481402,23.6497773536,7.6502496215,23.7136890194
7024,7024,-0.35,370.833333333,0.0,23.7324172448,23.6498258321,23.6500087492,23.6509515816,23.6498618154,23.6497713329,7.68303692125,23.7275481238
7025,7025,-0.3,386.0,0.0,23.7324453295,23.649817766,23.6504425104,23.6502834608,23.6498602468,23.6497652031,7.73560126328,23.7324172448
7026,7026,-0.25,389.5,0.0,23.7308706023,23.6498128592,23.6500622838,23.650083518,23.6498559136,23.6497590675,7.77408925946,23.7324453295
7027,7027,-0.2,393.0,0.0,23.72903867,23.6498093676,23.6502429487,23.6495954637,23.6498515129,23.6497533876,7.80982872442,23.7308706023
7028,7028,-0.15,396.5,0.0,23.7272011899,23.649806487,23.6506185886,23.6500233656,23.6498471325,23.6497479003,7.84481941916,23.72903867
7029,7029,-0.1,400.0,0.0,23.7253184411,23.6498040966,23.6503797119,23.6499692619,23.6498427085,23.6497425585,7.87750091318,23.7272011899
7030,7030,-0.05,403.5,0.0,23.723356292,23.6498016746,23.6489692455,23.6504652748,23.6498383927,23.6497373609,7.90991279208,23.7253184411
7031,7031,0.0,407.0,0.0,23.7213355589,23.6497992853,23.6506914882,23.6502418102,23.649834248,23.6497323412,7.94162788168,23.723356292
7032,7032,0.0916666666667,410.5,0.0,23.7053148177,23.3435302141,23.3393513235,23.3374908553,23.3469038911,23.3458337831,9.5556695952,23.7193554749
7033,7033,0.183333333333,414.0,0.0,23.6489059424,23.3299717546,23.3309824848,23.3305833862,23.3301729178,23.3298874858,8.03370692613,23.6932542445
7034,7034,0.275,417.5,0.0,23.5855016312,23.3298421254,23.3314192916,23.330429547,23.3299243761,23.3297544251,9.76898024104,23.6489059424
7035,7035,0.366666666667,421.0,0.0,23.5484640115,23.3297721907,23.3314736053,23.3306793811,23.3298057393,23.3297000555,9.21254848969,23.5855016312
7036,7036,0.458333333333,424.5,0.0,23.5350688835,23.3297824646,23.3308234729,23.3309904314,23.3298089051,23.329708713,9.26561508284,23.5484640115
7037,7037,0.55,428.0,0.0,23.5326039237,23.3297866924,23.3291764857,23.3296262126,23.329811698,23.3297093298,9.27860107885,23.5350688835
7038,7038,0.641666666667,408.5,0.0,23.5327919209,23.3297938304,23.3296716602,23.3306999122,23.3298140656,23.3297088631,9.26745125265,23.5326039237
7039,7039,0.733333333333,389.0,0.0,23.5330529145,23.329800338,23.3311661352,23.3308360871,23.3298145971,23.3297076555,9.25102095445,23.5327919209
7040,7040,0.825,369.5,0.0,23.533487717,23.3298086288,23.3310532986,23.3304588547,23.3298126118,23.3297052603,9.20317642038,23.5330529145
7041,7041,0.916666666667,350.0,0.0,23.5343048586,23.3298132105,23.3313346287,23.3300752598,23.329811863,23.3297040078,9.17572471496,23.533487717
7042,7042,1.00833333333,330.5,0.0,23.5354752541,23.3298155408,23.3307017082,23.3309264546,23.329810768,23.3297025354,9.14993628812,23.5343048586
7043,7043,1.1,311.0,0.0,23.5368807321,23.3298170986,23.3296292874,23.32971932,23.329809648,23.329701132,9.1214447267,23.5354752541
7044,7044,1.1,291.5,0.0,23.5801180271,23.7628269777,23.7606152212,23.7643326087,23.7555586185,23.7678499911,8.65195234497,23.543353053
7045,7045,1.1,272.0,0.0,23.6708734122,23.7696349561,23.7717850935,23.7700263873,23.76931687,23.7700802243,9.071913152,23.6104106804
7046,7046,1.1,252.5,0.0,23.7469763015,23.7698059192,23.7705001405,23.7710154759,23.7696680332,23.7697107729,6.67309201557,23.6708734122
7047,7047,1.1,233.0,0.0,23.7899832124,23.769879952,23.7713472886,23.7705370749,23.769861793,23.7697486113,7.43892165275,23.7469763015
7048,7048,1.1,213.5,0.0,23.8098453664,23.7698669478,23.7698613402,23.7695488592,23.7698400409,23.7697170985,7.3465556208,23.7899832124
7049,7049,1.1,194.0,0.0,23.8199025346,23.7700841779,23.770112285,23.7711266983,23.7698273255,23.7697054614,7.34621012409,23.8098453664
7050,7050,1.1,190.416666667,0.0,23.8274383514,23.7704243128,23.7691510064,23.7703511841,23.76981677,23.7696962562,7.35880995794,23.8199025346
7051,7051,1.1,186.833333333,0.0,23.8345953012,23.7697595423,23.7692037533,23.7704418615,23.7698117691,23.769690181,7.36990135006,23.8274383514
7052,7052,1.1,183.25,0.0,23.841463461,23.769775619,23.771614947,23.7712226937,23.7698108397,23.769686473,7.37985162891,23.8345953012
7053,7053,1.1,179.666666667,0.0,23.8479450324,23.7693017829,23.7707622638,23.7700493501,23.7698111372,23.7696838221,7.38818973924,23.841463461
7054,7054,1.1,176.083333333,0.0,23.8538852311,23.7706075617,23.7722870182,23.7704367425,23.7698111458,23.7696814326,7.39694845655,23.8479450324
7055,7055,1.1,172.5,0.0,23.8594554017,23.7699749284,23.7699489767,23.7702699886,23.769810349,23.7696790105,7.40542625473,23.8538852311
7056,7056,1.1,168.916666667,0.0,23.8603887229,23.5643202571,23.5660213428,23.5608895452,23.5801762622,23.570209011,8.99450986137,23.8594554017
7057,7057,1.1,165.333333333,0.0,23.8342599294,23.5509069833,23.5533843591,23.5506569016,23.5532019282,23.5510121146,6.67812876788,23.8603887229
7058,7058,1.1,161.75,0.0,23.7959136803,23.5497032083,23.551880387,23.5497212869,23.5503313344,23.5498404995,7.77932718235,23.8342599294
7059,7059,1.1,158.166666667,0.0,23.7686698311,23.5499031939,23.5499270837,23.5503103003,23.5499098333,23.5497176025,7.51929748442,23.7959136803
7060,7060,1.1,154.583333333,0.0,23.7558313438,23.5498056425,23.5513206774,23.5510669821,23.5498717619,23.5497191103,7.51222786667,23.7686698311
7061,7061,1.1,151.0,0.0,23.751493439,23.5502992667,23.5500704127,23.5506654443,23.5498634361,23.5497187996,7.5075028791,23.7558313438
7062,7062,1.1,152.333333333,0.0,23.7500783493,23.5501936345,23.5492753904,23.5510312106,23.54985827,23.5497177605,7.50464796724,23.751493439
7063,7063,1.1,153.666666667,0.0,23.7490912017,23.5500251591,23.5515108843,23.5497914886,23.5498548124,23.5497168307,7.50375759357,23.7500783493
7064,7064,1.1,155.0,0.0,23.7480820796,23.5500794138,23.5499430927,23.5499573291,23.5498528359,23.5497161576,7.50474859461,23.7490912017
7065,7065,1.1,156.333333333,0.0,23.7471824571,23.5506987877,23.5494105026,23.551092537,23.5498515913,23.5497156467,7.5047935439,23.7480820796
7066,7066,1.1,157.666666667,0.0,23.7464979397,23.5501852052,23.5494261638,23.5505943142,23.549850818,23.5497152304,7.50600707329,23.7471824571
7067,7067,1.1,159.0,0.0,23.7459679936,23.5503950316,23.5491053149,23.549768167,23.5498501959,23.5497147616,7.50886850477,23.7464979397
7068,7068,1.15,160.333333333,0.0,23.7424288914,23.530997238,23.5320749762,23.5304888971,23.5325233117,23.5314333308,8.34476931544,23.7459679936
7069,7069,1.2,161.666666667,0.0,23.7369386591,23.5302815473,23.5306860867,23.5305085577,23.5301557922,23.529814919,8.08231632743,23.7424288914
7070,7070,1.25,163.0,0.0,23.7322167465,23.5294736965,23.5316823093,23.5308769193,23.5298504449,23.5296781859,8.20329619961,23.7369386591
