,t41,t42,t43,t44,t45,t5,t6
155,23.7812705294,23.7818012139,23.7790738554,23.7804243846,23.7799470486,23.8829197706,23.7803587863
156,23.780144146,23.7800665099,23.7795243084,23.7812947888,23.7799463925,23.894257802,23.7799649137
157,23.7798644768,23.7806093709,23.7798501496,23.781696774,23.7799465243,23.898482778,23.7797807049
158,23.7796867649,23.7818642312,23.7795072381,23.7816989576,23.7799469123,23.8996508166,23.7801689876
159,23.7787138136,23.7819367734,23.781060003,23.7814281287,23.7799475094,23.8997144092,23.7803590133
160,23.779418982,23.7804896919,23.7802929572,23.7809597303,23.7799482304,23.8992456428,23.7799233555
161,23.7800014407,23.7805324539,23.780352826,23.7803254116,23.7799490221,23.8983305019,23.780363726
162,23.7792845698,23.7780681777,23.7806630377,23.7795601795,23.7799498384,23.8970403208,23.7801395707
163,23.7798968709,23.7790205941,23.7803821303,23.778670102,23.7799506686,23.8954400946,23.7805613912
164,23.3891658357,23.3891471106,23.3882943007,23.4012937428,23.394976622,23.8716238478,23.38816856
165,23.3803583863,23.380060384,23.3802584883,23.3795751058,23.3799929955,23.8221758398,23.3803942397
166,23.3810880788,23.3789593195,23.3800231964,23.3799657568,23.3799555785,23.7593587504,23.3800505629
167,23.380959488,23.3806879604,23.3796948202,23.3799816922,23.3799460147,23.7157265415,23.3803593596
168,23.3792354084,23.3805972287,23.3798786725,23.3799856802,23.3799502545,23.6934460354,23.379769914
169,23.380645748,23.3800953298,23.3798030425,23.3799840719,23.3799516677,23.683405774,23.3801726484
170,23.3809583094,23.3808074396,23.3806700461,23.3799826028,23.3799527058,23.6779623582,23.3798298543
171,23.3809390571,23.3802045674,23.3802084655,23.3799814049,23.3799534853,23.67361718,23.3800785862
172,23.3788304476,23.3801445545,23.3804021826,23.3799803985,23.379954085,23.6695059314,23.3799191944
173,23.3801478779,23.3789292294,23.3796236954,23.3799795786,23.3799545644,23.6656567283,23.3801369333
174,23.3809782825,23.3815472209,23.3799270562,23.3799789378,23.3799549582,23.6621591644,23.380308576
175,23.3790297287,23.3782575846,23.3795052338,23.3799784543,23.3799552876,23.6590032856,23.380123913
176,23.2573317131,23.2604132864,23.2557762328,23.2640402763,23.2592368434,23.6499004859,23.4791961384
177,23.2498993611,23.2515777401,23.2508389506,23.2507144029,23.2504461835,23.6338070949,23.6148669218
178,23.2500748819,23.2509138638,23.2507282873,23.2500634839,23.2499914791,23.6131756411,23.7341290603
179,23.2490702585,23.2495877411,23.2505605185,23.2499925124,23.2499618564,23.5984221848,23.8153204376
180,23.24868004,23.2499775705,23.2494560646,23.2499876118,23.2499626301,23.5906895964,23.8626862298
181,23.2500837446,23.2504319541,23.2500109535,23.2499870213,23.2499637803,23.5871059481,23.8883554445
182,23.250515659,23.2499091034,23.2506905327,23.2499865789,23.2499646326,23.5851515832,23.9024571258
183,23.2489806625,23.251162109,23.250483714,23.2499861598,23.2499653036,23.5836582195,23.9107799691
184,23.2487295564,23.2498700711,23.2494557565,23.2499858613,23.2499658894,23.5823263973,23.9159558414
185,23.251044653,23.2497075825,23.250599793,23.2499856935,23.2499664286,23.5811300721,23.9190839541
186,23.2501010741,23.2500812686,23.2497284456,23.2499856241,23.2499669313,23.5801243244,23.9207208518
187,23.2494260303,23.250101076,23.250126429,23.2499856188,23.2499673999,23.5792411171,23.921261932
188,23.5344503765,23.5261985381,23.535703853,23.5202041798,23.5373507484,23.5880907984,23.9176295265
189,23.5490052323,23.5495084422,23.5492290418,23.5473556424,23.5491660933,23.6269050398,23.9117721353
190,23.5490612946,23.5492771455,23.5503260598,23.5495803063,23.5499324879,23.6728868284,23.906009682
191,23.5491342848,23.5517602421,23.5497449655,23.5484240723,23.5499709966,23.7058772538,23.9012320847
192,23.5485660395,23.5503337667,23.5508215511,23.5513205532,23.5499705712,23.7240995607,23.8973719221
193,23.5490856384,23.5509486976,23.5498086732,23.5498673538,23.5499700483,23.733419329,23.8940755078
194,23.551443792,23.5494439765,23.5495285746,23.5500379756,23.5499696249,23.739032796,23.8910553725
195,23.5502179033,23.5484380032,23.5493500853,23.5509152127,23.5499693197,23.7434522513,23.8881626209
196,23.5509723026,23.5495085462,23.5508967274,23.5494168842,23.5499690925,23.7473614496,23.8853404968
197,23.5493240124,23.5500168784,23.5498581179,23.5487814618,23.5499689098,23.7508649577,23.8825705365
198,23.5503942282,23.5487001091,23.5492471074,23.5501925773,23.5499687514,23.753969912,23.8798435869
199,23.5490560494,23.5482544275,23.5510869375,23.5494566131,23.5499686079,23.756810892,23.8771511358
200,23.2676137433,23.2725989201,23.2646909227,23.2857523809,23.2746517052,23.7457289484,23.8684467672
201,23.2501889854,23.2501356531,23.2517312408,23.252422632,23.2506993783,23.7139806368,23.8577408421
202,23.2489150695,23.2490983379,23.2500851538,23.2502592138,23.2500263416,23.6657628856,23.8484693572
203,23.2493677755,23.2484212484,23.250840563,23.250034795,23.2499869,23.6280944869,23.841528459
204,23.2495856609,23.2496544778,23.2497352762,23.2500171196,23.24999022,23.606528851,23.8363950254
205,23.2494634391,23.2489407678,23.2505606645,23.2495147492,23.2499943861,23.595664582,23.832305207
206,23.2492390313,23.2501099167,23.250192631,23.2491658142,23.2499980953,23.5892553576,23.8287219073
207,23.2492957628,23.2497984592,23.249536002,23.2492728868,23.2500014924,23.5839724371,23.8253763619
208,23.2496332488,23.2516225452,23.2496069248,23.2496074762,23.2500047,23.5788880799,23.8221639781
209,23.2503453096,23.2520051986,23.2506396536,23.2501345733,23.250007773,23.5740380342,23.8190468972
210,23.2486919596,23.2492375221,23.2499033958,23.2507695115,23.2500107322,23.5695147856,23.8160047595
211,23.2494678436,23.2491271991,23.2490774615,23.2514903749,23.2500135874,23.5652079472,23.8130203517
212,23.6520461609,23.6499726216,23.6540786238,23.6467486281,23.511418423,23.5475604441,23.8119142619
213,23.659670524,23.660161718,23.6600751018,23.6597509003,23.6597034978,23.5926330139,23.8096317859
214,23.6611769126,23.6595268234,23.6597046694,23.6589785332,23.6599964733,23.6563081413,23.8063045185
215,23.6592048472,23.6599126928,23.6604446168,23.659392007,23.660296988,23.7039515915,23.8027111686
216,23.6583359525,23.6617847353,23.6594654207,23.6592732387,23.6605913421,23.729696335,23.799301977
217,23.6587815839,23.6596006605,23.6601037354,23.6597617874,23.6599862848,23.7409709358,23.7961745892
218,23.6595755405,23.6604735421,23.6595848306,23.6610425862,23.6602660482,23.7456705155,23.7932566011
219,23.6600494557,23.6587025315,23.6605778439,23.6595892978,23.6599861598,23.7481293413,23.7904847035
220,23.6600269624,23.6600646483,23.6600417436,23.6609799937,23.660383814,23.7497083259,23.7877982643
221,23.6595829768,23.6582965664,23.6607371211,23.6605444918,23.6599195339,23.7507298793,23.7851534506
222,23.6588355433,23.6592894322,23.6597947795,23.6594979581,23.6599684927,23.7511548238,23.7825314458
223,23.6601827177,23.6612837317,23.6600875305,23.6590005894,23.6601731018,23.7510796267,23.7799279448
224,23.9841542204,23.9821771617,23.98566751,23.979536238,23.7034690649,23.7451528559,23.7789464834
225,23.98993585,23.9915794464,23.9895028506,23.9890113222,23.9786436185,23.7621256904,23.7769002125
226,23.9898875883,23.9907918717,23.9906783797,23.9896556127,23.9894812914,23.8052955707,23.7739091466
227,23.9898529729,23.9909789205,23.990143699,23.9887603402,23.9898203204,23.8469567745,23.770692709
228,23.9896692902,23.9894636353,23.9908564434,23.9888524999,23.9904768928,23.8747599779,23.7676459084
229,23.9913517266,23.9900356844,23.9910222575,23.9898116406,23.9907301449,23.8899947561,23.7648481783
230,23.9912126548,23.99017053,23.9894343606,23.9907512274,23.9899050589,23.8980783343,23.7622356912
231,23.9896851228,23.9919159382,23.9896718643,23.988727901,23.9904487366,23.9030133736,23.7597296581
232,23.9897959549,23.9885430989,23.9893862162,23.9886545009,23.9894577253,23.9067206447,23.7572824681
233,23.9903395516,23.9894601608,23.9906050603,23.9894063592,23.9905219992,23.9097001243,23.75487436
234,23.9901569425,23.9907256603,23.9905236492,23.9895674307,23.9902006257,23.9122814225,23.7524988253
235,23.9890240498,23.9892395465,23.9896778166,23.991366815,23.9903992497,23.9145074321,23.7501531326
236,24.2052690454,24.203799566,24.2100445259,24.1980545557,24.2093861734,23.9160679269,23.7478579776
237,24.2185593417,24.2199490769,24.2183716275,24.2174283654,24.2198421764,23.9415876609,23.7455755365
238,24.2199890985,24.2208740849,24.2200308673,24.218164879,24.2201278478,23.9738639607,23.7432997411
239,24.2187744158,24.2190353507,24.2210349559,24.2179011946,24.2200462129,23.9985388822,23.7410417984
240,24.2189497313,24.2197769477,24.2203896261,24.2210971877,24.2198068594,24.0129739371,23.7388087746
241,24.2205379906,24.2194576318,24.2202296381,24.2215745746,24.2200745736,24.0204261153,23.7366035854
242,24.2189016769,24.2193078091,24.2198351793,24.221644836,24.2199351748,24.0244418994,23.734426351
243,24.2199833328,24.2201120815,24.2200796067,24.218589839,24.2199027892,24.0269680186,23.7322759445
244,24.2190162865,24.2183599654,24.2196352984,24.2208837524,24.2202895341,24.0287664218,23.730150612
245,24.2207696453,24.2197726509,24.219454861,24.2212420028,24.22001445,24.0301314379,23.728048576
246,24.2199890875,24.2195209976,24.219988875,24.2209089836,24.2206747341,24.0311724029,23.7259680315
247,24.2215519171,24.2186085965,24.221020244,24.2213821387,24.2198797143,24.0319642795,23.7239281049
248,24.2118114521,24.2110449121,24.2095945055,24.2103396965,24.2102458523,24.0345749206,23.721902242
249,24.2090995883,24.2096475228,24.2087930166,24.2094887903,24.2093746717,24.0384449307,23.7198785829
250,24.2102969114,24.2117233082,24.2098834652,24.2110893251,24.2102934312,24.0437135276,23.7178632072
251,24.2102606584,24.2098240877,24.2099551689,24.2085374519,24.2107214123,24.0504622835,23.7158622961
252,24.2111377901,24.2092855038,24.2107538885,24.2109552067,24.2106427977,24.0582108744,23.7138778049
253,24.2104930578,24.209388183,24.2098654497,24.2113651891,24.2104908083,24.0665692063,23.7119090883
254,24.2111778908,24.2089145121,24.2098188772,24.2114345497,24.2104905714,24.0752244891,23.7099547109
255,24.210540433,24.2111891434,24.2101168881,24.2103283695,24.2106467744,24.0840491845,23.7080136012
256,24.2112869232,24.2098041834,24.2101299784,24.2103803132,24.209847984,24.0930089889,23.7060850412
257,24.2107108748,24.2102098814,24.2098571303,24.2112837562,24.2098486043,24.102020861,23.704168693
258,24.2097634468,24.2080657297,24.2098363943,24.2093514856,24.2104316111,24.1111281948,23.7022642759
259,24.2108173194,24.2083197566,24.2095200505,24.2097675133,24.2100592254,24.1203722538,23.7003664648
260,23.9168226231,23.9229317871,23.9130448957,23.9315996883,23.9193667513,24.1292130356,23.7021439841
261,23.9014156003,23.9016918596,23.9006305051,23.902905291,23.9011647403,24.0989345698,23.7057580704
262,23.899833073,23.9000311361,23.8989565793,23.899536015,23.9000353349,24.0529901012,23.7088992816
263,23.9000087013,23.9008825591,23.8999703408,23.9005599689,23.899490109,24.0147742805,23.7107053105
264,23.9006415429,23.8999137362,23.8994367022,23.8997367675,23.9006444656,23.9905530737,23.7113255743
265,23.9004364932,23.8994243194,23.8993231063,23.9011558513,23.9002320338,23.9766866034,23.7111920157
266,23.8993113993,23.9010057362,23.8989420412,23.9003088694,23.8998823947,23.9679368585,23.7106462036
267,23.900076536,23.9002260024,23.9000797646,23.8990876852,23.8994358598,23.9610831281,23.709872706
268,23.8989903925,23.9001030641,23.8989756838,23.8989904152,23.900078041,23.9549070163,23.7089522895
269,23.8991209593,23.8981450031,23.8987050011,23.9000407973,23.8993170353,23.9492620603,23.7079337653
270,23.8998174759,23.897784044,23.9010008318,23.9016896942,23.9004264177,23.9439824047,23.7068225483
271,23.9002619935,23.9003489686,23.8991686669,23.9006167672,23.9006211124,23.9391788878,23.7056442033
272,23.4229799996,23.4210816078,23.4224703835,23.437560919,23.4342867631,23.9199984576,23.4140016918
273,23.409928034,23.4081127541,23.4099949248,23.4106523924,23.4106240695,23.8602138479,23.4104205281
274,23.4093722249,23.409975386,23.4094539503,23.4100660326,23.4100478114,23.786565332,23.40979457
275,23.4110290404,23.408677079,23.4109267392,23.4100176392,23.4100170307,23.7370817548,23.4098036399
276,23.4105837098,23.4090783749,23.4102101853,23.4100058736,23.4100090776,23.713803628,23.4098554526
