,b0,b1,b2,b3,b4,b5,b6
107,28.337242094,23.8017908058,23.7700835893,39.5717278637,27.4479958982,0.052846128986,21.1546607781
108,28.3372294881,23.8024148865,23.7706098584,39.5717354574,27.4479913848,0.0528801069675,21.1546908009
109,28.337217417,23.8024412923,23.7706022241,39.5717392862,27.4479728621,0.0529199827664,21.1546970949
110,28.3376478222,23.8024063537,23.7705993879,39.5717503435,27.4479628189,0.0529536185484,21.1547039937
111,28.3376366273,23.8024151623,23.7705915787,39.5717573918,27.4479484326,0.0529895638087,21.1547103636
112,28.3376259473,23.8024020652,23.7705887143,39.5729441168,27.447930555,0.0530411460392,21.1547164875
113,28.3376142434,23.8024108247,23.7705809071,39.5729313852,27.4479235859,0.0530776544446,21.1547222178
114,28.3376030543,23.8023977618,23.770578019,39.572929675,27.4479103012,0.053114668674,21.154727883
115,28.3375878697,23.8024063994,23.7705751059,39.5729277132,27.4478952868,0.0531523750026,21.1547336177
116,28.2515054319,23.7285368099,23.6976338808,39.4477879692,27.3580984379,0.0516860754588,21.089460843
117,28.2514720465,23.7289801884,23.6978182406,39.4482112154,27.3610183043,0.0505214698767,21.083951525
118,28.2514839524,23.7287493704,23.6977494983,39.4478988176,27.3596552147,0.0511038679286,21.0863374649
119,28.2514778455,23.7288256956,23.6977795891,39.4480238809,27.3601005456,0.05091547591,21.0856531901
120,28.2514756185,23.7288436286,23.6977868679,39.4480483296,27.3601859676,0.0508792613708,21.0855404569
121,28.2514748762,23.7288619478,23.6977868673,39.4480730046,27.36026858,0.0508440635275,21.085445791
122,28.2514733973,23.7288619309,23.6977941671,39.4480931542,27.3603399954,0.0508138361965,21.0853617738
123,28.2514719256,23.7288619222,23.6977978016,39.4481102909,27.360406471,0.0507859737713,21.0852869594
124,28.2514719259,23.7288983644,23.6977977998,39.4481246981,27.360464208,0.0507618547436,21.0852193914
125,28.2514704614,23.7288619066,23.6978014249,39.4481372662,27.360520887,0.050738444293,21.0851569582
126,28.2514697321,23.7288983511,23.6978014234,39.4481479681,27.3605700788,0.0507181611979,21.0850987867
127,28.2514690043,23.7288801558,23.6978014234,39.4481573308,27.3606201661,0.0506977685661,21.085044472
128,28.5461301481,23.9763452551,23.9438964154,39.8645391216,27.6555856914,0.0467384840234,21.3064329267
129,28.5462450344,23.9746825364,23.9432803422,39.8622098264,27.6435165881,0.0503692868708,21.3084221683
130,28.5461848836,23.9755502578,23.9435983296,39.8632091423,27.649051548,0.0481217499921,21.3064329267
131,28.5461981826,23.9753370725,23.9435283493,39.8629660378,27.6477917543,0.0486359541461,21.3064329267
132,28.5461957213,23.9753708067,23.943531631,39.8629903483,27.6478589495,0.0486066071329,21.3064329267
133,28.5461963188,23.9753865396,23.9435345194,39.8629990402,27.6478855732,0.0485951386077,21.3064329267
134,28.5461945367,23.9753707513,23.9435403017,39.8630096689,27.64791749,0.0485813546792,21.3064329267
135,28.5461939453,23.9754022905,23.9435403008,39.8630202479,27.6479455002,0.048569046072,21.3064329267
136,28.5461933546,23.975402297,23.943546056,39.8630308593,27.6479771786,0.0485553545512,21.3064329267
137,28.5461915906,23.9754179868,23.9435460547,39.8630411783,27.648003382,0.048543768426,21.3064329267
138,28.5461915903,23.9754179943,23.9435489231,39.86305152,27.6480333616,0.0485307604488,21.3064329267
139,28.5461898366,23.9754336373,23.9435517829,39.8630615919,27.6480596866,0.0485191704932,21.3064329267
140,28.5816879604,24.0052969896,23.9732400416,39.9133365171,27.6835681563,0.0480786776688,21.3330557863
141,28.5817006978,24.0051241424,23.9731638723,39.9130854974,27.6824056746,0.0485467315815,21.3330557863
142,28.5816930805,24.0052046121,23.97320412,39.9132116219,27.6830457648,0.0482850279508,21.3330557863
143,28.5816948434,24.0052034282,23.9731982935,39.9131832885,27.6829251841,0.0483351021503,21.3330557863
144,28.5816936891,24.0051882066,23.9731927135,39.9131883231,27.6829485563,0.0483254736449,21.3330557863
145,28.5816936894,24.0052190425,23.9731983352,39.913191684,27.6829673866,0.048317833975,21.3330557863
146,28.5816936892,24.0051882019,23.973198336,39.913195313,27.6829897807,0.04830881068,21.3330557863
147,28.581692548,24.0052190451,23.9731983358,39.9131989061,27.6830122127,0.0482997792605,21.3330557863
148,28.5816925483,24.0052190388,23.9731983347,39.9132024353,27.6830312089,0.0482920487473,21.3330557863
149,28.5816925481,24.0052036444,23.9731983354,39.9132060607,27.6830533804,0.0482831096625,21.3330557863
150,28.5816914113,24.0052190413,23.9731983353,39.913209612,27.6830758393,0.0482740752301,21.3330557863
151,28.5816914115,24.0052190345,23.9732011361,39.9132130641,27.683094454,0.0482665010519,21.3330557863
152,28.8654157028,24.2437595617,24.2103527613,40.315413562,27.9721708761,0.0467384840234,21.5463423928
153,28.8655221766,24.2423235663,24.2097689773,40.3128340898,27.9564493654,0.0486195356321,21.5463423928
154,28.8654686222,24.2430566716,24.2100517072,40.3141578432,27.9611507345,0.0468541739047,21.5463423928
155,28.8654800936,24.242909479,24.2099907525,40.313826757,27.9600674723,0.0472609382965,21.5463423928
156,28.8654810504,24.2428830949,24.2099910978,40.3138271934,27.9600781549,0.0472569270079,21.5463423928
157,28.8654800221,24.2429111889,24.2099910954,40.3138271896,27.9600788395,0.0472566699494,21.5463423928
158,28.8654800216,24.2429112043,24.2099910983,40.3138271925,27.9600865439,0.0472537769363,21.5463423928
159,28.8654800215,24.2429112077,24.2099961362,40.3138271923,27.9600933962,0.0472512038842,21.5463423928
160,28.8654789961,24.2429112148,24.2099911,40.3138271928,27.9601014554,0.0472481776669,21.5463423928
161,28.8654789958,24.2429252144,24.2099961393,40.3138271941,27.9601125449,0.0472440135755,21.5463423928
162,28.8654789958,24.2429112257,24.2099961392,40.313827193,27.9601204255,0.0472410544047,21.5463423928
163,28.8654779739,24.2429391735,24.2099961412,40.3138271944,27.9601315167,0.0472368896735,21.5463423928
164,28.3921699055,23.8469052031,23.8126956169,39.6445454943,27.4940267286,0.0521580772781,21.2075517926
165,28.3919918963,23.8472074173,23.8151960637,39.6466120952,27.5040237723,0.0467384840234,21.1913709311
166,28.3920839803,23.8458877757,23.8147051795,39.6449407173,27.4952560885,0.0495944815526,21.1913709311
167,28.3920589442,23.8462751304,23.8148328347,39.6453956379,27.4973848783,0.0487181140007,21.1913709311
168,28.3920590649,23.8462562132,23.8148351453,39.6453968468,27.4974108796,0.0487081458999,21.1913709311
169,28.3920567126,23.8462719691,23.8148380569,39.6454172109,27.4974710787,0.0486820939419,21.1913709311
170,28.3920567131,23.8462876022,23.8148438353,39.6454348916,27.4975230434,0.0486595882878,21.1913709311
171,28.3920555452,23.8462875947,23.8148438339,39.6454512238,27.4975701669,0.0486391287713,21.1913709311
172,28.3920555453,23.8463031884,23.8148495875,39.6454664865,27.4976160736,0.048619307157,21.1913709311
173,28.3920532228,23.8463031849,23.8148495869,39.6454807653,27.4976598609,0.048600447968,21.1913709311
174,28.3920532229,23.8463342241,23.8148553138,39.6454942306,27.4977015749,0.0485825050106,21.1913709311
175,28.392053223,23.8463031787,23.8148553133,39.645507005,27.4977415475,0.048565332891,21.1913709311
176,28.2378459475,23.7167794981,23.6859358521,39.4272915193,27.3428735649,0.0502424037095,21.0643843105
177,28.2377860586,23.7176031146,23.686257263,39.4283976037,27.3483267246,0.0480652525511,21.0643843105
178,28.2378153148,23.717187846,23.6860962099,39.4277942048,27.3457517678,0.0490765463473,21.0643843105
179,28.2378084863,23.7172819865,23.6861348269,39.4279262018,27.3464179784,0.0488040403992,21.0643843105
180,28.2378074347,23.717295702,23.6861346337,39.427937498,27.3464848636,0.0487770128708,21.0643843105
181,28.2378063485,23.7172956924,23.6861399144,39.4279491637,27.34654651,0.0487518899059,21.0643843105
182,28.2378063489,23.7172956813,23.6861399123,39.4279591946,27.3466027253,0.0487290830793,21.0643843105
183,28.2378063492,23.7173103191,23.6861399109,39.4279681605,27.3466557492,0.0487076549158,21.0643843105
184,28.2378052669,23.7172956676,23.6861399097,39.4279762469,27.3467061605,0.0486873566491,21.0643843105
185,28.2378041885,23.7173103071,23.6861451681,39.4279835848,27.3467543625,0.0486680146606,21.0643843105
186,28.2378052672,23.7173103021,23.6861399078,39.4279902755,27.3468006719,0.0486494929175,21.0643843105
187,28.2378041889,23.7173102976,23.6861451664,39.427996399,27.3468453373,0.0486316845121,21.0643843105
188,28.5926616708,24.0157619258,23.982834999,39.9312134288,27.7091390124,0.0467134549872,21.3307752094
189,28.5928096336,24.0139751447,23.9821086407,39.9279514995,27.6892154088,0.0490759338862,21.3307856472
190,28.5927529045,24.0148621248,23.9824715751,39.9295544274,27.6952629481,0.0467823044523,21.3307960851
191,28.5927801612,24.0146733813,23.9823917167,39.9290456031,27.6938823972,0.0472779191449,21.330806523
192,28.5927919417,24.0146407817,23.9824003384,39.9290545815,27.6939056988,0.0472463879464,21.3308169609
193,28.5928028684,24.0146589203,23.9823991074,39.9289400148,27.6939174256,0.04721920309,21.3308273988
194,28.5928137938,24.0146371509,23.9824072482,39.9289281166,27.6939351112,0.0471897807121,21.3308378367
195,28.5928266415,24.0146420124,23.9824106759,39.9288749679,27.6939547247,0.0471596343784,21.3308482745
196,28.5928366046,24.014646873,23.9824188151,39.928800958,27.6939757171,0.047128970283,21.3308587124
197,28.592849459,24.0146383556,23.9824174725,39.9287684333,27.6939977648,0.0470979099196,21.3308691503
198,28.5928594189,24.0146297984,23.9824256116,39.9287359084,27.6940206343,0.047066540969,21.3308795882
199,28.5928722799,24.0146346578,23.9824337506,39.9286615759,27.6940441441,0.0470349316139,21.3308900261
200,28.2377927664,23.7157912885,23.6855004924,39.425648092,27.339025476,0.0512241214451,21.0647480595
201,28.2376461826,23.717746904,23.6862385164,39.4283055918,27.3510461184,0.0464881936608,21.0647376217
202,28.2377035881,23.7167990129,23.6858596467,39.4268438138,27.3454344794,0.0486717089746,21.0647271838
203,28.2376758226,23.7170138234,23.6859433292,39.4271514742,27.346707971,0.0481697206379,21.0647167459
204,28.2376639139,23.717036186,23.685934805,39.4272079098,27.3468059536,0.0481516621737,21.064706308
205,28.2376519323,23.7170312523,23.6859371015,39.4272578286,27.3468541237,0.0481534113962,21.0646958701
206,28.2376399519,23.7170553563,23.6859289598,39.4273239815,27.3468983795,0.0481595748392,21.0646854322
207,28.2376279748,23.7170504985,23.6859260122,39.4273875375,27.3469400514,0.0481667085019,21.0646749944
208,28.2376160015,23.71707444,23.6859230423,39.4274499418,27.3469793119,0.0481747476768,21.0646645565
209,28.237604032,23.7170695838,23.6859200503,39.427511557,27.3470166524,0.0481835077938,21.0646541186
210,28.2375931061,23.7170647286,23.6859119119,39.4275725626,27.347052389,0.0481928701941,21.0646436807
211,28.2375801039,23.7170884981,23.6859088982,39.427633067,27.34708676,0.0482027453593,21.0646332428
212,28.7226642852,24.1256965522,24.0920615271,40.1126157841,27.8550044007,0.0517516146629,21.4284789911
213,28.7229088173,24.1227874752,24.0905723453,40.1114315064,27.8212953811,0.0467929032926,21.4284789911
214,28.7228156352,24.1240442411,24.0910682862,40.1135795777,27.820394775,0.0471310804384,21.4284789911
215,28.7228360246,24.1237986602,24.0909664177,40.1131681528,27.8236264456,0.0467384840234,21.4284789911
216,28.7228361068,24.1237845795,24.0909573812,40.1130958115,27.8218100291,0.0467384840234,21.4284789911
217,28.7228361067,24.1237600075,24.0909617135,40.1130958117,27.8217230299,0.0467384840234,21.4284789911
218,28.7228361066,24.1237845847,24.0909573822,40.1130958118,27.8218100291,0.0467384840234,21.4284789911
219,28.7228361065,24.1237600127,24.0909617144,40.1130597107,27.8217230299,0.0467384840234,21.4284789911
220,28.7228361064,24.1237845901,24.0909573832,40.1130958121,27.8218100291,0.0467384840234,21.4284789911
221,28.7228361063,24.1237600181,24.0909617154,40.1130597109,27.8217230299,0.0467384840234,21.4284789911
222,28.7228361062,24.1237845955,24.0909573841,40.113059711,27.8218100291,0.0467384840234,21.4284789911
223,28.7228352177,24.1237845981,24.0909617164,40.1130597111,27.8218100291,0.0467384840234,21.4284789911
224,29.1132874556,24.4525052713,24.4177877378,40.6670568091,28.2391837978,0.0567123880847,21.7213217487
225,29.1134355433,24.4506583244,24.4167440698,40.6640835922,28.2247647017,0.0467801990839,21.7213130505
226,29.1133668482,24.4513789373,24.4170767727,40.6651439722,28.1991968752,0.0471339742658,21.7213043522
227,29.1133736351,24.4511723798,24.416976769,40.6647819764,28.2103473631,0.0468219141443,21.721295654
228,29.1133661918,24.4511240748,24.4169659517,40.6647501426,28.2076222409,0.0468427716745,21.7212869558
229,29.1133570866,24.4511200346,24.416951814,40.6647480979,28.2074147951,0.0468636292048,21.7212782575
230,29.1133495746,24.451094556,24.4169376228,40.6647459206,28.2073077585,0.046884486735,21.7212695593
231,29.1133412697,24.4510905159,24.4169308422,40.6647140576,28.2074048225,0.0469053442652,21.7212608611
232,29.1133321645,24.4510432558,24.416916597,40.6647411629,28.2071951788,0.0469262017954,21.7212521628
233,29.1133238621,24.451060883,24.4169098164,40.66473858,28.2073948497,0.0469470593257,21.7212434646
234,29.1133155622,24.4510351755,24.4168955165,40.6647358596,28.2071852058,0.0469679168559,21.7212347664
235,29.1133072647,24.4510093525,24.4168849556,40.6647629649,28.2072828264,0.0469887743861,21.7212260681
236,29.3854612959,24.6800574448,24.6444716918,41.0506594422,28.4890396826,0.0469887743861,21.9253346586
237,29.3855559389,24.6787702821,24.6439511501,41.0484161209,28.4677106586,0.0469887743861,21.9253346586
238,29.3855101778,24.6793768816,24.6442093536,41.0494066701,28.4777930631,0.0469887743861,21.9253346586
239,29.3855201353,24.6792435635,24.6441525383,41.0492051638,28.4757291924,0.0469887743861,21.9253346586
240,29.3855201351,24.6792435702,24.6441460104,41.0492051648,28.4755670198,0.0469887743861,21.9253346586
241,29.3855201349,24.6792241441,24.6441460118,41.0491537711,28.4755670221,0.0469887743861,21.9253346586
242,29.3855215906,24.6792241504,24.6441427316,41.0491537719,28.4754854182,0.0469887743861,21.9253346586
243,29.3855201344,24.6792241567,24.644142733,41.0491019588,28.4754854202,0.0469887743861,21.9253346586
244,29.3855215902,24.6792046312,24.6441394415,41.0491537736,28.4754854222,0.0469887743861,21.9253346586
245,29.385520134,24.6792241687,24.6441394427,41.0491019604,28.4754034685,0.0469887743861,21.9253346586
246,29.3855215898,24.6792046429,24.6441394439,41.0491019611,28.4754854261,0.0469887743861,21.9253346586
247,29.3855201336,24.6792046485,24.6441394451,41.0491019619,28.4753211643,0.0469887743861,21.9253346586
248,29.3736800323,24.6692180248,24.6342162597,41.0322512938,28.4631691947,0.0470138034224,21.9164499342
249,29.3736676153,24.6692131772,24.6342217817,41.0323373763,28.4639989778,0.0470388324586,21.9164394963
250,29.3736596795,24.6691681537,24.6341896166,41.032262339,28.463663048,0.0470638614949,21.9164290584
251,29.3736517797,24.6691022604,24.6341674819,41.0321854624,28.4636570666,0.0470888905312,21.9164186205
252,29.3736423804,24.6690768524,24.6341487158,41.0322179891,28.4636510853,0.0471139195674,21.9164081826
253,29.3736345357,24.6690305621,24.6341226092,41.0321392128,28.4636451041,0.0471389486037,21.9163977447
254,29.3736251642,24.6689838368,24.6341035349,41.0321153557,28.463639123,0.04716397764,21.9163873069
255,29.3736173761,24.6689578851,24.6340806294,41.032062368,28.463633142,0.0471890066762,21.916376869
256,29.3736080334,24.6688890541,24.6340575077,41.0320372465,28.4635437783,0.0472140357125,21.9163664311
257,29.3736003036,24.6688626521,24.6340341653,41.032040754,28.4636211803,0.0472390647488,21.9163559932
258,29.3735918007,24.6687924489,24.6340105971,41.0319558775,28.4636151995,0.047264093785,21.9163455553
259,29.3735833205,24.6687434449,24.6339788792,41.0318989241,28.4635258359,0.0472891228213,21.9163351174
260,29.0069045376,24.3602253034,24.327390238,40.5121322547,28.0921847259,0.0492387298694,21.641059145
261,29.006754747,24.3620737215,24.3281252673,40.515353965,28.11252475,0.0473308378818,21.6410504468
262,29.0068108733,24.3612214471,24.327767704,40.5139230835,28.0990920681,0.047351695412,21.6410417486
263,29.0067875198,24.3613985512,24.3278427274,40.5142545082,28.1016234798,0.0473725529422,21.6410330503
264,29.0067765689,24.3613945065,24.3278405819,40.5143185882,28.1019747918,0.0473934104724,21.6410243521
265,29.0067665455,24.3614157484,24.3278430163,40.5144189765,28.1018518608,0.0474142680026,21.6410156538
266,29.0067565252,24.3614368461,24.3278408148,40.5144460811,28.1019648168,0.0474351255329,21.6410069556
267,29.0067455987,24.3614328013,24.3278431383,40.5145095008,28.1019598292,0.0474559830631,21.6409982574
268,29.0067364937,24.361453756,24.3278363566,40.5145727072,28.1020719849,0.0474768405933,21.6409895591
269,29.0067255792,24.361449711,24.3278386074,40.5146357033,28.1019498541,0.0474976981235,21.6409808609
