,Unnamed: 0,tout,s,i,t1,t2,t3,t4,t5,t6,sp0,m,rh
7000,7000,-1.99166666667,42.1666666667,1455.12960757,23.4000692988,23.3988879464,23.3989227977,23.3999677376,23.7074591871,23.3998660835,23.4,0.407139510915,4415.48456646
7001,7001,-1.95,46.0,1455.12960757,23.3988248947,23.400323988,23.3991102729,23.3999690114,23.6934000574,23.4001142982,23.4,0.407139510915,4385.48576048
7002,7002,-1.90833333333,59.1666666667,1455.12960757,23.4016724741,23.4012845399,23.3991943198,23.3999709978,23.684264242,23.4001685124,23.4,0.407139510915,4324.79407251
7003,7003,-1.86666666667,72.3333333333,1351.67953794,23.3995227813,23.3999477299,23.4007195532,23.3999734053,23.6763868957,23.4001323905,23.4,0.407139510915,4216.71582452
7004,7004,-1.825,85.5,1248.22946831,23.3997098975,23.4003181293,23.3993104218,23.3999759669,23.6688602205,23.400247351,23.4,0.407139510915,4169.64335125
7005,7005,-1.78333333333,98.6666666667,1248.22946831,23.4007896212,23.3991226916,23.4002255926,23.3999785714,23.6617310172,23.4001404983,23.4,0.407139510915,4074.11169591
7006,7006,-1.74166666667,111.833333333,1144.77939868,23.3992095166,23.3999486782,23.4000454907,23.3999811697,23.6550694773,23.4000856737,23.4,0.407139510915,3993.04980187
7007,7007,-1.7,125.0,1144.77939868,23.4009344676,23.3988641453,23.3995885949,23.3999837525,23.6488143539,23.3998193522,23.4,0.407139510915,3960.25128484
7008,7008,-1.60833333333,138.166666667,3401.90074188,23.5032714945,23.5045236931,23.5040130635,23.5022684208,23.638900312,23.5074416206,23.51,0.407139510915,3454.20750811
7009,7009,-1.51666666667,151.333333333,3401.90074188,23.5091795009,23.5095483393,23.5091872089,23.5092877173,23.6415583279,23.5097813328,23.51,0.407139510915,2712.65041074
7010,7010,-1.425,164.5,3401.90074188,23.5097621685,23.5102588166,23.510191083,23.5098667222,23.6518317813,23.5097768173,23.51,0.407139510915,2985.09183753
7011,7011,-1.33333333333,177.666666667,3401.90074188,23.5101826471,23.5103653696,23.5101801689,23.5098814485,23.6600023212,23.5098096041,23.51,0.407139510915,2799.57305947
7012,7012,-1.24166666667,190.833333333,3401.90074188,23.5085870689,23.5098319093,23.5096009843,23.5098638827,23.6637101793,23.5097953912,23.51,0.407139510915,2611.16985804
7013,7013,-1.15,204.0,3401.90074188,23.5107009096,23.5099389308,23.5107499472,23.5098505046,23.6645645346,23.5097882642,23.51,0.407139510915,2524.95867655
7014,7014,-1.05833333333,219.166666667,3401.90074188,23.5116766617,23.5099866152,23.5109379614,23.5098410245,23.6645616791,23.509781856,23.51,0.407139510915,2393.01230174
7015,7015,-0.966666666667,234.333333333,3401.90074188,23.5104328863,23.5092606549,23.5098427599,23.5098331003,23.664618375,23.5097755935,23.51,0.407139510915,2269.07386406
7016,7016,-0.875,249.5,3401.90074188,23.5116823562,23.5092995544,23.509756842,23.5098254069,23.6648556212,23.5097694678,23.51,0.407139510915,2165.49921612
7017,7017,-0.783333333333,264.666666667,3401.90074188,23.5103060573,23.5098617972,23.5098797694,23.5098178851,23.6651390346,23.509763456,23.51,0.407139510915,2024.12042301
7018,7018,-0.691666666667,279.833333333,3401.90074188,23.5097398302,23.5098818562,23.5110958819,23.5098104217,23.66538548,23.509757553,23.51,0.407139510915,1915.61951313
7019,7019,-0.6,295.0,3401.90074188,23.5112416196,23.5098713405,23.5099226208,23.5098031879,23.6656218907,23.5097517509,23.51,0.407139510915,1804.86029681
7020,7020,-0.55,310.166666667,3401.90074188,23.6406962289,23.6418872454,23.6441375375,23.6406654385,23.6698238338,23.6475054594,23.65,0.407139510915,2486.22728257
7021,7021,-0.5,325.333333333,3401.90074188,23.6506063706,23.6492917004,23.65076696,23.6490274665,23.6907503277,23.6497509864,23.65,0.407139510915,1494.16596089
7022,7022,-0.45,340.5,3401.90074188,23.6514396029,23.6498023297,23.6512772316,23.6497215457,23.7136890194,23.6496972168,23.65,0.407139510915,1856.63034616
7023,7023,-0.4,355.666666667,3401.90074188,23.6499325266,23.6498355978,23.6498704893,23.6497773536,23.7275481238,23.649759151,23.65,0.407139510915,1640.15500107
7024,7024,-0.35,370.833333333,3401.90074188,23.6500087492,23.6498258321,23.6509515816,23.6497713329,23.7324172448,23.649741362,23.65,0.407139510915,1563.13718842
7025,7025,-0.3,386.0,3401.90074188,23.6504425104,23.649817766,23.6502834608,23.6497652031,23.7324453295,23.6497355355,23.65,0.407139510915,1471.11541505
7026,7026,-0.25,389.5,3401.90074188,23.6500622838,23.6498128592,23.650083518,23.6497590675,23.7308706023,23.6497306034,23.65,0.407139510915,1444.55984014
7027,7027,-0.2,393.0,3401.90074188,23.6502429487,23.6498093676,23.6495954637,23.6497533876,23.72903867,23.6497257146,23.65,0.407139510915,1457.87677939
7028,7028,-0.15,396.5,3401.90074188,23.6506185886,23.649806487,23.6500233656,23.6497479003,23.7272011899,23.6497209226,23.65,0.407139510915,1471.15532697
7029,7029,-0.1,400.0,3401.90074188,23.6503797119,23.6498040966,23.6499692619,23.6497425585,23.7253184411,23.6497162066,23.65,0.407139510915,1484.40282808
7030,7030,-0.05,403.5,3401.90074188,23.6489692455,23.6498016746,23.6504652748,23.6497373609,23.723356292,23.6497115645,23.65,0.407139510915,1497.61224897
7031,7031,0.0,407.0,3401.90074188,23.6506914882,23.6497992853,23.6502418102,23.6497323412,23.7213355589,23.6497070192,23.65,0.407139510915,1537.03620031
