,Unnamed: 0,z0,z1,z2,z3,tout,s,i,t1,sp0,sp1,sp2,sp3,sp,m,rh
7000,7000,21.4075903093,20.8428595548,21.7195253476,21.8044580956,-1.99166666667,42.1666666667,69664.2743025,21.5697177343,20.94,20.94,20.94,20.94,20.94,6.11870755911,9118.54395271
7001,7001,21.4089715688,20.8600275696,21.7192593887,21.8715974158,-1.95,46.0,69664.2743025,21.5905491359,20.94,20.94,20.94,20.94,20.94,6.11870755911,9118.39821161
7002,7002,21.3979393411,20.879906533,21.7073081926,21.9242336504,-1.90833333333,59.1666666667,69664.2743025,21.5999408134,20.94,20.94,20.94,20.94,20.94,6.11870755911,9118.27995689
7003,7003,21.3840275218,20.9002655506,21.6936070857,21.9712632586,-1.86666666667,72.3333333333,69664.2743025,21.6063388955,20.94,20.94,20.94,20.94,20.94,6.11870755911,9118.17933668
7004,7004,21.373513244,20.919971011,21.6837138438,22.0173006606,-1.825,85.5,69664.2743025,21.6146681811,20.94,20.94,20.94,20.94,20.94,6.11870755911,9118.09687162
7005,7005,21.3697633851,20.9397098646,21.6804973134,22.0631825759,-1.78333333333,98.6666666667,69664.2743025,21.6273798516,20.94,20.94,20.94,20.94,20.94,6.11697643895,9104.86653158
7006,7006,21.366260326,20.9392229528,21.6772543257,22.1059065767,-1.74166666667,111.833333333,69458.8128678,21.6397642358,20.94,20.94,20.94,20.94,20.94,6.09541100566,8722.9023028
7007,7007,21.3623754565,20.9396227754,21.6735579498,22.1444992265,-1.7,125.0,69458.8128678,21.6478698254,20.94,20.94,20.94,20.94,20.94,6.09958058069,8798.12448109
7008,7008,21.3563287731,20.5406827719,21.6675839805,22.2546541781,-1.60833333333,138.166666667,72259.3936811,21.6754304979,20.46,20.46,20.46,20.46,20.46,5.91624754895,1883.12823304
7009,7009,21.348186745,20.4606955059,21.6598233246,22.3733896314,-1.51666666667,151.333333333,72259.3936811,21.6713836605,20.46,20.46,20.46,20.46,20.46,6.0581384806,8106.71087036
