,t1,w0,w1,i,s,tout,rh,m0,sp0
0,21.784022752397203,23.365248133013722,23.054752455742122,910.6090530192537,0.0,17.183333333333334,0.0,0.20000000000000004,24.980000000000004
1,21.783738451735534,23.358813231424588,23.047758625206296,910.6090530192537,0.0,17.166666666666668,0.0,0.20000000000000004,23.23
2,21.775331920178644,23.350889120190903,23.040941569532635,910.6090530192537,0.0,17.15,0.0,0.2,23.93
3,21.767089712840534,23.3450058786947,23.034402373276365,910.6090530192537,0.0,17.133333333333336,0.0,0.20000000000000015,25.020000000000017
4,21.75180437777889,23.33776749515117,23.027296729246046,910.6090530192537,0.0,17.116666666666667,0.0,0.20000000000000015,23.110000000000014
5,21.74529317687534,23.32946835872082,23.01956854564133,910.6090530192537,0.0,17.1,0.0,0.2,25.02
6,21.73851402390241,23.32251307509345,23.012287948694688,910.6090530192537,0.0,17.083333333333336,0.0,0.2,22.08
7,21.728966204784843,23.31666277798896,23.00540351835154,910.6090530192537,0.0,17.066666666666666,0.0,0.20000000000000004,24.730000000000004
8,21.71988017798918,23.309273347180778,22.99806674706478,910.6090530192537,0.0,17.05,0.0,0.2,25.58
9,21.71077232887605,23.302668584362664,22.990924986456456,910.6090530192537,0.0,17.033333333333335,0.0,0.19999999999999973,22.789999999999967
10,21.701012624469442,23.296274095291896,22.983886527126508,910.6090530192537,0.0,17.016666666666666,0.0,0.2,23.21
11,21.609637920142674,23.28962827189282,22.976798243980518,910.6090530192537,0.0,17.0,0.0,0.2,22.35
12,21.596774596120962,23.28233619354697,22.94816030795568,910.6090530192537,0.0,16.975,0.0,0.2,24.52
13,21.630773887932925,23.263810436122633,22.937559496516332,910.6090530192537,0.0,16.950000000000006,0.0,0.2,24.76
14,21.63805272035208,23.25136145953539,22.932666775551898,910.6090530192537,0.0,16.925,0.0,0.2,22.84
15,21.633770968789058,23.24796129155184,22.92734124673955,910.6090530192537,0.0,16.9,0.0,0.2,23.8
16,21.53206312412337,23.244420256633294,22.921460701281532,910.6090530192537,0.0,16.875,0.0,0.20000000000000015,22.990000000000013
17,21.564045033878507,23.234468226276746,22.885367889895754,910.6090530192537,0.0,16.85,0.0,0.20000000000000004,23.04
18,21.56803406458949,23.220956618521864,22.88371118525586,910.6090530192537,0.0,16.825,0.0,0.19999999999999984,25.71999999999998
19,21.568440514427945,23.214992715239987,22.876342826536273,910.6090530192537,0.0,16.8,0.0,0.2,25.21
20,21.57048099803417,23.209429294681264,22.869062065553567,910.6090530192537,0.0,16.775,0.0,0.19999999999999973,22.689999999999966
21,21.503199094831047,23.207891782744166,22.863054857699016,910.6090530192537,0.0,16.75,0.0,0.19999999999999973,24.419999999999966
22,21.525318022836622,23.20152959077498,22.84335796410601,910.6090530192537,0.0,16.725,0.0,0.2,23.83
23,21.538014922121434,23.189299180130277,22.84011992090937,910.6090530192537,0.0,16.7,0.0,0.2,24.73
24,21.53282022354624,23.184437517909764,22.8370575999928,910.6090530192537,0.0,16.674999999999997,0.0,0.2,25.94
25,21.528720672596158,23.179508556023322,22.832257940007885,910.6090530192537,0.0,16.65,0.0,0.2,25.89
26,21.52437199671256,23.175357128823258,22.82890636840728,910.6090530192537,0.0,16.625,0.0,0.1999999999999999,23.26999999999999
27,21.515208587316017,23.170879782066912,22.825099749948617,910.6090530192537,0.0,16.6,0.0,0.20000000000000007,22.58000000000001
28,21.509972472218266,23.166883567604465,22.821461303318905,910.6090530192537,0.0,16.575,0.0,0.2,25.46
29,21.50431079680936,23.161683388372698,22.817604829888477,910.6090530192537,0.0,16.549999999999997,0.0,0.2,25.8
30,21.49743749754518,23.155951761562633,22.81365600750991,910.6090530192537,0.0,16.525,0.0,0.2,22.35
31,21.490224600989347,23.151794560252668,22.809744394869885,910.6090530192537,0.0,16.5,0.0,0.2,24.81
32,21.481710077478784,23.145736082816384,22.80567015400672,910.6090530192537,0.0,16.475,0.0,0.20000000000000004,22.38
33,21.473581141292613,23.139902760285732,22.80122860006353,910.6090530192537,0.0,16.45,0.0,0.2,24.77
34,21.465546059585016,23.13407665214028,22.79672945169233,910.6090530192537,0.0,16.424999999999997,0.0,0.19999999999999973,25.849999999999966
35,21.450780920755783,23.128205744093222,22.792129711942472,910.6090530192537,0.0,16.4,0.0,0.19999999999999973,24.009999999999966
36,21.439657101681927,23.122155028877692,22.787142209654508,910.6090530192537,0.0,16.375,0.0,0.2,23.59
37,21.362298026063815,23.116046513620333,22.78205707387291,910.6090530192537,0.0,16.35,0.0,0.20000000000000004,22.18
38,21.387192395916493,23.104855397253267,22.756630590225797,910.6090530192537,0.0,16.325,0.0,0.1999999999999999,25.97999999999999
39,21.38887891992584,23.09306081348842,22.753343438421826,910.6090530192537,0.0,16.3,0.0,0.2000000000000001,23.08000000000001
40,21.389178775461772,23.08651913055391,22.747338277883678,910.6090530192537,0.0,16.275,0.0,0.2,25.74
41,21.386943650873253,23.080335906826363,22.741883785296874,910.6090530192537,0.0,16.25,0.0,0.2,24.49
42,21.382534113001192,23.075372665487865,22.73760612763371,910.6090530192537,0.0,16.225,0.0,0.20000000000000004,25.500000000000004
43,21.37407188470839,23.070345032027042,22.73295301789224,910.6090530192537,0.0,16.200000000000006,0.0,0.20000000000000004,23.26
44,21.369296576242615,23.0659102531825,22.728578631754274,910.6090530192537,0.0,16.175,0.0,0.19999999999999973,22.099999999999966
45,21.360009553760808,23.06030599448794,22.72407413698403,910.6090530192537,0.0,16.15,0.0,0.19999999999999973,22.269999999999968
