,t1,w0,w1,i,s,tout,rh,m0,sp0
0,23.040580533391253,23.470932026766334,23.732549228546088,7252.224314841742,0.0,17.183333333333334,274282.898788298,1.0,25.94000000000001
1,22.97860455499065,23.468425807619465,23.72587286071971,7252.224314841742,0.0,17.166666666666668,273787.2514317525,1.0,23.2
2,22.963794053361053,23.464427697980373,23.719270678256134,7252.224314841742,0.0,17.15,274265.8808234386,1.0,24.09
3,22.94241474650752,23.462731756077922,23.71320254160074,7252.224314841742,0.0,17.133333333333336,274264.1995325368,1.0000000000000009,24.070000000000018
4,22.90835673102168,23.459575733358243,23.706568879111543,7252.224314841742,0.0,17.116666666666667,274263.7722563046,1.0000000000000009,25.660000000000014
5,22.901519497609147,23.45529167303336,23.69928426425004,7252.224314841742,0.0,17.1,274263.41397609987,1.0,25.82
6,22.89666591202187,23.452448544407552,23.692565673645625,7252.224314841742,0.0,17.083333333333336,274263.3448561809,1.0,23.36
7,22.88874791351428,23.45073646167155,23.68631819945831,7252.224314841742,0.0,17.066666666666666,274263.13140113343,1.0,23.5
8,22.88292303656293,23.44744885984688,23.679711039813146,7252.224314841742,0.0,17.05,274263.11943290423,1.0,23.3
9,22.878096692497977,23.44497387271307,23.67335263662047,7252.224314841742,0.0,17.033333333333335,274262.90257401584,0.9999999999999988,25.029999999999966
10,22.87372269932197,23.442701758562674,23.66715652644718,7252.224314841742,0.0,17.016666666666666,274262.58033028094,1.0,25.97
11,22.434405389575076,23.44018549596678,23.660982559112867,7252.224314841742,0.0,17.0,3815.0122156281423,0.6,22.36
12,22.48121346893825,23.433481596417124,23.630386623591626,7252.224314841742,0.0,16.975,274260.97674400936,1.0,25.98
13,22.68115478471009,23.418906402942298,23.62050923195701,7252.224314841742,0.0,16.950000000000006,274262.75223497744,1.0,25.11
14,22.76576437163877,23.411006595496687,23.616934057758417,7252.224314841742,0.0,16.925,274262.6475569987,1.0,24.75
15,22.77687358784845,23.412102824711376,23.61294692497094,7252.224314841742,0.0,16.9,274262.625324023,1.0,24.49
16,22.272637090410367,23.412815718534386,23.60830581954628,7252.224314841742,0.0,16.875,42012.247606797246,0.7333333333333342,22.130000000000013
17,22.467013942467133,23.402216779417593,23.56994895630603,7252.224314841742,0.0,16.85,274262.3778310291,1.0,24.52
18,22.53987440079021,23.394045876641552,23.570246722543672,7252.224314841742,0.0,16.825,274262.7143497411,0.9999999999999992,25.389999999999986
19,22.58819901752111,23.39214440219836,23.564189853938444,7252.224314841742,0.0,16.8,274262.6990971016,1.0,25.62
20,22.649848711700987,23.39051359044483,23.5581313607292,7252.224314841742,0.0,16.775,18679.74655470552,0.33477575391633113,22.649999999999967
21,22.3788398312808,23.39306893560041,23.553399276867992,7252.224314841742,0.0,16.75,20270.3107692574,0.5630178171927724,22.359999999999967
22,22.522962350441002,23.38860641340463,23.53348626232806,7252.224314841742,0.0,16.725,274262.7361400316,1.0,25.1
23,22.668181561886822,23.380987231368003,23.53211911470807,7252.224314841742,0.0,16.7,274263.0632663132,1.0,23.88
24,22.67676627690698,23.38077622987975,23.531107278926672,7252.224314841742,0.0,16.674999999999997,274263.0860145505,1.0,23.11
25,22.740967309333442,23.379920332740177,23.52790386292715,7252.224314841742,0.0,16.65,274263.0177983752,1.0,24.11
26,22.750142793476353,23.38024121962439,23.526536000843855,7252.224314841742,0.0,16.625,274263.001209672,0.9999999999999996,23.97999999999999
27,22.77756957267445,23.37999016668693,23.52451348319629,7252.224314841742,0.0,16.6,274263.0292998741,1.0000000000000004,23.45000000000001
28,22.782746054131202,23.38034891525361,23.52277612259558,7252.224314841742,0.0,16.575,274263.0225327843,1.0,23.19
29,22.785980769874836,23.379337986947448,23.520674489889828,7252.224314841742,0.0,16.549999999999997,274263.0903798968,1.0,23.51
30,22.799979834710694,23.377698266402057,23.51835198329003,7252.224314841742,0.0,16.525,0.0,0.25775555766222197,22.8
31,22.800040314159503,23.37778789037346,23.516146456865723,7252.224314841742,0.0,16.5,274266.8850759551,1.0,23.79
32,22.80165448984864,23.37582592486034,23.513673403639473,7252.224314841742,0.0,16.475,274266.2000955872,1.0,25.19
33,22.802584567253604,23.374136319658966,23.510856636026737,7252.224314841742,0.0,16.45,274265.8192894685,1.0,23.41
34,22.803169419392482,23.37241050669028,23.507915866456177,7252.224314841742,0.0,16.424999999999997,274265.46776291175,0.9999999999999988,24.109999999999967
35,22.804047937362643,23.37062580495332,23.504831190345758,7252.224314841742,0.0,16.4,274264.9649378222,0.9999999999999988,23.499999999999968
36,22.80415829754059,23.368706385273974,23.501417381144165,7252.224314841742,0.0,16.375,274265.2326068141,1.0,25.2
37,22.376882297559764,23.366705798324972,23.497868040966598,7252.224314841742,0.0,16.35,0.0,0.6438900861212873,22.28
38,22.543425781053774,23.35548400754913,23.47030767053704,7252.224314841742,0.0,16.325,274266.3637369768,0.9999999999999996,24.55999999999999
39,22.59437074921797,23.348510373879606,23.468882739072395,7252.224314841742,0.0,16.3,274266.3274872753,1.0000000000000004,25.67000000000001
40,22.64085196083917,23.346004115483716,23.464202247669935,7252.224314841742,0.0,16.275,274266.6335218856,1.0,23.58
41,22.712601276625925,23.343881874345787,23.460123980365413,7252.224314841742,0.0,16.25,274266.9604085798,1.0,25.14
42,22.72639074989083,23.343263048493164,23.457749392197968,7252.224314841742,0.0,16.225,274267.2686004301,1.0,25.68
43,22.755033972760373,23.342347402704597,23.454784099691643,7252.224314841742,0.0,16.200000000000006,274263.529602452,1.0,25.2
