,t1,w0,w1,i,s,tout,hsp,m0,rh0,csp0
0,24.77023174,27.661672059905403,19.74020761314781,9237.107488,0.0,-2.575,21,1.025996898,0.0,24.8
1,24.45702496,27.422491581285378,19.696449374413262,9237.107488,0.0,-3.45,21,1.1939625,0.0,24.43
2,25.37688798,27.274744386552175,19.680486582257895,9237.107488,0.0,-4.325,21,0.776291417,0.0,25.61
3,24.31139547,27.217943710050243,19.662337897402892,9237.107488,0.0,-5.2,21,1.233898443,0.0,24.27
4,23.77316697,27.053110029874077,19.644492758928468,9237.107488,0.0,-6.075,21,1.308938895,0.0,23.68
5,24.39874966,26.83678061370219,19.62680219650858,9237.107488,0.0,-6.95,21,0.988121184,0.0,24.41
6,24.30357568,26.753157849025467,19.609094133073114,9237.107488,0.0,-7.825,21,1.073040414,0.0,24.28
7,25.10850148,26.672779502714803,19.591423085738768,9237.107488,0.0,-8.7,21,0.63422516,0.0,25.75
8,22.76292386,26.671894400012622,19.573721424504072,9237.107488,0.0,-9.575,21,1.7631863,0.0,22.51
9,22.7560338,26.408419706807464,19.555994894053256,9237.107488,0.0,-10.45,21,0.852540273,0.0,22.8
10,24.03414008,26.190496373816966,19.538642853477356,9237.107488,0.0,-11.325,21,0.63422516,0.0,25.25
11,24.08268257,26.2450216297376,19.52121968654842,9237.107488,0.0,-12.2,21,0.938537284,0.0,23.89
12,23.68646333,26.20992672492421,19.51054809463706,9237.107488,0.0,-12.15833333,21,0.895907791,0.0,23.64
13,23.17680352,26.091364109963852,19.50615609750073,9237.107488,0.0,-12.11666667,21,0.979887657,0.0,23.17
14,23.92924567,25.970006018158223,19.50080432766038,9237.107488,0.0,-12.075,21,0.691289664,0.0,24.14
15,24.3060805,25.959245946281637,19.495959061088815,9237.107488,0.0,-12.03333333,21,0.63422516,0.0,25.37
16,23.61156242,25.973793428383217,19.49162180450173,9237.107488,0.0,-11.99166667,21,0.8579415709999999,0.0,23.63
17,23.62654711,25.88930824233479,19.48758707145498,9237.107488,0.0,-11.95,21,0.840626408,0.0,23.62
18,23.99377396,25.814746165174306,19.483883028987346,9237.107488,0.0,-11.90833333,21,0.63422516,0.0,25.5
19,24.36408446,25.818702390009978,19.4803433823654,9237.107488,0.0,-11.86666667,21,0.63422516,0.0,24.56
20,23.73140912,25.837074445462132,19.47731453401283,9237.107488,0.0,-11.825,21,0.8564804429999999,0.0,23.66
21,22.64608177,25.764985429229597,19.474766181325503,9237.107488,0.0,-11.78333333,21,1.179105602,0.0,22.64
22,23.5779092,25.613032067282013,19.472397261925128,9237.107488,0.0,-11.74166667,21,0.63422516,0.0,24.11
23,22.84878288,25.61290702043279,19.47025534763343,9237.107488,0.0,-11.7,21,1.167641851,0.0,22.82
24,22.45024507,25.5367898872984,19.457906220413324,9102.560331,0.0,-11.65,21,1.09930147,0.0,22.43
25,23.34131839,25.411180667245084,19.44523288807751,9102.560331,0.0,-11.6,21,0.63422516,0.0,25.62
26,23.99634841,25.44751041840999,19.442570494120922,9102.560331,0.0,-11.55,21,0.63422516,0.0,24.71
27,23.73666142,25.495217807519094,19.439810193077218,9102.560331,0.0,-11.5,21,0.7134967659999999,0.0,23.71
28,23.630975399999997,25.46926386526463,19.437600377722774,9102.560331,0.0,-11.45,21,0.768974893,0.0,23.62
29,22.93723487,25.434641310259913,19.435880671507704,9102.560331,0.0,-11.4,21,0.9597367790000001,0.0,22.85
30,23.55415562,25.35129372575807,19.43432948342434,9102.560331,0.0,-11.35,21,0.63422516,0.0,23.98
31,23.79135764,25.362548082316668,19.43311935085213,9102.560331,0.0,-11.3,21,0.63422516,0.0,24.84
32,22.31153883,25.392684730930593,19.432177328631433,9102.560331,0.0,-11.25,21,1.272244306,0.0,22.25
33,23.25332383,25.25107643270565,19.43141654855088,9102.560331,0.0,-11.2,21,0.63422516,0.0,25.04
34,23.29031539,25.241882876701894,19.43075845825063,9102.560331,0.0,-11.15,21,0.9831186670000001,0.0,23.22
35,23.71301747,25.255165044435543,19.4302589899833,9102.560331,0.0,-11.1,21,0.63422516,0.0,25.07
36,22.28617366,25.276907819144903,19.429148447658626,9102.560331,0.0,-11.1,21,1.242861981,0.0,22.23
37,23.35969756,25.159188363281757,19.42693414002812,9102.560331,0.0,-11.1,21,0.63422516,0.0,24.37
38,23.50412842,25.183133251799532,19.42425977562013,9102.560331,0.0,-11.1,21,0.63422516,0.0,24.51
39,22.78262859,25.225251954768094,19.42145770546312,9102.560331,0.0,-11.1,21,0.990541235,0.0,22.69
40,22.71592631,25.135450233854268,19.418603142459723,9102.560331,0.0,-11.1,21,0.92493609,0.0,22.7
41,23.3467469,25.071807587064324,19.415490245197432,9102.560331,0.0,-11.1,21,0.63422516,0.0,25.86
42,23.56926339,25.116873984044037,19.412269123317124,9102.560331,0.0,-11.1,21,0.63422516,0.0,25.11
43,22.65332283,25.149396673123455,19.409264251974047,9102.560331,0.0,-11.1,21,1.110853903,0.0,22.58
44,22.91976292,25.05888904038817,19.40606882952223,9102.560331,0.0,-11.1,21,0.63422516,0.0,23.14
45,23.3313276,25.016553673350987,19.40282845595612,9102.560331,0.0,-11.1,21,0.63422516,0.0,24.74
46,23.50036613,25.060051824214106,19.399362540601967,9102.560331,0.0,-11.1,21,0.63422516,0.0,25.54
47,22.76048302,25.08182246285482,19.39584371304353,9102.560331,0.0,-11.1,21,0.941034047,0.0,22.67
48,23.41558063,25.00663144345715,19.39329154239235,9102.560331,0.0,-11.05833333,21,0.8548353670000001,0.0,23.47
49,23.196741810000002,25.010757204937683,19.39126286980491,9102.560331,0.0,-11.01666667,21,0.912972405,0.0,23.18
50,23.0725611,25.010059012653446,19.389782981738826,9102.560331,0.0,-10.975,21,0.9547278459999999,0.0,23.05
51,23.93371869,24.977169935240507,19.38872677955123,9102.560331,0.0,-10.93333333,21,0.63422516,0.0,25.15
52,24.14567688,25.05476132032939,19.38751840404183,9102.560331,0.0,-10.89166667,21,0.63422516,0.0,25.9
53,24.53564547,25.112420732233858,19.386450636945046,9102.560331,0.0,-10.85,21,0.645105804,0.0,24.68
54,24.102227,25.14990067866363,19.385508252049327,9102.560331,0.0,-10.80833333,21,0.7703127590000001,0.0,24.08
55,24.277221100000002,25.140832395316586,19.384633392307986,9102.560331,0.0,-10.76666667,21,0.63422516,0.0,25.81
56,22.95825656,25.140534099209095,19.383810585033977,9102.560331,0.0,-10.725,21,1.195771311,0.0,22.91
57,23.89556925,25.050201679197723,19.383128291872108,9102.560331,0.0,-10.68333333,21,0.63422516,0.0,25.8
58,22.93717733,25.06849843128935,19.382519696797413,9102.560331,0.0,-10.64166667,21,1.172285328,0.0,22.86
59,23.75815287,25.01555864013572,19.38196176896977,9102.560331,0.0,-10.6,21,0.63422516,0.0,25.29
60,23.11815267,25.129164885994964,19.38125048517136,11351.843509999999,0.0,-10.6,21,1.225048871,0.0,23.1
61,24.10224439,25.15547274103413,19.38004171492794,11351.843509999999,0.0,-10.6,21,0.63422516,0.0,25.5
62,24.45980111,25.2354526958314,19.378836301708652,11351.843509999999,0.0,-10.6,21,0.63422516,0.0,25.55
63,24.82111119,25.339058868410095,19.377582344207624,11351.843509999999,0.0,-10.6,21,0.63422516,0.0,25.26
64,22.58670775,25.40402297103449,19.376023039716152,11351.843509999999,0.0,-10.6,21,1.633188447,0.0,22.34
65,23.69886402,25.248396851453702,19.374366935761323,11351.843509999999,0.0,-10.6,21,0.6553726360000001,0.0,24.41
66,23.860073320000005,25.293603807994767,19.372635584087526,11351.843509999999,0.0,-10.6,21,0.8062909840000001,0.0,23.88
67,23.18490662,25.35012621693723,19.370941247793365,11351.843509999999,0.0,-10.6,21,1.1253250940000001,0.0,23.13
68,24.14120251,25.2800166536911,19.36912087004394,11351.843509999999,0.0,-10.6,21,0.63422516,0.0,24.82
69,22.33613889,25.35693064695067,19.36719647949353,11351.843509999999,0.0,-10.6,21,1.675546264,0.0,22.17
70,23.06281466,25.235274680504126,19.365349029970123,11351.843509999999,0.0,-10.6,21,1.011672924,0.0,23.08
71,24.10001326,25.18665913848133,19.363513460113655,11351.843509999999,0.0,-10.6,21,0.63422516,0.0,25.4
72,23.87412414,25.708282286919772,19.407072981155018,22320.3738,0.0,-10.6,21,1.376695285,0.0,23.48
73,24.40854803,25.996585852456377,19.452107893407053,22320.3738,0.0,-10.6,21,1.14283899,0.0,24.41
74,25.1330875,26.14950927814958,19.45850886684662,22320.3738,0.0,-10.6,21,1.00775815,0.0,25.17
