,t1,w0,w1,w2,i,s,tout,hsp,csp,m0,rh0,m1,rh1,m2,rh2,m3,rh3,m4,rh4,m5,rh5
0,21.110980652667923,20.566623339192613,20.74515756047202,19.74020761314781,1230.040197,0.0,-2.575,21.11,21.11,0.466551244,4187.769775871216,2.260266916,14365.135472934468,0.47546777100000004,4474.089239839494,0.42516704200000005,4037.6135466209216,3.3243686539999997,24476.631822365154,0.43363496,4341.636366790185
1,21.110988343504555,20.53940746611701,20.701099562232603,19.696449374413262,1230.040197,0.0,-3.45,21.11,21.11,0.47702667200000004,4369.988659858182,2.351908501,16079.412538574416,0.485508778,4655.572355637167,0.435037545,4221.861224166319,3.429455944,26284.536378042594,0.443191455,4525.5761240020265
2,21.110986439468252,20.527376460392425,20.68537274499257,19.680486582257895,1230.040197,0.0,-4.325,21.11,21.11,0.485351126,4516.58296244081,2.415121179,17301.771031142987,0.493547456,4802.459353689781,0.442870155,4369.912927809957,3.5023938140000004,27563.79788592602,0.45067605200000005,4673.5675524586995
3,21.111013975688703,20.514879559972886,20.66805318197745,19.662337897402892,1230.040197,0.0,-5.2,21.11,21.11,0.493776595,4666.545893878032,2.476387594,18514.620096425355,0.5017343379999999,4951.299756279077,0.45078915799999997,4521.220408318717,3.5748772960000004,28838.921179135727,0.58260527,4748.501102757498
4,21.110965835460032,20.502563209887192,20.65109884179966,19.644492758928468,1230.040197,0.0,-6.075,21.11,21.11,0.502002489,4814.4756462283085,2.5375419480000003,19760.942244463866,0.509507264,5099.043768464307,0.458643952,4670.940799719606,3.6444226310000003,30112.363219310017,0.59232359,4896.792911420283
5,21.11098436206962,20.49031301124359,20.634352311095025,19.62680219650858,1230.040197,0.0,-6.95,21.11,21.11,0.5104194179999999,4964.774968562089,2.596465894,20979.924271163818,0.664846643,5159.421647983024,0.46618252299999996,4820.550140453412,4.628419287,30821.21692802615,0.601902886,5044.4287012378045
6,21.11097525564693,20.478187637394186,20.617839196433106,19.609094133073114,1230.040197,0.0,-7.825,21.11,21.11,0.518497526,5113.600492705494,2.6562584950000003,22240.290658303074,0.675158835,5306.618461786948,0.604242142,4893.821191497175,4.719205864,32081.17148700551,0.6115063070000001,5193.883019309337
7,21.110991900049456,20.46624505420274,20.601585495911422,19.591423085738768,1230.040197,0.0,-8.7,21.11,21.11,0.677843215,5174.594337014218,2.715539366,23505.144569312273,0.6855525920000001,5456.353410771356,0.614270821,5045.008634673001,4.809305297,33347.64408145685,0.621083269,5344.299289629699
8,21.11100414115962,20.454407523409298,20.585500026369555,19.573721424504072,1230.040197,0.0,-9.575,21.11,21.11,0.688497792,5323.94351932647,3.822145238,24151.917990145997,0.695810071,5605.439074593695,0.624212141,5196.37154860884,4.900210522,34617.75746073366,0.630629074,5495.54517889889
9,21.110968832619836,20.44264817344907,20.56950386475253,19.555994894053256,1230.040197,0.0,-10.45,21.11,21.11,0.699040276,5473.10230428383,3.910757085,25397.731962544392,0.705951928,5754.089701974981,0.634013104,5347.010332531256,4.984168258,35858.89675150524,0.640281674,5646.81908055218
10,21.110380118019705,20.431212303448604,20.553832920880488,19.538642853477356,1230.040197,0.0,-11.325,21.11,21.11,0.7096390379999999,5624.407725419225,3.9978490770000006,26659.279837510654,0.71622368,5901.927997708035,0.64386824,5499.846492841261,5.063843544,37004.94698839492,0.6491859839999999,5794.485476210901
11,21.100698427855736,20.419658930280058,20.538258242688283,19.52121968654842,1230.040197,0.0,-12.2,21.11,21.11,0.720165964,5775.987349126114,4.0855773300000005,27938.093541078193,0.726300732,6052.862548425617,0.653940802,5653.967833472442,5.063843544,37005.92855535562,0.6586932679999999,5947.274525419608
12,21.094623463718953,20.409137295370805,20.526747079909004,19.51054809463706,1230.040197,0.0,-12.15833333,21.11,21.11,0.720808827,5785.262752117504,4.091753816,28028.861719723154,0.7267902789999999,6060.1946753742595,0.654526517,5663.1638300939285,5.063843544,37028.28709405075,0.6586932679999999,5947.3094906468195
