,t1,w0,w1,i,s,tout,hsp,csp,m0,rh0,m1,rh1,m2,rh2
0,21.110997117613294,19.85742420771476,20.74515756047202,615.0303691,0.0,-2.575,21.11,21.11,0.134858549,1281.3977211839995,0.5915241370000001,4913.636387887783,0.136918121,1357.0293465204004
1,21.110999440750764,19.83620909367326,20.701099562232603,615.0303691,0.0,-3.45,21.11,21.11,0.137464694,1328.7383509134,0.607478459,5185.484742065517,0.13942597,1404.6449801957992
2,21.11102839083811,19.81749853429898,20.68537274499257,615.0303691,0.0,-4.325,21.11,21.11,0.139634764,1368.1714535999995,0.619735658,5397.651755552326,0.14155786,1443.1387316640007
3,21.110990839704964,19.798615380820365,20.66805318197745,615.0303691,0.0,-5.2,21.11,21.11,0.14179729300000002,1407.9635969951996,0.631731657,5610.844681740385,0.143623747,1482.6638954399987
4,21.111009542582995,19.779335189274118,20.65109884179966,615.0303691,0.0,-6.075,21.11,21.11,0.144002052,1447.0643966855994,0.6437813109999999,5825.46360116808,0.14570469900000002,1520.1540548964
5,21.110980666253038,19.759759114217545,20.634352311095025,615.0303691,0.0,-6.95,21.11,21.11,0.146130385,1487.1147485207994,0.655645676,6039.370976198823,0.19037340100000003,1534.062757248
6,21.110932443373297,19.739916656796172,20.617839196433106,615.0303691,0.0,-7.825,21.11,21.11,0.148238501,1526.3151173549993,0.66756955,6256.903831303853,0.193105141,1575.0787354848005
7,21.110953968663697,19.71982057519148,20.601585495911422,615.0303691,0.0,-8.7,21.11,21.11,0.194166542,1541.9060361011998,0.679494527,6476.905307772436,0.195839543,1616.4854153951997
8,21.11096996834491,19.699472904676966,20.585500026369555,615.0303691,0.0,-9.575,21.11,21.11,0.19700853899999998,1583.5265756099996,0.6913974199999999,6698.858826630953,0.198578484,1655.0088034536004
9,21.111073358978633,19.678884200927634,20.56950386475253,615.0303691,0.0,-10.45,21.11,21.11,0.199821687,1622.0853338004006,0.703343701,6920.876718707619,0.201289446,1697.0169880733997
10,21.110958691645887,19.65809610720729,20.553832920880488,615.0303691,0.0,-11.325,21.11,21.11,0.202659722,1664.430648363,0.7148040039999999,7143.058355113653,0.204040821,1736.2977832032004
11,21.11096447524218,19.637094863857637,20.538258242688283,615.0303691,0.0,-12.2,21.11,21.11,0.205486434,1707.1061519484,0.926960643,7250.437666306885,0.206854416,1780.8755630568
12,21.110977893390373,19.617369930610092,20.526747079909004,615.0303691,0.0,-12.15833333,21.11,21.11,0.205917753,1712.9066967179992,0.9294808539999999,7287.194222643642,0.20723726,1786.4425371827997
13,21.11098930654328,19.59964746058045,20.51919667634844,615.0303691,0.0,-12.11666667,21.11,21.11,0.20641934,1719.1027746647999,0.933062258,7339.514525681546,0.207698157,1792.4623982496005
