,t1,w0,w1,w2,i,s,tout,hsp,csp,m0,rh0,m1,rh1,m2,rh2,m3,rh3,m4,rh4,m5,rh5,m6,rh6,m7,rh7,m8,rh8,m9,rh9,m10,rh10,m11,rh11
0,21.86184968723768,20.566623339192613,19.85742420771476,27.661672059905403,147883.0469783,0.0,-2.575,21,24,2.261294135,0.0,2.207559924,0.0,0.209477606,3090.5909888028004,1.028502405,9850.269962570736,3.794979407,0.0,1.420351088,0.0,0.152557902,0.0,0.13210839300000002,1413.6541683600003,0.0961,635.5723172231998,0.0543,76.7492534424,1.6716511669999998,5209.60110867,2.106146178,0.0
1,21.58440909145394,20.53940746611701,19.83620909367326,27.422491581285378,147883.0469783,0.0,-3.45,21,24,2.261294135,0.0,2.207559924,0.0,0.209477606,3152.2170958992,1.028502405,9975.601430949788,3.794979407,0.0,1.420351088,0.0,0.152557902,0.0,0.13210839300000002,1463.3802214919997,0.0961,643.9570131204001,0.0543,94.169695568256,1.6716511669999998,5360.948845282801,2.960177723,0.0
2,21.62922565089055,20.527376460392425,19.81749853429898,27.274744386552175,147883.0469783,0.0,-4.325,21,24,2.261294135,0.0,2.207559924,0.0,0.209477606,3215.4589163508003,1.028502405,10077.911694374547,3.794979407,0.0,1.420351088,0.0,0.152557902,0.0,0.13210839300000002,1513.8152832348,0.0961,654.2519736144,0.0543,110.51303048939998,1.6716511669999998,5498.6871648156,2.024134937,0.0
3,21.671050386166403,20.514879559972886,19.798615380820365,27.217943710050243,147883.0469783,0.0,-5.2,21,24,2.261294135,0.0,2.207559924,0.0,0.209477606,3290.1070775621993,1.028502405,10197.248360818683,3.794979407,0.0,1.420351088,0.0,0.152557902,0.0,0.13210839300000002,1569.4545323016,0.0961,660.9201228,0.0543,129.06672201423,1.6716511669999998,5642.5441234974005,1.15170778,0.0
4,21.715842834380513,20.502563209887192,19.779335189274118,27.053110029874077,147883.0469783,0.0,-6.075,21,24,2.261294135,0.0,2.207559924,0.0,0.209477606,3367.641344180399,1.028502405,10325.107942802722,3.794979407,0.0,1.420351088,0.0,0.152557902,0.0,0.13210839300000002,1625.0807876940003,0.0961,672.7316269337999,0.0543,146.89258781022,1.6716511669999998,5845.6657011984,1.8542242930000001,0.0
5,21.70609848897034,20.49031301124359,19.759759114217545,26.83678061370219,147883.0469783,0.0,-6.95,21,24,2.261294135,0.0,2.207559924,0.0,0.209477606,3444.502382962201,1.028502405,10417.229027746365,3.794979407,0.0,1.420351088,0.0,0.152557902,0.0,0.13210839300000002,1673.4673775232,0.0961,680.6722823208,0.0543,162.13683971519998,1.6716511669999998,5932.111290294,1.323844238,0.0
6,21.718169706411008,20.478187637394186,19.739916656796172,26.753157849025467,147883.0469783,0.0,-7.825,21,24,2.261294135,0.0,2.207559924,0.0,0.209477606,3531.1639053541257,1.028502405,10567.037262709844,3.794979407,0.0,1.420351088,0.0,0.152557902,0.0,0.13210839300000002,1729.0272166859997,0.0961,686.6131814640001,0.0543,180.59078432303997,1.6716511669999998,6112.6797527712,1.6613565069999998,0.0
7,21.624611939164353,20.46624505420274,19.71982057519148,26.672779502714803,147883.0469783,0.0,-8.7,21,24,2.261294135,0.0,2.207559924,0.0,0.209477606,3727.144476032702,1.028502405,11214.696993226506,3.794979407,0.0,1.420351088,0.0,0.152557902,0.0,0.13210839300000002,1854.6499872600002,0.0961,749.18722935,0.0543,225.703037658,1.6716511669999998,7139.17410386925,1.32975588,0.0
8,21.617432388344103,20.454407523409298,19.699472904676966,26.671894400012622,147883.0469783,0.0,-9.575,21,24,2.261294135,0.0,2.207559924,0.0,0.209477606,3754.6063625219554,1.028502405,11053.41754231583,3.794979407,0.0,1.420351088,0.0,0.152557902,0.0,0.13210839300000002,1872.0457765086005,0.0961,730.5878710116001,0.0543,226.47125962692,1.6716511669999998,6780.9863792434235,1.84089577,0.0
9,21.428170677828668,20.44264817344907,19.678884200927634,26.408419706807464,147883.0469783,0.0,-10.45,21,24,2.261294135,0.0,2.207559924,703.7456038082399,0.209477606,4073.7277156110235,1.028502405,11589.40838003231,3.794979407,0.0,1.420351088,0.0,0.152557902,0.0,0.13210839300000002,2075.2962610464006,0.0961,841.0700145330001,0.0543,301.89509527716,1.6716511669999998,8739.562922898484,1.5017731490000001,0.0
10,21.327964148146723,20.431212303448604,19.65809610720729,26.190496373816966,147883.0469783,0.0,-11.325,21,24,2.261294135,251.64825440369992,2.207559924,1698.0897305988,0.209477606,4205.366508286528,1.028502405,11627.116108705313,3.794979407,1917.2252796816,1.420351088,0.0,0.152557902,0.0,0.13210839300000002,2146.5622959690004,0.0961,869.2388773656003,0.0543,326.0565276948,1.6716511669999998,9246.971183886888,2.2189537980000003,0.0
11,21.241159014674224,20.419658930280058,19.637094863857637,26.2450216297376,147883.0469783,0.0,-12.2,21,24,2.261294135,2188.363620555,2.207559924,3664.403260056,0.209477606,4426.9603302772,1.028502405,11764.87914912998,3.794979407,6697.8267333852,1.420351088,0.0,0.152557902,0.0,0.13210839300000002,2296.6050518501997,0.0961,939.7271685480002,0.0543,379.84465578149997,1.6716511669999998,10345.606145931722,1.707917336,0.0
12,21.263244711646173,20.409137295370805,19.617369930610092,26.20992672492421,147883.0469783,0.0,-12.15833333,21,24,2.261294135,2439.9640774656,2.207559924,3593.4309975563997,0.209477606,4440.777940268645,1.028502405,11743.382354420064,3.794979407,6699.272102220601,1.420351088,0.0,0.152557902,0.0,0.13210839300000002,2280.4657057475993,0.0961,919.5392531304,0.0543,373.9128504110999,1.6716511669999998,10137.298851756554,1.8648237330000001,0.0
