,Unnamed: 0,z0,z1,z2,tout,s,i,t1,sp0,sp1,sp2,sp,m,rh
7000,7000,20.9398765156,20.9398721793,20.9399151978,-1.99166666667,42.1666666667,1501.8359271,20.9398998996,20.94,20.94,20.94,20.94,0.37260921788,5350.50918528
7001,7001,20.9398648829,20.9399142954,20.9399169377,-1.95,46.0,1501.8359271,20.9399066583,20.94,20.94,20.94,20.94,0.366460116853,5214.87061804
7002,7002,20.9398493181,20.9399088414,20.9399014854,-1.90833333333,59.1666666667,1501.8359271,20.9398930151,20.94,20.94,20.94,20.94,0.359739101464,5068.41384995
7003,7003,20.9398326374,20.9398998609,20.9398817244,-1.86666666667,72.3333333333,1501.8359271,20.9398758509,20.94,20.94,20.94,20.94,0.352874423044,4920.50976033
7004,7004,20.9398148512,20.9398904698,20.9398578239,-1.825,85.5,1501.8359271,20.9398559089,20.94,20.94,20.94,20.94,0.345933942043,4772.73547176
7005,7005,20.939795585,20.9398775445,20.9398285376,-1.78333333333,98.6666666667,1501.8359271,20.9398317701,20.94,20.94,20.94,20.94,0.338623539515,4618.66015794
7006,7006,20.9397752511,20.9398666253,20.9397943949,-1.74166666667,111.833333333,1501.8359271,20.9398050229,20.94,20.94,20.94,20.94,0.331615393682,4473.10009484
7007,7007,20.9397552852,20.9398553616,20.9397593127,-1.7,125.0,1501.8359271,20.9397778515,20.94,20.94,20.94,20.94,0.325409718942,4345.52831055
7008,7008,20.4632995803,20.4636199005,20.5664292813,-1.60833333333,138.166666667,993.584825286,20.5112316429,20.46,20.46,20.46,20.46,0.172286546595,1440.817356
7009,7009,20.4598609764,20.4599375073,20.4600191998,-1.51666666667,151.333333333,993.584825286,20.4599704726,20.46,20.46,20.46,20.46,0.339375446428,4704.98006268
7010,7010,20.459884783,20.4595148807,20.459879393,-1.425,164.5,993.584825286,20.4598070707,20.46,20.46,20.46,20.46,0.27881916678,3438.41255342
7011,7011,20.4594395788,20.4596477615,20.4598339496,-1.33333333333,177.666666667,993.584825286,20.459712156,20.46,20.46,20.46,20.46,0.277066382325,3427.04151989
7012,7012,20.4593774683,20.4596479507,20.4598209808,-1.24166666667,190.833333333,993.584825286,20.4596916102,20.46,20.46,20.46,20.46,0.274457561183,3377.0726589
7013,7013,20.4593341718,20.4596373818,20.459783164,-1.15,204.0,993.584825286,20.4596566787,20.46,20.46,20.46,20.46,0.268082021134,3260.14455153
7014,7014,20.4598721073,20.4596229838,20.4597316438,-1.05833333333,219.166666667,993.584825286,20.4597372688,20.46,20.46,20.46,20.46,0.260620492673,3126.13867274
7015,7015,20.4598928483,20.4596054047,20.4598988705,-0.966666666667,234.333333333,993.584825286,20.4598298339,20.46,20.46,20.46,20.46,0.252421891498,2981.74921685
7016,7016,20.4598825254,20.4595848132,20.4598712439,-0.875,249.5,993.584825286,20.4598056894,20.46,20.46,20.46,20.46,0.24337089582,2826.75557913
7017,7017,20.4598615587,20.4595612837,20.4599256734,-0.783333333333,264.666666667,993.584825286,20.4598191124,20.46,20.46,20.46,20.46,0.228171806955,2578.93788968
7018,7018,20.4598421876,20.4595347864,20.4598904665,-0.691666666667,279.833333333,993.584825286,20.4597857815,20.46,20.46,20.46,20.46,0.217384290607,2410.0469544
7019,7019,20.4598193887,20.459505439,20.4599296408,-0.6,295.0,993.584825286,20.4597848603,20.46,20.46,20.46,20.46,0.204196245397,2215.30511832
7020,7020,20.26895397,20.2696250059,20.3290021536,-0.55,310.166666667,912.609870739,20.2693137948,20.26,20.26,20.26,20.26,0.0845884888633,982.54344376
