,t41,t42,t43,t44,t45,t5
286,23.459977498,23.4594883459,23.4591903127,23.4587735695,23.4599961274,23.463764454
287,23.4590186145,23.4603723754,23.4599028832,23.458480262,23.4599941221,23.4590226855
288,23.4613413683,23.4588693274,23.460417161,23.4586915246,23.4599926387,23.4514830244
289,23.4610317196,23.4589562698,23.4597729985,23.459928978,23.4599913366,23.4422209001
290,23.4607343884,23.4613398187,23.4599357825,23.4590069641,23.4599904461,23.4320978311
291,23.4594786964,23.4587352832,23.4604805829,23.4588294631,23.4599898562,23.42159191
292,23.459444,23.4596723899,23.4594428349,23.4609482381,23.4599895116,23.410864333
293,23.4597496913,23.4609050899,23.4595670052,23.4580292629,23.4599893297,23.4000721292
294,23.4596623015,23.4597542706,23.4607672304,23.4588225906,23.4599892874,23.3892084413
295,23.4609810859,23.4595824554,23.461010399,23.4600169913,23.4599893718,23.3784071719
296,23.6666785092,23.6631202566,23.6726681298,23.657430658,23.6730715163,23.3698517808
297,23.6802680538,23.6781439889,23.6794363671,23.677859148,23.6794831301,23.3991342986
298,23.6799288459,23.6792119361,23.6791271633,23.6817012297,23.6799373285,23.4327197967
299,23.6805715602,23.6786585205,23.6798641532,23.6796040552,23.6799245902,23.4570210429
300,23.680759381,23.6813179171,23.6801839919,23.6816631046,23.6799108621,23.4707890584
301,23.6810723829,23.6807161696,23.6809986418,23.679883067,23.6798989688,23.4780293288
302,23.6794952057,23.6803349263,23.6802990874,23.6783616691,23.6798904646,23.4823344833
303,23.6790452322,23.6818016912,23.6793251223,23.6795819226,23.6798839239,23.4855558077
304,23.6793067291,23.6817784533,23.6809259532,23.6794976971,23.6798784503,23.4884061768
305,23.6804708488,23.6788009563,23.6804479086,23.6801749777,23.6798735839,23.4910509124
306,23.6803411677,23.6817133195,23.6801691992,23.6786058809,23.6798690595,23.4934981771
307,23.680695215,23.6801549185,23.6801831035,23.6819294888,23.6798648868,23.49579793
308,23.2885957175,23.2898812208,23.2879806876,23.2911696674,23.2952736171,23.4995574169
309,23.2796868339,23.2784219033,23.2792316677,23.2786549886,23.2799220167,23.4560219017
310,23.2797705187,23.2809280248,23.2800804632,23.2782192126,23.2798481513,23.3972077906
311,23.2793139339,23.2803573904,23.2797800678,23.2796577675,23.2798536969,23.3575597477
312,23.281309635,23.2796223396,23.2798207101,23.2801204754,23.279853423,23.3416164172
313,23.2804497018,23.2804555624,23.2803764741,23.2797628987,23.2798500656,23.340294584
314,23.2799630257,23.2799713762,23.2794036409,23.2816768079,23.2798462102,23.3448588637
315,23.2806066585,23.2798276198,23.2795462136,23.2819663562,23.2798425816,23.3510108688
316,23.2790620721,23.2812636249,23.2806948595,23.2792790571,23.2798393266,23.3575748098
317,23.2803643995,23.2792385515,23.2794196706,23.279626095,23.2798362922,23.3644610692
318,23.280855389,23.2797332096,23.2803414666,23.2808041428,23.2798334008,23.3717238017
319,23.2799574596,23.278487169,23.2794244613,23.279214565,23.2798306071,23.3793486935
