,t1,w1,t2
0,15.74819567,14.6751239,14.35138046
1,15.74636428,14.66639902,14.34196502
2,15.74293473,14.65684226,14.3241708
3,15.74174474,14.64601298,14.31497774
4,15.73983429,14.6344049,14.3012826
5,15.73625102,14.62190301,14.27611981
6,15.73302334,14.60778429,14.25287373
7,15.72980457,14.59234938,14.22994482
8,15.72645591,14.57628408,14.20587771
9,15.72351684,14.55893167,14.18048168
10,15.72166429,14.54007633,14.1640627
11,15.7176047,14.52008031,14.13087196
12,15.71356813,14.4999313,14.10109194
13,15.70934329,14.47969341,14.07402448
14,15.70733649,14.45956243,14.06018921
15,15.70430878,14.44057392,14.04067493
16,15.7013023,14.42200881,14.02192647
17,15.69774337,14.40441031,14.00084126
18,15.69099458,14.38761393,13.96476665
19,15.68496337,14.37046766,13.93686481
20,15.67951636,14.35367703,13.91327922
21,15.6744506,14.33808942,13.89199808
22,15.6695947,14.32302179,13.87239634
23,15.66491084,14.30862884,13.85415751
24,15.66036744,14.2949578,13.83799725
25,15.65598294,14.2820926,13.82404907
26,15.65131618,14.27006019,13.81178945
27,15.64953189,14.25879142,13.80524291
28,15.64477654,14.24832419,13.79275732
29,15.64041546,14.2388151,13.78262491
30,15.63641065,14.22981547,13.77408174
31,15.63260714,14.22139008,13.76664698
32,15.62904568,14.21352818,13.76011119
33,15.62559909,14.20620944,13.75435733
34,15.62217273,14.19940605,13.74940608
35,15.620647,14.19303604,13.74692331
36,15.61706588,14.18705458,13.74043899
37,15.61379538,14.18143297,13.73280116
38,15.61077517,14.17583104,13.72490986
39,15.60798817,14.17027873,13.7170416
40,15.60643969,14.1648235,13.71223478
41,15.60332438,14.15937088,13.7027564
42,15.60061835,14.15408953,13.69420245
43,15.59996137,14.14880546,13.6862117
44,15.59995436,14.14376844,13.6787315
45,15.59997858,14.13889435,13.67156053
46,15.59994876,14.13417318,13.66456822
47,15.5997604,14.12957382,13.65772034
48,15.59998673,14.1250831,13.65445225
49,15.59965688,14.12085998,13.651755
50,15.59999766,14.11702958,13.64801134
51,15.59998363,14.1133843,13.64205156
52,15.59989053,14.110034,13.6402017
53,15.600012,14.10678161,13.63755233
54,15.59998642,14.10377512,13.63326841
55,15.59994336,14.10101233,13.63022237
56,15.60017096,14.09837307,13.62788039
57,15.60005509,14.09584206,13.62671869
58,15.60000068,14.09347141,13.6256953
59,15.6000084,14.09131975,13.62430062
60,15.60002391,14.08923194,13.62199301
61,15.59994699,14.08730175,13.62025863
62,15.59998557,14.08539605,13.61883583
63,15.60001834,14.0835487,13.61757557
64,15.59995345,14.08174198,13.61639554
65,15.59999582,14.07997276,13.61526249
66,15.59998975,14.07822911,13.61416419
67,15.59996803,14.07650771,13.61308211
68,15.59994641,14.07480007,13.61200381
69,15.60002336,14.07311303,13.61093003
70,15.60006469,14.07143639,13.60985046
71,15.59997327,14.06971314,13.60916902
72,15.59985984,14.07158336,13.60775223
73,15.6008751,14.07198751,13.60575741
74,15.60207208,14.07187355,13.6022824
75,15.6025589,14.07131592,13.59917266
76,15.60267154,14.07045614,13.59603751
77,15.60244546,14.06931103,13.59273617
78,15.60202434,14.06791625,13.58923172
79,15.60138855,14.06603283,13.58550942
80,15.60065743,14.0641646,13.58161266
81,15.59937921,14.06218054,13.57749435
82,15.59995626,14.06003601,13.57485941
83,15.59997633,14.0579205,13.571884
84,15.60012811,14.05586764,13.57039224
85,15.5993531,14.05408719,13.56885115
86,15.59996413,14.05232326,13.56852397
87,15.59999584,14.05063217,13.56835964
88,15.59999044,14.04910434,13.5690295
89,15.60004667,14.05201448,13.57019136
90,15.59999135,14.05759394,13.57205437
91,15.59997686,14.06653481,13.57506611
92,15.59996557,14.07687269,13.57958496
93,15.59998074,14.08920494,13.58579476
94,15.59986818,14.10366039,13.59376206
95,15.60024514,14.11960035,13.60373284
96,15.60004307,14.1368468,13.60999393
97,15.60000003,14.15721771,13.62272341
98,15.60000832,14.17877535,13.63570592
99,15.60037376,14.20197641,13.65030447
100,15.60191111,14.2272999,13.66717698
101,15.60444364,14.25494175,13.68663576
102,15.60780206,14.28341206,13.70882411
103,15.61202254,14.31308256,13.73368892
104,15.61683077,14.34416407,13.76103316
105,15.62218722,14.37673864,13.79061231
106,15.63191299,14.41067229,13.82200849
107,15.64997457,14.44510337,13.85578868
108,15.67648021,14.48280333,13.88936516
109,15.70531257,14.52172081,13.92295156
110,15.72066129,14.56197934,13.94500312
111,15.75201689,14.60378781,13.98948939
112,15.78087958,14.64714222,14.03187758
113,15.80874015,14.69175238,14.07400568
114,15.83413089,14.73612951,14.11669445
