,Unnamed: 0,t1,w1,t2
115,115.0,22.11788921,22.38730087,21.86547103
116,116.0,22.124861300000003,22.39953218,21.88729099
117,117.0,22.13206659,22.41037999,21.888430300000003
118,118.0,22.13620298,22.40445502,21.83439938
119,119.0,22.14101136,22.42372994,21.85975091
120,120.0,22.14576303,22.43381822,21.87883897
121,121.0,22.15153864,22.44419695,21.90151603
122,122.0,22.15656042,22.45712069,21.93082817
123,123.0,22.1626229,22.46668244,21.9602744
124,124.0,22.16874121,22.47858356,21.98711139
125,125.0,22.17998907,22.48923213,22.03099911
126,126.0,22.18371772,22.49583279,21.96170237
127,127.0,22.18971955,22.46303808,21.92101399
128,128.0,22.195253100000002,22.48865726,21.99264955
129,129.0,22.20066539,22.48505127,21.97518356
130,130.0,22.20975736,22.48089137,21.94284632
131,131.0,22.21563837,22.48442723,21.96953105
132,132.0,22.22699415,22.49737998,22.05009502
133,133.0,22.2311656,22.50428179,22.07749993
134,134.0,22.24209002,22.48924111,21.92652519
135,135.0,22.24699361,22.50176967,21.9825388
136,136.0,22.25150594,22.50437872,22.06957284
137,137.0,22.25800569,22.49776725,22.02963717
138,138.0,22.26369711,22.50119168,22.06319177
139,139.0,22.27060127,22.49196351,22.02960689
140,140.0,22.28359388,22.49054812,22.07136346
141,141.0,22.29467985,22.48611762,22.07955459
142,142.0,22.29931594,22.47670605,22.03916348
143,143.0,22.30548584,22.45129133,22.00155205
144,144.0,22.3108283,22.45001553,21.90647037
145,145.0,22.31654843,22.4466633,21.92751709
146,146.0,22.32686454,22.43987294,21.98620139
147,147.0,22.33488061,22.43283733,21.99700904
148,148.0,22.34142105,22.42114829,21.99257829
149,149.0,22.34710717,22.41158687,21.98152159
150,150.0,22.3522859,22.40799133,21.97258157
151,151.0,22.35733405,22.40465257,21.96698321
152,152.0,22.36251863,22.40164232,21.96318384
153,153.0,22.36740035,22.39882068,21.96034939
154,154.0,22.36962827,22.39613776,21.94710055
155,155.0,22.37284016,22.39377223,21.90922107
156,156.0,22.37583465,22.38813835,21.94114255
157,157.0,22.37952273,22.38532104,21.90104734
158,158.0,22.38630315,22.38224094,21.92384672
