,Unnamed: 0,t1,w1,w2,i,s,tout,t2,hsp,m0,csp0
0,0,26.999773665222897,37.40634396811194,36.4560526995441,379978.375494321,0.0,17.1833333333333,15.4280885255239,15.6,22.8268005723366,27.0
1,1,26.999727542409897,37.34376159291666,36.45433693350795,379978.375494321,0.0,17.1666666666667,15.4280571434295,15.6,22.8268005723366,27.0
2,2,26.999545210195603,37.45681869311258,36.45253804151345,379978.375494321,0.0,17.15,15.427836311266,15.6,22.8268005723366,27.0
3,3,26.999360191026202,37.346398789228225,36.450715615328654,379978.375494321,0.0,17.1333333333333,15.427462425989699,15.6,22.8268005723366,27.0
4,4,26.9996371212922,37.370547990134895,36.448827969652,379978.375494321,0.0,17.1166666666667,15.4277190763174,15.6,22.8268005723366,27.0
5,5,26.9994980015499,37.423213707738704,36.4467608079655,379978.375494321,0.0,17.1,15.4274233289106,15.6,22.8268005723366,27.0
6,6,26.999628971388802,37.452401860847104,36.444767576027544,379978.375494321,0.0,17.0833333333333,15.427448830481902,15.6,22.8268005723366,27.0
7,7,26.999481033808603,37.30722859967288,36.44263914200185,379978.375494321,0.0,17.0666666666667,15.427133149005499,15.6,22.8268005723366,27.0
8,8,26.999704065511303,37.342470022564356,36.44055415573496,379978.375494321,0.0,17.05,15.426776515651,15.6,22.8268005723366,27.0
9,9,26.9998015203159,37.36406812668256,36.4381797315432,379978.375494321,0.0,17.033333333333303,15.4266455130401,15.6,22.8268005723366,27.0
10,10,26.9994915678555,37.25366348258779,36.4357882864148,379978.375494321,0.0,17.016666666666698,15.4263754962059,15.6,22.8268005723366,27.0
11,11,26.9992521963407,37.278652857100845,36.433464351553546,379978.375494321,0.0,17.0,15.4262380699563,15.6,22.8268005723366,27.0
12,12,26.9396187093989,37.25007955619543,36.431051448249946,379978.375494321,0.0,16.975,15.346317774407304,15.6,22.8268005723366,27.0
13,13,26.990175728215398,37.371535189861405,36.427348590794146,379978.375494321,0.0,16.95,15.4197979005057,15.6,22.8268005723366,27.0
14,14,26.8874558522074,37.42006614165246,36.42522889974745,379978.375494321,0.0,16.925,15.3069693500263,15.6,22.8268005723366,27.0
15,15,26.9818868288657,37.434982941656365,36.417080808185545,379978.375494321,0.0,16.9,15.4323006889047,15.6,22.8268005723366,27.0
16,16,26.9974815005806,37.394547498553365,36.417559269277746,379978.375494321,0.0,16.875,15.3897828000454,15.6,22.8268005723366,27.0
17,17,26.963944559895896,37.41845976036196,36.415676822773854,379978.375494321,0.0,16.85,15.384453377871196,15.6,22.8268005723366,27.0
18,18,26.8802744717321,37.245025327271186,36.4132565306104,379978.375494321,0.0,16.825,15.3124518290171,15.6,22.8268005723366,27.0
19,19,26.9643711939314,37.395384485889565,36.40494591889425,379978.375494321,0.0,16.8,15.362875149934402,15.6,22.8268005723366,27.0
20,20,26.9942754749424,37.413928543820774,36.40406132247555,379978.375494321,0.0,16.775,15.4384854206831,15.6,22.8268005723366,27.0
21,21,26.9395091031078,37.36366578906065,36.4031286846023,379978.375494321,0.0,16.75,15.3500908149284,15.6,22.8268005723366,27.0
22,22,26.930690186718692,37.32524276312592,36.39975785979645,379978.375494321,0.0,16.725,15.343549916511801,15.6,22.8268005723366,27.0
23,23,26.9795726784657,37.28615464939258,36.39670671362805,379978.375494321,0.0,16.7,15.4207359458951,15.6,22.8268005723366,27.0
24,24,26.96252883400111,37.357003119116335,36.3944285888836,379978.375494321,0.0,16.675,15.3916623065779,15.6,22.8268005723366,27.0
25,25,26.988940667384604,37.304825205286576,36.392616884225546,379978.375494321,0.0,16.65,15.430606866557099,15.6,22.8268005723366,27.0
26,26,26.9981838964294,37.3749895792944,36.390090992437855,379978.375494321,0.0,16.625,15.434023507818301,15.6,22.8268005723366,27.0
27,27,26.999403580657397,37.34763422114071,36.38805157490255,379978.375494321,0.0,16.6,15.4329549602212,15.6,22.8268005723366,27.0
28,28,26.999905074557496,37.34985291278438,36.38580887405,379978.375494321,0.0,16.575,15.432341003666101,15.6,22.8268005723366,27.0
29,29,26.8922141486806,37.313268317666534,36.383276444469544,379978.375494321,0.0,16.55,15.3191501141871,15.6,22.8268005723366,27.0
30,30,26.954392682006894,37.38620473100402,36.3752289715431,379978.375494321,0.0,16.525,15.402649343012099,15.6,22.8268005723366,27.0
31,31,26.9865220555935,37.36719892480161,36.37548645258335,379978.375494321,0.0,16.5,15.4217698017522,15.6,22.8268005723366,27.0
32,32,26.976090976459602,37.309645158056455,36.37293705140691,379978.375494321,0.0,16.475,15.4085706059586,15.6,22.8268005723366,27.0
33,33,26.9929116675874,37.275816101205066,36.37086950736425,379978.375494321,0.0,16.45,15.4331321471543,15.6,22.8268005723366,27.0
34,34,26.964200516037607,37.36125368158831,36.3682974996427,379978.375494321,0.0,16.425,15.3909787622942,15.6,22.8268005723366,27.0
35,35,26.989406343970302,37.183215592635314,36.3657186690037,379978.375494321,0.0,16.4,15.4318610013833,15.6,22.8268005723366,27.0
36,36,26.9969305354075,37.296713037506336,36.3628906961034,379978.375494321,0.0,16.375,15.430863443487599,15.6,22.8268005723366,27.0
37,37,26.9991629987671,37.276504592242844,36.36014287558355,379978.375494321,0.0,16.35,15.4342661171378,15.6,22.8268005723366,27.0
38,38,26.99981645794369,37.377280599802035,36.357315805106786,379978.375494321,0.0,16.325,15.435747193986401,15.6,22.8268005723366,27.0
39,39,27.0000167264817,37.32374558281812,36.354452982480495,379978.375494321,0.0,16.3,15.4366992378375,15.6,22.8268005723366,27.0
40,40,27.0000759693567,37.40086774344544,36.351562991821645,379978.375494321,0.0,16.275,15.4374857965616,15.6,22.8268005723366,27.0
41,41,27.0000934851142,37.35532941957067,36.34866295758265,379978.375494321,0.0,16.25,15.4382019352527,15.6,22.8268005723366,27.0
42,42,27.0001550022047,37.340099690517995,36.34576689599809,379978.375494321,0.0,16.225,15.4387702005651,15.6,22.8268005723366,27.0
43,43,27.0000920018845,37.37292863476442,36.343003486355855,379978.375494321,0.0,16.2,15.4395071171915,15.6,22.8268005723366,27.0
44,44,27.000229008134895,37.309963209826144,36.340075571994,379978.375494321,0.0,16.175,15.4401118763811,15.6,22.8268005723366,27.0
45,45,27.000196451090694,37.379586827296755,36.33743885780565,379978.375494321,0.0,16.15,15.4406603709109,15.6,22.8268005723366,27.0
46,46,27.000278862794804,37.32468125053569,36.3346823949525,379978.375494321,0.0,16.125,15.441467317314501,15.6,22.8268005723366,27.0
47,47,27.0002948100106,37.346045619988644,36.3320881107028,379978.375494321,0.0,16.1,15.4419904966307,15.6,22.8268005723366,27.0
48,48,27.0000963121599,37.32294142170338,36.33461830456649,380324.229145739,0.0,16.1,15.4387765076926,20.0,22.8268005723366,27.0
49,49,27.0000152873314,37.40133250020395,36.334787417477045,380324.229145739,0.0,16.1,15.438424845743198,20.0,22.8268005723366,27.0
50,50,26.999996284251203,37.32096301412144,36.3345079668687,380324.229145739,0.0,16.1,15.438501602812801,20.0,22.8268005723366,27.0
51,51,26.999997002017498,37.39076077311242,36.334135794536294,380324.229145739,0.0,16.1,15.438575259792499,20.0,22.8268005723366,27.0
52,52,26.999995248910107,37.34434507938469,36.3335475650958,380324.229145739,10.0833333333333,16.1,15.438675851447199,20.0,22.8268005723366,27.0
